t1,t2,r1,r2,r3,r4,E,pvals,trend
s__Leptotrichia_sp._oral_taxon_215,gut_s__Subdoligranulum_sp._APC924_74,0.323465926611163,0.101619433198381,0.103097238895558,-0.803921568627451,4.60305572569918,1e-05,decrease
s__Streptococcus_sp._263_SSPC,gut_s__Turicibacter_sanguinis,0.648405253283302,0.140588282959242,0.0822966507177034,-0.482778091473744,4.53281405564038,1.1e-05,decrease
s__Lachnoanaerobaculum_saburreum,gut_s__Blautia_sp._Marseille_P3087,0.089731729879741,0.00731707317073171,0.260140268848627,-0.776521739130435,4.34792330431635,1.9e-05,decrease
s__Actinomyces_sp._ph3,gut_s__Mediterraneibacter_butyricigenes,0.00367647058823529,-0.0176470588235294,0.0739015606242497,0.859649122807018,4.11973162730212,4.5e-05,increase
s__Porphyromonas_sp._KLE_1280,gut_s__Bifidobacterium_adolescentis,0.267826086956522,-0.123418803418803,-0.170190274841438,-0.79360165118679,3.92367245419235,9.1e-05,decrease
s__Prevotella_melaninogenica,gut_s__Suilimivivens_aceti,-0.0291486291486291,-0.0665072995816614,-0.0559052202887819,0.706854838709677,3.92281678508456,9.1e-05,increase
s__Corynebacterium_durum,gut_s__Ruminococcus_sp._Marseille_P6503,-0.486495726495726,-0.333497536945813,0.185687712003501,0.602597402597403,3.82552821294579,0.000126,increase
s__Fusobacterium_pseudoperiodonticum,gut_s__Phascolarctobacterium_sp._Marseille_Q4147,-0.211764705882353,0.0187292555713608,0.0644268774703557,0.690769230769231,3.78016379621292,0.000149,increase
s__Streptococcus_pseudopneumoniae,gut_s__Waltera_sp._CLA_AA_H273,0.383970327366554,-0.141186905337849,0.100629396519807,-0.438349885408709,3.7819776874358,0.000149,decrease
s__Solobacterium_moorei,gut_s__Streptococcus_salivarius,-0.229810901001112,0.36019536019536,0.055862977602108,-0.83578431372549,3.74876301444974,0.000173,decrease
s__Porphyromonas_somerae,gut_s__Bifidobacterium_pseudocatenulatum,0.391291061879297,-0.318397344713134,-0.124801920768307,-0.614285714285714,3.73839878006332,0.000179,decrease
s__Aggregatibacter_sp._oral_taxon_458,gut_s__Ruminococcus_callidus,0.37622558949842,0.572822299651568,0.0228189001773907,-0.486166007905138,3.70163819265081,0.000212,decrease
s__Gemella_haemolysans,gut_s__sp._30,-0.44231032125769,0.154640747093577,-0.122065727699531,0.368035190615836,3.68559834474957,0.000239,increase
s__Fusobacterium_nucleatum,gut_s__Bifidobacterium_catenulatum,0.456729699666296,0.104048892284186,-0.11875150060024,-0.614035087719298,3.67235200304901,0.000253,decrease
s__Actinomyces_sp._oral_taxon_181,gut_s__Blautia_stercoris,-0.20587044534413,0.0298584298584299,-0.159214789403469,0.719298245614035,3.63557791415687,0.000286,increase
s__Actinomyces_sp._oral_taxon_181,gut_s__Fusicatenibacter_saccharivorans,0.00202429149797571,0.0293436293436293,0.00209643605870021,0.805263157894737,3.62454483375343,0.000296,increase
s__Mogibacterium_diversum,gut_s__Clostridium_sp._D43t1_170807_D5,-0.605384615384615,-0.195934500282326,-0.00669240669240669,0.586813186813187,3.62660649377727,0.000296,increase
s__Candidatus_Nanosynbacter_sp._TM7_053,gut_s__sp._27,0.217760617760618,-0.127125506072874,-0.081841638445412,-0.719298245614035,3.62531813983071,0.000296,decrease
s__Streptococcus_sp._HPH0090,gut_s__Blautia_sp._MCC283,-0.225905673274094,0.0190966266437965,0.0722843391336542,0.549486803519062,3.62199598759926,0.000299,increase
s__Prevotella_melaninogenica,gut_s__Eggerthella_lenta,0.036431989063568,-0.121062067787928,0.0772553375293101,-0.673790322580645,3.60632544838275,0.00032,decrease
s__Rothia_dentocariosa,gut_s__Ruminococcus_sp._NSJ_71,-0.259547511312217,-0.0844155844155844,0.0994318181818182,0.538306451612903,3.59896205744892,0.000325,increase
s__Fusobacterium_pseudoperiodonticum,gut_s__Subdoligranulum_sp._APC924_74,0.340857230958989,0.137025901942646,0.164798359535202,-0.528205128205128,3.59371874234962,0.000328,decrease
s__Streptococcus_timonensis,gut_s__Pseudoflavonifractor_phocaeensis,-0.399403681617838,0.0622480245121755,0.0505263157894737,0.374178762414057,3.58120763199862,0.000345,increase
s__Corynebacterium_durum,gut_s__Coprococcus_catus,0.344160177975528,0.292741935483871,-0.241093117408907,-0.636363636363636,3.5788187491399,0.000348,decrease
s__Porphyromonas_somerae,gut_s__Bifidobacterium_adolescentis,0.303931623931624,-0.162096774193548,-0.239464411557435,-0.703508771929825,3.5707693000834,0.000356,decrease
s__Streptococcus_sp._oral_taxon_431,gut_s__Coprococcus_comes,0.321882291936738,0.0290070516485611,0.0636773752563226,-0.446600458365164,3.5704390367303,0.000356,decrease
s__Lancefieldella_parvula,gut_s__Clostridium_sp._AM49_4BH,-0.301317523056653,-0.0711237553342817,-0.225518433179724,0.577391304347826,3.56779198813313,0.00036,increase
s__Fusobacterium_pseudoperiodonticum,gut_s__Blautia_hansenii,-0.212534690101758,-0.222710453283996,-0.279427015815401,0.593846153846154,3.55811732150888,0.000372,increase
s__Abiotrophia_sp._HMSC24B09,gut_s__Anthropogastromicrobium_aceti,0.34453781512605,-0.0561497326203209,0.0393877551020408,-0.58695652173913,3.55677222792603,0.000373,decrease
s__Rothia_dentocariosa,gut_s__Olsenella_uli,-0.296038415366146,0.170510204081633,-0.0564689919387022,0.495601173020528,3.5472018355368,0.00039,increase
s__Neisseria_sp._oral_taxon_014,gut_s__Phocaeicola_vulgatus,-0.261301264261486,0.225370027752081,-0.1536537927202,0.539112903225806,3.53536748821378,0.00041,increase
s__Veillonella_dispar,gut_s__Romboutsia_timonensis,0.322142857142857,-0.0161745549283543,0.0204013056835637,-0.486540600667408,3.52176675163627,0.000437,decrease
s__Streptococcus_sp._263_SSPC,gut_s__sp._7,0.328688099559243,0.0212311797217458,0.170469416785206,-0.435828877005348,3.50745299664953,0.00046,decrease
s__Porphyromonas_pasteri,gut_s__Bifidobacterium_adolescentis,0.16798418972332,-0.0915750915750916,0.0672002416188463,-0.78328173374613,3.5031170968879,0.000465,decrease
s__Parvimonas_micra,gut_s__Collinsella_tanakaei,-0.14954193093728,-0.0621564482029598,0.104584606835232,0.658461538461538,3.50121826526499,0.000469,increase
s__Streptococcus_sp._Marseille_Q4154,gut_s__Phocaeicola_vulgatus,0.293096377306904,-0.266122448979592,0.143485987696514,-0.466577540106952,3.49131730179458,0.000492,decrease
s__Porphyromonas_somerae,gut_s__Bifidobacterium_catenulatum,0.331451157538114,-0.134646962233169,-0.2082995951417,-0.785714285714286,3.49123684299496,0.000494,decrease
s__Alloprevotella_tannerae,gut_s__Mediterraneibacter_sp._NSJ_151,-0.133641689793401,0.198367346938776,0.204897105416961,0.658461538461538,3.4690708210497,0.00053,increase
s__Prevotella_pallens,gut_s__Eubacterium_coprostanoligenes,0.50958988590811,0.01699604743083,-0.153115541175243,-0.329230769230769,3.45254627454534,0.000577,decrease
s__Prevotella_histicola,gut_s__Clostridium_sp._AM49_4BH,-0.0016289592760181,0.0250329380764163,-0.175301424917793,0.671794871794872,3.42589478934901,0.00064,increase
s__Prevotella_vespertina,gut_s__Bacteroides_stercoris,-0.0283302063789869,0.058321479374111,-0.00226860254083485,-0.748164878599661,3.41538842235597,0.000664,decrease
s__Prevotella_pallens,gut_s__Senegalimassilia_faecalis,0.0546947271045328,-0.208036890645586,0.174059139784946,-0.684102564102564,3.40941778079197,0.000692,decrease
s__Megasphaera_micronuciformis,gut_s__Blautia_sp._OF03_15BH,-0.338095238095238,-0.161430481283422,-0.0802289953233349,0.571993224167137,3.39693064135356,0.000719,increase
s__Porphyromonas_pasteri,gut_s__Simiaoa_sunii,-0.320647773279352,-0.258704453441296,-0.0483792936623125,0.557312252964427,3.38635658419641,0.000757,increase
s__Streptococcus_infantis,gut_s__Coprococcus_comes,0.302437127301011,0.0021726700971984,0.0344497607655502,-0.428877005347594,3.37948303827579,0.000773,decrease
s__Actinomyces_naeslundii,gut_s__Jingyaoa_shaoxingensis,-0.551788715486194,-0.0371188475390156,0.0521657447030581,0.220032840722496,3.37291404167867,0.000791,increase
s__Porphyromonas_pasteri,gut_s__Eggerthella_lenta,0.623279352226721,0.29251012145749,-0.174386724386724,-0.219367588932806,3.37109985886287,0.000796,decrease
s__Prevotella_nanceiensis,gut_s__Ruminococcus_sp._AF37_3AC,0.190725806451613,-0.373399715504979,-0.090668488004781,-0.677018633540373,3.35558338498441,0.000852,decrease
s__Corynebacterium_durum,gut_s__Ruminococcus_sp._BSD2780120874_150323_B10,-0.26017094017094,-0.431308155446086,0.143371943371943,0.633333333333333,3.35034282590079,0.000871,increase
s__Actinomyces_sp._ph3,gut_s__Blautia_sp._BIOML_A1,-0.577822580645161,-0.061624649859944,0.104591836734694,0.385964912280702,3.33731352860109,0.000919,increase
s__Streptococcus_sanguinis,gut_s__Ruminococcus_bromii,-0.247212859735546,0.0918238993710692,-0.08946001367054,0.467990832696715,3.33118835244691,0.000934,increase
s__Rothia_aeria,gut_s__Methanobrevibacter_smithii,-0.442002442002442,0.257842046718576,0.0714587737843552,0.50197628458498,3.3251950156318,0.000957,increase
s__Gemella_haemolysans,gut_s__Clostridium_saudiense,-0.458858011289622,0.194503171247357,-0.111616161616162,0.340659340659341,3.32038710177329,0.00098,increase
s__Veillonella_atypica,gut_s__Methanobrevibacter_smithii,0.361247947454844,0.067853170189099,-0.165710761640456,-0.543076923076923,3.31419558363147,0.001003,decrease
s__Actinomyces_graevenitzii,gut_s__Methanobrevibacter_smithii,0.253333333333333,0.207119021134594,-0.008738548273432,-0.657820440429136,3.31339227444183,0.001004,decrease
s__Gemella_haemolysans,gut_s__Simiaoa_sunii,0.31285030758715,0.0852677720602249,0.104128607964925,-0.423020527859238,3.31374031767722,0.001004,decrease
s__Corynebacterium_durum,gut_s__Butyrivibrio_crossotus,-0.243349753694581,-0.292741935483871,-0.0842105263157895,0.64025974025974,3.30673531572877,0.001031,increase
s__Aggregatibacter_sp._oral_taxon_458,gut_s__Bilophila_wadsworthia,-0.23448275862069,-0.292307692307692,0.0082995951417004,0.691176470588235,3.29102493177151,0.001096,increase
s__Veillonella_parvula,gut_s__Turicibacter_sanguinis,0.342401500938086,-0.396969451422089,-0.0158185629883743,-0.538961038961039,3.27671891230999,0.001154,decrease
s__Fusobacterium_periodonticum,gut_s__Blautia_hansenii,-0.267371388301621,0.02184637068358,-0.225004764627406,0.549565217391304,3.26717950648869,0.001194,increase
s__Veillonella_sp._CLA_AA_H247,gut_s__Romboutsia_timonensis,0.368851303735025,-0.0300339192106075,-0.0558963511369646,-0.443418803418803,3.2643460086394,0.001213,decrease
s__Alloprevotella_tannerae,gut_s__Methanobrevibacter_smithii,0.33,-0.183908045977011,-0.145658263305322,-0.636842105263158,3.25995907173455,0.001238,decrease
s__Streptococcus_sp._A12,gut_s__Faecalibacillus_faecis,0.291945701357466,-0.205214940098661,0.0133846557606509,-0.462068965517241,3.24206372993388,0.001322,decrease
s__Aggregatibacter_sp._2125159857,gut_s__Clostridium_sp._OM08_29,0.125806451612903,0.121739130434783,0.212473572938689,-0.681818181818182,3.23945008401445,0.001336,decrease
s__Streptococcus_sp._HMSC067H01,gut_s__Clostridium_sp._D43t1_170807_H7,-0.392479613409846,0.00218782918726197,-0.104874254602022,0.390147783251232,3.23545820555311,0.001359,increase
s__Prevotella_intermedia,gut_s__Ruminococcus_sp._NSJ_71,0.452581032412965,0.0561763817577771,-0.0181818181818182,-0.284274193548387,3.22925029523134,0.001397,decrease
s__Actinomyces_sp._oral_taxon_181,gut_s__Blautia_sp._BIOML_A1,-0.387624466571835,-0.13024453024453,0.0917593936461861,0.529824561403509,3.22856196511475,0.001401,increase
