t1,t2,r1,r2,r3,r4,E,pvals,trend
s__Streptococcus_sp._HMSC034E03,HMDB0012204,-0.0211941308560706,-0.062049062049062,0.280377517219623,0.739304812834225,4.30942199990171,2.3e-05,increase
s__Rothia_sp._HMSC062F03,HMDB0004610,-0.357200451540074,0.129343464526594,-0.137404334683903,0.559384164222874,4.25487189106672,3e-05,increase
s__Lancefieldella_parvula,HMDB0000594,0.361632653061224,0.0122356373065392,0.130337616729188,-0.605470085470086,4.16883720878508,3.8e-05,decrease
s__Prevotella_pallens,HMDB0245980,0.182828282828283,-0.0433626271970398,-0.18407838334354,-0.691623931623932,4.07496734898464,4.8e-05,decrease
s__Actinomyces_naeslundii,HMDB0010382,0.239276018099548,0.172398190045249,0.0212619765622018,-0.631089217296114,3.94556564984504,8.4e-05,decrease
s__Prevotella_histicola,HMDB0256432,0.336291486291486,-0.298151260504202,0.276963148755547,-0.54679802955665,3.90538350737447,9.3e-05,decrease
s__Streptococcus_timonensis,HMDB0302405,-0.47313051770279,-0.183457213645893,0.0165098059834902,0.355233002291826,3.90039694429514,9.4e-05,increase
s__Fusobacterium_periodonticum,HMDB0001934,-0.583135704874835,-0.290777338603426,0.0522214627477785,0.372173913043478,3.90414980117343,9.4e-05,increase
s__Actinomyces_sp._oral_taxon_172,HMDB0029051,-0.286530612244898,0.0554621848739496,0.0261569416498994,0.597153804050356,3.9016263726982,9.4e-05,increase
s__Leptotrichia_sp._oral_taxon_221,HMDB0240712,-0.356236786469345,0.24267592872244,0.039185520361991,0.651127819548872,3.89760942474551,9.6e-05,increase
s__Porphyromonas_somerae,HMDB0001934,-0.599667774086379,0.00775193798449612,-0.153163080114078,0.356719367588933,3.83589810612018,0.000118,increase
s__Actinomyces_graevenitzii,HMDB0001713,-0.152878567972908,0.0280160091480846,0.0826545723805998,0.65615763546798,3.8336674538886,0.000121,increase
s__Streptococcus_sp._A12,HMDB0004610,0.427711072994092,-0.134722103645522,-0.02,-0.425583982202447,3.78236851054494,0.000149,decrease
s__Actinomyces_sp._ph3,HMDB0244166,-0.319174942704354,-0.0846846846846847,-0.0852488687782805,0.694736842105263,3.78018996126665,0.000152,increase
s__Actinomyces_oris,HMDB0247230,-0.165999618829808,-0.223241296518607,-0.130668563300142,0.587901069518717,3.73529390717242,0.000184,increase
s__Actinomyces_oris,HMDB0034244,-0.131465599390128,-0.0995438175270108,-0.0930583214793741,0.627339572192513,3.72987733130115,0.000187,increase
s__Oribacterium_sinus,HMDB0240712,-0.141275797373358,0.143151969981238,-0.0106566820276498,0.730095990965556,3.72722119148989,0.000189,increase
s__Lancefieldella_parvula,HMDB0253018,0.42,0.0989384976906248,0.269534679543459,-0.473504273504273,3.71382244025013,0.000202,decrease
s__Haemophilus_influenzae,HMDB0256432,-0.193164730006835,0.0907918077729399,0.175831173639393,0.576871657754011,3.68797751820548,0.000231,increase
s__Rothia_sp._HMSC062F03,HMDB0072839,-0.35042735042735,0.0980961325023478,-0.157180526078848,0.461876832844575,3.66216672689872,0.000258,increase
s__Porphyromonas_sp._KLE_1280,HMDB0001934,-0.627582853901629,-0.0380566801619433,-0.114143116411719,0.289666854884246,3.64964727622518,0.000268,increase
s__Streptococcus_oralis,HMDB0000239,0.0198714202220923,-0.141991341991342,-0.0607873139518709,0.644919786096257,3.64408683345563,0.000275,increase
s__Abiotrophia_sp._HMSC24B09,HMDB0000201,0.117366946778711,0.0364145658263305,0.367330316742081,-0.685770750988142,3.6182569796635,0.000304,decrease
s__Streptococcus_sp._1001283B150225_161107_H12,HMDB0059871,0.391125541125541,-0.171860326133356,0.00278805120910384,-0.424249165739711,3.60465594759414,0.000319,decrease
s__Prevotella_jejuni,HMDB0253018,0.460361990950226,0.156426400347373,-0.0658871418309522,-0.381499726327313,3.59998719618189,0.000324,decrease
s__Porphyromonas_bobii,HMDB0001934,-0.608704453441296,0.0517421602787456,-0.148846960167715,0.301383399209486,3.59659447198972,0.000327,increase
s__Gemella_morbillorum,HMDB0256432,-0.200868550687062,0.150687270554085,-0.200986481549141,0.597680097680098,3.58656582574328,0.000338,increase
s__Fusobacterium_periodonticum,HMDB0254033,-0.376679841897233,0.149802371541502,0.300888585099111,0.52,3.58054085675963,0.000349,increase
s__Rothia_sp._HMSC062F03,HMDB0059871,-0.305595871633607,0.0922906172628703,-0.174737925268506,0.482771260997067,3.56251844047866,0.000366,increase
s__Neisseria_sp._HMSC071A01,HMDB0244166,0.0446640316205534,0.0886886669561442,0.037386494102912,-0.670564516129032,3.55540359383443,0.000375,decrease
s__Rothia_aeria,HMDB0252828,-0.510111485610578,0.0518759018759019,-0.156472166331321,0.265322580645161,3.54573808142873,0.000389,increase
s__Actinomyces_naeslundii,HMDB0033910,0.320180995475113,-0.0907692307692308,-0.209260602359049,-0.499178981937603,3.51767912011925,0.000448,decrease
s__Veillonella_tobetsuensis,HMDB0010382,-0.188778492109877,0.00987230798551553,0.0663065148884173,0.561693548387097,3.51211644742747,0.000452,increase
s__Actinomyces_graevenitzii,HMDB0245878,-0.259474278342203,-0.0646845816657137,-0.0357275083302481,0.532019704433498,3.50102830117256,0.00047,increase
s__Rothia_sp._HMSC062F03,HMDB0031008,-0.295516852120626,0.143601126952958,-0.223326258923403,0.476173020527859,3.47921302583609,0.000503,increase
s__Haemophilus_influenzae,HMDB0002825,0.185509227614491,-0.25020158039026,-0.0116549426138467,-0.545454545454545,3.45489689541422,0.000563,decrease
s__Alloprevotella_sp._oral_taxon_473,HMDB0011477,-0.0876306620209059,-0.0894996476391825,-0.0591630591630592,0.7,3.45647874867617,0.000563,increase
s__Fusobacterium_periodonticum,HMDB0001046,-0.394598155467721,-0.147694334650856,-0.2053998632946,0.473913043478261,3.43316831614024,0.000621,increase
s__Veillonella_parvula,HMDB0256432,0.329573348918761,-0.362265512265512,0.302362088115513,-0.41677807486631,3.43324607259775,0.000621,decrease
s__Prevotella_sp._oral_taxon_306,HMDB0253018,0.311990335246149,0.0464305971963374,-0.0865679534637758,-0.551383399209486,3.38445106817156,0.000757,decrease
s__Rothia_sp._HMSC065C12,HMDB0029134,-0.368605616906088,-0.0910615589860873,-0.0957211209842789,0.370989304812834,3.38084301190971,0.000767,increase
s__Leptotrichia_wadei,HMDB0000239,0.171369102682701,0.269195189639223,-0.0314900153609831,-0.542157953281424,3.35423592267177,0.000857,decrease
s__Streptococcus_sp._1001283B150225_161107_H12,HMDB0004610,0.326767676767677,-0.11576880389311,0.0191180654338549,-0.434927697441602,3.34996151944483,0.000869,decrease
s__Streptococcus_sp._HMSC034E03,HMDB0000239,-0.0176874096404073,-0.0121933621933622,0.217624480782376,0.636697860962567,3.34928833068855,0.000873,increase
s__Streptococcus_sp._HSISS2,HMDB0004610,-0.435201640464798,-0.0115837104072398,-0.134381408065619,0.305718475073314,3.34761453837015,0.000877,increase
s__Prevotella_histicola,HMDB0253018,0.322655122655123,0.0854261704681873,0.233230432825262,-0.44991789819376,3.31952811973421,0.000976,decrease
s__Prevotella_salivae,HMDB0245980,0.200723981900452,-0.00336734693877551,-0.255023748629887,-0.572649572649573,3.31818570942378,0.000982,decrease
s__Veillonella_atypica,HMDB0253018,0.294533821403304,0.00411255411255411,-0.0334928229665072,-0.429144385026738,3.31798767317883,0.000982,decrease
s__Abiotrophia_defectiva,HMDB0028991,-0.523470522803115,-0.199193548387097,0.147199305254017,0.405985319028797,3.31681683352653,0.000987,increase
s__Oribacterium_sinus,HMDB0013622,0.311069418386492,-0.00131332082551595,0.230702764976959,-0.556182947487295,3.30141938031388,0.001047,decrease
s__Prevotella_vespertina,HMDB0253018,0.306402899426155,0.149954696466324,-0.08783712321523,-0.527826086956522,3.29738049181344,0.001069,decrease
s__Leptotrichia_sp._oral_taxon_417,HMDB0000239,0.252944729688916,0.385463090511304,0.0107871164474938,-0.516521739130435,3.29555047300137,0.001076,decrease
s__Veillonella_sp._CLA_AA_H247,HMDB0059871,-0.330430575713595,0.0846922223170836,-0.15598667160311,0.432512315270936,3.28963051958782,0.001094,increase
s__Leptotrichia_sp._oral_taxon_218,HMDB0000177,-0.463063063063063,-0.0173979647663858,-0.0579324699352451,0.445454545454545,3.28468708461735,0.001114,increase
s__Streptococcus_sp._HPH0090,HMDB0000273,-0.173890307299517,-0.370562770562771,0.0793154214206846,0.446847507331378,3.27023874402553,0.001183,increase
s__Prevotella_jejuni,HMDB0302856,0.366515837104072,-0.0757707338254451,0.00794157554473621,-0.402846195949644,3.2447918058271,0.001304,decrease
s__Candidatus_Nanosynbacter_sp._TM7_057,HMDB0040582,0.214157014157014,0.103238866396761,-0.127272727272727,-0.657894736842105,3.23429575024261,0.001368,decrease
s__Lachnoanaerobaculum_saburreum,HMDB0000201,-0.0943334780720799,-0.0153148043108338,-0.172818614489688,0.642608695652174,3.22834589201059,0.001396,increase
s__Actinomyces_sp._ICM47,HMDB0253033,0.308622227690793,0.238026124818578,0.0751351351351351,-0.413709677419355,3.22843399135456,0.001396,decrease
s__Granulicatella_sp._HMSC30F09,HMDB0302856,-0.253588516746411,-0.0112695295825152,0.0457075788061704,0.463306451612903,3.21335312524302,0.001477,increase
s__Megasphaera_micronuciformis,HMDB0011507,-0.235521235521236,0.0609625668449198,0.230874785591767,0.603613777526821,3.19845745689641,0.001558,increase
s__Streptococcus_sp._HMSC056C01,HMDB0245878,0.103694361561414,-0.215368488953395,-0.11265050738735,-0.557820855614973,3.1903271983682,0.001597,decrease
