t1,t2,r1,r2,r3,r4,E,pvals,trend
s__Prevotella_melaninogenica,HMDB0062652,-0.330567798807363,-0.043138203515562,-0.0257238059977786,0.62807881773399,4.4721961210651,1.4e-05,increase
s__Actinomyces_sp._ph3,HMDB0245009,-0.302368220015279,0.0398970398970399,0.230636254501801,0.799793601651187,4.39414139028927,1.6e-05,increase
s__Fusobacterium_periodonticum,HMDB0001390,-0.464163372859025,-0.214492753623188,-0.104040404040404,0.612648221343874,4.40430089050189,1.6e-05,increase
s__Streptococcus_sp._SK140,HMDB0256646,0.366206281337476,0.343464526594382,0.0500068352699932,-0.584872080088988,4.42822315831638,1.6e-05,decrease
s__Streptococcus_sp._HMSC061D10,HMDB0256646,0.353642727508426,0.21984126984127,0.0863157894736842,-0.596885428253615,4.43121425020322,1.6e-05,decrease
s__Streptococcus_sanguinis,HMDB0000054,-0.23687901811806,0.104473304473304,-0.16798990483201,0.662903225806452,4.43433734656068,1.6e-05,increase
s__Streptococcus_gordonii,HMDB0303178,-0.331385154880187,-0.0262626262626263,0.0299437404700563,0.582661290322581,4.31314100203932,2.2e-05,increase
s__Streptococcus_gordonii,HMDB0249030,-0.298071303331385,-0.0588744588744589,0.0484252589515747,0.591129032258065,4.20980067995305,3.4e-05,increase
s__Streptococcus_gordonii,HMDB0035639,-0.300993571011105,-0.0532467532467532,0.0175613859824386,0.589112903225806,4.21034216188229,3.4e-05,increase
s__Neisseria_sp._oral_taxon_014,HMDB0006753,-0.286887141535615,-0.188469387755102,-0.221561544873576,0.641488779419814,4.1559410811986,4e-05,increase
s__Prevotella_sp._oral_taxon_306,HMDB0033872,0.000906070673512534,0.0324933149663723,-0.0860238955265352,-0.820440429136081,4.14512596529913,4.2e-05,decrease
s__Actinomyces_sp._ph3,HMDB0001470,0.0423223834988541,0.193050193050193,0.246578631452581,0.874097007223942,4.07846167582531,4.8e-05,increase
s__Neisseria_meningitidis,HMDB0036046,0.0797979797979798,0.110859728506787,-0.00424464595793942,-0.709454949944383,4.08060209808503,4.8e-05,decrease
s__Actinomyces_oris,HMDB0034731,-0.0918238993710692,0.173493397358944,0.0394372454646427,0.707675194660734,4.03999826432512,5.7e-05,increase
s__Streptococcus_sp._XMC,HMDB0000795,-0.0669172932330827,-0.0819909502262443,-0.0226110731373889,0.723590585659551,4.01955633514813,6.6e-05,increase
s__Lachnoanaerobaculum_orale,HMDB0244885,-0.178247072983915,-0.331885026737968,-0.094027149321267,0.750877192982456,3.99839027723812,7e-05,increase
s__Neisseria_flavescens,HMDB0036046,0.231654363873209,0.295701259227095,-0.0242673431895722,-0.609788654060067,3.96675385418073,7.6e-05,decrease
s__Actinomyces_sp._ph3,HMDB0028876,-0.189304812834225,-0.0792792792792793,0.166194477791116,0.787409700722394,3.91121334932808,9.3e-05,increase
s__Streptococcus_sp._XMC,HMDB0013286,-0.330006835269993,-0.0351131221719457,0.027177033492823,0.548987411056377,3.9014604721952,9.5e-05,increase
s__Actinomyces_sp._ph3,HMDB0000448,0.0539343009931245,0.197683397683398,0.256278511404562,0.86171310629515,3.88348979305569,0.000102,increase
s__Neisseria_subflava,HMDB0036046,0.215022624434389,0.259639855942377,-0.0435546054891782,-0.602224694104561,3.84797180106204,0.000117,decrease
s__Porphyromonas_somerae,HMDB0002302,0.0466626396858955,0.230866807610994,0.366643882433356,-0.698701298701299,3.81559538560419,0.000131,decrease
s__Oribacterium_sinus,HMDB0001390,0.0215759849906191,-0.503939962476548,-0.116063559215331,0.690909090909091,3.81326578477158,0.000131,increase
s__Neisseria_sp._HMSC071A01,HMDB0014680,-0.0429512516469038,-0.0453755970473296,-0.14222027972028,0.704926108374384,3.80338327439565,0.000138,increase
s__Porphyromonas_somerae,HMDB0002012,0.395801872546059,0.0668076109936575,0.374436090225564,-0.590909090909091,3.79897955375868,0.000141,decrease
s__Streptococcus_gordonii,HMDB0014493,-0.19520748100526,0.14949494949495,-0.0366738524633261,0.599193548387097,3.79323781823056,0.000142,increase
s__Streptococcus_sp._M334,HMDB0002802,-0.398042520093337,-0.132251082251082,-0.028298017771702,0.448720800889878,3.7892197875671,0.000146,increase
s__Leptotrichia_sp._oral_taxon_215,HMDB0001390,-0.409805735430157,-0.2917004048583,-0.217792196704516,0.647058823529412,3.73668905098116,0.000183,increase
s__Haemophilus_parahaemolyticus,HMDB0253025,0.251007901951298,-0.0046578631452581,0.170364753771251,-0.572906403940887,3.70441054984962,0.00021,decrease
s__Prevotella_melaninogenica,HMDB0029087,-0.0398625875032409,-0.202386711820674,-0.0755423917067753,0.651231527093596,3.70355504975083,0.00021,increase
s__Prevotella_sp._oral_taxon_306,HMDB0015447,0.304741769858049,-0.153391135240256,-0.392164490136149,-0.625070581592321,3.69498239753354,0.000222,decrease
s__Fusobacterium_periodonticum,HMDB0001442,-0.42463768115942,-0.249538866930171,-0.197546897546898,0.511857707509881,3.68862262634958,0.000234,increase
s__Haemophilus_influenzae,HMDB0256638,0.534244702665755,-0.0358813094662151,-0.0564914229297791,-0.277864293659622,3.68709489662468,0.000235,decrease
s__Streptococcus_gordonii,HMDB0013970,-0.289304500292227,-0.00685425685425685,0.0587044534412955,0.509677419354839,3.66858454863608,0.000256,increase
s__Streptococcus_sanguinis,HMDB0003323,-0.22104032729398,0.106782106782107,-0.0650402229349598,0.561290322580645,3.66466126410907,0.000259,increase
s__Streptococcus_gordonii,HMDB0000500,-0.350321449444769,0.00685425685425685,0.0927230664072769,0.456048387096774,3.66161801503904,0.00026,increase
s__Streptococcus_cristatus,HMDB0029668,0.382078808945215,-0.0141414141414141,0.124585940375414,-0.427822580645161,3.65805920055401,0.000263,decrease
s__Streptococcus_gordonii,HMDB0039082,-0.277732320280538,0.107792207792208,0.0137231189862769,0.516532258064516,3.65435383585879,0.000264,increase
s__Streptococcus_sp._oral_taxon_061,HMDB0013130,-0.191250854408749,-0.149502262443439,0.171891891891892,0.608100711548987,3.65390925371604,0.000265,increase
s__Streptococcus_gordonii,HMDB0112073,-0.363822326125073,-0.0357142857142857,-0.132131026867869,0.441129032258064,3.64834399533589,0.000271,increase
s__Alloprevotella_rava,HMDB0031101,0.341275659824047,0.0764705882352941,-0.13159167876149,-0.64025974025974,3.64135335517241,0.000281,decrease
s__Corynebacterium_durum,HMDB0003040,-0.192436040044494,-0.515725806451613,0.283797909407666,0.642105263157895,3.63337716671981,0.000289,increase
s__Streptococcus_gordonii,HMDB0013250,-0.19947399181765,0.10974025974026,0.0283663704716336,0.568951612903226,3.61605387384895,0.000309,increase
s__Streptococcus_sp._SK140,HMDB0015240,0.169583807560983,0.37121147443012,0.146001367053999,-0.527030033370412,3.61153395334776,0.000316,decrease
s__Streptococcus_intermedius,HMDB0000323,0.0393440497796215,0.184002580228995,-0.154233000123411,-0.630241935483871,3.60788271777528,0.000319,decrease
s__Veillonella_atypica,HMDB0341367,0.0414346796271802,0.182106782106782,-0.0539402560455192,-0.627822580645161,3.60600400403751,0.00032,decrease
s__Lachnoanaerobaculum_orale,HMDB0241105,-0.457927563190721,0.142379679144385,0.109049773755656,0.545614035087719,3.59684164145873,0.000326,increase
s__Streptococcus_gordonii,HMDB0037713,-0.361016949152542,-0.0901875901875902,0.153714706346285,0.433064516129032,3.59200356359182,0.000331,increase
s__Streptococcus_parasanguinis,HMDB0000562,0.0360607831677382,0.0132034632034632,0.0200588884799411,-0.667741935483871,3.59159827507725,0.000333,decrease
s__Streptococcus_sp._HMSC074B11,HMDB0001358,0.405579993232643,0.169887554793215,0.0724538619275461,-0.399332591768632,3.58624829204159,0.000338,decrease
s__Granulicatella_sp._HMSC30F09,HMDB0002823,-0.129391660970608,0.118159310168189,0.132009447992302,-0.675862068965517,3.57213560354165,0.000355,decrease
s__Parvimonas_micra,HMDB0059906,0.0112164662349676,0.30737812911726,0.134615384615385,0.750434782608696,3.56877066099586,0.000358,increase
s__Alloprevotella_sp._oral_taxon_473,HMDB0003040,0.404878048780488,0.054122621564482,-0.0240518391461788,-0.516798418972332,3.5642127348324,0.000365,decrease
s__Candidatus_Nanosynbacter_sp._TM7_053,HMDB0259770,-0.253539253539254,-0.456848030018762,0.061177815894797,0.634674922600619,3.56031662300958,0.00037,increase
s__Actinomyces_graevenitzii,HMDB0010397,0.108127721335269,0.201905850962455,-0.0488134285163033,-0.621237000547345,3.55644494469237,0.000374,decrease
s__Streptococcus_sp._HMSC074B11,HMDB0256646,0.357408717585899,0.350257289879931,0.030704032809296,-0.439377085650723,3.55194202009823,0.000381,decrease
s__Neisseria_sp._oral_taxon_014,HMDB0002697,-0.0711147086031452,-0.364795918367347,0.0205612670186163,0.585112205801861,3.54286058133005,0.000397,increase
s__Streptococcus_anginosus,HMDB0014466,0.287317358270018,-0.0303030303030303,0.0126589200273411,-0.487903225806452,3.53561543073985,0.00041,decrease
s__Actinomyces_sp._ICM47,HMDB0032611,-0.159863422436864,-0.112780671049262,0.0753054424287301,0.598522167487685,3.52942166044875,0.000424,increase
s__Streptococcus_cristatus,HMDB0031078,0.32793995508936,-0.0937229437229437,-0.144907723855092,-0.453225806451613,3.52712258465805,0.000428,decrease
s__Actinomyces_bouchesdurhonensis,HMDB0260499,0.2,0.0553942912433478,0.0500353720496495,-0.581828133552271,3.52541684370747,0.000431,decrease
s__Streptococcus_gordonii,HMDB0032740,-0.268030391583869,-0.03997113997114,0.0571796624428203,0.5,3.5143015733768,0.000452,increase
s__Veillonella_tobetsuensis,HMDB0011759,-0.291273185886985,0.21852487135506,0.150737759892689,0.490545050055617,3.51390643889108,0.000452,increase
s__Lachnoanaerobaculum_saburreum,HMDB0241105,-0.255102040816327,0.178186532695892,-0.0839121978327313,0.603754940711462,3.51066166069584,0.000458,increase
s__Actinomyces_sp._ph3,HMDB0060038,-0.104354469060351,0.0494208494208494,0.123169267707083,0.770897832817337,3.50695511678904,0.00046,increase
s__Streptococcus_gordonii,HMDB0245009,-0.201052016364699,-0.194588744588745,0.0315473999684526,0.549596774193548,3.50279233633404,0.000465,increase
s__Streptococcus_oralis,HMDB0341367,-0.305260081823495,0.181313131313131,0.137047163362953,0.466129032258065,3.49969938905115,0.000473,increase
s__Veillonella_sp._CLA_AA_H247,HMDB0000562,0.209159812933398,-0.0824724664902245,-0.183450573861533,-0.576354679802956,3.49703453658127,0.000476,decrease
s__Streptococcus_gordonii,HMDB0013654,-0.240444184687317,-0.0466089466089466,-0.0208738629791261,0.518951612903226,3.49712607996409,0.000476,increase
s__Streptococcus_sp._HMSC056C01,HMDB0059611,-0.446245655049371,-0.248105144331559,-0.253014354066986,0.337486095661847,3.49603348560049,0.000481,increase
s__Actinomyces_sp._ph3,HMDB0002088,-0.171886936592819,-0.0167310167310167,0.178775510204082,0.739938080495356,3.49604199807601,0.000481,increase
s__Streptococcus_sp._HMSC074B11,HMDB0028935,0.050047679104248,0.329369163331427,0.328257006151743,-0.52258064516129,3.49314088776822,0.00049,decrease
s__Streptococcus_sp._Marseille_Q6470,HMDB0013130,-0.277853725222146,-0.104343891402715,0.150977443609023,0.50166852057842,3.49223741056336,0.000491,increase
s__Fusobacterium_nucleatum,HMDB0060289,-0.245165945165945,0.003710407239819,-0.00767940979208585,0.544608648056924,3.48678572692554,0.000499,increase
s__Streptococcus_sp._XMC,HMDB0013130,-0.314764183185236,-0.219366515837104,0.0186466165413534,0.486590038314176,3.48491584539964,0.000499,increase
s__Neisseria_sp._oral_taxon_014,HMDB0011108,-0.353029602220166,-0.401428571428571,0.101861628230064,0.451559934318555,3.48181687885886,0.000502,increase
s__Alloprevotella_rava,HMDB0039715,0.155791788856305,0.381792717086835,0.0476536042573778,-0.651948051948052,3.47886343931847,0.000505,decrease
s__Actinomyces_sp._ph3,HMDB0035877,-0.196027501909855,0.0715572715572716,0.152268907563025,0.725490196078431,3.47646925605391,0.000514,increase
s__Streptococcus_gordonii,HMDB0062737,-0.200759789596727,0.0961038961038961,0.0150638834849361,0.545161290322581,3.47444507364173,0.000518,increase
s__Prevotella_sp._oral_taxon_306,HMDB0251447,0.187707641196013,0.222429300704967,-0.0113364823562101,-0.651044607566347,3.47059950367213,0.000527,decrease
s__Candidatus_Nanosynbacter_sp._HMT_352,HMDB0061174,-0.178378378378378,-0.0942508710801394,-0.0661135597614727,0.702255639097744,3.45351790274029,0.000575,increase
s__Veillonella_parvula,HMDB0042008,0.317533606078317,0.0864357864357864,-0.0267493520918178,-0.445967741935484,3.44942689062261,0.000581,decrease
s__Streptococcus_gordonii,HMDB0036827,-0.338632378725891,0.0418470418470418,0.0411167779588832,0.426612903225806,3.44890386309253,0.000582,increase
s__Streptococcus_sp._XMC,HMDB0000848,0.00184552289815448,-0.036289592760181,0.136267942583732,0.681992337164751,3.44694314880649,0.000588,increase
s__Prevotella_pallens,HMDB0011759,-0.195165945165945,0.187557816836263,0.0758129338691999,0.6,3.44643409534509,0.000588,increase
s__Streptococcus_cristatus,HMDB0041920,-0.296502506998062,0.00916305916305916,-0.0978232294021768,0.465725806451613,3.44560641070446,0.000589,increase
s__Neisseria_sp._oral_taxon_014,HMDB0000070,0.266188714153561,-0.0286734693877551,-0.0720200055570992,-0.538587848932677,3.44196549324062,6e-04,decrease
s__Gemella_sanguinis,HMDB0013130,-0.102864920922997,-0.144730322088813,0.151408250355619,0.597177419354839,3.44188681055301,6e-04,increase
s__Actinomyces_sp._ICM47,HMDB0030310,0.147251530345443,0.422265858447878,-0.037571269900037,-0.492118226600985,3.43742899996814,0.000612,decrease
s__Rothia_sp._HMSC072B04,HMDB0062447,0.128872004675628,0.0798701298701299,-0.0538833570412518,-0.595995550611791,3.43634815939116,0.000612,decrease
s__Peptostreptococcus_stomatis,HMDB0015150,0.461740890688259,0.0738592843856002,-0.115608919382504,-0.485714285714286,3.43583226130796,0.000613,decrease
s__Mogibacterium_diversum,HMDB0013132,0.33109243697479,-0.269060351413293,0.0826096396005211,0.832352941176471,3.43404949957904,0.000619,increase
s__Leptotrichia_sp._oral_taxon_221,HMDB0014466,-0.146632437330112,0.0785261250377529,0.0749579831932773,0.723426212590299,3.43325714620313,0.000621,increase
s__Veillonella_dispar,HMDB0241076,-0.0638223261250731,-0.163178959405374,-0.248677098150782,0.562096774193548,3.4318219502275,0.000624,increase
s__Fusobacterium_nucleatum,HMDB0001442,-0.153607503607504,-0.109683257918552,0.00905432595573441,0.599890530925014,3.43207887491572,0.000624,increase
s__Streptococcus_gordonii,HMDB0030524,-0.35698421975453,-0.0366522366522367,0.0663284084336716,0.405645161290323,3.43036301213689,0.000626,increase
s__Streptococcus_sanguinis,HMDB0061677,0.284921098772648,-0.045959595959596,0.258241758241758,-0.469758064516129,3.42400941839657,0.000641,decrease
s__Veillonella_atypica,HMDB0241124,-0.386139222984404,-0.216738816738817,-0.208165007112376,0.377822580645161,3.42480896863081,0.000641,increase
s__Prevotella_histicola,HMDB0004058,-0.0694083694083694,0.0133973589435774,-0.0760228034875922,-0.71001221001221,3.41880414964944,0.000654,decrease
s__Alloprevotella_sp._oral_taxon_473,HMDB0041965,0.469337979094077,-0.0886539816772375,-0.282713931770536,-0.421936758893281,3.41647060549828,0.000661,decrease
s__Veillonella_tobetsuensis,HMDB0032611,-0.183918299547818,-0.0116256908709739,0.149932930918846,0.5559510567297,3.41206309616066,0.000682,increase
s__Candidatus_Nanosynbacter_sp._TM7_008,HMDB0029426,-0.477591036414566,0.15080971659919,0.187550395097565,0.531862745098039,3.39836132123238,0.000717,increase
