lfc_preHIVNonHIV	lfc_group1g4	q_preHIVNonHIV	q_val
dTMP biosynthetic process	0.157426785198392	0.483018428378954	0.999238560901743	0
thymidylate synthase activity	0.07104290346844	0.289500974141296	0.999238560901743	0.228162162162162
DNA ligase (ATP) activity	0.564961622911933	0.877292321693994	0.17212776784231	0.138962962962963
aconitate hydratase activity	-0.0830613170570791	0.742005508905994	0.999238560901743	0.211806451612903
glutamate dehydrogenase (NAD+) activity	-0.635881285187457	-0.684027932719899	0.243919457486769	0.938
glutamate catabolic process to 2-oxoglutarate	-0.635881285187457	-0.684027932719899	0.243919457486769	0.967496855345912
glycopeptide alpha-N-acetylgalactosaminidase activity	-0.29933885288859	-0.81142280955308	0.924684736493068	0.138962962962963
nitrate reductase activity	0.214600762155909	0.658654977952271	0.999238560901743	0.164561403508772
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity	0.305422039072821	0.425793160392533	0.243919457486769	0.558148760330579
molybdopterin synthase complex	0.265549387983683	0.489476688135276	0.542661104879418	0.228162162162162
endopeptidase inhibitor activity	-0.0915518854608884	1.20774654393765	0.999238560901743	0.0521111111111111
thymidylate synthase (FAD) activity	0.396275554094166	1.27913798690881	1	0.0521111111111111
oleate hydratase activity	0.0150386952751561	0.723907090178193	0.999238560901743	0.0815652173913043
protein-DNA covalent cross-linking	-0.177426916119636	1.24875168525489	0.999238560901743	0
intein-mediated protein splicing	0.466612879922278	1.10946805917372	0.243919457486769	0.0815652173913043
hydrogen-translocating pyrophosphatase activity	-0.00743625148965758	0.858575307253734	0.999238560901743	0.138962962962963
NADH oxidation	0.0369298850779789	0.751801724830531	0.999238560901743	0.110352941176471
inorganic cation transmembrane transport	-0.234542732745023	0.92510232433857	0.999238560901743	0.228162162162162
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	-0.731285093580092	-0.992206547223714	1	0.0815652173913043
GDP-mannose 4,6-dehydratase activity	0.262102119930398	0.876821112824131	0.999238560901743	0.228162162162162
trehalose transmembrane transporter activity	-0.400033272486104	-0.779829160225943	0.0769265355244048	0.0815652173913043
trehalose transport	-0.400033272486104	-0.779829160225943	0.0769265355244048	0.0521111111111111
regulation of gene expression	0.0293792444503763	-1.03960130952843	0.999238560901743	0.0815652173913043
polysaccharide catabolic process	-0.46401595963885	-0.383948946195689	0.105442261194055	0.975222222222222
type III protein secretion system complex	0.367198424462756	1.97280759940688	0.17212776784231	1
protein secretion by the type III secretion system	0.342810772110283	1.94011891399316	0.243919457486769	1
formate metabolic process	0.36959707689642	0.2259890756377	0.0769566144529099	0.99941354224958
protein serine/threonine kinase activity	-0.367351995749528	-0.186396295621332	0.243919457486769	0.99941354224958
formate dehydrogenase (cytochrome-c-553) activity	0.271371389772806	-0.346896623737774	0.243919457486769	0.967496855345912
4-aminobutyrate transaminase activity	0.118949400140093	-0.773673379801445	0.999238560901743	0.228162162162162
gamma-aminobutyric acid metabolic process	0.118949400140093	-0.773673379801445	0.999238560901743	0.224
L-arabinose isomerase activity	0.449342755930056	0.816389522949541	0.245715452570253	0.228162162162162
hydroxymethyl-, formyl- and related transferase activity	0.310139677732087	-0.114896177057741	0.1919104851319	1
bacterial-type flagellum filament cap	0.354629281465105	1.5136287073473	0.205879360700364	1
poly-beta-1,6-N-acetyl-D-glucosamine transmembrane transporter activity	-0.386363896754411	-0.719810488224131	1	0.211806451612903
organelle inner membrane	0.351432603519711	0.350115946832749	0.132549012604236	0.967496855345912
N-acetylglucosamine transmembrane transporter activity	0.354279317999149	0.349613500697752	0.125739077237923	0.967496855345912
heme a biosynthetic process	0.24527981416282	1.08369856730266	0.608662135740231	0.0815652173913043
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor	0.24527981416282	1.08369856730266	0.608662135740231	0.0521111111111111
carbon-monoxide dehydrogenase (acceptor) activity	0.162352966610225	0.838344476925684	0.999238560901743	0.211806451612903
2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity	-0.512924970702314	1.07571380834935	0.110925308680763	0.110352941176471
mannitol metabolic process	0.399804524208572	0.130144880498852	0.147950419025286	0.99941354224958
peptidoglycan beta-N-acetylmuramidase activity	-0.125154392410186	-1.14556449573058	0.999238560901743	0.0521111111111111
nickel cation transport	0.179490065016436	-0.663495628966973	0.915305544935961	0.224
creatine kinase activity	0.278679753102344	-0.712753965257517	0.548157623265833	0.228162162162162
cysteine-glucosaminylinositol ligase activity	-0.129455021329195	0.92275084557194	1	0.0521111111111111
phosphotransferase activity, nitrogenous group as acceptor	0.288916541388057	-0.689366499797464	0.432989781850425	0.224
2',3'-cyclic-nucleotide 2'-phosphodiesterase activity	0.306139431516269	0.185842689266132	0.110925308680763	0.99941354224958
rhamnose metabolic process	0.36614222101698	-0.459766371430783	0.287089132293086	0.945160305343511
protein splicing	-0.305544617925824	0.225782784202561	0.245715452570253	0.99941354224958
enterobactin synthetase complex	-0.00230475543619067	-0.931628455165589	0.999238560901743	0.0815652173913043
pectate lyase activity	0.271688183850641	-0.683355897889048	0.245038022417669	0.441411764705882
mRNA processing	-0.331540396828385	-0.684574522427284	0.243919457486769	0.441411764705882
glucose-1-phosphate cytidylyltransferase activity	0.399621889155488	-0.600112847075075	0.243919457486769	0.6968
sulfur compound binding	-0.396394936417168	-1.42912817698127	0.0993862505308748	1
autophagy	-0.255532446434134	0.243959641669944	0.299100127761596	0.99941354224958
L-fuculokinase activity	-0.132500511980998	-1.14773720259396	0.999238560901743	0
nucleoside diphosphate metabolic process	0.30895056594604	1.15624858129028	0.205879360700364	1
virion attachment to host cell	0.282258837957397	0.743066796179232	0.243919457486769	0.268
protein processing	0.335578473210631	0.277447445852701	0.140788393966215	0.975222222222222
protein secretion by the type VI secretion system	-0.140626052438784	0.782910094278351	0.999238560901743	0.164561403508772
tRNA-specific ribonuclease activity	0.104091664685295	-0.868793759177303	0.999238560901743	0.110352941176471
UDP-N-acetylglucosamine metabolic process	-0.243165516612703	-0.315707294287503	0.17212776784231	0.992020942408377
L-ribulose-phosphate 4-epimerase activity	0.0585790287591391	-0.804277226870828	0.999238560901743	0.0815652173913043
L-arabinose catabolic process	0.0585790287591391	-0.804277226870828	0.999238560901743	0.110352941176471
voltage-gated potassium channel activity	0.0208107736923154	-0.975319693193152	0.999238560901743	0.0815652173913043
voltage-gated potassium channel complex	-0.0305412030044506	-0.93333810613126	0.999238560901743	0.0521111111111111
fructose 2,6-bisphosphate metabolic process	0.422661975020934	-0.756571665307426	1	0.194068965517241
histone methyltransferase activity (H3-K79 specific)	0.276753924170535	0.342296539775739	0.205879360700364	0.967496855345912
SNARE complex disassembly	-0.254972918893707	-0.654638865218995	0.105442261194055	0.403440860215054
