Feature	lfc	se	p	q	change	p_sig
Furo[3,2-c]pyran-4-one	-0.779869568783236	0.287531670215514	0.00718473191289981	0.363772850244522	Lower in Pre-HIV	
4,11,13,15-Tetrahydroridentin B	-0.730878481168615	0.216275077718622	0.00085265432264062	0.266880802986514	Lower in Pre-HIV	
3-Aminosalicylic acid	-0.682379487652989	0.229340633229044	0.00323698318215524	0.363772850244522	Lower in Pre-HIV	
Tyrosol glucuronide	-0.399765172683885	0.153857172132846	0.00997154047495153	0.398317543535233	Lower in Pre-HIV	
3-hydroxypristanic acid	0.407165947025988	0.137823101992926	0.00345830116122533	0.881284102354576	Higher in Pre-HIV	
MG(22:4/0:0/0:0)	0.476996156695878	0.176209824554348	0.00729706158025462	0.363772850244522	Higher in Pre-HIV	
Thymine	0.521410916503098	0.184406948121268	0.00510296164831552	0.363772850244522	Higher in Pre-HIV	
1,24,25-trihydroxyvitamin D3	0.525486759486694	0.194979979221285	0.00755438826386387	0.363772850244522	Higher in Pre-HIV	
Dimethyl pimelimidate	0.545621253224659	0.2086149776559	0.00949806469321059	0.398317543535233	Higher in Pre-HIV	
5-Heneicosyl-1,3-benzenediol	0.564389258723748	0.205477640721171	0.00649390943876123	0.363772850244522	Higher in Pre-HIV	
Dibutyl phthalate	0.58116851293788	0.222719969840523	0.00966217823851298	0.881284102354576	Higher in Pre-HIV	
Octadecanamide	0.662154700770172	0.238112897949084	0.00586907122860974	0.363772850244522	Higher in Pre-HIV	
N1,N10-Dicoumaroylspermidine	0.6720779705056	0.247405819446617	0.00709684723514183	0.363772850244522	Higher in Pre-HIV	
Osthenol	0.684078717280121	0.237493118479343	0.0043450118542014	0.363772850244522	Higher in Pre-HIV	
Docosapentaenoic acid (22n-3)	0.690530013035198	0.239712857639225	0.00434182171368796	0.363772850244522	Higher in Pre-HIV	
Flurandrenolide	0.69611928286798	0.248584186458711	0.00553713567233238	0.363772850244522	Higher in Pre-HIV	
Hypoxanthine	0.877470310458581	0.219967182005818	8.90544175586043e-05	0.0557480653916863	Higher in Pre-HIV	+
Frenolicin B	1.0457920691028	0.384792519635271	0.0070697475174528	0.881284102354576	Higher in Pre-HIV	
