accession	Feature	lfc_(Intercept)	lfc_statussc	lfc_age	lfc_loc2	lfc_loc3	lfc_loc4	lfc_abx_useyes	se_(Intercept)	se_statussc	se_age	se_loc2	se_loc3	se_loc4	se_abx_useyes	W_(Intercept)	W_statussc	W_age	W_loc2	W_loc3	W_loc4	W_abx_useyes	p_(Intercept)	p_statussc	p_age	p_loc2	p_loc3	p_loc4	p_abx_useyes	q_(Intercept)	q_statussc	q_age	q_loc2	q_loc3	q_loc4	q_abx_useyes	diff_(Intercept)	diff_statussc	diff_age	diff_loc2	diff_loc3	diff_loc4	diff_abx_useyes	name	smiles	kingdom	super_class	class	sub_class	direct_parent
HMDB0302405	4-Methylpyridine	0.116259439002375	0.0139356773114979	-0.00697500150400989	-0.240413304810889	0.0572169178052884	-0.0254681738773398	0.0404859971562567	0.290768829168067	0.174759594448621	0.00490942663193915	0.248326765497178	0.249566692126608	0.25801408865346	0.167687533909196	0.399834601717834	0.079741987016312	-1.42073647839705	-0.968132872546197	0.229265040609913	-0.0987084620466065	0.241437131386166	0.689649413442626	0.936511803211879	0.156747646967056	0.33399494110186	0.818866663989399	0.921455723110672	0.809431444878215	0.852654359461196	0.980665645886469	0.973198498941423	0.527360433318727	0.885261258366918	0.945398924065628	0.999907921199865	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4-Methylpyridine	CC1=CC=NC=C1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Methylpyridines	Methylpyridines
HMDB0013751	2-Hydroxypyridine	-0.120093094233419	-0.0655732264895169	-0.00198665265144329	-0.163489600692678	0.168510343180002	0.00930268659832716	0.063885524236777	0.238298810624936	0.14505852600042	0.0042077979111656	0.19886731909627	0.220759548664052	0.213241601952671	0.1344071738195	-0.503960107557717	-0.452046689688043	-0.472135946969222	-0.822103910464714	0.763320745126357	0.0436251018241361	0.475313351373426	0.614771794664787	0.65166136967013	0.637277390428042	0.41186918903015	0.446054373634548	0.96524109217115	0.635014720342409	0.819695726219716	0.980665645886469	0.973198498941423	0.588384555757357	0.588203569627976	0.973685204619192	0.999907921199865	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2-Hydroxypyridine	OC1=CC=CC=N1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines	Pyridinones
HMDB0011749	2-Piperidinone	-0.356370902210906	0.123161503168301	-0.00323611115106625	0.0241847633634908	0.513882719126261	0.688529848274	-0.120652792000738	0.219563394460305	0.134284613960293	0.00385002067828594	0.192568299849049	0.187709299877802	0.200316489139856	0.125077496625955	-1.6230888718353	0.917167645168342	-0.84054383637934	0.125590574266112	2.73765188757722	3.43721004311974	-0.964624294980504	0.105940202649757	0.360015511298197	0.401476486348151	0.900165733188892	0.00667188551599172	0.000697434953161436	0.335746152771629	0.249271065058252	0.980665645886469	0.973198498941423	0.915422779514127	0.0129133268051453	0.00181939552998635	0.999907921199865	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	2-Piperidinone	O=C1CCCCN1	Organic compounds	Organoheterocyclic compounds	Piperidines	Piperidinones	Piperidinones
HMDB0031604	2-Penten-1-ol	0.0305184380568411	-0.0162387704071561	-0.00138517260547492	-0.477357658071629	-0.870527960829928	0.426450664694264	-0.0280977452352149	0.210941746121443	0.126972649548319	0.00372949617519285	0.181177445127843	0.20089990151418	0.157844024316768	0.122458262101304	0.144677090324601	-0.127891876438922	-0.371410115577686	-2.63475212234499	-4.33314279533623	2.70172194696737	-0.229447525655484	0.885092523996537	0.898346290401673	0.710673999370942	0.00899205631536472	2.197356278672e-05	0.00741201417082706	0.818725011552258	0.956856782698959	0.980665645886469	0.973198498941423	0.0283959673116781	8.24008604502002e-05	0.0153352017327456	0.999907921199865	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	(E)-2-Penten-1-ol	CC\C=C/CO	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Primary alcohols
HMDB0245980	3-Pyridinemethanol	0.0844363886329926	0.0232445486593642	-0.00548483799281534	-0.138764491472708	0.0273381959057768	-0.0917471636166394	-0.0339830993945144	0.267113050602682	0.158857034359688	0.00467079119313663	0.226268764615332	0.247082568232832	0.226010240763073	0.150977721095347	0.316107312774424	0.146323697613122	-1.17428456251157	-0.61327285588276	0.110643968537737	-0.40594250644075	-0.225086848231422	0.752207734648192	0.883794026466558	0.241495482367802	0.54030192028971	0.911995166195822	0.685162251278086	0.822111568648342	0.86985600156996	0.980665645886469	0.973198498941423	0.712486048733683	0.927452711385581	0.761291390308985	0.999907921199865	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3-Pyridinemethanol	OCC1=CC=CN=C1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	NA	Pyridines and derivatives
HMDB0246022	3,4-Diaminopyridine	-0.417513401978853	0.00455986567543238	0.00213414312872047	0.222163016290364	-0.503647221252701	0.50879704335392	0.0124170656847099	0.200504232024293	0.120168873748461	0.00332293485368182	0.17020925667848	0.167648424080533	0.172238242283244	0.116921251344056	-2.08231715492303	0.0379454806656267	0.642246454623037	1.30523463074645	-3.0041870301791	2.95403062995271	0.106200246250967	0.038419217368491	0.969764065286679	0.52135280618853	0.19311719393986	0.00295765921490426	0.00346227607901954	0.915516043437458	0.12256010529177	0.986200744359334	0.973198498941423	0.362094738637238	0.0069591981527159	0.00783911565061028	0.999907921199865	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	3,4-Diaminopyridine	NC1=CNC=CC1=N	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Aminopyridines and derivatives	Aminopyridines and derivatives
HMDB0253411	Imexon	-0.32664209220183	-0.170730903150134	-0.00505015805664833	0.574692566753453	0.846270503354798	0.274293496954908	0.00987611222198206	0.194891966221057	0.116122705511515	0.00334046025317387	0.171755922153623	0.162163216986712	0.15564834109312	0.113827147024778	-1.67601619777049	-1.47026287751454	-1.51181504160992	3.3459839960536	5.21863415810345	1.76226418494756	0.0867641198090665	0.0950937972101994	0.142857223069138	0.131953667214158	0.000957491146446264	4.0228583107669e-07	0.079352976122803	0.930934495989662	0.237734493025499	0.980665645886469	0.973198498941423	0.00556728012036628	2.09888259692186e-06	0.130443248421046	0.999907921199865	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	Imexon	NC1=NC(=O)N2CC12	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidones
HMDB0000162	Proline	-0.825655745037475	0.18182198739809	0.00234717897298051	0.747918352652177	0.0481828545543246	0.858362308967866	0.00205483009410509	0.250411850783134	0.160686701616616	0.00454742274971038	0.22386558272589	0.208920614472741	0.209490943092088	0.152526461239422	-3.29719117707622	1.13153102010832	0.516155876013506	3.34092603045622	0.23062757438238	4.09737192595742	0.0134719580944031	0.00113125645595402	0.25901005243919	0.606241406647903	0.000974274021064099	0.817809152910587	5.7933667272726e-05	0.989262936215072	0.00754170970636016	0.980665645886469	0.973198498941423	0.00556728012036628	0.885261258366918	0.000217251252272722	0.999907921199865	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	L-Proline	OC(=O)[C@@H]1CCCN1	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Proline and derivatives
HMDB0243969	1-Nitrosopiperazine	-0.0277536709039468	-0.126925971213378	0.00161480302605021	0.0867682781713059	0.679806541761718	-1.25651326371858	0.0386036962568878	0.221899805205927	0.13712169255439	0.00405553454938525	0.1877908559561	0.217312514360483	0.174786815313835	0.132503641474544	-0.125072984530973	-0.925644723667865	0.398172671539682	0.462047407630912	3.12824387386195	-7.18883321640979	0.291340644130933	0.900575020216339	0.35560084712126	0.690872259398244	0.644484073215777	0.00198569603499489	9.0726611162553e-12	0.77105337857535	0.964901807374649	0.980665645886469	0.973198498941423	0.781192816019124	0.00518007661303014	1.55531333421519e-10	0.999907921199865	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1-Nitrosopiperazine	O=NN1CCNCC1	Organic compounds	Organoheterocyclic compounds	Diazinanes	Piperazines	Piperazines
HMDB0000883	Valine	0.128052578852423	-0.00176276770458721	0.0015496371270914	-0.678235980590572	-1.02918412972869	-0.0744224036163994	-0.0207248864234364	0.201662443252992	0.114868293922388	0.00330878404133659	0.165731292842801	0.197784563752898	0.157545528501139	0.112762386199314	0.634984763582268	-0.0153459901282963	0.468340365442957	-4.09238333302504	-5.20356144180445	-0.472386644828587	-0.18379254928859	0.526069522932691	0.987769455323371	0.639984738377339	5.91076226388184e-05	4.32602884643861e-07	0.637098741209242	0.854338132334248	0.742686385316741	0.991381290241531	0.973198498941423	0.000444069981158362	2.16301442321931e-06	0.714503261169244	0.999907921199865	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	L-Valine	CC(C)[C@H](N)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Valine and derivatives
