accession	Feature	lfc_(Intercept)	lfc_statussc	lfc_age	lfc_loc2	lfc_loc3	lfc_loc4	lfc_abx_useyes	se_(Intercept)	se_statussc	se_age	se_loc2	se_loc3	se_loc4	se_abx_useyes	W_(Intercept)	W_statussc	W_age	W_loc2	W_loc3	W_loc4	W_abx_useyes	p_(Intercept)	p_statussc	p_age	p_loc2	p_loc3	p_loc4	p_abx_useyes	q_(Intercept)	q_statussc	q_age	q_loc2	q_loc3	q_loc4	q_abx_useyes	diff_(Intercept)	diff_statussc	diff_age	diff_loc2	diff_loc3	diff_loc4	diff_abx_useyes	name	smiles	kingdom	super_class	class	sub_class	direct_parent	mode
HMDB0031647	Acrylic acid	-0.168205214880523	0.00870696403585482	-0.000443200792106211	0.313027025546214	0.0272772249640724	0.70839561045708	-0.0124882677573097	0.106830767300558	0.0850958081475196	0.00217759161135939	0.108861040839704	0.118908695087205	0.108259436525096	0.0738626799115115	-1.57450160783077	0.102319541060832	-0.203527966306564	2.87547338452458	0.229396386396031	6.54349988504573	-0.169074122036606	0.116758085720775	0.9185929767986	0.838903921928313	0.00441624995979549	0.818766494600016	3.91684031117984e-10	0.865888242839356	0.478263890367513	0.974068707064753	0.983596282919593	0.061779753785014	0.942964584717898	5.69247458558137e-08	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Acrylic acid	OC(=O)C=C	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Acrylic acids and derivatives	Acrylic acids	negative
HMDB0000243	Pyruvic acid	-0.0480819584168336	-0.0303964667023407	-0.000279185872961393	0.0302310476866317	0.0216260295454103	0.488788347296276	0.041103447804999	0.114259303531767	0.0745023161846409	0.00216407805406714	0.0998024042996395	0.110956314374944	0.103427670679319	0.0737057500191887	-0.420814383867355	-0.40799358005204	-0.129009151234954	0.302909012050133	0.1949058029481	4.72589534392377	0.557669487038637	0.674287008771546	0.683661254947882	0.897464138508771	0.76223538891406	0.845640258313528	4.00916698329737e-06	0.577617212842561	0.902103710719422	0.965597677205924	0.983596282919593	0.908018113569754	0.942964584717898	9.71109335954252e-05	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Pyruvic acid	CC(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Alpha-keto acids and derivatives	Alpha-keto acids and derivatives	negative
HMDB0000228	Phenol	-0.206776934201317	-0.143002704591259	0.00472405738714232	0.14183661981783	0.102838950069701	0.311155012094571	0.0465409408702645	0.174281332232718	0.108040949191748	0.00329153765954359	0.145362388487194	0.153984948356738	0.136827551064021	0.101901531874788	-1.18645486325069	-1.32359726252925	1.43521292349344	0.97574497291867	0.667850664413337	2.27406695270738	0.456724644016655	0.236677550957819	0.186962453575176	0.152596794798012	0.330224974455079	0.50490437876595	0.0238924266024058	0.648303785730766	0.600368453673628	0.908676686990114	0.914706534186615	0.612207728377217	0.877045056342448	0.0771636888788808	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Phenol	OC1=CC=CC=C1	Organic compounds	Benzenoids	Phenols	1-hydroxy-4-unsubstituted benzenoids	1-hydroxy-4-unsubstituted benzenoids	negative
HMDB0252816	Glutarimide	-0.00055132221595823	0.0910190951353222	-0.00488019239674382	0.556511124864019	0.277270578390195	0.712715771919523	-0.284729417108544	0.261926376502786	0.175151229816931	0.00529321945907741	0.228417381430028	0.222670052091921	0.227000786391215	0.167090519887171	-0.00210487474884899	0.519660040243256	-0.921970538813521	2.43637818356874	1.24520821630622	3.13970618009765	-1.70404291817878	0.998322394663526	0.603804673566563	0.357518505645552	0.0156020828462495	0.214333464508471	0.00191473043283539	0.0897354479584958	0.998322394663526	0.944451935522495	0.940498902095206	0.107976319380393	0.606814224192813	0.0117580629396652	0.85196743218934	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Glutarimide	O=C1CCCC(=O)N1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines	Tetrahydropyridines	negative
HMDB0013751	2-Hydroxypyridine	-0.128570716042435	0.03162313825288	-0.00288516287365962	0.419235021098299	0.404391289707447	0.763254712810253	-0.143085675326185	0.190146897212758	0.118411860283315	0.00371298550951888	0.163658508006282	0.163624193003478	0.164508001962664	0.115558149087637	-0.676165206622202	0.267060564517928	-0.777046628989798	2.56164513660485	2.47146392159043	4.63962058808225	-1.23821363059105	0.499621066233867	0.789663928833651	0.43793670693577	0.0110626152908451	0.0141882134805907	5.88593375017337e-06	0.216910273421013	0.800863179698405	0.965597677205924	0.965784973948936	0.0889534832739243	0.128876272448699	0.000128313355753779	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2-Hydroxypyridine	OC1=CC=CC=N1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines	Pyridinones	negative
HMDB0000710	4-Hydroxybutyric acid	0.0918115022760537	-0.0141290622541545	-0.000913481339049971	-0.053208646719756	0.0659625630524155	0.324555225881361	-0.0843882274423676	0.126940390373887	0.0820981811884927	0.00242552550631142	0.115213775113439	0.126244065473698	0.111891355020904	0.0799793623111402	0.723264691447963	-0.172099576989592	-0.376611722561983	-0.461825390821253	0.522500307677101	2.90062825515632	-1.0551250348068	0.470258609946645	0.863511905317287	0.706812422548562	0.644646878062453	0.601829347391063	0.00408852004270315	0.292484924051054	0.785566107037307	0.965597677205924	0.981053389715767	0.835587545843032	0.933885205552662	0.0191676853614901	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	4-Hydroxybutyric acid	OCCCC(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Hydroxy fatty acids	negative
HMDB0000011	3-Hydroxybutyric acid	0.244162519478856	0.0583011132316613	-0.00157720771427681	-0.169065414540262	-0.197129831830907	0.126134241402787	-0.117894157395367	0.161159464893222	0.0976945198111822	0.00278238564691679	0.134665275140035	0.157784762911751	0.13724207167647	0.0972424098039788	1.51503679688083	0.596769535735904	-0.566854460317008	-1.25544921929173	-1.24935911550066	0.919063956569614	-1.21237387712849	0.131148173469749	0.551253361300398	0.571370683604758	0.210600867492487	0.212814815724267	0.359033398281653	0.226624069961033	0.480509274225299	0.944451935522495	0.975375242200386	0.493666549606045	0.606452677488761	0.575509417833826	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3-Hydroxybutyric acid	C[C@@H](O)CC(O)=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Beta hydroxy acids and derivatives	negative
HMDB0006372	Glyceric acid	0.0551004436577481	-0.11799107396317	-0.00178327632401415	0.162954817796351	-0.168883251245433	0.438559253103273	0.046853157244719	0.124675191788309	0.0816319453931441	0.00234337131294946	0.108573669932716	0.127594363988919	0.102584757382263	0.0811660003175188	0.441951946232457	-1.44540318615364	-0.760987520057011	1.5008686534897	-1.3235949141147	4.27509178063427	0.577251029512739	0.658942879153204	0.149717724653861	0.447450836554324	0.134773079586802	0.186963232703331	2.80947450159862e-05	0.564339444031255	0.900291164915561	0.906605161178838	0.965784973948936	0.382631796843924	0.562179099714844	0.000382790900842812	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	L-Glyceric acid	OC[C@H](O)C(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Sugar acids and derivatives	negative
HMDB0001858	p-Cresol	0.024649663906291	-0.0151027091190506	0.00165446275985655	0.176229751031738	0.0260063407507408	0.0690084537350189	-0.119653863988754	0.178331257199376	0.126895013359128	0.00363478200461083	0.161414136925244	0.171716074009236	0.170666984822776	0.12749066964151	0.138224023614281	-0.119017357099039	0.455175236852669	1.09178634776801	0.151449658401473	0.404345654824094	-0.938530359321257	0.890185368340468	0.905366400978358	0.64941630934027	0.276079367057447	0.879754937281407	0.686337598633629	0.348965079014092	0.978179825119707	0.974068707064753	0.978110253872377	0.5651202067467	0.958932881636734	0.885334890545154	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	p-Cresol	CC1=CC=C(O)C=C1	Organic compounds	Benzenoids	Phenols	Cresols	Para cresols	negative
HMDB0000617	2-Furoic acid	-0.522841539681806	0.0797656775700428	0.00499850878192339	0.535324551171565	0.40760425494117	0.729737938137563	-0.0648808891187785	0.138938879414731	0.0929364440529837	0.00279826752054759	0.120800001449115	0.133304036502327	0.123954438141488	0.0874386465713641	-3.76310462474029	0.858282005330093	1.78628695977761	4.43149457574354	3.05770376978835	5.88714651188689	-0.742016164051958	0.000213469187244514	0.391638128879516	0.0753815718302379	1.4539166603896e-05	0.00249680342552347	1.39504966975459e-08	0.458841233704195	0.0232681414096521	0.921563437906784	0.914706534186615	0.00126781532785973	0.0403187516121568	8.68916651447143e-07	0.950823718057981	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	2-Furoic acid	OC(=O)C1=CC=CO1	Organic compounds	Organoheterocyclic compounds	Furans	Furoic acid and derivatives	Furoic acids	negative
HMDB0030052	Butyl propionate	-0.0600866171134707	0.120037783345332	0.00321285870438639	-0.0394119139353285	-0.0645151808606518	-0.187981512558412	0.135965041298811	0.166802935379629	0.123139080689051	0.00395223209192809	0.14612206337677	0.169494579826162	0.150017928769378	0.10096885604253	-0.360225178152403	0.974814678440305	0.812922578850627	-0.269719117185654	-0.380632707705582	-1.25306031152713	1.34660376107995	0.719012222493866	0.330685300798454	0.417110487485437	0.787620304342193	0.703830198425174	0.211467304553483	0.179444968631631	0.926311708035422	0.908676686990114	0.947188398664848	0.913304395460628	0.942964584717898	0.380990680931069	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Butyl propionate	CCCCOC(=O)CC	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives	Carboxylic acid esters	negative
HMDB0252815	Glutaric anhydride	-0.0582861698554193	-0.00293082045170779	0.00174876182535512	0.0622570473571323	0.0905638304415912	0.240004651058481	-0.0258025333411036	0.134800518784053	0.086015072823772	0.00258373257846493	0.123540037005676	0.127121057575327	0.114193257103829	0.0820926097369393	-0.432388320024142	-0.0340733357014354	0.676835458874815	0.503942275444451	0.712421939912877	2.10174100595325	-0.314310063034739	0.665867880620007	0.972848481852818	0.499196458116046	0.614788534645953	0.476931940311534	0.0366737079081384	0.753572970090318	0.900291164915561	0.992341776345758	0.975375242200386	0.828771962410435	0.866790329940607	0.104508082666329	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Glutaric anhydride	O=C1CCCC(=O)O1	Organic compounds	Organoheterocyclic compounds	Lactones	Delta valerolactones	Delta valerolactones	negative
HMDB0001863	2-Hydroxyvaleric acid	0.0460088211632491	0.110880372405076	-0.00113825769921756	0.0595755698869194	0.0395795696833674	0.271202822223169	-0.0822309665380494	0.141986620831501	0.0953367487144003	0.00275443238686612	0.125899929001695	0.139833862423265	0.122436294052923	0.0881761911027482	0.324036313378068	1.1630391627602	-0.4132458304822	0.473197803678804	0.283047103165638	2.21505252442501	-0.932575625116637	0.74620759981872	0.246029409859891	0.679814903175003	0.636524782759063	0.777397546122373	0.0277457614910113	0.352025617744284	0.932224967108774	0.908676686990114	0.980183006043059	0.833407823672527	0.942964584717898	0.0864082286434352	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2-Hydroxyvaleric acid	CCCC(O)C(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Hydroxy fatty acids	negative
HMDB0000360	2,4-Dihydroxybutanoic acid	-0.013086897390835	-0.0883394137586136	-0.00169792625108525	0.271757775034886	0.0146154753869783	0.459856521403099	0.0170247918088177	0.135730102847795	0.0837051758604962	0.00257865205127805	0.115349505320187	0.122692860619273	0.113285608230941	0.0815192324175672	-0.0964185329286193	-1.05536381532536	-0.658454966905562	2.35595093607502	0.119122460045426	4.05926691469622	0.208843867930593	0.923272869926955	0.29237598312891	0.510910171515174	0.019323157264625	0.905283227146346	6.76740376037166e-05	0.834756586312794	0.979582466053845	0.908676686990114	0.975375242200386	0.120672829248666	0.967410507440703	0.000886151209822064	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2,4-Dihydroxybutanoic acid	OCCC(O)C(O)=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Short-chain hydroxy acids and derivatives	Short-chain hydroxy acids and derivatives	negative
HMDB0006236	Phenylacetaldehyde	0.403425657643747	-0.233410193932733	-0.0034034977508462	-0.377735120072292	-0.0181004097838614	-0.0213853860903179	0.0555851373818297	0.254750776146561	0.16466935217108	0.00477273464881648	0.213956584701894	0.254340064263437	0.215908744229113	0.151615416825949	1.58360914045518	-1.41744769658312	-0.713112712371341	-1.76547555476543	-0.0711661760261005	-0.0990482630366494	0.366619296015525	0.114668761674655	0.157717179051795	0.476505243505405	0.0788224002978774	0.943327884696874	0.921186978434015	0.714243011577381	0.478263890367513	0.908676686990114	0.975375242200386	0.30395458949191	0.979264185066279	0.986824379845775	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Phenylacetaldehyde	O=CCC1=CC=CC=C1	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenylacetaldehydes	Phenylacetaldehydes	negative
HMDB0001870	Benzoic acid	0.169325137423553	0.0477929142024625	-0.000254877731162174	-0.0884515432746018	0.00670059790974637	-0.154544908015961	-0.0193276050841015	0.122670580438028	0.083855255072217	0.0023004038434971	0.110325178183909	0.130452248795467	0.107733130556045	0.0808898779516767	1.38032392786382	0.569945367899754	-0.110796950667021	-0.801734878027169	0.051364372570166	-1.4345160789286	-0.238937251155797	0.168838743571261	0.569275913602723	0.911874832095787	0.423541121859028	0.959080145489477	0.152795213962736	0.811368871833971	0.529594907892589	0.944451935522495	0.983596282919593	0.696845015586929	0.986223923192009	0.305477955173103	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Benzoic acid	OC(=O)C1=CC=CC=C1	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Benzoic acids	negative
HMDB0000873	4-Methylcatechol	-0.369873844664478	-0.194310423981209	0.00517813572618508	0.5068025306391	0.241267912468523	0.436062567671082	0.0584678458067327	0.195125188253646	0.12911471761569	0.00401514966685805	0.18062729716192	0.177456703764757	0.173708954231337	0.133050969021735	-1.89557200674509	-1.50494403403006	1.28964949150628	2.8057914756084	1.35958747880473	2.51030564083851	0.439439458702336	0.0592814530826368	0.133722500101047	0.198479030022079	0.00545308535813133	0.175303554989404	0.0127567410093811	0.6607593481729	0.417704571774113	0.906605161178838	0.914706534186615	0.0699278004748606	0.538255985742113	0.0492206998238067	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	4-Methylcatechol	CC1=CC=C(O)C(O)=C1	Organic compounds	Benzenoids	Phenols	Benzenediols	Catechols	negative
HMDB0000251	Taurine	0.217210662533452	-0.0427652508999886	0.00079065957194748	-0.196108818681749	-0.42239900697259	-0.0288789448777494	0.00804253018942943	0.121166959243785	0.0841149816173758	0.00245129558049676	0.111662542345062	0.130859200697758	0.105876346130073	0.081383513227126	1.79265588481451	-0.508414197776565	0.322547626748159	-1.75626324247328	-3.22788924829362	-0.272761064518325	0.0988225977291525	0.0743535787667852	0.611654465930064	0.747333440832311	0.0803860508242702	0.00143056267939198	0.78528377017183	0.921365954063649	0.453533016772189	0.944451935522495	0.981053389715767	0.30395458949191	0.0259885553422876	0.951065899430327	0.966092342262769	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Taurine	NCCS(O)(=O)=O	Organic compounds	Organic acids and derivatives	Organic sulfonic acids and derivatives	Organosulfonic acids and derivatives	Organosulfonic acids	negative
HMDB0031233	Ethyl hydrogen sulfate	-0.0276703584295174	0.328906095228437	0.00517786393276369	-0.157154061200253	-0.265686333010886	-0.282510744105717	-0.0562479691050473	0.260067122387008	0.176476597220971	0.00496298671287971	0.256502981243155	0.283045959184346	0.243487537240808	0.161044344230849	-0.106396987729733	1.86373774431181	1.0432959490555	-0.612679277404879	-0.938668524986241	-1.1602677792347	-0.349270068276465	0.915360937267983	0.0636440540371203	0.297916172757871	0.540699028561015	0.348894268908803	0.247153279562969	0.727208927963215	0.978179825119707	0.806258279731935	0.914706534186615	0.788494548443543	0.731336063674222	0.429318047368344	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Ethyl hydrogen sulfate	CCOS(O)(=O)=O	Organic compounds	Organic acids and derivatives	Organic sulfuric acids and derivatives	Sulfuric acid esters	Sulfuric acid monoesters	negative
HMDB0000687	Leucine	-0.068510822980538	-0.00740808920255665	0.00205151433407123	0.0463809617792292	0.157620770966836	0.105208770626994	0.0375375888443173	0.127910450495233	0.084124665895168	0.00245389475969435	0.109963148945026	0.13653388967823	0.101575818573178	0.0838058945326917	-0.53561552410521	-0.0880608454574815	0.836023764249269	0.421786409576324	1.15444430198467	1.03576591461282	0.447911081358057	0.592746376106439	0.929905612459291	0.404016825662974	0.673578336765227	0.249526634389862	0.301408652149058	0.6546426715265	0.868615166496711	0.981692123564772	0.940498902095206	0.856210363934808	0.649949336695858	0.503502576003791	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	L-Leucine	CC(C)C[C@H](N)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Leucine and derivatives	negative
HMDB0003441	Cinnamaldehyde	0.26636022236856	0.0532609641282451	-0.00406356053848251	-0.0433141188126916	-0.0458729574616663	0.0353055034685868	-0.0223568854833137	0.164739346357984	0.11888198880518	0.00268703686370481	0.159290892347016	0.162959396327107	0.167841979022981	0.0952371106569745	1.61685856024796	0.448015419859164	-1.51228313737378	-0.271918363783985	-0.281499309003243	0.21034966147386	-0.234749724441336	0.107291523646684	0.654567481296046	0.131846672395988	0.785930858608368	0.778582775163609	0.8335826382472	0.814613675274626	0.478263890367513	0.965597677205924	0.914706534186615	0.913304395460628	0.942964584717898	0.961977546505983	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Cinnamaldehyde	O=C\C=C\C1=CC=CC=C1	Organic compounds	Phenylpropanoids and polyketides	Cinnamaldehydes	NA	Cinnamaldehydes	negative
HMDB0061652	3-Hydroxyhexanoic acid	0.0959385093330018	-0.0282560022423998	-0.00117772961265131	0.00550441666594557	-0.103570091496812	0.323230682446207	-0.026269107285254	0.118320190882698	0.0793895655540983	0.00221907600706724	0.107079554994147	0.115477148455847	0.109969096660416	0.0783047079610258	0.81083802026752	-0.355915818976807	-0.530729731158606	0.0514049266103732	-0.896888197203903	2.93928651104902	-0.335472897725751	0.418304269556207	0.722232702369072	0.59612264774851	0.959047866336711	0.370724604971091	0.00362797348298271	0.737576860513671	0.753260547044047	0.965597677205924	0.975375242200386	0.983267346424507	0.738063597111397	0.0177729936919153	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3-Hydroxyhexanoic acid	CCC[C@H](O)CC(O)=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Medium-chain hydroxy acids and derivatives	Medium-chain hydroxy acids and derivatives	negative
HMDB0000191	Aspartic acid	0.057927980321958	-0.070285261471193	0.00129589645394801	0.0213153471882061	-0.157906756243439	0.0506799762873859	0.0506770641681086	0.122631293355066	0.0816375171488228	0.00245565227774406	0.104904092064006	0.139211598963235	0.102018577461485	0.0850411525725747	0.472375188560018	-0.860943153661386	0.527719850930408	0.203188901107889	-1.13429310071455	0.496772034549483	0.595912245249269	0.63711083084028	0.390173821290938	0.598206972300935	0.839168606398311	0.257862782368167	0.619828459206919	0.551824959896479	0.888668418506196	0.921563437906784	0.975375242200386	0.933475277092374	0.661342194779535	0.836799220156898	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	L-Aspartic acid	N[C@@H](CC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aspartic acid and derivatives	negative
HMDB0059805	5-Hydroxyindole	-0.155577854188949	-0.012082281081719	0.00462110745615502	0.0709599283008945	0.136542327998719	0.167914359972742	-0.0379457640350056	0.162294542220538	0.107319041605174	0.00325694651335242	0.144710127912781	0.149331789984331	0.132910468024096	0.103424297679767	-0.958614208834811	-0.112582826877729	1.41884659057494	0.490359101497464	0.914355396215672	1.26336444727815	-0.366894094388702	0.338768543733779	0.910460359558968	0.157309289358728	0.624351367450375	0.361496074992845	0.207748558286914	0.714038296427634	0.69979447735425	0.974068707064753	0.914706534186615	0.828771962410435	0.738063597111397	0.379637479116966	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5-Hydroxyindole	OC1=CC=C2NC=CC2=C1	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Hydroxyindoles	Hydroxyindoles	negative
HMDB0000156	Malic acid	-0.324132758406931	0.0681274324882715	0.00480509109546292	0.0671119686076043	0.0127367216480944	0.624170533400212	0.0178955569519302	0.131390648637726	0.0898238599942111	0.0025165808755692	0.125981839533602	0.124287053135761	0.112821632909146	0.0853296189231354	-2.46693932762779	0.758455854520861	1.90937280900067	0.532711451555716	0.102478265649938	5.53236571130688	0.209722686890825	0.0143639127133885	0.448961428288004	0.0574693326570064	0.59475213909903	0.918467136066842	8.63751969297e-08	0.834071395498817	0.277071618057113	0.935348914343755	0.914706534186615	0.823212484594213	0.970759878591431	3.76595858613492e-06	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Malic acid	O[C@@H](CC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Beta hydroxy acids and derivatives	negative
HMDB0000421	2,3-Dihydroxyvaleric acid	0.191169332153518	-0.0605172854928274	0.00057610399891247	-0.140626346231316	-0.253514999351162	0.059375312743476	-0.0548742804548898	0.161658675176521	0.104221135528635	0.00325148546732495	0.144466947995047	0.156233966073518	0.149084776027461	0.101003725977389	1.18254917000138	-0.580662311784157	0.177181784972405	-0.97341536028115	-1.62266250881622	0.398265432095757	-0.54328966504834	0.238219592856738	0.562041549634748	0.859522902106826	0.331378495176659	0.106043438762676	0.690807223589895	0.587461140291606	0.600368453673628	0.944451935522495	0.983596282919593	0.612207728377217	0.382106936367989	0.887151597442681	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2,3-Dihydroxyvaleric acid	CCC(O)C(O)C(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Hydroxy fatty acids	negative
HMDB0029697	Cinnamyl alcohol	0.387422244324221	0.252700504701013	-0.00412892367402585	-0.240142715648124	0.0264613883065474	-0.436960341147189	-0.0552160285245157	0.264694002861865	0.18324620100875	0.00493633533481249	0.249521552505939	0.277666067558338	0.231155307421695	0.164308338236409	1.46366083150892	1.3790217931391	-0.836435005723268	-0.962412718405994	0.0952993231734656	-1.8903322879368	-0.336051286971634	0.144663929459735	0.169239325315751	0.403786001353538	0.336861909540305	0.92416078466439	0.0599818451543409	0.737141245917997	0.511518896902137	0.908676686990114	0.940498902095206	0.612422621377662	0.973270778052353	0.151168118423657	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Cinnamyl alcohol	OCC=CC1=CC=CC=C1	Organic compounds	Phenylpropanoids and polyketides	Cinnamyl alcohols	NA	Cinnamyl alcohols	negative
HMDB0000943	Threonic acid	-0.0969341733775048	-0.0544320396971247	4.01781306557053e-05	0.159005414537814	0.0611290775383768	0.417246277189972	0.0911238198105624	0.132508630743963	0.0826473967290686	0.00239288919840597	0.117221178509044	0.125441248752007	0.111724294728321	0.0823489053868774	-0.731531016759232	-0.658605616769294	0.0167906356393225	1.3564563721354	0.487312412356697	3.73460649901247	1.10655775425867	0.465206052204938	0.510813579576662	0.986618324173528	0.176295654875872	0.626505150700258	0.000237571311765817	0.269651323345208	0.783126790584375	0.944451935522495	0.991769070737541	0.436732417760683	0.942964584717898	0.00215793941520617	0.950823718057981	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Threonic acid	OC[C@H](O)[C@@H](O)C(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Sugar acids and derivatives	negative
