accession	Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	name	smiles	kingdom	super_class	class	sub_class	direct_parent
HMDB0000119	Glyoxylic acid	0.0181195152211159	0.0181195152724483	0.0328065273021152	0.164726452316054	0.145587902660078	0.195718740913946	0.0328065273021152	0.991	0.999415602836879	FALSE	Glyoxylic acid	OC(=O)C=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids	Carboxylic acids
HMDB0000115	Glycolic acid	-1.93656527028786e-10	-0.0155409645091054	-0.0231528826347056	0.175134134878876	0.146446857669762	0.182509108468061	0.0231528826347056	0.991	0.999415602836879	FALSE	Glycolic acid	OCC(O)=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Alpha hydroxy acids and derivatives	Alpha hydroxy acids and derivatives
HMDB0255023	N-(Hydroxymethyl)acrylamide	-3.8326838953089e-12	-0.00923648478144208	-0.207849861665508	0.175903131988488	0.166586533225795	0.20449916627258	0.207849861665508	0.366	0.857953642384106	FALSE	N-(Hydroxymethyl)acrylamide	OCN=C(O)C=C	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Acrylic acids and derivatives	Acrylic acids and derivatives
HMDB0000161	Alanine	0.212038580897424	0.235266077867985	0.250301267509081	0.196825668525891	0.171460490064901	0.218078319428747	0.250301267509081	0.296	0.829813432835821	FALSE	L-Alanine	C[C@H](N)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alanine and derivatives
HMDB0001311	Lactic acid	0.15409751227957	0.19936215193013	0.282056099702771	0.178068889305723	0.156828851126996	0.232180099965476	0.282056099702771	0.258	0.819973094170404	FALSE	D-Lactic acid	C[C@@H](O)C(O)=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Alpha hydroxy acids and derivatives	Alpha hydroxy acids and derivatives
HMDB0033127	2-Acetylfuran	-8.37516956311289e-11	-1.60552458484287e-10	-0.208162945231034	0.239098366529594	0.206738162393848	0.252916255001541	0.208162945231034	0.516	0.899277566539924	FALSE	2-Acetylfuran	CC(=O)C1=CC=CO1	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Aryl alkyl ketones
HMDB0000228	Phenol	9.22477773170402e-11	0.0267971993306261	0.0267971994824914	0.192609755665358	0.181780745267949	0.240844044542807	0.0267971994824914	0.998	0.999415602836879	FALSE	Phenol	OC1=CC=CC=C1	Organic compounds	Benzenoids	Phenols	1-hydroxy-4-unsubstituted benzenoids	1-hydroxy-4-unsubstituted benzenoids
HMDB0245333	2,2-Dimethylbutyric acid	0.0464573698435543	0.0857493831862022	0.0857493832221794	0.19054101736677	0.170059966583108	0.231406374986277	0.0857493832221794	0.881	0.948149390243902	FALSE	2,2-Dimethylbutyric acid	CCC(C)(C)C(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Methyl-branched fatty acids
HMDB0001259	Succinic acid semialdehyde	5.85011830745509e-12	-6.35777431145785e-12	-0.215238017996673	0.23184881764429	0.210279784174565	0.240084523099603	0.215238017996673	0.475	0.894640211640212	FALSE	Succinic acid semialdehyde	OC(=O)CCC=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Straight chain fatty acids
HMDB0002166	beta-Aminoisobutyric acid	-8.33133642775132e-11	-0.0104963698746937	-0.133309900849939	0.173808619711034	0.157962284991365	0.201522191241264	0.133309900849939	0.653	0.899277566539924	FALSE	(S)-beta-Aminoisobutyric acid	C[C@@H](CN)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Beta amino acids and derivatives
