accession	Feature	lfc_(Intercept)	lfc_group1g2	lfc_group1g3	lfc_group1g4	lfc_age	lfc_loc2	lfc_loc3	lfc_loc4	lfc_abx_useyes	se_(Intercept)	se_group1g2	se_group1g3	se_group1g4	se_age	se_loc2	se_loc3	se_loc4	se_abx_useyes	W_(Intercept)	W_group1g2	W_group1g3	W_group1g4	W_age	W_loc2	W_loc3	W_loc4	W_abx_useyes	p_(Intercept)	p_group1g2	p_group1g3	p_group1g4	p_age	p_loc2	p_loc3	p_loc4	p_abx_useyes	q_(Intercept)	q_group1g2	q_group1g3	q_group1g4	q_age	q_loc2	q_loc3	q_loc4	q_abx_useyes	diff_(Intercept)	diff_group1g2	diff_group1g3	diff_group1g4	diff_age	diff_loc2	diff_loc3	diff_loc4	diff_abx_useyes	name	smiles	kingdom	super_class	class	sub_class	direct_parent
HMDB0251502	1,3,5-Hexatriene	-0.680125426036262	-0.204816328437154	-0.0226557856088629	0.0735027862775664	-0.000939061060599364	1.05651768681576	0.710454747899155	1.24421681354736	-0.0653016071779033	0.349667370063217	0.271084817537137	0.230766893244369	0.264127210958546	0.00431603619871147	0.275274001865373	0.277906168579005	0.281048053169312	0.18330917546935	-1.94506403589589	-0.755543339896174	-0.0981760654240456	0.278285550401327	-0.21757488059987	3.83805836968385	2.55645548111388	4.42706078023536	-0.356237526085114	0.0530022111727997	0.450706294762985	0.921879122120618	0.78104648627091	0.827955801758726	0.000160809596803806	0.0112271167236618	1.48440667343637e-05	0.721993561753984	0.463320808499019	0.983317882821811	0.991801174442867	0.962632800550951	0.987988586131967	0.0112540766404657	0.13903776628291	0.00142104964584607	0.992578626296377	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	1,3,5-Hexatriene	C=CC=CC=C	Organic compounds	Hydrocarbons	Unsaturated hydrocarbons	Olefins	Alkatrienes
HMDB0255970	Oxazine	-0.211042350675933	0.0405132322615066	0.0107522413570755	-0.182207904957193	-0.000476082093749811	0.0802529428597922	0.0533833657694247	0.295315005591298	0.213901412264844	0.258257530966854	0.199065972424056	0.192349046430251	0.214724058928941	0.00402757965814521	0.192790814182883	0.194682614705166	0.19628071884098	0.14359796679761	-0.817177914951177	0.203516611946135	0.0558996343190837	-0.848567719267505	-0.118205506571919	0.416269536491835	0.274207154297112	1.50455433083344	1.4895852429883	0.414683587702779	0.838913584385146	0.955470931961598	0.397015803687605	0.906009356995154	0.677606083526231	0.784174795934972	0.133828775412888	0.137721388509568	0.829115893634786	0.983317882821811	0.991801174442867	0.877766085264139	0.995020802594678	0.927553460537202	0.919601512400701	0.420989012102852	0.668322396953407	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Oxazine	N1OC=CC=C1	Organic compounds	Organoheterocyclic compounds	Oxazines	1,2-oxazines	1,2-oxazines
HMDB0245898	3-Hydroxycyclobut-2-en-1-one	0.0183458775940121	-0.0854470561696279	-0.0157842891317608	-0.123813252032629	4.76205499773643e-05	-0.157112169115043	-0.200817099091141	-0.000264214672601936	0.164676722217313	0.219212363053286	0.174633817417519	0.165618189500892	0.2128380977236	0.00392210129816546	0.177466320461578	0.182319976138025	0.173133181785045	0.133854077622487	0.0836899768721191	-0.489292723672981	-0.0953052872956068	-0.581725045266183	0.0121415910393845	-0.885306962506495	-1.10145417603122	-0.00152607761191598	1.23027049412537	0.933376682305488	0.625106922041862	0.924156421388617	0.561329136031631	0.990323314009753	0.376927915149751	0.271865560001503	0.9987837069729	0.219869227282254	0.988119915964955	0.983317882821811	0.991801174442867	0.946192236272554	0.997133125070906	0.772085355948032	0.555957715017074	0.9987837069729	0.741233277229855	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3-Hydroxycyclobut-2-en-1-one	OC1=CC(=O)C1	Organic compounds	Organic acids and derivatives	Vinylogous acids	NA	Vinylogous acids
HMDB0001873	Isobutyric acid	-0.363160864199539	-0.117130503598896	0.0425013675447992	0.0377669747975858	0.00637647367589667	0.22510836872003	0.0503311296498156	0.0303760928062489	0.0331109678800563	0.22794374666463	0.189533167541578	0.167230161654553	0.230189101142164	0.00414078970666345	0.203191612359565	0.199178053998875	0.190199099269946	0.138798773661749	-1.59320389136997	-0.617994755842411	0.254148935361278	0.16406934390113	1.53991729298291	1.10786250527744	0.252694152991875	0.15970681734479	0.238553749478705	0.112505911562653	0.537198315381153	0.79961056253401	0.869822546188969	0.124973304741228	0.269093682899998	0.800733238874541	0.873254044829108	0.811666845764489	0.545931592665928	0.983317882821811	0.991801174442867	0.968449417933538	0.987986881791215	0.707868867372804	0.929979605817185	0.937662147620964	0.995539284817741	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Isobutyric acid	CC(C)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids	Carboxylic acids
HMDB0302405	4-Methylpyridine	-0.593056276969165	-0.165293590801859	-0.37268791995983	-0.0534551085531083	0.00582301330316446	0.737878693942442	1.47447328195669	0.808441916753628	-0.361232828219403	0.565113399160674	0.427360455353553	0.38830164826044	0.498704765551126	0.00859874984252383	0.433113144894278	0.415548197765435	0.428736335994975	0.298219432844304	-1.04944649666773	-0.386777926528351	-0.959789693475272	-0.107187883985898	0.677193011752432	1.70366266330374	3.54826056251839	1.88563890876537	-1.21129875667089	0.295088668745543	0.699282951074147	0.338182248342059	0.914734599745776	0.498973047407058	0.0898126307414009	0.000471138669423213	0.0606206663114939	0.22704041400676	0.759013250925943	0.983317882821811	0.958334457763795	0.983759069919933	0.987986881791215	0.461605580270946	0.0226871390045332	0.287488917507539	0.741233277229855	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	4-Methylpyridine	CC1=CC=NC=C1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Methylpyridines	Methylpyridines
HMDB0244017	1-Vinylimidazole	0.230943902965525	0.118059157173409	0.217635033997006	0.189264211984036	-0.00504215176388605	-0.373203878306856	-0.401287644257288	-0.362292569268225	0.22058313185442	0.27599190401161	0.210436585841606	0.196625377817053	0.248144007741753	0.00463699335786444	0.217195458180948	0.236357221531596	0.207563099962443	0.156476779476512	0.836777817061656	0.561020113024788	1.10685119292944	0.762719252044185	-1.08737523967647	-1.71828583080192	-1.69780149579074	-1.74545749862947	1.40968604154798	0.403597502798499	0.575337192947196	0.269529816336073	0.446422695736778	0.278024226092647	0.0871079984751857	0.0909156153984988	0.0822583246495347	0.160000984921261	0.825660250823074	0.983317882821811	0.958334457763795	0.907339634841633	0.987986881791215	0.461349304805539	0.33676435052935	0.330087892503902	0.709124661922296	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1-Vinylimidazole	C=CN1C=CN=C1	Organic compounds	Organoheterocyclic compounds	Azoles	Imidazoles	N-substituted imidazoles
HMDB0034729	2,4-Hexadienal	-0.114797161728407	0.206510751110431	0.026246415976515	-0.227081962706408	0.000919130228775907	-0.000917697862490911	-0.347281302556652	0.0642346133323211	0.160857882116725	0.210077512884557	0.172675614948251	0.158505761599178	0.201494900229722	0.00390579582185346	0.170700764921224	0.165718170503955	0.164995975566946	0.127351888821207	-0.546451450953205	1.19594623231728	0.165586510620893	-1.1269861542278	0.235324699676631	-0.0053760618056657	-2.09561390582914	0.389310182333861	1.26309773341924	0.585292351515541	0.232965285221239	0.868629739988599	0.260938232571527	0.814168881172433	0.99571526549548	0.0372246851261363	0.697411672482264	0.207849885878093	0.883291294278506	0.983317882821811	0.991801174442867	0.820840872310433	0.987988586131967	0.99898046748539	0.236427270415416	0.878429993911262	0.737566104285092	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	(E,E)-2,4-Hexadienal	C\C=C\C=C/C=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Medium-chain aldehydes
HMDB0031545	2-Methyl-2-cyclopenten-1-one	-0.501355858007833	0.159083365087951	0.0232774562663583	0.178880524958418	0.00295563759892251	0.212004336329965	0.345064987153932	0.361479301230018	0.132066763469812	0.268808262892194	0.220854517406597	0.192675615252484	0.277093473951864	0.00493310966768094	0.219755137109073	0.252934348148635	0.219512911613533	0.160996853970551	-1.86510582901577	0.720308404627629	0.12081163584637	0.645560223441035	0.599142893231474	0.964729831206352	1.36424724312713	1.64673366396974	0.820306485578713	0.063456890591943	0.472076183438745	0.903947100538389	0.519216200033107	0.549675073426778	0.335706767006971	0.173840786386625	0.100996461082162	0.412901948922417	0.467341335418309	0.983317882821811	0.991801174442867	0.944091266647056	0.987986881791215	0.750391594274157	0.463082265012882	0.376054155249519	0.850252039557346	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2-Methyl-2-cyclopenten-1-one	CC1=CCCC1=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Cyclic ketones
HMDB0011749	2-Piperidinone	-1.02885572373426	-0.245360178631302	0.0633844086006752	0.0964926345466364	0.00565179083400668	0.877371227077953	0.788637344500533	1.04481228541042	0.277709047853904	0.504334498256002	0.388742042842198	0.307995482382562	0.341081013657212	0.005329169283309	0.372156946480384	0.384956962018789	0.38298442999353	0.243876255086283	-2.04002646515766	-0.631164503940472	0.205796552957051	0.28290239175732	1.06053880699721	2.35753016402234	2.04863769800335	2.72808031759431	1.13872934351748	0.0425055654342434	0.528567971375981	0.837134276932541	0.777509467429009	0.290026628544184	0.0192469188699325	0.0416479339892455	0.00686883184209085	0.256016368314891	0.435273128990619	0.983317882821811	0.991801174442867	0.962632800550951	0.987986881791215	0.251283012541692	0.247188349779468	0.0750603174594616	0.741233277229855	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2-Piperidinone	O=C1CCCCN1	Organic compounds	Organoheterocyclic compounds	Piperidines	Piperidinones	Piperidinones
HMDB0031404	Cyclohexylamine	0.00631439700046563	-0.0194555502340942	-0.0542773504221179	-0.0618976512300915	0.00179797659554301	-0.169958760228525	-0.195975484455297	-0.180327218483648	0.141580911944686	0.230614843349948	0.187993077770011	0.179036898063432	0.232680337548248	0.00412245670433196	0.185387770264256	0.19778630123734	0.185730974959472	0.139787526585406	0.0273807050263621	-0.103490779899332	-0.303162929034257	-0.266020119629819	0.436142020279717	-0.916774391246316	-0.99084457937322	-0.970905464330853	1.01282936613221	0.978180143496136	0.917664839083914	0.762043350676255	0.790465172826987	0.66314818916055	0.36023382365559	0.322816467636424	0.332628742982974	0.312220008196519	0.997297670730589	0.983317882821811	0.986736101943192	0.962706611263995	0.987986881791215	0.754763029112415	0.600723473449805	0.664204689759639	0.784236591921912	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Cyclohexylamine	NC1CCCCC1	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Cyclohexylamines	Cyclohexylamines
