accession	Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W_group1g2	W_group1g3	W_group1g4	p_group1g2	p_group1g3	p_group1g4	q_group1g2	q_group1g3	q_group1g4	diff_group1g2	diff_group1g3	diff_group1g4	name	smiles	kingdom	super_class	class	sub_class	direct_parent
HMDB0000243	Pyruvic acid	-0.00112682627756548	-0.00980759350252365	-0.283005690350419	0.175344410181666	0.164873431961751	0.207690386416723	-0.00642635985029708	-0.059485590770009	-1.3626325957263	1	1	1	1	1	1	FALSE	FALSE	FALSE	Pyruvic acid	CC(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Alpha-keto acids and derivatives	Alpha-keto acids and derivatives
HMDB0000617	2-Furoic acid	-0.110612881645524	-0.0256107233117227	-0.714976620512512	0.265873428521278	0.23940372703306	0.269611636472416	-0.416035864361192	-0.106977128673465	-2.65187597192475	1	1	1	1	1	1	FALSE	FALSE	FALSE	2-Furoic acid	OC(=O)C1=CC=CO1	Organic compounds	Organoheterocyclic compounds	Furans	Furoic acid and derivatives	Furoic acids
HMDB0246561	4-Oxoproline	-0.264029393486235	-0.168474511755731	-0.357490908877171	0.159004376910931	0.160285525470869	0.215170394678045	-1.6605165129142	-1.05108999244196	-1.66143167331211	1	1	1	1	1	1	FALSE	FALSE	FALSE	4-Oxo-L-proline	OC(=O)C1CC(=O)CN1	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Proline and derivatives
HMDB0000749	Mesaconic acid	0.0559802786278948	0.0703257073554414	-0.310283555848168	0.184318966080244	0.167945511302805	0.209289178922478	0.303714152799249	0.418741214396879	-1.48255900016263	1	1	1	1	1	1	FALSE	FALSE	FALSE	Mesaconic acid	C\C(=C/C(O)=O)C(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Methyl-branched fatty acids
HMDB0000525	5-Hydroxyhexanoic acid	-0.185517820763416	-0.15324534999527	-0.187915715256984	0.182629025502063	0.179159130060796	0.241137918558898	-1.01581783209658	-0.855358864174365	-0.779287290775407	1	1	1	1	1	1	FALSE	FALSE	FALSE	5-Hydroxyhexanoic acid	CC(O)CCCC(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids
HMDB0000191	Aspartic acid	-0.172535721946566	-0.0937415219796701	-0.394054358762615	0.174437653006703	0.172633931568945	0.230095399761512	-0.989096786001453	-0.543007513805201	-1.71256947844695	1	1	1	1	1	1	FALSE	FALSE	FALSE	L-Aspartic acid	N[C@@H](CC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aspartic acid and derivatives
HMDB0000208	Oxoglutaric acid	0.0654065793290668	0.0922303391384842	-0.254954132222129	0.178901884557154	0.176592223165393	0.234604479212979	0.365600281355176	0.522278600298854	-1.08674025780503	1	1	1	1	1	1	FALSE	FALSE	FALSE	Oxoglutaric acid	OC(=O)CCC(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Gamma-keto acids and derivatives	Gamma-keto acids and derivatives
HMDB0059655	2-Hydroxyglutarate	0.138704918877585	0.146148042591365	-0.208389494885559	0.257806358876376	0.229990759841498	0.282473842276458	0.538019773763985	0.635451801159686	-0.73773023797937	1	1	1	1	1	1	FALSE	FALSE	FALSE	2-Hydroxyglutarate	OC(CCC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Short-chain hydroxy acids and derivatives	Short-chain hydroxy acids and derivatives
HMDB0000292	Xanthine	-0.0571190003205694	0.0363284120612891	-0.133157319561921	0.193519785176364	0.201948990354019	0.264303004054634	-0.29515845249887	0.179889050188391	-0.503805547115145	1	1	1	1	1	1	FALSE	FALSE	FALSE	Xanthine	O=C1NC2=C(NC=N2)C(=O)N1	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Xanthines
HMDB0000177	Histidine	-0.257778270339807	-0.0219348723020345	-0.30422076813566	0.180416589391152	0.188012787067484	0.243406142848323	-1.42879472009601	-0.116666917416427	-1.24984835869666	1	1	1	1	1	1	FALSE	FALSE	FALSE	L-Histidine	N[C@@H](CC1=CN=CN1)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Histidine and derivatives
