accession	Feature	lfc_(Intercept)	lfc_group1g2	lfc_group1g3	lfc_group1g4	lfc_age	lfc_loc2	lfc_loc3	lfc_loc4	lfc_abx_useyes	se_(Intercept)	se_group1g2	se_group1g3	se_group1g4	se_age	se_loc2	se_loc3	se_loc4	se_abx_useyes	W_(Intercept)	W_group1g2	W_group1g3	W_group1g4	W_age	W_loc2	W_loc3	W_loc4	W_abx_useyes	p_(Intercept)	p_group1g2	p_group1g3	p_group1g4	p_age	p_loc2	p_loc3	p_loc4	p_abx_useyes	q_(Intercept)	q_group1g2	q_group1g3	q_group1g4	q_age	q_loc2	q_loc3	q_loc4	q_abx_useyes	diff_(Intercept)	diff_group1g2	diff_group1g3	diff_group1g4	diff_age	diff_loc2	diff_loc3	diff_loc4	diff_abx_useyes	name	smiles	kingdom	super_class	class	sub_class	direct_parent
HMDB0000243	Pyruvic acid	-0.0843207993238045	-0.00112682627756548	-0.00980759350252365	-0.283005690350419	-0.00617368763090474	0.79460904141347	0.245692434302853	-0.0106241991027403	0.109148835435443	0.233012376535414	0.175344410181666	0.164873431961751	0.207690386416723	0.00428647784531791	0.190912546255514	0.193502510884769	0.180589375464278	0.129003851207062	-0.361872620577255	-0.00642635985029708	-0.059485590770009	-1.3626325957263	-1.4402705096559	4.16216250319127	1.26971186668044	-0.0588306985138328	0.846089743942996	0.717785338366776	0.994878210954023	0.952617908292646	0.174354612823835	0.151174737257932	4.48302294560172e-05	0.205493118500248	0.95313894244649	0.398397632824821	0.856906279139904	0.997926779131023	0.992747936249696	0.719310429591796	0.794538456245793	0.00029513234391878	0.318312869833717	0.977895798094451	0.996963016755183	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Pyruvic acid	CC(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Alpha-keto acids and derivatives	Alpha-keto acids and derivatives
HMDB0000617	2-Furoic acid	-0.601082971666602	-0.110612881645524	-0.0256107233117227	-0.714976620512512	-0.00137178432032581	0.550995495924638	0.371883923077891	1.57961453971982	0.127929593920642	0.319776766496441	0.265873428521278	0.23940372703306	0.269611636472416	0.00593622502445085	0.238121485580207	0.238573316082063	0.269673036118191	0.181381215943439	-1.87969557092039	-0.416035864361192	-0.106977128673465	-2.65187597192475	-0.231086981149727	2.31392599698461	1.55878255449982	5.85751754219697	0.705307841582308	0.0614362033076238	0.677778552116428	0.914902026412628	0.00857157276624917	0.817456299982042	0.0215699983064901	0.120447072251703	1.64578601768657e-08	0.481344981791826	0.198100410665399	0.997926779131023	0.992747936249696	0.662098054429315	0.946896188687054	0.0486865676060776	0.20463050984698	1.08347579497699e-07	0.996963016755183	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	2-Furoic acid	OC(=O)C1=CC=CO1	Organic compounds	Organoheterocyclic compounds	Furans	Furoic acid and derivatives	Furoic acids
HMDB0246561	4-Oxoproline	0.696191195455756	-0.264029393486235	-0.168474511755731	-0.357490908877171	-0.00663413801331396	-0.0445526498691363	-0.969625809589946	-0.646706914090819	0.0949802392592057	0.222505896723396	0.159004376910931	0.160285525470869	0.215170394678045	0.00385361391901294	0.190392555883032	0.175707197991183	0.155794929030961	0.123720841435579	3.12886627144634	-1.6605165129142	-1.05108999244196	-1.66143167331211	-1.72153675815382	-0.234004158736686	-5.5184182587591	-4.15101388802135	0.767697973575955	0.00198582221484439	0.0981973243025526	0.294339852686235	0.0980132997343216	0.0865218305391265	0.815193589153678	9.33974241843803e-08	4.69075590791583e-05	0.443467975847707	0.0174311061080785	0.997926779131023	0.992747936249696	0.719310429591796	0.794538456245793	0.899804400411935	4.76025581326841e-07	0.000172358007779233	0.996963016755183	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	4-Oxo-L-proline	OC(=O)C1CC(=O)CN1	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Proline and derivatives
HMDB0000749	Mesaconic acid	-0.340207815413792	0.0559802786278948	0.0703257073554414	-0.310283555848168	-0.00208847507634405	0.801363708374127	0.0704648979501904	0.26114157213703	0.118682218546328	0.230598993942432	0.184318966080244	0.167945511302805	0.209289178922478	0.00430883920148712	0.196170428714061	0.184281315361113	0.177571510360104	0.132240047292231	-1.47532220153017	0.303714152799249	0.418741214396879	-1.48255900016263	-0.484695524405563	4.08503826813877	0.382376790680645	1.47062764520869	0.897475620861337	0.141517727202681	0.761625100305546	0.675802946105987	0.139584687394708	0.628361775318342	6.12107559542764e-05	0.702541244242019	0.142782732823546	0.370420245121172	0.338784862091266	0.997926779131023	0.992747936249696	0.719310429591796	0.946896188687054	0.000345403551456274	0.810803800956804	0.225596717861203	0.996963016755183	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Mesaconic acid	C\C(=C/C(O)=O)C(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Methyl-branched fatty acids
HMDB0000525	5-Hydroxyhexanoic acid	0.222064511330341	-0.185517820763416	-0.15324534999527	-0.187915715256984	-0.00482265107037809	0.693696039340391	-0.593368659314301	-0.421486981999463	0.13621962300831	0.241182449954558	0.182629025502063	0.179159130060796	0.241137918558898	0.00398096554823906	0.213930695068257	0.166493689102227	0.162982820324665	0.129393250580866	0.920732463627354	-1.01581783209658	-0.855358864174365	-0.779287290775407	-1.21142748208694	3.24262041554653	-3.56391081556234	-2.58608227026537	1.05275678906589	0.358171889950764	0.310802392394072	0.393258401089785	0.436625758038649	0.226996764286488	0.00136336937391445	0.000445690837460768	0.0103348505534834	0.29357674598596	0.593907412949077	0.997926779131023	0.992747936249696	0.907721970659296	0.85133413184722	0.00500958979252286	0.00132866325129814	0.0220663025331133	0.996963016755183	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	5-Hydroxyhexanoic acid	CC(O)CCCC(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids
HMDB0000191	Aspartic acid	-0.168689831248384	-0.172535721946566	-0.0937415219796701	-0.394054358762615	0.000467041403170147	0.53778482802029	-0.2506754881074	0.314447081133727	0.0392655714481196	0.236818441389121	0.174437653006703	0.172633931568945	0.230095399761512	0.00394224053626909	0.216204645921022	0.170556708076158	0.177636417402023	0.135253386760864	-0.712317124709079	-0.989096786001453	-0.543007513805201	-1.71256947844695	0.118471056972123	2.48738793622751	-1.46974863044066	1.77017238769276	0.290311188418101	0.477003143536838	0.323673556835742	0.587659761434839	0.0881633258651483	0.90579965815862	0.0135913404729789	0.143020562233204	0.0780466509931583	0.771844386409134	0.704359782045051	0.997926779131023	0.992747936249696	0.719310429591796	0.969449179620495	0.0346359966892044	0.235388008675482	0.135509569856253	0.996963016755183	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	L-Aspartic acid	N[C@@H](CC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aspartic acid and derivatives
HMDB0000208	Oxoglutaric acid	-0.407344159834469	0.0654065793290668	0.0922303391384842	-0.254954132222129	-0.0052961348131731	1.22267648762221	0.240377303250719	0.367483170742724	0.119009688549659	0.243857710309271	0.178901884557154	0.176592223165393	0.234604479212979	0.00451550121241672	0.248446996997945	0.174854276294664	0.164479199595726	0.138553184174183	-1.67041738937783	0.365600281355176	0.522278600298854	-1.08674025780503	-1.17287861613453	4.92127698219805	1.37472933659132	2.23422275671307	0.858945893297156	0.0962211052895546	0.715005320143961	0.601987917205522	0.278309321151725	0.242079216060833	1.65691296376004e-06	0.170576845134038	0.0264473586925321	0.39128048356038	0.262849447492358	0.997926779131023	0.992747936249696	0.783830229113937	0.859167210923148	2.59209719521009e-05	0.275011648277327	0.052688388280516	0.996963016755183	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Oxoglutaric acid	OC(=O)CCC(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Gamma-keto acids and derivatives	Gamma-keto acids and derivatives
HMDB0059655	2-Hydroxyglutarate	-0.558087891345959	0.138704918877585	0.146148042591365	-0.208389494885559	0.0041069330900258	0.663535824784386	0.312406987389104	0.218525474869007	-0.036344935547787	0.300749343031981	0.257806358876376	0.229990759841498	0.282473842276458	0.00577948345251573	0.233377086059812	0.321588815224404	0.198566456629379	0.178071020965188	-1.85565789012086	0.538019773763985	0.635451801159686	-0.73773023797937	0.710605562550422	2.84319183167077	0.971448547335537	1.10051555825908	-0.204103595019497	0.0648042754546318	0.591092833575736	0.525776678816867	0.461443680056789	0.478061359740732	0.00487557078581672	0.332363513139823	0.272278350475408	0.838456221170297	0.200766186702585	0.997926779131023	0.992747936249696	0.911351268112159	0.894149080536843	0.0142655589659082	0.473094009694523	0.39109072159195	0.996963016755183	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	2-Hydroxyglutarate	OC(CCC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Short-chain hydroxy acids and derivatives	Short-chain hydroxy acids and derivatives
HMDB0000292	Xanthine	0.339360631000533	-0.0571190003205694	0.0363284120612891	-0.133157319561921	-0.000959779186981592	-0.774637328911602	-1.11998649025579	0.253098607488162	-0.0366423517444644	0.281993282446057	0.193519785176364	0.201948990354019	0.264303004054634	0.00485751583883955	0.249704181090313	0.208539203304137	0.192981157772759	0.154396279518973	1.20343516007496	-0.29515845249887	0.179889050188391	-0.503805547115145	-0.197586424589175	-3.10222009711336	-5.37062802825798	1.3115197898553	-0.237326649700529	0.230067035386242	0.768143813199601	0.857400859953212	0.614888772120276	0.843546253866485	0.00216542449369209	1.94537176550706e-07	0.191013018639225	0.81261838638683	0.466033225525977	0.997926779131023	0.992747936249696	0.969643226961652	0.946896188687054	0.00712785562506981	9.31420421060957e-07	0.287429113761882	0.996963016755183	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	Xanthine	O=C1NC2=C(NC=N2)C(=O)N1	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Xanthines
HMDB0000177	Histidine	-0.156973817213275	-0.257778270339807	-0.0219348723020345	-0.30422076813566	-0.000447139882983614	0.603411772224742	-0.613870755962874	0.567460922991756	0.0078508513436058	0.254576569095582	0.180416589391152	0.188012787067484	0.243406142848323	0.00414676853252242	0.218761662499949	0.183951645352712	0.198476506797074	0.142898006133122	-0.616607481870563	-1.42879472009601	-0.116666917416427	-1.24984835869666	-0.107828512606086	2.75830675873055	-3.33713109652174	2.85908358701585	0.0549402441367309	0.53811428297987	0.154443887400641	0.907227614796567	0.212647663913963	0.914227390907935	0.00628575292811045	0.00098965110777186	0.00464605809716257	0.956234607169292	0.752407581511677	0.997926779131023	0.992747936249696	0.781128700249313	0.969449179620495	0.0171232579765767	0.0026060812504659	0.0107952526375248	0.996963016755183	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	L-Histidine	N[C@@H](CC1=CN=CN1)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Histidine and derivatives
