accession	Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W_group1g2	W_group1g3	W_group1g4	p_group1g2	p_group1g3	p_group1g4	q_group1g2	q_group1g3	q_group1g4	diff_group1g2	diff_group1g3	diff_group1g4	name	smiles	kingdom	super_class	class	sub_class	direct_parent
HMDB0302405	4-Methylpyridine	0.215785838442525	0.173768111631861	0.0919486122587394	0.213119535929669	0.207186127183839	0.238494752768989	1.01251083107527	0.838705341876845	0.385537254766367	1	1	1	1	1	1	FALSE	FALSE	FALSE	4-Methylpyridine	CC1=CC=NC=C1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Methylpyridines	Methylpyridines
HMDB0013751	2-Hydroxypyridine	0.212573643657669	0.075313657388737	-0.0473255079940142	0.181222067673577	0.171703700449941	0.196074085814461	1.1730008733846	0.438625709238539	-0.241365439993927	1	1	1	1	1	1	FALSE	FALSE	FALSE	2-Hydroxypyridine	OC1=CC=CC=N1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines	Pyridinones
HMDB0011749	2-Piperidinone	0.0328198893166462	0.218300936148198	0.129386958889689	0.16084580358505	0.151287716103135	0.217813654210831	0.204045667248583	1.44295215613791	0.594025931746454	1	1	1	1	1	1	FALSE	FALSE	FALSE	2-Piperidinone	O=C1CCCCN1	Organic compounds	Organoheterocyclic compounds	Piperidines	Piperidinones	Piperidinones
HMDB0031604	2-Penten-1-ol	-0.0446142360868675	-0.205181334121151	-0.099999479637926	0.158946508858391	0.149960467860101	0.184980475818113	-0.280687109187251	-1.36823615616194	-0.540594780047237	1	1	1	1	1	1	FALSE	FALSE	FALSE	(E)-2-Penten-1-ol	CC\C=C/CO	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Primary alcohols
HMDB0245980	3-Pyridinemethanol	0.0387122552555727	0.191900670297434	-0.173354596939983	0.192651617473964	0.189265792908438	0.21308076826511	0.200944356259062	1.01392157213676	-0.813562849202325	1	1	1	1	1	1	FALSE	FALSE	FALSE	3-Pyridinemethanol	OCC1=CC=CN=C1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	NA	Pyridines and derivatives
HMDB0246022	3,4-Diaminopyridine	-0.0132378224678608	-0.00924829218730531	-0.0328586182958779	0.141814881239558	0.142465440235164	0.181347994236061	-0.0933457924313252	-0.0649160397921026	-0.181190966210003	1	1	1	1	1	1	FALSE	FALSE	FALSE	3,4-Diaminopyridine	NC1=CNC=CC1=N	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Aminopyridines and derivatives	Aminopyridines and derivatives
HMDB0253411	Imexon	0.206449554690585	0.0664624516842125	-0.00370084888675551	0.137443294212354	0.134929682132016	0.168519385923115	1.50207076943029	0.492571023914407	-0.0219609682677338	1	1	1	1	1	1	FALSE	FALSE	FALSE	Imexon	NC1=NC(=O)N2CC12	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidones
HMDB0000162	Proline	0.196411595134576	0.0932307791201473	0.285082523843228	0.175891705095436	0.182863931393047	0.256312355040479	1.11666206787868	0.509836895717599	1.11224651577254	1	1	1	1	1	1	FALSE	FALSE	FALSE	L-Proline	OC(=O)[C@@H]1CCCN1	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Proline and derivatives
HMDB0243969	1-Nitrosopiperazine	-0.175894421750536	-0.0361819946045167	0.00888231070318549	0.170357212200955	0.156565983064364	0.203902175367307	-1.03250352290955	-0.231097419096729	0.0435616279580393	1	1	1	1	1	1	FALSE	FALSE	FALSE	1-Nitrosopiperazine	O=NN1CCNCC1	Organic compounds	Organoheterocyclic compounds	Diazinanes	Piperazines	Piperazines
HMDB0000883	Valine	0.0992869536670576	0.0713573060705181	-0.0192402491601964	0.156504547645466	0.138625689535712	0.180745674737444	0.634402994422723	0.514748069492093	-0.10644929228954	1	1	1	1	1	1	FALSE	FALSE	FALSE	L-Valine	CC(C)[C@H](N)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Valine and derivatives
HMDB0031502	4-Hexen-1-ol	0.703144019681013	0.433998417546384	-0.46429463441738	0.388537337687418	0.341072635391123	0.437501386070791	1.80972058918749	1.2724515909894	-1.06124151648346	1	1	1	1	1	1	FALSE	FALSE	FALSE	(E)-4-Hexen-1-ol	C\C=C/CCCO	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols	Fatty alcohols
HMDB0033910	Acetophenone	0.0741480419103136	0.0820232263708978	0.0629234692326136	0.18773831358948	0.183315422125352	0.227165368083189	0.394954234394851	0.447443130642931	0.276994111221965	1	1	1	1	1	1	FALSE	FALSE	FALSE	Acetophenone	CC(=O)C1=CC=CC=C1	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Alkyl-phenylketones
HMDB0000262	Thymine	0.313663625639062	0.349455270948489	0.206663483031503	0.157205457824375	0.169057649026045	0.182986224080935	1.99524641179747	2.0670775499466	1.12939366922012	1	1	1	1	1	1	FALSE	FALSE	FALSE	Thymine	CC1=CNC(=O)NC1=O	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Hydroxypyrimidines
HMDB0040582	1-Methyl-2-pyrrolecarboxaldehyde	-0.0845209310831091	-0.0397769304833751	0.025266759271534	0.16382737563467	0.142167295057156	0.206549041653037	-0.51591457627685	-0.279789599059216	0.122328136065513	1	1	1	1	1	1	FALSE	FALSE	FALSE	1-Methyl-2-pyrrolecarboxaldehyde	CN1C=CC=C1C=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Aryl-aldehydes
