accession	Feature	lfc_(Intercept)	lfc_group1g2	lfc_group1g3	lfc_group1g4	lfc_age	lfc_loc2	lfc_loc3	lfc_loc4	lfc_abx_useyes	se_(Intercept)	se_group1g2	se_group1g3	se_group1g4	se_age	se_loc2	se_loc3	se_loc4	se_abx_useyes	W_(Intercept)	W_group1g2	W_group1g3	W_group1g4	W_age	W_loc2	W_loc3	W_loc4	W_abx_useyes	p_(Intercept)	p_group1g2	p_group1g3	p_group1g4	p_age	p_loc2	p_loc3	p_loc4	p_abx_useyes	q_(Intercept)	q_group1g2	q_group1g3	q_group1g4	q_age	q_loc2	q_loc3	q_loc4	q_abx_useyes	diff_(Intercept)	diff_group1g2	diff_group1g3	diff_group1g4	diff_age	diff_loc2	diff_loc3	diff_loc4	diff_abx_useyes	name	smiles	kingdom	super_class	class	sub_class	direct_parent
HMDB0302405	4-Methylpyridine	-0.0321702851978369	0.215785838442525	0.173768111631861	0.0919486122587394	-0.0067646605171517	-0.23999373395173	0.0551175718763742	-0.0303687207073901	0.0470026537597907	0.319719474491522	0.213119535929669	0.207186127183839	0.238494752768989	0.00489365014383207	0.245611408605777	0.25392001702122	0.258470076155383	0.163519905332381	-0.100620349289014	1.01251083107527	0.838705341876845	0.385537254766367	-1.38233431453571	-0.977127794323822	0.217066667381989	-0.117494145392419	0.287443009854061	0.919941047577317	0.312376637563707	0.40252088954191	0.700202047815419	0.168233642801557	0.329550656393191	0.828352220070689	0.906572835185362	0.774036524676754	0.968358997449807	0.841978004421675	0.934226515472923	0.99703882514591	0.965263397176659	0.534406469826797	0.881485386513865	0.929687829402778	0.995536347383581	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4-Methylpyridine	CC1=CC=NC=C1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Methylpyridines	Methylpyridines
HMDB0013751	2-Hydroxypyridine	-0.26964756963508	0.212573643657669	0.075313657388737	-0.0473255079940142	-0.000978572585048324	-0.151645221162529	0.123966904449511	-0.00213368960996579	0.0663197006915405	0.263067624277536	0.181222067673577	0.171703700449941	0.196074085814461	0.00409590927201173	0.196352084226657	0.222411141437679	0.21076517999895	0.134233800604074	-1.02501237229634	1.1730008733846	0.438625709238539	-0.241365439993927	-0.238914614572918	-0.772312765407058	0.557377223317958	-0.0101235394289342	0.494061111233467	0.306453216833437	0.242030286249352	0.661351775090221	0.809490740310929	0.811388301713671	0.440736087992608	0.57782134132125	0.991931652839649	0.62174287037431	0.480992273778803	0.794471202295145	0.934226515472923	0.99703882514591	0.965263397176659	0.622215653636623	0.714830525345876	0.991931652839649	0.995536347383581	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2-Hydroxypyridine	OC1=CC=CC=N1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines	Pyridinones
HMDB0011749	2-Piperidinone	-0.416339689328171	0.0328198893166462	0.218300936148198	0.129386958889689	-0.00358283400333029	0.0198069030190464	0.530176271547005	0.690522519284512	-0.127527154200079	0.238748820950734	0.16084580358505	0.151287716103135	0.217813654210831	0.00382134431137001	0.193454707206307	0.190959201588525	0.200499387853159	0.125769993137727	-1.74383977131382	0.204045667248583	1.44295215613791	0.594025931746454	-0.937584711398538	0.102385221352735	2.77638504526961	3.4440131048691	-1.0139712265105	0.082546747134314	0.838501434227564	0.150418512065466	0.553088898470884	0.349458741928302	0.918541699531943	0.00595764638396039	0.000682977687888326	0.311680788685237	0.183437215854031	0.968483232758507	0.934226515472923	0.99703882514591	0.965263397176659	0.920724095463368	0.0125424134399166	0.00178168092492607	0.995536347383581	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	2-Piperidinone	O=C1CCCCN1	Organic compounds	Organoheterocyclic compounds	Piperidines	Piperidinones	Piperidinones
HMDB0031604	2-Penten-1-ol	0.0829001531542553	-0.0446142360868675	-0.205181334121151	-0.099999479637926	-0.00126358605503427	-0.451211117432287	-0.878392955895403	0.435214684014705	-0.0055003590133553	0.232255722100081	0.158946508858391	0.149960467860101	0.184980475818113	0.00377783759665301	0.184450657943302	0.211919070307815	0.158798795141408	0.122740804455698	0.356934814800959	-0.280687109187251	-1.36823615616194	-0.540594780047237	-0.334473365438935	-2.44624292731438	-4.14494530680759	2.74066741896342	-0.044812799115559	0.721473653928206	0.77920717892956	0.172596894554607	0.589319291891387	0.738332578837815	0.0151992217799605	4.80766183584059e-05	0.00662158845888907	0.964296093208117	0.840017694873908	0.968483232758507	0.934226515472923	0.99703882514591	0.965263397176659	0.047997542463033	0.000180287318844022	0.013699838190805	0.995536347383581	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	(E)-2-Penten-1-ol	CC\C=C/CO	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Primary alcohols
HMDB0245980	3-Pyridinemethanol	-0.00978639580173928	0.0387122552555727	0.191900670297434	-0.173354596939983	-0.00487077542373713	-0.118445756433267	0.0541066008676891	-0.114444034111001	-0.0192105808662355	0.288367086550027	0.192651617473964	0.189265792908438	0.21308076826511	0.00463175801238661	0.222544961369697	0.251815330154328	0.225270600021376	0.153967645145911	-0.0339372843094613	0.200944356259062	1.01392157213676	-0.813562849202325	-1.05160403689297	-0.53223292814301	0.214866191166873	-0.508029161817571	-0.124770245385192	0.972957115854284	0.840922810359629	0.311704431082301	0.41675172899855	0.294104365953492	0.595087524443229	0.830065405633889	0.611928374729518	0.900816353039905	0.984219627270085	0.968483232758507	0.934226515472923	0.99703882514591	0.965263397176659	0.748094215237942	0.881485386513865	0.695067679280266	0.995536347383581	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3-Pyridinemethanol	OCC1=CC=CN=C1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	NA	Pyridines and derivatives
HMDB0246022	3,4-Diaminopyridine	-0.435768889310996	-0.0132378224678608	-0.00924829218730531	-0.0328586182958779	0.00240433671459174	0.230750346772431	-0.484677968244754	0.517515499593572	0.0204929568162129	0.218269235227644	0.141814881239558	0.142465440235164	0.181347994236061	0.00330752888098949	0.170523412994899	0.178842007375194	0.170574194516956	0.117815159414283	-1.99647416575456	-0.0933457924313252	-0.0649160397921026	-0.181190966210003	0.726928411241098	1.35318864852496	-2.71009018159779	3.03396126863802	0.173941595615484	0.0470821988001704	0.92571155254118	0.948298233859863	0.856380075757989	0.468022102206185	0.177347375325223	0.00724242174383118	0.00269605984420428	0.862067067602187	0.125552530133788	0.996082352047067	0.972613573189603	0.99703882514591	0.965263397176659	0.343252984500431	0.0147303493094871	0.00634367022165713	0.995536347383581	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	3,4-Diaminopyridine	NC1=CNC=CC1=N	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Aminopyridines and derivatives	Aminopyridines and derivatives
HMDB0253411	Imexon	-0.504754901622245	0.206449554690585	0.0664624516842125	-0.00370084888675551	-0.0037796224265045	0.563998064851255	0.802534458968253	0.246108292053638	-0.00251266675913257	0.216394422329629	0.137443294212354	0.134929682132016	0.168519385923115	0.00345565841427168	0.169015514068425	0.166841428672302	0.159964305288521	0.112132577155928	-2.33256890906996	1.50207076943029	0.492571023914407	-0.0219609682677338	-1.09374885286545	3.33696032556469	4.81016295146054	1.53852005676981	-0.022407999734444	0.0205499884695485	0.134474758567843	0.622793914509383	0.982498467813944	0.275229541271027	0.000990230526564735	2.75495564572166e-06	0.125320403439652	0.982142270699047	0.0701440890075708	0.646899228951509	0.934226515472923	0.99703882514591	0.965263397176659	0.00588390753317255	1.37747782286083e-05	0.195304524841017	0.995536347383581	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	Imexon	NC1=NC(=O)N2CC12	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidones
HMDB0000162	Proline	-0.882098435547105	0.196411595134576	0.0932307791201473	0.285082523843228	0.00127677228103096	0.754293283564906	0.0838369232641391	0.908671529970057	0.0270857936630787	0.275065570738674	0.175891705095436	0.182863931393047	0.256312355040479	0.00463258990238707	0.226817881790132	0.220604240122094	0.208746515524416	0.152758767258345	-3.20686603262734	1.11666206787868	0.509836895717599	1.11224651577254	0.275606584639204	3.325545929676	0.380033145408897	4.35299016937974	0.177310894485495	0.00153616200205613	0.265324625361148	0.610663249061214	0.26721389674676	0.783102081349701	0.0010296838183052	0.704277712175483	2.03525625640078e-05	0.859423003420528	0.00921697201233679	0.795973876083445	0.934226515472923	0.99703882514591	0.965263397176659	0.00588390753317255	0.81262812943325	8.42175002648599e-05	0.995536347383581	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	L-Proline	OC(=O)[C@@H]1CCCN1	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Proline and derivatives
HMDB0243969	1-Nitrosopiperazine	-0.00723789260809788	-0.175894421750536	-0.0361819946045167	0.00888231070318549	0.0017916569470928	0.0604856424843731	0.659651397196078	-1.31399922966023	0.00929264162873938	0.240500988696063	0.170357212200955	0.156565983064364	0.203902175367307	0.00410195671075299	0.188327830878429	0.220658523507737	0.174388291423476	0.131383772509249	-0.0300950638387807	-1.03250352290955	-0.231097419096729	0.0435616279580393	0.436781047053983	0.321172087005124	2.98946710378468	-7.53490511854019	0.0707289907365479	0.976017797042835	0.302939927454981	0.817448201038807	0.965292302271113	0.662687164952527	0.748376797507168	0.00310378732923503	1.1674098051045e-12	0.943675994496049	0.984219627270085	0.841978004421675	0.934226515472923	0.99703882514591	0.965263397176659	0.863511689431348	0.0080968365110479	2.33481961020901e-11	0.995536347383581	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1-Nitrosopiperazine	O=NN1CCNCC1	Organic compounds	Organoheterocyclic compounds	Diazinanes	Piperazines	Piperazines
HMDB0000883	Valine	0.0487221093449596	0.0992869536670576	0.0713573060705181	-0.0192402491601964	0.00164162093180201	-0.66823696807639	-0.997172026430317	-0.0812208737404186	0.00154336014942909	0.22362284794409	0.156504547645466	0.138625689535712	0.180745674737444	0.00334397347364831	0.166938896266072	0.209444856560098	0.158805662522421	0.114208853934742	0.217876258141302	0.634402994422723	0.514748069492093	-0.10644929228954	0.490919244646694	-4.00288358808444	-4.76102417986182	-0.511448221998706	0.0135134895085363	0.827722117731952	0.52645949989012	0.607232122212192	0.915320314289817	0.623959914081079	8.48716899241862e-05	3.44010938605761e-06	0.609536562951998	0.989230045185536	0.902969582980311	0.932381241148822	0.934226515472923	0.99703882514591	0.965263397176659	0.000678973519393489	1.65125250530765e-05	0.695067679280266	0.995536347383581	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	L-Valine	CC(C)[C@H](N)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Valine and derivatives
