accession	Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	name	smiles	kingdom	super_class	class	sub_class	direct_parent
HMDB0302405	4-Methylpyridine	0.167511120786103	0.167511120794613	0.167511120800276	0.213119535929669	0.207186127183839	0.238494752768989	0.167511120800276	0.625	0.996610169491525	FALSE	4-Methylpyridine	CC1=CC=NC=C1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Methylpyridines	Methylpyridines
HMDB0013751	2-Hydroxypyridine	2.30037614418451e-12	-7.64771944095966e-10	-0.11098233820609	0.181222067673577	0.171703700449941	0.196074085814461	0.11098233820609	0.726	0.996610169491525	FALSE	2-Hydroxypyridine	OC1=CC=CC=N1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines	Pyridinones
HMDB0011749	2-Piperidinone	0.0333092670195317	0.193022045280896	0.193022045486519	0.16084580358505	0.151287716103135	0.217813654210831	0.193022045486519	0.476	0.996610169491525	FALSE	2-Piperidinone	O=C1CCCCN1	Organic compounds	Organoheterocyclic compounds	Piperidines	Piperidinones	Piperidinones
HMDB0031604	2-Penten-1-ol	-0.0449496048227664	-0.166899517848905	-0.166899517865415	0.158946508858391	0.149960467860101	0.184980475818113	0.166899517865415	0.461	0.996610169491525	FALSE	(E)-2-Penten-1-ol	CC\C=C/CO	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Primary alcohols
HMDB0245980	3-Pyridinemethanol	-2.48788620580822e-12	6.2485491251871e-13	-0.23632606413347	0.192651617473964	0.189265792908438	0.21308076826511	0.23632606413347	0.337	0.996610169491525	FALSE	3-Pyridinemethanol	OCC1=CC=CN=C1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	NA	Pyridines and derivatives
HMDB0246022	3,4-Diaminopyridine	-0.0112548943702318	-0.0112548981941094	-0.0328783551129982	0.141814881239558	0.142465440235164	0.181347994236061	0.0328783551129982	0.98	0.996610169491525	FALSE	3,4-Diaminopyridine	NC1=CNC=CC1=N	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Aminopyridines and derivatives	Aminopyridines and derivatives
HMDB0253411	Imexon	0.101590975268401	0.101590975302231	0.101590975371113	0.137443294212354	0.134929682132016	0.168519385923115	0.101590975371113	0.706	0.996610169491525	FALSE	Imexon	NC1=NC(=O)N2CC12	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidones
HMDB0000162	Proline	0.147607238417115	0.14760723876034	0.283869448211614	0.175891705095436	0.182863931393047	0.256312355040479	0.283869448211614	0.328	0.996610169491525	FALSE	L-Proline	OC(=O)[C@@H]1CCCN1	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Proline and derivatives
HMDB0243969	1-Nitrosopiperazine	-0.0740068037327713	-0.0740068037662567	-0.0740068038503326	0.170357212200955	0.156565983064364	0.203902175367307	0.0740068038503326	0.904	0.996610169491525	FALSE	1-Nitrosopiperazine	O=NN1CCNCC1	Organic compounds	Organoheterocyclic compounds	Diazinanes	Piperazines	Piperazines
HMDB0000883	Valine	0.0604649932612183	0.0604649932887093	0.0604649933038952	0.156504547645466	0.138625689535712	0.180745674737444	0.0604649933038952	0.923	0.996610169491525	FALSE	L-Valine	CC(C)[C@H](N)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Valine and derivatives
HMDB0031502	4-Hexen-1-ol	8.13477149048817e-10	1.21107878312407e-10	-0.710256138925821	0.388537337687418	0.341072635391123	0.437501386070791	0.710256138925821	0.097	0.996610169491525	FALSE	(E)-4-Hexen-1-ol	C\C=C/CCCO	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols	Fatty alcohols
HMDB0033910	Acetophenone	0.0741506864313957	0.0755783545062975	0.0755783547756159	0.18773831358948	0.183315422125352	0.227165368083189	0.0755783547756159	0.921	0.996610169491525	FALSE	Acetophenone	CC(=O)C1=CC=CC=C1	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Alkyl-phenylketones
HMDB0000262	Thymine	0.296929341805939	0.296929342165672	0.296929342013707	0.157205457824375	0.169057649026045	0.182986224080935	0.296929342013707	0.126	0.996610169491525	FALSE	Thymine	CC1=CNC(=O)NC1=O	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Hydroxypyrimidines
