Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	p	q	smiles	kingdom	super_class	class	sub_class	direct_parent	mode
MG(14:1/0:0/0:0)	-0.442	-0.651	-1.196	0	0	[H][C@](O)(CO)COC(=O)CCCCCCC\C=C/CCCC	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Monoradylglycerols	1-monoacylglycerols	negative
Sinapic acid	0	0	-0.861	0	0	COC1=CC(\C=C\C(O)=O)=CC(OC)=C1O	Organic compounds	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Hydroxycinnamic acids	positive
1,2,3,4-Tetrahydroisoquinoline-3-carboxylic acid	-0.316	-0.502	-0.841	0	0	OC(=O)C1CC2=CC=CC=C2CN1	Organic compounds	Organoheterocyclic compounds	Tetrahydroisoquinolines	NA	Tetrahydroisoquinolines	positive
2-Indolecarboxylic acid	0.138	0.338	0.637	0	0	OC(=O)C1=CC2=C(N1)C=CC=C2	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Indolecarboxylic acids and derivatives	Indolecarboxylic acids and derivatives	negative
2,8-Dihydroxyquinoline-betaglucuronide	0.001	0.315	0.884	0	0	O[C@H]1[C@H](OC2=NC3=C(C=CC=C3O)C=C2)O[C@@H]([C@@H](O)[C@@H]1O)C(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	O-glucuronides	positive
6-Hydroxy-5-methoxyindole glucuronide	0.273	0.911	1.892	0	0	COC1=C(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)C=C2NC=CC2=C1	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Phenolic glycosides	positive
Hippuric acid sulfate	0.299	0.825	2.017	0	0	OS(=O)(=O)OC(=O)CNC(=O)C1=CC=CC=C1	NA	NA	NA	NA	NA	negative
5-Hydroxy-6-methoxyindole glucuronide	0.216	0.895	2.031	0	0	COC1=C(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)C=C2C=CNC2=C1	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Phenolic glycosides	negative
3-Methylcatechol 1-sulfate	0.897	0.991	2.099	0	0	CC1=CC=CC(OS(O)(=O)=O)=C1O	Organic compounds	Organic acids and derivatives	Organic sulfuric acids and derivatives	Arylsulfates	Phenylsulfates	negative
6-Hydroxyindoxyl sulfate	0.66	1.347	2.48	0	0	CC1=CC2=C(C=C1)C(OS(O)(=O)=O)=CN2	NA	NA	NA	NA	NA	negative
HPAA sulfate	0.611	1.455	2.602	0	0	CC(=O)NC1=CC=CC=C1OS(O)(=O)=O	Organic compounds	Organic acids and derivatives	Organic sulfuric acids and derivatives	Arylsulfates	Phenylsulfates	negative
Pyrogallol-2-O-sulphate	-0.335	-0.528	-0.867	0.001	0.0484444444444444	OC1=CC=CC(O)=C1OS(O)(=O)=O	Organic compounds	Organic acids and derivatives	Organic sulfuric acids and derivatives	Arylsulfates	Phenylsulfates	negative
3-Methyloxindole	0.354	0.538	0.978	0.001	0.0484444444444444	CC1C(=O)NC2=CC=CC=C12	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Indolines	Indolines	negative
Oleoyl glycine	-0.374	-0.611	-0.839	0.001	0.0781666666666667	CCCCCCCC\C=C/CCCCCCCC(=O)NCC(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	N-acyl-alpha amino acids	positive
Velaresol	-0.038	-0.038	-0.688	0.001	0.0781666666666667	OC(=O)CCCCOC1=CC=CC(O)=C1C=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Hydroxybenzaldehydes	positive
3-Methoxy-4-hydroxyphenylethyleneglycol sulfate	-0.263	-0.263	-0.769	0.002	0.0792727272727273	COC1=C(OS(O)(=O)=O)C=CC(=C1)C(O)CO	Organic compounds	Organic acids and derivatives	Organic sulfuric acids and derivatives	Arylsulfates	Phenylsulfates	negative
N-Phenylacetylglutamic acid	0.114	0.114	0.705	0.002	0.0792727272727273	OC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Glutamic acid and derivatives	negative
Butyl butyrate	-0.572	-0.697	-0.912	0.002	0.104222222222222	CCCCOC(=O)CCC	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	Fatty acid esters	positive
1-Hydroxyacorenone	0.514	0.712	0.98	0.002	0.104222222222222	CC(C)C1(O)C(=O)CC(C)C11CC=C(C)C(=O)C1	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Cyclohexenones	positive
Shinanolone	0.53	0.714	1.052	0.002	0.104222222222222	CC1=CC2=C(C(=O)CCC2O)C(O)=C1	Organic compounds	Benzenoids	Tetralins	NA	Tetralins	positive
Stercobilin	0.278	0.526	1.037	0.003	0.1407	CC[C@H]1[C@H](CC2=C(C)C(CCC(O)=O)=C(N2)\C=C2/N=C(C[C@@H]3NC(=O)[C@H](CC)[C@H]3C)C(C)=C2CCC(O)=O)NC(=O)[C@@H]1C	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Bilirubins	Bilirubins	positive
Phenylacetylglutamine	0.093	0.093	0.536	0.004	0.145333333333333	NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	N-acyl-alpha amino acids	negative
alpha-CEHC glucuronide	-0.257	-0.257	-0.866	0.006	0.1635	CC1=C(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)C(C)=C2CC[C@@](C)(CCC(O)=O)OC2=C1C	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Phenolic glycosides	negative
Madlongiside C	-0.135	-0.151	-0.798	0.005	0.1635	CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5C(O)CC34C)C2C1)C(=O)OC1OCC(O)C(O)C1O	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	negative
alpha-CEHC	-0.235	-0.335	-0.746	0.006	0.1635	CC1=C(O)C(C)=C2CCC(C)(CCC(O)=O)OC2=C1C	Organic compounds	Organoheterocyclic compounds	Benzopyrans	1-benzopyrans	1-benzopyrans	negative
3,17-Androstanediol glucuronide	0.191	0.344	0.487	0.006	0.1635	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](CC[C@]12C)OC(=O)[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzophenones	Benzophenones	negative
Androsterone sulfate	0	0.111	0.496	0.007	0.169555555555556	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](CC[C@]12C)OS(O)(=O)=O	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Sulfated steroids	Sulfated steroids	negative
Pregnenolone-3,21-disulfate	0	0	0.51	0.007	0.169555555555556	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@]([H])(CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)C(=O)COS(O)(=O)=O	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Sulfated steroids	Sulfated steroids	negative
