accession	Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W_group1g2	W_group1g3	W_group1g4	p_group1g2	p_group1g3	p_group1g4	q_group1g2	q_group1g3	q_group1g4	diff_group1g2	diff_group1g3	diff_group1g4	name	smiles	kingdom	super_class	class	sub_class	direct_parent
HMDB0031647	Acrylic acid	0.0729914162912897	-0.0282293024482636	-0.0299366595733394	0.104731728220154	0.0878035047815884	0.127438660403466	0.696936998288198	-0.321505417334811	-0.234910344149578	1	1	1	1	1	1	FALSE	FALSE	FALSE	Acrylic acid	OC(=O)C=C	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Acrylic acids and derivatives	Acrylic acids
HMDB0000243	Pyruvic acid	0.0527975422615718	-0.0354766151089158	-0.0665225493370147	0.10832011822155	0.0927657965956722	0.130794440591739	0.487421386981722	-0.382432064519898	-0.508603798724579	1	1	1	1	1	1	FALSE	FALSE	FALSE	Pyruvic acid	CC(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Alpha-keto acids and derivatives	Alpha-keto acids and derivatives
HMDB0000228	Phenol	-0.110586404111845	-0.263828519350133	-0.0809200972380447	0.142263635102478	0.126191608000361	0.188091516043607	-0.777334306354433	-2.09069781684197	-0.430216625077785	1	1	1	1	1	1	FALSE	FALSE	FALSE	Phenol	OC1=CC=CC=C1	Organic compounds	Benzenoids	Phenols	1-hydroxy-4-unsubstituted benzenoids	1-hydroxy-4-unsubstituted benzenoids
HMDB0252816	Glutarimide	-0.366009210995195	-0.521124308413742	-0.269703338537067	0.222532703571035	0.211045373455548	0.287156903730006	-1.64474346970921	-2.46925246396603	-0.939219412919463	1	1	1	1	1	1	FALSE	FALSE	FALSE	Glutarimide	O=C1CCCC(=O)N1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines	Tetrahydropyridines
HMDB0013751	2-Hydroxypyridine	-0.123229856266807	-0.176074352502027	-0.268305273317847	0.168079820326527	0.145134129022002	0.199005969770151	-0.733162708214525	-1.21318365079612	-1.34822725985424	1	1	1	1	1	1	FALSE	FALSE	FALSE	2-Hydroxypyridine	OC1=CC=CC=N1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines	Pyridinones
HMDB0000710	4-Hydroxybutyric acid	-0.036714992295254	-0.0177745013557668	0.02004627318804	0.11038737274034	0.10126278571172	0.151017539414567	-0.332601378072628	-0.175528465179382	0.132741357498945	1	1	1	1	1	1	FALSE	FALSE	FALSE	4-Hydroxybutyric acid	OCCCC(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Hydroxy fatty acids
HMDB0000011	3-Hydroxybutyric acid	-0.0627105377581471	0.0565364129933243	0.0758672107899463	0.126539416726778	0.125815124664165	0.171854201443735	-0.4955810559294	0.449361021929877	0.441462647712952	1	1	1	1	1	1	FALSE	FALSE	FALSE	3-Hydroxybutyric acid	C[C@@H](O)CC(O)=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Beta hydroxy acids and derivatives
HMDB0006372	Glyceric acid	0.0825186927137627	-0.00852035772982438	-0.17025707042234	0.114315369921588	0.103621084008259	0.14490263515324	0.72185125036436	-0.0822261011006727	-1.17497566722846	1	1	1	1	1	1	FALSE	FALSE	FALSE	L-Glyceric acid	OC[C@H](O)C(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Sugar acids and derivatives
HMDB0001858	p-Cresol	0.0438466388314296	0.175363288840539	0.413085610304404	0.170064323912469	0.169362837152512	0.207522920427244	0.25782385054491	1.03542956523941	1.99055414917037	1	1	1	1	1	1	FALSE	FALSE	FALSE	p-Cresol	CC1=CC=C(O)C=C1	Organic compounds	Benzenoids	Phenols	Cresols	Para cresols
HMDB0000617	2-Furoic acid	0.206782988740692	0.00266439618188507	-0.00483566770085894	0.122629422992706	0.109713821825222	0.153031921705526	1.68624285831461	0.0242849637134102	-0.0315990784600095	1	1	1	1	1	1	FALSE	FALSE	FALSE	2-Furoic acid	OC(=O)C1=CC=CO1	Organic compounds	Organoheterocyclic compounds	Furans	Furoic acid and derivatives	Furoic acids
