accession	Feature	lfc_(Intercept)	lfc_group1g2	lfc_group1g3	lfc_group1g4	lfc_age	lfc_loc2	lfc_loc3	lfc_loc4	lfc_abx_useyes	se_(Intercept)	se_group1g2	se_group1g3	se_group1g4	se_age	se_loc2	se_loc3	se_loc4	se_abx_useyes	W_(Intercept)	W_group1g2	W_group1g3	W_group1g4	W_age	W_loc2	W_loc3	W_loc4	W_abx_useyes	p_(Intercept)	p_group1g2	p_group1g3	p_group1g4	p_age	p_loc2	p_loc3	p_loc4	p_abx_useyes	q_(Intercept)	q_group1g2	q_group1g3	q_group1g4	q_age	q_loc2	q_loc3	q_loc4	q_abx_useyes	diff_(Intercept)	diff_group1g2	diff_group1g3	diff_group1g4	diff_age	diff_loc2	diff_loc3	diff_loc4	diff_abx_useyes	name	smiles	kingdom	super_class	class	sub_class	direct_parent
HMDB0002134	Aminoacetone	-0.445234585822068	0.0627584098779683	-0.0499394180072327	-0.0518973983574103	-0.00233323609748594	0.573944763331875	0.8603814662253	0.706700381624919	0.0484038919845225	0.123358611465494	0.0997260495818487	0.0924895708287003	0.135439948315234	0.00225081300969402	0.0960181648448212	0.121361987049614	0.106036517816895	0.0711548811243218	-3.60927040708959	0.629308090926236	-0.539946477854518	-0.383176448329855	-1.03661925154907	5.9774602468132	7.08938183315645	6.66468869569306	0.680261019619317	0.000378790404869177	0.529788660540362	0.589770322098776	0.701952327664807	0.301031083283319	8.85231292395787e-09	1.73908539485209e-11	2.03522435930254e-10	0.497041679134276	0.0044413174970911	0.990164667605541	0.992012981760531	0.883476522101707	0.839252684480347	2.30651931185347e-07	2.09136166714264e-10	2.32809810856802e-09	0.97826605531142	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	Aminoacetone	CC(=O)CN	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Alpha-amino ketones
HMDB0244121	Tetrahydropyridine	-0.142031140477595	0.110372153251272	0.040985806211325	-0.0453843482837531	-0.000463853289537447	0.0396015966972567	0.0936927086831003	0.215652664371828	0.0480533327062534	0.120417335832274	0.0949262777588937	0.0870558056485815	0.119326349607563	0.00210975811902755	0.0895852052716699	0.113810477604225	0.106170622478148	0.0682206319702055	-1.17949080583734	1.16271443331645	0.470799229367569	-0.380338026203029	-0.219860886114874	0.442055098017175	0.823234474148468	2.03118960158883	0.704381230699243	0.239453992446147	0.246182589224845	0.63824224699722	0.704054917412517	0.82617973091163	0.658875823391653	0.411250239323768	0.0434169004480993	0.481927048254326	0.532246077996412	0.990164667605541	0.992012981760531	0.883476522101707	0.985187566441477	0.787949953245799	0.555839660642211	0.090500116934038	0.97826605531142	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tetrahydropyridine	C1CNC=CC1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines	Tetrahydropyridines
HMDB0002039	2-Pyrrolidinone	-0.0991233083351303	-0.0202601219906762	-0.0166565485107931	0.123305546333079	0.00146652926847321	-0.134584201756454	0.0775568513771828	0.110422622685154	0.0192996394691958	0.103537523737362	0.078446846955331	0.0710423143022218	0.123047161053262	0.00203127265298265	0.0817049175708495	0.109293338064211	0.096641578179547	0.0566825563351578	-0.957366032691407	-0.258265599919047	-0.234459542519044	1.002099888186	0.721975588220425	-1.64719830528867	0.709621032268382	1.14259953909283	0.340486398585822	0.339414663706757	0.796439071234604	0.81484240402467	0.317376633607784	0.47106247767235	0.10091937812166	0.4786771805673	0.254424689653753	0.733809364925521	0.647095436091337	0.990164667605541	0.992012981760531	0.824931420732751	0.923909891905136	0.211764583005586	0.614992840018033	0.362961336996123	0.9953403518932	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2-Pyrrolidinone	O=C1CCCN1	Organic compounds	Organoheterocyclic compounds	Pyrrolidines	Pyrrolidones	Pyrrolidine-2-ones
HMDB0302405	4-Methylpyridine	0.136567028366474	-0.365751215617879	-0.412424209525721	-0.193272794598119	-0.000247195291651603	0.261225348980968	0.417449242912516	0.458300536597681	-0.325370454778327	0.259659547876514	0.201338470935991	0.18746459634207	0.236346181800391	0.00477261740719291	0.203506386791132	0.217792038426588	0.211915324200395	0.145360358317977	0.525946492179141	-1.81659875491037	-2.20001118916963	-0.817752980504461	-0.0517944914836564	1.28362236242283	1.91673325585419	2.16265878046788	-2.23837130386384	0.59944569164685	0.070615136730907	0.0288282172789962	0.414367233664448	0.958738603396322	0.20060038964173	0.0565443268316419	0.0316264783513695	0.0261803759092088	0.819650231435489	0.990164667605541	0.58784495234127	0.831561120524336	0.997951192495249	0.34336344066413	0.133935804464849	0.0706324683180585	0.53385201310517	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4-Methylpyridine	CC1=CC=NC=C1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Methylpyridines	Methylpyridines
HMDB0003012	Aniline	-0.022173790099135	0.0083214554654499	-0.0856790841983402	-0.186627225819751	0.000746202681543688	-0.0900629250581063	0.265087244593858	-0.161911209024557	0.110879272139748	0.125608480182662	0.0937872500755748	0.0895947511010484	0.111651051590672	0.00208167088893863	0.086162807715609	0.103128571120837	0.112217298033641	0.0669648939433751	-0.176530995892072	0.0887269373901504	-0.956295800204948	-1.67152232926522	0.358463331311776	-1.04526451082432	2.57045396549956	-1.44283645981226	1.65578209133738	0.86003630115253	0.929378199443868	0.339953738633612	0.0960149133570501	0.720334205979362	0.297027389742116	0.0108045760889058	0.150463427807904	0.0991661701417594	0.940831370677943	0.990164667605541	0.992012981760531	0.617899572408163	0.971862884283322	0.458242913779778	0.038682031951884	0.241668998773654	0.949170802523168	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Aniline	NC1=CC=CC=C1	Organic compounds	Benzenoids	Benzene and substituted derivatives	Aniline and substituted anilines	Aniline and substituted anilines
HMDB0013751	2-Hydroxypyridine	0.288482115291954	-0.0931685479500343	-0.19973829542247	-0.00500432039638385	-0.00497174305011606	-0.0424775456385586	0.308764579175098	0.310239119261813	-0.292426876886354	0.175854715400027	0.135255459698106	0.123659534372884	0.150531236647467	0.00311565791285481	0.131550616134722	0.153537340261307	0.151097868981468	0.0983710083149813	1.64045709343493	-0.688833915895069	-1.61522762021873	-0.0332443983576884	-1.59572815410937	-0.32289887259104	2.01100643432801	2.05323292348924	-2.97269370209169	0.102313604222065	0.491640626784479	0.107669023757659	0.973509296624769	0.111959350437928	0.747073038194684	0.0455232107828475	0.0412117332491934	0.00327458570280331	0.35544503985295	0.990164667605541	0.935125410043371	0.990403167282032	0.570382973103131	0.844282541959776	0.117309812401953	0.0866740040083932	0.255963449102459	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2-Hydroxypyridine	OC1=CC=CC=N1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines	Pyridinones
HMDB0001470	Tiglic acid	0.146440052262817	-0.0328797817263252	-0.139487736377338	-0.325136810797753	0.0021289042709804	-0.251261855759428	-0.462386919742874	-0.121227417289116	0.079566870544677	0.195082340176019	0.140971296639349	0.135174443132595	0.202264707801381	0.00352767382999053	0.122141000718835	0.180960770644433	0.154946405394966	0.102098591821418	0.750657656303933	-0.233237421447875	-1.03190908832162	-1.60748167256657	0.603486709253421	-2.05714587469137	-2.55517766693982	-0.782382895428271	0.77931408382055	0.453646519818916	0.815790043815286	0.303227560938984	0.109357351647922	0.54679555819653	0.0408304417616181	0.0112760977636843	0.434815862862475	0.436617283606345	0.721221077271428	0.990164667605541	0.992012981760531	0.64110747403594	0.927663815071906	0.113590833919862	0.0400643170543027	0.548711024989929	0.97437901167656	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Tiglic acid	C\C=C(/C)C(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Methyl-branched fatty acids
HMDB0256032	p-Benzoquinone imine	0.0127181552413409	0.142902126361674	0.0292187418661874	0.122642128996354	-0.0022107611788836	-0.0172217032145511	-0.155173668381698	0.104174639958519	0.00413840538467551	0.125330054681787	0.117768459183079	0.0808644593482846	0.22867724328367	0.00304309206563421	0.144033995571189	0.132135089068179	0.117212468546007	0.0834225794302516	0.101477297473716	1.21341594645069	0.36132983639131	0.536311034868557	-0.726485144452196	-0.119566933807924	-1.17435625522326	0.888767562451169	0.0496077370531987	0.919262354021431	0.22624877623611	0.718193463478491	0.592275799809199	0.468299874886472	0.904933380860284	0.241499326360681	0.375081422439215	0.960479185844152	0.971022621702818	0.990164667605541	0.992012981760531	0.866112400848673	0.923909891905136	0.945242217424217	0.375043655838276	0.496929907129921	0.9953403518932	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	p-Benzoquinone imine	N=C1C=CC(=O)C=C1	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Quinonimines	P-quinonimines
HMDB0041965	O-Toluidine	0.0906602805012969	-0.0405539812236276	-0.0737138697483159	-0.185002076001661	-0.000915123977120956	0.00530735473653303	0.289802863258326	-0.221095114306418	0.000404472238333097	0.116678911954291	0.0908082203529728	0.0830061441991332	0.11626181251566	0.0021243293880812	0.0856207969515347	0.10664093682325	0.106551220748978	0.0648526751741485	0.777006564277984	-0.446589318301733	-0.888053173166013	-1.59125401538654	-0.430782524713619	0.0619867476769369	2.71755736484812	-2.07501249401253	0.00623678571850691	0.437974665255557	0.65560305277744	0.375464722860679	0.112962662783942	0.667040733705439	0.950628659117265	0.00709076604983002	0.0391274766167514	0.995029348051596	0.708310751740884	0.990164667605541	0.992012981760531	0.643869818422318	0.959059975350978	0.970643697370575	0.027713077311419	0.0830352331821557	0.99769262821176	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	O-Toluidine	CC1=CC=CC=C1N	Organic compounds	Benzenoids	Benzene and substituted derivatives	Toluenes	Aminotoluenes
HMDB0040582	1-Methyl-2-pyrrolecarboxaldehyde	0.0525312010108282	-0.163855651413093	-0.259038434181996	-0.167974596500963	-0.000670345014975326	0.0415908512814816	0.295188195392113	0.368396610258541	-0.111085749399427	0.176705670078117	0.1402403099544	0.134643312396509	0.180472879793039	0.00337157411403092	0.131557455041104	0.160064433740587	0.156563720773867	0.104074033052973	0.297280788939062	-1.16839196566502	-1.92388637483278	-0.93074702799441	-0.198822565455602	0.316142108924856	1.8441835484235	2.35301389388053	-1.06737239002629	0.766527650348397	0.243890689875649	0.055636135532425	0.352986440526476	0.842581887110699	0.752189033762635	0.0664769986185395	0.0194880098115658	0.286952709751088	0.906985748205951	0.990164667605541	0.705225609856954	0.824931420732751	0.985187566441477	0.84802080969874	0.148465296914738	0.0478527570765673	0.949170802523168	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1-Methyl-2-pyrrolecarboxaldehyde	CN1C=CC=C1C=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Aryl-aldehydes
