accession	Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	name	smiles	kingdom	super_class	class	sub_class	direct_parent
HMDB0002134	Aminoacetone	-2.93144503645919e-11	-0.0696900997145618	-0.0730439538503796	0.0997260495818487	0.0924895708287003	0.135439948315234	0.0730439538503796	0.762	0.945328125	FALSE	Aminoacetone	CC(=O)CN	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Alpha-amino ketones
HMDB0244121	Tetrahydropyridine	-5.85482567007379e-11	-3.10257751683427e-10	-0.0770308563404441	0.0949262777588937	0.0870558056485815	0.119326349607563	0.0770308563404441	0.645	0.8911	FALSE	Tetrahydropyridine	C1CNC=CC1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines	Tetrahydropyridines
HMDB0002039	2-Pyrrolidinone	-1.27368874543654e-12	7.40929882760935e-11	0.130053482944879	0.078446846955331	0.0710423143022218	0.123047161053262	0.130053482944879	0.356	0.826333333333333	FALSE	2-Pyrrolidinone	O=C1CCCN1	Organic compounds	Organoheterocyclic compounds	Pyrrolidines	Pyrrolidones	Pyrrolidine-2-ones
HMDB0302405	4-Methylpyridine	-0.350519429634761	-0.350519430479646	-0.350519430558514	0.201338470935991	0.18746459634207	0.236346181800391	0.350519430558514	0.164	0.642983870967742	FALSE	4-Methylpyridine	CC1=CC=NC=C1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Methylpyridines	Methylpyridines
HMDB0003012	Aniline	-8.53237732237533e-10	-0.0880500380582512	-0.189167265637016	0.0937872500755748	0.0895947511010484	0.111651051590672	0.189167265637016	0.084	0.5628	FALSE	Aniline	NC1=CC=CC=C1	Organic compounds	Benzenoids	Benzene and substituted derivatives	Aniline and substituted anilines	Aniline and substituted anilines
HMDB0013751	2-Hydroxypyridine	-0.0948762574689741	-0.130043577943751	-0.130043578010557	0.135255459698106	0.123659534372884	0.150531236647467	0.130043578010557	0.483	0.853368421052632	FALSE	2-Hydroxypyridine	OC1=CC=CC=N1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines	Pyridinones
HMDB0001470	Tiglic acid	-0.0328797044008274	-0.139487700152914	-0.325136739694334	0.140971296639349	0.135174443132595	0.202264707801381	0.325136739694334	0.113	0.598214285714286	FALSE	Tiglic acid	C\C=C(/C)C(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Methyl-branched fatty acids
HMDB0256032	p-Benzoquinone imine	0.0615968950146919	0.0615968951420554	0.102705145686314	0.117768459183079	0.0808644593482846	0.22867724328367	0.102705145686314	0.836	0.963351351351351	FALSE	p-Benzoquinone imine	N=C1C=CC(=O)C=C1	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Quinonimines	P-quinonimines
HMDB0041965	O-Toluidine	-0.0405539698813444	-0.0737138486587302	-0.18500200775385	0.0908082203529728	0.0830061441991332	0.11626181251566	0.18500200775385	0.129	0.611121212121212	FALSE	O-Toluidine	CC1=CC=CC=C1N	Organic compounds	Benzenoids	Benzene and substituted derivatives	Toluenes	Aminotoluenes
HMDB0040582	1-Methyl-2-pyrrolecarboxaldehyde	-0.164155992758439	-0.231698510405613	-0.231698510608254	0.1402403099544	0.134643312396509	0.180472879793039	0.231698510608254	0.242	0.756653333333333	FALSE	1-Methyl-2-pyrrolecarboxaldehyde	CN1C=CC=C1C=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Aryl-aldehydes
