Feature	lfc_(Intercept)	lfc_statussc	lfc_age	lfc_loc2	lfc_loc3	lfc_loc4	lfc_abx_useyes	se_(Intercept)	se_statussc	se_age	se_loc2	se_loc3	se_loc4	se_abx_useyes	W_(Intercept)	W_statussc	W_age	W_loc2	W_loc3	W_loc4	W_abx_useyes	p_(Intercept)	p_statussc	p_age	p_loc2	p_loc3	p_loc4	p_abx_useyes	q_(Intercept)	q_statussc	q_age	q_loc2	q_loc3	q_loc4	q_abx_useyes	diff_(Intercept)	diff_statussc	diff_age	diff_loc2	diff_loc3	diff_loc4	diff_abx_useyes	passed_ss_(Intercept)	passed_ss_statussc	passed_ss_age	passed_ss_loc2	passed_ss_loc3	passed_ss_loc4	passed_ss_abx_useyes	Description	Ontology	Definition
GO_none	-0.0312396787939553	-0.017012348121663	3.46492841539414e-05	0.0220112545415602	0.0389622984097253	0.0445580165991048	0.021218329275983	0.0460019832883802	0.0329385514410301	0.000996127292303741	0.0441587062672975	0.0437764690475075	0.0433004160123245	0.0323493358862901	-0.679094172921155	-0.516487440321114	0.0347839923889728	0.498457867137766	0.890028347591083	1.02904361441752	0.655912360938931	0.497758035598771	0.606008091314238	0.972282023295734	0.618635630541835	0.374376644272696	0.304535448504796	0.512533276296038	0.990742433214556	0.902222130345987	0.999813298149393	0.999843293178325	0.999847471221903	0.900150437468184	0.853285626785729	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	none	none	none
GO:0005524	0.00287406088396208	-0.00779959776229776	-5.25221457216617e-05	-0.00387785255261536	-0.00546825308912321	-0.000424001886737163	0.00807288526434318	0.0417398400773044	0.031454739794208	0.000903694305675615	0.0422345578816092	0.0411812376168778	0.0413410542698474	0.0302303292844642	0.0688565379895842	-0.24796255868993	-0.0581193722166871	-0.0918170509440553	-0.132785059545711	-0.0102561943381887	0.267045892500151	0.945163380358852	0.804383653298923	0.953703787554974	0.926922970198076	0.89447896575055	0.991825736336133	0.789672078185279	0.999294240115144	0.968946870343792	0.999813298149393	0.999843293178325	0.999847471221903	0.99911684330958	0.963780359122584	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	ATP binding	MF	Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.
GO:0003677	0.000659352970263352	-0.0266642339351259	-0.000368277724376407	-0.000444102385967691	0.0100883836236775	0.0109999292907691	0.0395531520372851	0.0478017940664243	0.0335744383216432	0.000988888816245621	0.0456984900256552	0.0455605728399157	0.0436559681975939	0.032715993723464	0.0137934774863707	-0.794182576628162	-0.372415703693158	-0.00971809759399864	0.221427936367803	0.251968510719581	1.20898519456915	0.989006651728444	0.427904257846678	0.709924809567918	0.992254589534759	0.824954854795764	0.801289437034545	0.2279045263346	0.999294240115144	0.805763668076033	0.998169724564096	0.999843293178325	0.999847471221903	0.99911684330958	0.67671092596	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	DNA binding	MF	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
GO:0016020	0.0115055732057154	-0.0228311769643971	-0.000369457635532386	-0.0034141418120772	-0.00856164108623777	0.00147930260138774	0.0282360646043577	0.0467979751847412	0.0328993078370762	0.000961388908401733	0.0440643573098948	0.0453329271758556	0.0426236586081397	0.0321268668073356	0.245856218357645	-0.693971346675788	-0.384295712488084	-0.077480803545285	-0.188861421920218	0.0347061385552963	0.878892572179201	0.806011842025304	0.488397458294171	0.701112810738837	0.93830813074051	0.850367253110774	0.972344036871164	0.380372829783785	0.999294240115144	0.832664792568891	0.998169724564096	0.999843293178325	0.999847471221903	0.99911684330958	0.78534704025522	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	membrane	CC	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.
GO:0005975	0.00489771506842536	-0.0599827720377545	-0.000635052624371391	0.0296801332877556	0.0429491014730443	0.0405404776240569	0.0317943353077517	0.0526487902727804	0.0351451366867451	0.0010604393249522	0.0485264510620855	0.0489921796830269	0.0467140638593115	0.0349554187485604	0.0930261653316182	-1.70671614034089	-0.598858048196222	0.611627939776234	0.876652187163736	0.867843092096472	0.90956814268063	0.92596340476092	0.0892186462453241	0.549854357532819	0.541385415843466	0.381586328902654	0.386380895856689	0.363998349463696	0.999294240115144	0.359921901171839	0.998169724564096	0.999843293178325	0.999847471221903	0.941485815882263	0.775224898216158	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	carbohydrate metabolic process	BP	The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.
GO:0006355	0.00842296605767305	-0.0453698398369681	-0.000707169223927493	0.014555651561766	0.0091165470567837	0.0250972137148378	0.0498627539551854	0.0544557570775557	0.0360686660029861	0.00107389262310418	0.0488060033441767	0.0504737629269865	0.0464215014856132	0.0354232214249825	0.154675400907145	-1.2578740736686	-0.6585101794287	0.298234859738882	0.180619524444242	0.540637698300557	1.40762900575777	0.877212282283171	0.209707348245848	0.510866147962745	0.765791997942487	0.856824590872404	0.589278236528274	0.160585174561978	0.999294240115144	0.58895353021225	0.998169724564096	0.999843293178325	0.999847471221903	0.99911684330958	0.575723576928778	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	regulation of transcription, DNA-templated	BP	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.
GO:0016887	0.0110172686432045	-0.0212665229218351	-0.000243631911152065	-0.00453623573185541	-0.00742134774540454	-0.00307643744256659	0.0202437808597655	0.0451605872714533	0.0331768023874758	0.000956573315351123	0.0437756532738628	0.0440082171687283	0.0430639157614084	0.0321771807462881	0.243957603495752	-0.641005805003775	-0.254692355768503	-0.103624626764025	-0.168635500887277	-0.0714388691360836	0.629134697019742	0.807480186039485	0.522154335589999	0.799187313534514	0.917557151861622	0.866230918260331	0.943110286852036	0.529882543289962	0.999294240115144	0.855898317243128	0.998169724564096	0.999843293178325	0.999847471221903	0.99911684330958	0.855694552668378	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	ATPase activity	MF	Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.
GO:0003824	0.00714533802926646	-0.0169286123667448	-0.000265702325503245	0.00089426027083968	0.00365059284944623	0.00805137347500128	0.0131015213854626	0.0411712137417736	0.0307429672073208	0.000895899394504222	0.0413011335958982	0.0405976575471073	0.0401152883721748	0.0293055993990187	0.173551794564088	-0.550649917835961	-0.296576074426617	0.0216521967554056	0.0899212681226814	0.200705860576237	0.44706546373869	0.862369705198401	0.582405804684572	0.76705665873117	0.982744087408012	0.928427697521589	0.841105176222586	0.655246677271058	0.999294240115144	0.891280996340495	0.998169724564096	0.999843293178325	0.999847471221903	0.99911684330958	0.910493095345274	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	catalytic activity	MF	Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.
GO:0055085	0.00694318364777253	-0.0379537121867078	-0.000277987007351091	-0.00588736807479754	-0.00654253053578623	0.00614887894883306	0.0393558683801732	0.0489045016209302	0.0338861260105893	0.000996757667494679	0.0460286934639926	0.0473626774616214	0.0438371458238997	0.0334939498801632	0.141974325831816	-1.1200369193825	-0.278891265566889	-0.127906478149399	-0.138136838676144	0.140266407250463	1.17501424946843	0.887224030403233	0.263861191648116	0.780577784626393	0.898334264228053	0.890252610027514	0.888571733254515	0.241198767423048	0.999294240115144	0.651531815846569	0.998169724564096	0.999843293178325	0.999847471221903	0.99911684330958	0.679628030571049	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	transmembrane transport	BP	The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other.
GO:0000166	0.00368553318365888	0.000262796395148216	0.00011736225412625	-0.0110464850275672	-0.0138439392373109	-0.00899999186246782	-0.00199718746155045	0.0393534683439653	0.0303505413259457	0.000875186397528947	0.0408157225003208	0.0388103432158497	0.040486015798248	0.0289267119117156	0.0936520550474948	0.0086587053695665	0.13409972373613	-0.270642888349713	-0.356707467396402	-0.222298778603384	-0.0690430169749633	0.9254667348231	0.99309891209848	0.8934404775951	0.78690736890049	0.721636430511388	0.824277719151128	0.945015106990944	0.999294240115144	0.996798511228317	0.998169724564096	0.999843293178325	0.999847471221903	0.99911684330958	0.998559700528204	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	nucleotide binding	MF	Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.
