Feature	lfc_(Intercept)	lfc_statussc	lfc_age	lfc_loc2	lfc_loc3	lfc_loc4	lfc_abx_useyes	se_(Intercept)	se_statussc	se_age	se_loc2	se_loc3	se_loc4	se_abx_useyes	W_(Intercept)	W_statussc	W_age	W_loc2	W_loc3	W_loc4	W_abx_useyes	p_(Intercept)	p_statussc	p_age	p_loc2	p_loc3	p_loc4	p_abx_useyes	q_(Intercept)	q_statussc	q_age	q_loc2	q_loc3	q_loc4	q_abx_useyes	diff_(Intercept)	diff_statussc	diff_age	diff_loc2	diff_loc3	diff_loc4	diff_abx_useyes	passed_ss_(Intercept)	passed_ss_statussc	passed_ss_age	passed_ss_loc2	passed_ss_loc3	passed_ss_loc4	passed_ss_abx_useyes
s__Collinsella_aerofaciens	-0.174661246772833	0.341516293310938	0.00534804980646919	-0.3179779536251	0.0128880151062137	-0.0702152255864548	-0.0772602247317906	0.342646802723917	0.244304911335109	0.00667516811008746	0.339710200776627	0.309673592419098	0.303434237115195	0.233287718756896	-0.50974135869455	1.39791006019722	0.801185785626471	-0.93602709868045	0.0416180630887365	-0.231401789903486	-0.331179991572131	0.610725720307603	0.163498571325816	0.423858233681658	0.350249594756035	0.96683959537169	0.817210208756768	0.740812711925635	0.928165077755623	0.459804527414178	0.964792528033924	0.919783484020927	0.999774517512997	0.983339037008371	0.919040901687399	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Blautia_wexlerae	-0.146068259286843	-0.0141381536861334	0.00036884725646518	-0.103363211279285	-0.179604273575582	0.206969854490418	0.342393050771562	0.336115893719527	0.219068687394849	0.00643888253137868	0.277222495286651	0.321498674640573	0.272944625715782	0.215133274011239	-0.434577067065833	-0.0645375377661838	0.0572843586861031	-0.372852899878874	-0.558647010835658	0.758285142811116	1.5915392555857	0.664280453701778	0.948598766701036	0.954368850709558	0.709604313291538	0.576950880844223	0.449063393113211	0.112873761116613	0.946426184908644	0.989651271165998	0.98029565865095	0.959213870730772	0.999774517512997	0.952929540147357	0.66352616502672	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
s__Faecalibacterium_prausnitzii	0.414138689796751	-0.0373115477187201	-0.00225878568580069	-0.442114080709637	-0.228989723155613	-0.397311208616118	-0.0173790412524232	0.31582961588217	0.21088909816074	0.00610396350428276	0.265564133656191	0.289907018630846	0.262714291695776	0.197929107114582	1.31127249938226	-0.176924971675308	-0.370052292123937	-1.66481096156612	-0.78987298837079	-1.51233191788517	-0.0878043735243167	0.191084726371897	0.859724388105761	0.711687040488678	0.0973240277729306	0.430422650876082	0.131834273433002	0.930109231017458	0.856696523234005	0.980638675958642	0.964792528033924	0.698246523837224	0.999774517512997	0.709268391069553	0.974634216352127	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
s__Prevotella_copri	-0.413724010637736	1.30204093099621	0.0117752969348644	-0.0991020051047025	-0.469179427823087	0.108262369198895	-1.01818933362504	0.783023621665229	0.440610857685368	0.014601190006832	0.600378050047604	0.663514045305014	0.58092254973657	0.460299990723702	-0.528367215484359	2.95508135645167	0.806461454809825	-0.165066003157252	-0.707113031205553	0.186362827967323	-2.21201250085667	0.597789445426191	0.00347424160984699	0.420867977487445	0.869047126734451	0.48026194419398	0.852335962792934	0.028018401335859	0.926119441576554	0.0406335214369061	0.964792528033924	0.970515574863458	0.999774517512997	0.983339037008371	0.53835356852472	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
s__Catenibacterium_mitsuokai	-2.12355381419934	2.05240563460409	0.0280998790595717	0.37053042702156	0.339247523835909	-0.025568698148027	0.0648820446584304	0.836294839788541	0.450682525382421	0.0144530509167458	0.650576087133252	0.688291104899079	0.645534436384357	0.462510346858725	-2.53924060411073	4.55399426206407	1.9442178140405	0.569542032591903	0.492883783360315	-0.03960857346548	0.140282363625151	0.0118229898965386	8.85257534467388e-06	0.0531861049961215	0.569588507432394	0.622602428272956	0.968442292098169	0.888569464846779	0.289125843833534	0.00119067138385864	0.794836791330926	0.923367095920227	0.999774517512997	0.983339037008371	0.967713303820986	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
s__Dorea_longicatena	0.019780880333939	0.102295056045722	-0.00137097614590973	-0.247898372653708	0.00603463552841497	-0.157990548295153	0.283917097342491	0.28591815537409	0.200873753049564	0.00583991247916896	0.250203801763494	0.285159857314126	0.242929469746254	0.189015131648198	0.0691837155568455	0.509250484409884	-0.234759707581239	-0.990785795045732	0.0211622897600462	-0.65035562980555	1.50208660474299	0.944904022925771	0.611069160178444	0.814605935772033	0.322840492164645	0.983134704210755	0.51611731932971	0.134458437141565	0.988300657811431	0.908952600413832	0.970617866958976	0.919783484020927	0.999774517512997	0.956890315395916	0.66352616502672	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
s__Mediterraneibacter_faecis	0.276645988735948	0.108464757600242	-0.003625022182435	0.0690297497796913	-0.136740225981307	-0.419100508171456	-0.0332404892544697	0.33499317558744	0.222714803353481	0.00619068903632133	0.27917454534383	0.323241343857415	0.290004562078672	0.210397007778264	0.825825744810548	0.487011891293515	-0.585560373193786	0.247263767170015	-0.42302826844336	-1.44515143198942	-0.157989363087814	0.409766229805505	0.626717771023227	0.558750116339723	0.804926608858994	0.672673362503595	0.149788347046222	0.874605015664585	0.926017502357255	0.916234132637218	0.964792528033924	0.970515574863458	0.999774517512997	0.718731044729629	0.961492897073134	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Fusicatenibacter_saccharivorans	0.186872155699342	-0.00860054212583233	-0.00737822589743237	-0.0814235265123004	0.40863445137699	-0.157898181583077	0.286116435538683	0.334515874633421	0.222127525176197	0.00657858942572483	0.288328538914139	0.30817352915139	0.276736813251604	0.218044942454426	0.558634641492352	-0.0387189391274681	-1.12155135697945	-0.282398429302024	1.32598816161219	-0.57057165516869	1.31219019491124	0.576959310165429	0.969148354318607	0.263233057997535	0.777894207209429	0.186170482078539	0.568851916283413	0.190775482821558	0.926119441576554	0.989651271165998	0.964792528033924	0.970515574863458	0.999774517512997	0.961019774771573	0.698613752170371	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Holdemanella_biformis	-0.689212795819778	1.21455014344343	0.00880828021730391	0.120613895571898	-0.160422482385134	0.0144750847817469	-0.222287136476974	0.581296118070758	0.345723175691894	0.0106377406276706	0.477117702120049	0.567502422089533	0.465575919111728	0.354433860825674	-1.18564837162027	3.51307123398007	0.828021713031057	0.252796940955988	-0.282681581859089	0.0310907076323103	-0.627161118181947	0.237011822042487	0.00053529118078514	0.408535608228602	0.800655934618501	0.777680815943858	0.97522476132702	0.531189515241097	0.912125682860074	0.0205704753758861	0.964792528033924	0.970515574863458	0.999774517512997	0.983339037008371	0.854887254277446	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Ruminococcus_bromii	-0.378192570557251	0.224549550559383	0.00817109088857816	0.523953102997849	0.103027828386816	0.409854396632019	-0.60374817091964	0.530488648614331	0.336614381639241	0.0104312190393452	0.445434892405856	0.51017373441866	0.457568967807114	0.347067085999734	-0.71291359682269	0.667082462329371	0.783330390988617	1.17627314772739	0.201946555528218	0.895721575255059	-1.73957195964155	0.476631426189343	0.505396978159268	0.434249623078624	0.240717813005238	0.840139367694865	0.371350330717853	0.0832896554943849	0.926017502357255	0.81341981468068	0.964792528033924	0.85361642971103	0.999774517512997	0.937249492502145	0.66352616502672	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__sp.	-0.144686756657364	0.206050714547033	0.000533762413441232	0.184865206359466	0.0452863510585422	0.0512197089179387	0.00606825291370878	0.221384797332822	0.152972576159298	0.00445589856752323	0.205649837582977	0.207717574993988	0.185758723182118	0.143749182931317	-0.653553262918261	1.34697812980846	0.119787828504794	0.89893193465264	0.218018870381347	0.275732455738957	0.0422141732562625	0.514058223226288	0.179324540044453	0.904756708225217	0.369637283599491	0.827609409877891	0.783003308900143	0.966364908528292	0.926017502357255	0.485157904114249	0.98029565865095	0.919783484020927	0.999774517512997	0.983339037008371	0.98135298060352	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
s__Blautia_obeum	-0.108765018276961	-0.133956012822176	0.000602947187102813	-0.0809360808735488	-0.046896872147914	0.141234100815317	0.313363202378961	0.3103273154372	0.209221552354752	0.00592335387052845	0.262139317194918	0.294015288635301	0.256911825628275	0.203879477492133	-0.350484836063269	-0.640259147848413	0.101791518839144	-0.308752161787953	-0.159504875972914	0.54973764041391	1.53700218498477	0.726298457689408	0.522647035385658	0.919011620469509	0.757791991798879	0.873412325859894	0.583037417018947	0.125679346293453	0.950672896574713	0.822175745723638	0.98029565865095	0.970515574863458	0.999774517512997	0.961019774771573	0.66352616502672	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
s__Extibacter_muris	0.472847547158903	-0.0368615924390081	-0.0117358282475799	-0.137127335533152	0.371648926352696	-0.00260361146182418	0.0339752568108339	0.541276460662254	0.360082761697979	0.00998096419584446	0.495596499052086	0.525514496340389	0.465382731706824	0.365367223337819	0.873578626678818	-0.10236977817318	-1.17582109476619	-0.276691493574777	0.707209656328813	-0.00559455966979103	0.0929893396031871	0.383266925973888	0.918553147366508	0.240892681514077	0.782267673052781	0.480158397486927	0.995541102410387	0.925993688349673	0.926017502357255	0.989651271165998	0.964792528033924	0.970515574863458	0.999774517512997	0.995541102410387	0.974634216352127	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Gemmiger_formicilis	0.207943023278835	-0.210832476316556	0.00303622174268785	-0.221728917197543	-0.145566823710275	-0.526855134743974	0.0188358835865529	0.310543573582537	0.208295425896473	0.00622202948061578	0.260648346412177	0.27698711915742	0.259197338277555	0.19922354186664	0.669609809921141	-1.01218005824738	0.487979324454656	-0.850682232401013	-0.525536437048342	-2.03264099178289	0.0945464748295741	0.503784097857232	0.312524902754292	0.626033418291426	0.395838381721419	0.599721054598764	0.043247932897676	0.924758103535104	0.926017502357255	0.683489421470768	0.964792528033924	0.919783484020927	0.999774517512997	0.410748783821548	0.974634216352127	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
s__Holdemanella_porci	-0.599612814211928	1.22748966378675	0.00637228962604534	0.287502344903852	0.00194951229117139	0.0509650390003377	-0.479326408931949	0.608244530261388	0.319178996186892	0.0107182016407702	0.47662517991248	0.545318652011419	0.43869376476471	0.338311743620348	-0.985808806129748	3.84577205408593	0.594529739187427	0.603204272499083	0.00357499653455933	0.11617452330938	-1.41681871224029	0.325335027711435	0.000158334815529727	0.55278297922402	0.547008601016667	0.997150886402065	0.907622667009282	0.157983279349285	0.912125682860074	0.00851841307549931	0.964792528033924	0.923367095920227	0.999774517512997	0.983339037008371	0.66352616502672	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Bifidobacterium_adolescentis	-1.36986698621186	-0.443855435763989	0.0310311134099232	0.880692629779925	0.793265233054058	0.432562634903392	-0.694853920350079	0.863903623290559	0.552106978687419	0.0173471340357748	0.716365358941887	0.794658704018501	0.714557483484222	0.515090607821476	-1.58567107404194	-0.803930131111932	1.78883228468334	1.22939030871169	0.998246453531061	0.605357364384727	-1.34899357472056	0.114705670163038	0.422580200219343	0.0754544407842835	0.220654814153611	0.31960408435549	0.545763339836008	0.179165303369661	0.856696523234005	0.794923593419603	0.922602025953284	0.85361642971103	0.999774517512997	0.959566652859582	0.698613752170371	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
s__Blautia_massiliensis	0.21081391115837	-0.173902231543674	-0.00760280668358338	0.0557574649840484	-0.0676449665277138	-0.157793240817401	0.463317573360034	0.400411729631162	0.264181681789059	0.00802531999785442	0.336687230096146	0.344590636279919	0.328702206870891	0.243523238963753	0.526492846132556	-0.658267561800632	-0.947352465149801	0.165606117488109	-0.196305295053822	-0.480049228508464	1.9025599993313	0.599059873465652	0.511033266472249	0.344466592403424	0.868614326907617	0.844546844685186	0.63165463152449	0.0583635699040287	0.926119441576554	0.81341981468068	0.964792528033924	0.970515574863458	0.999774517512997	0.961019774771573	0.66352616502672	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
