Feature	lfc	p	q
Mogibacterium kristiansenii	2.651	1.53555348051429e-08	4.14599439738858e-06
Catenibacterium mitsuokai	2.007	1.22540062368587e-05	0.00165429084197592
Bacteroides uniformis	-1.441	0.000103083952960897	0.00808495229522898
Holdemanella porci	1.225	0.00014860349929889	0.00808495229522898
Prevotella sp. Marseille P4119	1.112	0.000374235127117852	0.0168405807203034
Holdemanella biformis	1.204	0.000557972118327298	0.0215217817069101
Olsenella uli	1.327	0.000843262833700839	0.0252978850110252
Alistipes putredinis	-1.462	0.0016209798749568	0.0309911306016394
Alistipes shahii	-1.192	0.00141181833352238	0.0309911306016394
Phocaeicola vulgatus	-1.165	0.00121046673049312	0.0309911306016394
Desulfovibrio piger	1.278	0.00132654669891411	0.0309911306016394
Bacteroides thetaiotaomicron	-0.982	0.00211238793677715	0.0316858190516572
Senegalimassilia faecalis	1.135	0.00209893018287965	0.0316858190516572
Slackia isoflavoniconvertens	0.937	0.00255906431293155	0.0363656507627116
Paratractidigestivibacter faecalis	1.425	0.00306623909754667	0.0394230741113144
Phascolarctobacterium sp. Marseille Q4147	1.11	0.00339859558509857	0.0413021738985719
Prevotella copri	1.292	0.00351833333210057	0.0413021738985719
Brachyspira aalborgi	1.018	0.00534098940486408	0.0576826855725321
Prevotella sp. P4 67	0.838	0.00669248145471629	0.06453464259905
