Feature	lfc	se	p	q	change	p_sig
Bacteroides uniformis	-1.51347855402882	0.362669629035714	4.31967238146454e-05	0.00387330623537987	Lower in Pre-HIV	**
Alistipes putredinis	-1.48626070376911	0.45812002363099	0.00140383061387479	0.0252529162429313	Lower in Pre-HIV	*
Alistipes shahii	-1.24000456160132	0.367048363341777	0.000904283128310364	0.0248405252129167	Lower in Pre-HIV	*
Phocaeicola vulgatus	-1.22234786113408	0.35563776051638	0.000699334322359653	0.0235151165893433	Lower in Pre-HIV	*
Bacteroides thetaiotaomicron	-1.01383837585908	0.316641629744018	0.00156659801866639	0.0260911450980169	Lower in Pre-HIV	*
Alistipes onderdonkii	-0.889065807122841	0.340535477847954	0.00975035209608557	0.0794801428438491	Lower in Pre-HIV	+
Prevotella sp. P4 67	0.813222014738734	0.304889484556897	0.00863514688719666	0.0761702794345882	Higher in Pre-HIV	+
Slackia isoflavoniconvertens	0.936325966308047	0.30926562151632	0.00275135249662021	0.0370056910795418	Higher in Pre-HIV	*
Brachyspira aalborgi	1.01779924965486	0.360268977299547	0.00562236741421556	0.0560154383119994	Higher in Pre-HIV	+
Prevotella sp. Marseille P4119	1.11208080500803	0.307696926090884	0.00039537409232039	0.0177259384723642	Higher in Pre-HIV	*
Phascolarctobacterium sp. Marseille Q4147	1.12374783321141	0.37583529599999	0.00317579228597718	0.0388312784058119	Higher in Pre-HIV	*
Senegalimassilia faecalis	1.12925902193506	0.366369379849307	0.00232288505555503	0.0328871621023317	Higher in Pre-HIV	*
Holdemanella biformis	1.21455014344343	0.345723175691894	0.00053529118078514	0.0205704753758861	Higher in Pre-HIV	*
Holdemanella porci	1.22748966378675	0.319178996186892	0.000158334815529727	0.00851841307549931	Higher in Pre-HIV	**
Desulfovibrio piger	1.27797708688584	0.394327600357572	0.0014081551808326	0.0252529162429313	Higher in Pre-HIV	*
Prevotella copri	1.30204093099621	0.440610857685368	0.00347424160984699	0.0406335214369061	Higher in Pre-HIV	*
Olsenella uli	1.31305706364925	0.394177353657417	0.0010157835588925	0.0248405252129167	Higher in Pre-HIV	*
Paratractidigestivibacter faecalis	1.43303724664876	0.477921883847818	0.00305764133796398	0.0388312784058119	Higher in Pre-HIV	*
Catenibacterium mitsuokai	2.05240563460409	0.450682525382421	8.85257534467388e-06	0.00119067138385864	Higher in Pre-HIV	**
Mogibacterium kristiansenii	2.68153384664976	0.454160056978953	1.31498625669846e-08	3.53731303051887e-06	Higher in Pre-HIV	***
