Feature	Description	lfc	p	q	Ontology	Definition
GO:0015942	formate metabolic process	0.369	0.00111508134974967	0.0775188034622268	BP	The chemical reactions and pathways involving formate, also known as methanoate, the anion HCOO- derived from methanoic (formic) acid.
GO:1901681	sulfur compound binding	-0.397	0.00143135789233898	0.0959520987114378	MF	Interacting selectively and non-covalently with a sulfur compound.
GO:0000272	polysaccharide catabolic process	-0.465	0.00169695908382073	0.102748135494565	BP	The chemical reactions and pathways resulting in the breakdown of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically.
GO:0015574	trehalose transmembrane transporter activity	-0.384	0.00166453742979939	0.102748135494565	MF	Enables the transfer of trehalose from one side of a membrane to the other. Trehalose is the disaccharide alpha-D-glucopyranosyl-alpha-D-glucopyranoside that acts of a reserve carbohydrate in certain fungi, algae and lichens.
GO:0015771	trehalose transport	-0.384	0.00166453742979939	0.102748135494565	BP	The directed movement of trehalose into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Trehalose is a disaccharide isomeric with sucrose and obtained from certain lichens and fungi.
GO:0009421	bacterial-type flagellum filament cap	0.401	0.00179542187242331	0.10531271420433	CC	The proteinaceous structure at the distal tip of the bacterial-type flagellar filament.
GO:0015572	N-acetylglucosamine transmembrane transporter activity	0.358	0.00195506422966549	0.111201683608549	MF	Enables the transfer of N-acetylglucosamine from one side of a membrane to the other. The D isomer of N-acetylglucosamine is a common structural unit of glycoproteins in plants, bacteria and animals; it is often the terminal sugar of an oligosaccharide group of a glycoprotein.
GO:0019866	organelle inner membrane	0.355	0.00212245175770013	0.117171822035386	CC	The inner, i.e. lumen-facing, lipid bilayer of an organelle envelope; usually highly selective to most ions and metabolites.
GO:0035494	SNARE complex disassembly	-0.245	0.00238374278553789	0.127836720241561	BP	The disaggregation of the SNARE protein complex into its constituent components. The SNARE complex is a protein complex involved in membrane fusion; a stable ternary complex consisting of a four-helix bundle, usually formed from one R-SNARE and three Q-SNAREs with an ionic layer sandwiched between hydrophobic layers.
GO:0016742	hydroxymethyl-, formyl- and related transferase activity	0.326	0.00252256034243138	0.131523493409547	MF	Catalysis of the transfer of a hydroxymethyl- or formyl group from one compound (donor) to another (acceptor).
GO:0019062	virion attachment to host cell	0.311	0.00277630647478727	0.13713492771515	BP	The process by which a virion protein binds to molecules on the host cellular surface or host cell surface projection.
GO:0047343	glucose-1-phosphate cytidylyltransferase activity	0.447	0.0027406213959316	0.13713492771515	MF	Catalysis of the reaction: alpha-D-glucose 1-phosphate + CTP = CDP-D-glucose + diphosphate.
GO:0008663	2',3'-cyclic-nucleotide 2'-phosphodiesterase activity	0.29	0.0031486510654104	0.140921825963667	MF	Catalysis of the reaction: nucleoside 2',3'-cyclic phosphate + H2O = nucleoside 3'-phosphate.
GO:0016485	protein processing	0.332	0.00307841205724813	0.140921825963667	BP	Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
GO:0019594	mannitol metabolic process	0.398	0.00299461148229885	0.140921825963667	BP	The chemical reactions and pathways involving mannitol, the alditol derived from D-mannose by reduction of the aldehyde group.
GO:0003910	DNA ligase (ATP) activity	0.571	0.00315328539716249	0.140921825963667	MF	Catalysis of the reaction: ATP + deoxyribonucleotide(n) + deoxyribonucleotide(m) = AMP + diphosphate + deoxyribonucleotide(n+m).
GO:0030257	type III protein secretion system complex	0.367	0.00342168151398089	0.149360376784701	CC	A complex of approximately 20 proteins, most of which are located in the cytoplasmic membrane that carries out protein secretion in the bacterial type III secretion system; type III secretion also requires a cytoplasmic, probably membrane-associated ATPase.
GO:0006047	UDP-N-acetylglucosamine metabolic process	-0.24	0.00379081450777351	0.160329375042143	BP	The chemical reactions and pathways involving UDP-N-acetylglucosamine, a substance composed of N-acetylglucosamine, a common structural unit of oligosaccharides, in glycosidic linkage with uridine diphosphate.
GO:0030570	pectate lyase activity	0.292	0.00384380494240621	0.160329375042143	MF	Catalysis of the reaction: a pectate = a pectate + a pectate oligosaccharide with 4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate end. This reaction is the eliminative cleavage of pectate to give oligosaccharides with 4-deoxy-alpha-D-gluc-4-enuronosyl groups at their non-reducing ends.
GO:0006486	protein glycosylation	0.356	0.00447894068675016	0.182760253674566	BP	A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins.
GO:0009132	nucleoside diphosphate metabolic process	0.305	0.00515397550986254	0.205830043234298	BP	The chemical reactions and pathways involving a nucleoside diphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with diphosphate on the sugar.
GO:0030254	protein secretion by the type III secretion system	0.342	0.00587093712391774	0.2295781037832	BP	The process in which proteins are transferred into the extracellular milieu or directly into host cells by the bacterial type III secretion system; secretion occurs in a continuous process without the distinct presence of periplasmic intermediates and does not involve proteolytic processing of secreted proteins.
GO:0006397	mRNA processing	-0.328	0.00616050166939959	0.235984931295164	BP	Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide.
GO:0004352	glutamate dehydrogenase (NAD+) activity	-0.631	0.00697361754136638	0.256656473042053	MF	Catalysis of the reaction: L-glutamate + H2O + NAD+ = 2-oxoglutarate + NH3 + NADH + H+.
GO:0019551	glutamate catabolic process to 2-oxoglutarate	-0.631	0.00697361754136638	0.256656473042053	BP	The chemical reactions and pathways resulting in the breakdown of glutamate into other compounds, including 2-oxoglutarate.
GO:0004674	protein serine/threonine kinase activity	-0.364	0.00722966532196803	0.25791001097896	MF	Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate.
GO:0008733	L-arabinose isomerase activity	0.448	0.0072824883227943	0.25791001097896	MF	Catalysis of the reaction: L-arabinose = L-ribulose.
GO:0047111	formate dehydrogenase (cytochrome-c-553) activity	0.265	0.0078340145875933	0.272304544090975	MF	Catalysis of the reaction: ferricytochrome C-553 + formate = ferrocytochrome C-553 + CO2.
GO:0030908	protein splicing	-0.302	0.00800089266799447	0.273048646142284	BP	The post-translational removal of peptide sequences from within a protein sequence.
GO:0016539	intein-mediated protein splicing	0.455	0.00815564390825389	0.273359707424867	BP	The removal of an internal amino acid sequence (an intein) from a protein during protein maturation; the excision of inteins is precise and the N- and C-terminal exteins are joined by a normal peptide bond. Protein splicing involves 4 nucleophilic displacements by the 3 conserved splice junction residues.
GO:0070204	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity	0.297	0.00834151003067622	0.274684461887356	MF	Catalysis of the reaction: 2-oxoglutarate + H(+) + isochorismate = 5-enolpyruvoyl-6-hydroxy-2-succinyl-cyclohex-3-ene-1-carboxylate + CO(2).
