Description	lfc	se	p	q	change	p_sig
glutamate dehydrogenase (NAD+) activity	-0.635881285187457	0.231750567637028	0.00669130361299367	0.243919457486769	Lower in Pre-HIV	
glutamate catabolic process to 2-oxoglutarate	-0.635881285187457	0.231750567637028	0.00669130361299367	0.243919457486769	Lower in Pre-HIV	
2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity	-0.512924970702314	0.159405196443424	0.00193765333998584	0.110925308680763	Lower in Pre-HIV	
polysaccharide catabolic process	-0.46401595963885	0.143554330127858	0.00174145450027475	0.105442261194055	Lower in Pre-HIV	
trehalose transmembrane transporter activity	-0.400033272486104	0.119979163760284	0.00110656177898718	0.0769265355244048	Lower in Pre-HIV	+
trehalose transport	-0.400033272486104	0.119979163760284	0.00110656177898718	0.0769265355244048	Lower in Pre-HIV	+
sulfur compound binding	-0.396394936417168	0.118396101828701	0.00153553610303429	0.0993862505308748	Lower in Pre-HIV	+
protein serine/threonine kinase activity	-0.367351995749528	0.1337801655848	0.00695500005532646	0.243919457486769	Lower in Pre-HIV	
mRNA processing	-0.331540396828385	0.11631217291479	0.00597639192966327	0.243919457486769	Lower in Pre-HIV	
protein splicing	-0.305544617925824	0.109681838577291	0.00743520178040065	0.245715452570253	Lower in Pre-HIV	
autophagy	-0.255532446434134	0.0961537493795905	0.00940165558760479	0.299100127761596	Lower in Pre-HIV	
SNARE complex disassembly	-0.254972918893707	0.0772201529726823	0.00169118265920879	0.105442261194055	Lower in Pre-HIV	
UDP-N-acetylglucosamine metabolic process	-0.243165516612703	0.0800503373884651	0.00366814635785423	0.17212776784231	Lower in Pre-HIV	
formate dehydrogenase (cytochrome-c-553) activity	0.271371389772806	0.0981218755280854	0.00673372713969304	0.243919457486769	Higher in Pre-HIV	
pectate lyase activity	0.271688183850641	0.0981387889201636	0.00718012319284591	0.245038022417669	Higher in Pre-HIV	
nucleoside diphosphate metabolic process	0.30895056594604	0.106198517881168	0.00478255183396605	0.205879360700364	Higher in Pre-HIV	
hydroxymethyl-, formyl- and related transferase activity	0.310139677732087	0.106400418708774	0.00419197117230042	0.1919104851319	Higher in Pre-HIV	
protein processing	0.335578473210631	0.110158435213659	0.00270025689013519	0.140788393966215	Higher in Pre-HIV	
protein secretion by the type III secretion system	0.342810772110283	0.11852759305612	0.00597916651440885	0.243919457486769	Higher in Pre-HIV	
organelle inner membrane	0.351432603519711	0.113633054702387	0.00247161184930647	0.132549012604236	Higher in Pre-HIV	
N-acetylglucosamine transmembrane transporter activity	0.354279317999149	0.113592883085914	0.00227763911885422	0.125739077237923	Higher in Pre-HIV	
bacterial-type flagellum filament cap	0.354629281465105	0.119164360129858	0.00464354156079896	0.205879360700364	Higher in Pre-HIV	
rhamnose metabolic process	0.36614222101698	0.137273794320571	0.00887116125359562	0.287089132293086	Higher in Pre-HIV	
type III protein secretion system complex	0.367198424462756	0.118792353151425	0.00349298633370936	0.17212776784231	Higher in Pre-HIV	
formate metabolic process	0.36959707689642	0.109721158299884	0.00114799424863158	0.0769566144529099	Higher in Pre-HIV	+
glucose-1-phosphate cytidylyltransferase activity	0.399621889155488	0.144327626438211	0.00672826540627663	0.243919457486769	Higher in Pre-HIV	
mannitol metabolic process	0.399804524208572	0.131741984892374	0.00291644406176643	0.147950419025286	Higher in Pre-HIV	
L-arabinose isomerase activity	0.449342755930056	0.163923997723876	0.00746179051491976	0.245715452570253	Higher in Pre-HIV	
intein-mediated protein splicing	0.466612879922278	0.170140074811964	0.00686053034294352	0.243919457486769	Higher in Pre-HIV	
DNA ligase (ATP) activity	0.564961622911933	0.191853594951545	0.00361112837541713	0.17212776784231	Higher in Pre-HIV	
