Feature	Description	lfc_group1g2	lfc_group1g3	lfc_group1g4	p	q	Ontology	Definition
GO:0051015	actin filament binding	-0.34	-1.09	-1.09	0	0	MF	Interacting selectively and non-covalently with an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits.
GO:0006602	creatinine catabolic process	0	-0.201	-0.732	0	0	BP	The chemical reactions and pathways resulting in the breakdown of creatinine, 2-amino-1,5-dihydro-1-methyl-4H-imidazol-4-one, an end product of creatine metabolism and a normal constituent of urine.
GO:0008821	crossover junction endodeoxyribonuclease activity	0.062	0.264	0.352	0	0	MF	Catalysis of the endonucleolytic cleavage at a junction such as a reciprocal single-stranded crossover between two homologous DNA duplexes (Holliday junction).
GO:0015075	ion transmembrane transporter activity	0.094	0.29	0.59	0	0	MF	Enables the transfer of an ion from one side of a membrane to the other.
GO:0050355	triphosphatase activity	0.37	0.376	0.68	0	0	MF	Catalysis of the reaction: H(2)O + triphosphate = diphosphate + phosphate.
GO:0004038	allantoinase activity	0.267	0.396	0.776	0	0	MF	Catalysis of the reaction: allantoin + H2O = allantoate.
GO:0050897	cobalt ion binding	0.387	0.435	0.806	0	0	MF	Interacting selectively and non-covalently with a cobalt (Co) ion.
GO:0000256	allantoin catabolic process	0.317	0.44	0.809	0	0	BP	The chemical reactions and pathways resulting in the breakdown of allantoin, (2,5-dioxo-4-imidazolidinyl)urea.
GO:0098015	virus tail	0.281	0.281	0.934	0	0	CC	Part of the virion that may be used to recognize, attach and inject the viral genome and accessory proteins into the host cell.
GO:0006644	phospholipid metabolic process	0.154	0.389	1.043	0	0	BP	The chemical reactions and pathways involving phospholipids, any lipid containing phosphoric acid as a mono- or diester.
GO:0090305	nucleic acid phosphodiester bond hydrolysis	0.439	0.439	1.057	0	0	BP	The nucleic acid metabolic process in which the phosphodiester bonds between nucleotides are cleaved by hydrolysis.
GO:0006601	creatine biosynthetic process	0	-0.201	-0.732	0.001	0.0308695652173913	BP	The chemical reactions and pathways resulting in the formation of creatine, N-[amino(imino)methyl]-N-methylglycine. Creatine is formed by a process beginning with amidino group transfer from L-arginine to glycine to form guanidinoacetate, followed by methyl group transfer from S-adenosyl-L-methionine to guanidinoacetate; it is then is phosphorylated to form a pool that stores high energy phosphate for the replenishment of ATP during periods of high, or fluctuating energy demand. In animals, most creatine is transported to and used in muscle.
GO:0047789	creatininase activity	0	-0.201	-0.732	0.001	0.0308695652173913	MF	Catalysis of the reaction: creatinine + H(2)O = creatine.
GO:0008775	acetate CoA-transferase activity	0	0.163	0.274	0.001	0.0308695652173913	MF	Catalysis of the reaction: acyl-CoA + acetate = a fatty acid anion + acetyl-CoA.
GO:0004797	thymidine kinase activity	0.068	0.181	0.299	0.001	0.0308695652173913	MF	Catalysis of the reaction: ATP + thymidine = ADP + thymidine 5'-phosphate.
GO:0030430	host cell cytoplasm	0.204	0.315	0.995	0.001	0.0308695652173913	CC	The cytoplasm of a host cell.
GO:0031640	killing of cells of other organism	0	0	-1.095	0.002	0.0501176470588235	BP	Any process in an organism that results in the killing of cells of another organism, including in some cases the death of the other organism. Killing here refers to the induction of death in one cell by another cell, not cell-autonomous death due to internal or other environmental conditions.
GO:0050829	defense response to Gram-negative bacterium	0	0	-1.095	0.002	0.0501176470588235	BP	Reactions triggered in response to the presence of a Gram-negative bacterium that act to protect the cell or organism.
GO:0004149	dihydrolipoyllysine-residue succinyltransferase activity	0	-0.305	-0.989	0.002	0.0501176470588235	MF	Catalysis of the reaction: succinyl-CoA + dihydrolipoamide = CoA + S-succinyldihydrolipoamide.
GO:0016977	chitosanase activity	0	-0.42	-0.892	0.002	0.0501176470588235	MF	Catalysis of the endohydrolysis of beta-1,4-linkages between N-acetyl-D-glucosamine and D-glucosamine residues in a partly acetylated chitosan.
GO:0047304	2-aminoethylphosphonate-pyruvate transaminase activity	-0.095	-0.511	-0.629	0.002	0.0501176470588235	MF	Catalysis of the reaction: (2-aminoethyl)phosphonate + pyruvate = L-alanine + phosphonoacetaldehyde.
