Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	passed_ss	Description	Ontology	Definition
GO_none	2.77667196588116e-11	-0.021561159598158	-0.0220184847533665	0.0544166807386045	0.0461176385680693	0.0583062936194794	0.0220184847533665	0.889	0.999469234382339	FALSE	TRUE	none	none	none
GO:0005524	6.9521480268161e-11	-0.0036159188454611	-0.0107669843058853	0.0518263579563908	0.044686699581232	0.0585376403026812	0.0107669843058853	0.983	0.999469234382339	FALSE	TRUE	ATP binding	MF	Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.
GO:0003677	-0.00108179924235353	-0.0282125349689655	-0.0408917968171931	0.0546835000340601	0.0474335784913184	0.0613773005878023	0.0408917968171931	0.65	0.952200825309491	FALSE	TRUE	DNA binding	MF	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
GO:0016020	-0.00760688173268684	-0.0236771091141361	-0.0426784041361476	0.0547851667650832	0.0471334607029768	0.0618642746598605	0.0426784041361476	0.61	0.937445887445887	FALSE	TRUE	membrane	CC	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.
GO:0005975	-0.0164071240126473	-0.0247054825410442	-0.0541337892162627	0.0585775007693588	0.050920883976522	0.0637226164810572	0.0541337892162627	0.489	0.867452596867271	FALSE	TRUE	carbohydrate metabolic process	BP	The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.
GO:0006355	-0.0158314836735599	-0.0574666097298221	-0.0840819095143302	0.0594039619263412	0.0514494378218514	0.0667473558748784	0.0840819095143302	0.244	0.69296	FALSE	TRUE	regulation of transcription, DNA-templated	BP	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.
GO:0016887	-0.00169018836266153	-0.022386593230718	-0.0384593186566364	0.0541770596358632	0.0468824235456188	0.0616939040320002	0.0384593186566364	0.677	0.966244162775184	FALSE	TRUE	ATPase activity	MF	Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.
GO:0003824	-0.0086915759869261	-0.0121387394860071	-0.0144315208210232	0.0512610603446068	0.0443209499108687	0.0578727941661022	0.0144315208210232	0.958	0.999469234382339	FALSE	TRUE	catalytic activity	MF	Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.
GO:0055085	-0.00584325540248611	-0.0234179111355841	-0.0505750563024614	0.0563788750019009	0.04887181011206	0.0631725696612312	0.0505750563024614	0.51	0.878883495145631	FALSE	TRUE	transmembrane transport	BP	The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other.
GO:0000166	0.0031140775664381	0.011775713083179	0.0117757132803695	0.050018212566654	0.0434660402812792	0.0567175747689285	0.0117757132803695	0.971	0.999469234382339	FALSE	TRUE	nucleotide binding	MF	Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.
