Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W_group1g2	W_group1g3	W_group1g4	p_group1g2	p_group1g3	p_group1g4	q_group1g2	q_group1g3	q_group1g4	diff_group1g2	diff_group1g3	diff_group1g4	passed_ss_group1g2	passed_ss_group1g3	passed_ss_group1g4
s__Collinsella_aerofaciens	0.120122752531312	0.0738213978075295	-0.0547744948387872	0.350230691670564	0.344190963820337	0.406145412158681	0.342981798534956	0.214478024025242	-0.134864246151786	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Blautia_wexlerae	-0.0987846540477531	-0.262957625288041	-0.522571020406684	0.321261277353484	0.284212596866546	0.366599699308174	-0.307490074314373	-0.925214533722847	-1.42545403444916	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Faecalibacterium_prausnitzii	-0.401326186603157	-0.0936262353078341	0.106928818395705	0.271803261747798	0.259212378166959	0.31502960658782	-1.47653190039913	-0.361195078606661	0.339424664093901	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
s__Prevotella_copri	0.264664124521666	1.00952550369516	2.32422915654928	0.631218839814718	0.573283577614678	0.637279513056402	0.419290597535639	1.76095311834259	3.64711105398985	0.675430320804485	0.0796948957215694	0.000334139418873084	1	1	0.0128405005252657	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
s__Catenibacterium_mitsuokai	1.21847132449777	1.90212223545504	1.75469023273152	0.733455086115976	0.642433521076347	0.779224945042715	1.66127599025893	2.96080788603337	2.25184042668876	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
s__Dorea_longicatena	0.192003097625055	-0.118929706382355	-0.289517876879605	0.277185011358903	0.246847656336646	0.321808476147371	0.692689322138155	-0.481793945899008	-0.899658953504449	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Mediterraneibacter_faecis	0.0401802617528738	-0.133201971507511	-0.229812192744276	0.314343079192699	0.27773926246544	0.341470495036336	0.127822956548194	-0.479593595536699	-0.673007466486443	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Fusicatenibacter_saccharivorans	-0.0247487879571128	-0.146729355700949	-0.467029331337331	0.309535352246483	0.283122393336012	0.359400506182026	-0.079954640972335	-0.518254151400907	-1.29946765044564	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Holdemanella_biformis	0.230881032400444	-0.00522845308097265	0.541588017559528	0.55151872262055	0.463364400796606	0.507136706438638	0.418627732714874	-0.0112836745161778	1.06793298667498	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Ruminococcus_bromii	-0.0462643532157372	0.130303755694059	-0.41306209299504	0.47406380884806	0.432309270822187	0.521351677646551	-0.0975909832226092	0.301413280927889	-0.792290714129195	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
