Feature	lfc_(Intercept)	lfc_group1g2	lfc_group1g3	lfc_group1g4	lfc_age	lfc_loc2	lfc_loc3	lfc_loc4	lfc_abx_useyes	se_(Intercept)	se_group1g2	se_group1g3	se_group1g4	se_age	se_loc2	se_loc3	se_loc4	se_abx_useyes	W_(Intercept)	W_group1g2	W_group1g3	W_group1g4	W_age	W_loc2	W_loc3	W_loc4	W_abx_useyes	p_(Intercept)	p_group1g2	p_group1g3	p_group1g4	p_age	p_loc2	p_loc3	p_loc4	p_abx_useyes	q_(Intercept)	q_group1g2	q_group1g3	q_group1g4	q_age	q_loc2	q_loc3	q_loc4	q_abx_useyes	diff_(Intercept)	diff_group1g2	diff_group1g3	diff_group1g4	diff_age	diff_loc2	diff_loc3	diff_loc4	diff_abx_useyes	passed_ss_(Intercept)	passed_ss_group1g2	passed_ss_group1g3	passed_ss_group1g4	passed_ss_age	passed_ss_loc2	passed_ss_loc3	passed_ss_loc4	passed_ss_abx_useyes
s__Collinsella_aerofaciens	-0.176287848505558	0.120122752531312	0.0738213978075295	-0.0547744948387872	0.00384444837820129	-0.371482555472523	0.101806609177722	-0.00634374833989808	-0.0025869056929961	0.402385422905697	0.350230691670564	0.344190963820337	0.406145412158681	0.00634366015256219	0.356173613950658	0.314193041792292	0.31146703468566	0.235293037988535	-0.438106945407097	0.342981798534956	0.214478024025242	-0.134864246151786	0.606030002513378	-1.04298168343258	0.324025664594523	-0.0203673186355029	-0.0109943996435719	0.661730943470993	0.731933809432132	0.830369424400682	0.89284031326789	0.54510844433103	0.298081087298948	0.746220952352135	0.983768484988002	0.991237700560778	0.996136557408079	0.989663083780718	0.938526786402451	0.94587170913995	0.994214556961177	0.786934205121295	0.994297915675621	0.99486361827734	0.991237700560778	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Blautia_wexlerae	-0.0902588223111001	-0.0987846540477531	-0.262957625288041	-0.522571020406684	0.000834527615911053	-0.150818469416764	-0.169342486275594	0.191477085770397	0.40941427867126	0.377558677295909	0.321261277353484	0.284212596866546	0.366599699308174	0.00642416772514648	0.284447026091923	0.325792947014191	0.272678411932027	0.220932351393466	-0.239059059528276	-0.307490074314373	-0.925214533722847	-1.42545403444916	0.12990439409675	-0.530216369244182	-0.519785611774517	0.702208452857384	1.85312054160017	0.811278366777006	0.758756073725037	0.355849995990838	0.155417955584494	0.896758644674627	0.596487119695561	0.603726278631233	0.483278199385942	0.0651802297052873	0.996136557408079	0.989663083780718	0.676745389893851	0.409876765217931	0.994214556961177	0.93462195854302	0.994297915675621	0.935265004567039	0.465292937061215	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
s__Faecalibacterium_prausnitzii	0.531924397244719	-0.401326186603157	-0.0936262353078341	0.106928818395705	-0.00293176349166499	-0.608582445338113	-0.251176891053616	-0.445968106351066	-0.0652617777880023	0.349378060198265	0.271803261747798	0.259212378166959	0.31502960658782	0.00609686527543379	0.26357076364512	0.28932197366916	0.262025558294917	0.203693014541533	1.52248941144977	-1.47653190039913	-0.361195078606661	0.339424664093901	-0.480864076737597	-2.30899071248102	-0.86815698050241	-1.70200231325952	-0.320392812364683	0.129296936055631	0.141205584763191	0.718294052592969	0.734607856023475	0.631082444708064	0.0218554588094641	0.386237549493804	0.090142309630102	0.748969248419846	0.790810333382143	0.944457888567069	0.890419816347966	0.85627910917701	0.994214556961177	0.329229544197883	0.994297915675621	0.57734003072613	0.932744110300641	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
s__Prevotella_copri	-0.372973355575245	0.264664124521666	1.00952550369516	2.32422915654928	0.00113790642272418	-0.339436586646164	-0.31604700251862	0.244327929178802	-1.02578499143637	0.833728236615939	0.631218839814718	0.573283577614678	0.637279513056402	0.0140233809561418	0.601285431841758	0.663923761378471	0.58711896838529	0.470299548634075	-0.447356031851728	0.419290597535639	1.76095311834259	3.64711105398985	0.0811435149827984	-0.5645182282339	-0.476029057707511	0.416147224557842	-2.18113114166414	0.65507691389716	0.675430320804485	0.0796948957215694	0.000334139418873084	0.935404734942474	0.573001116325773	0.634546187589657	0.677725241062579	0.0302790155278245	0.996136557408079	0.989663083780718	0.369619430156934	0.015825709605182	0.994214556961177	0.93462195854302	0.994297915675621	0.954254343794924	0.345160200675413	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
s__Catenibacterium_mitsuokai	-2.45678814587305	1.21847132449777	1.90212223545504	1.75469023273152	0.0159206938789337	0.320159847725709	0.962140593113793	0.247766244269456	0.283028849597828	0.876950876036806	0.733455086115976	0.642433521076347	0.779224945042715	0.014104400441591	0.66323024496808	0.69811087251678	0.660497440591953	0.481758466689041	-2.80151170721898	1.66127599025893	2.96080788603337	2.25184042668876	1.12877494827691	0.482728057344727	1.37820599992255	0.375120672757493	0.587491179019618	0.00556404134342088	0.0981573232478072	0.00342297927578195	0.0253722195099692	0.26028676678391	0.629794069442248	0.169613325837062	0.707951117137292	0.557508043231445	0.153202032516155	0.92363238679463	0.0837074022895768	0.179006777135791	0.994214556961177	0.93462195854302	0.994297915675621	0.954254343794924	0.847117691533124	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Dorea_longicatena	-0.020415967954734	0.192003097625055	-0.118929706382355	-0.289517876879605	-0.00191538608738339	-0.29158086247366	0.0402638774701753	-0.149631012982066	0.372832740936771	0.319825436480811	0.277185011358903	0.246847656336646	0.321808476147371	0.00578301226163298	0.257444500826898	0.283212839894116	0.242549194604387	0.190812929585843	-0.0638347224016341	0.692689322138155	-0.481793945899008	-0.899658953504449	-0.331209065574855	-1.13259697347241	0.142168262869821	-0.616909956044683	1.95391759743954	0.949158758139764	0.489222041839844	0.63042270813342	0.369267904737255	0.740796210248631	0.258594423456841	0.887074887347665	0.537920640583805	0.0519556720658968	0.996136557408079	0.982559410567527	0.850647643746661	0.623736142392409	0.994214556961177	0.77842339259208	0.994297915675621	0.939614625435348	0.465292937061215	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
s__Mediterraneibacter_faecis	0.283014510249678	0.0401802617528738	-0.133201971507511	-0.229812192744276	-0.00374273179322808	0.00577359819045561	-0.124614275316817	-0.390185796664178	0.0180423953834781	0.365229649363149	0.314343079192699	0.27773926246544	0.341470495036336	0.00603009599902209	0.28610750928366	0.321317775046243	0.290720161509001	0.214952049280417	0.774894674468981	0.127822956548194	-0.479593595536699	-0.673007466486443	-0.620675324876262	0.0201798205328872	-0.387822538914577	-1.34213531885403	0.0839368382105574	0.439219107863944	0.898403761671771	0.631984322002043	0.501636264896692	0.535444266690614	0.983917889112301	0.698515647134579	0.180910883407627	0.93318161529679	0.996136557408079	0.989663083780718	0.850647643746661	0.737377897580384	0.994214556961177	0.99361255669852	0.994297915675621	0.784919800591154	0.986106405622868	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Fusicatenibacter_saccharivorans	0.18465810855508	-0.0247487879571128	-0.146729355700949	-0.467029331337331	-0.00694326152745594	-0.136089618772939	0.421573799386279	-0.182716916175193	0.347214367478032	0.371486280517512	0.309535352246483	0.283122393336012	0.359400506182026	0.00657294160093524	0.297715595140087	0.309024206060686	0.27330886127577	0.213024484605569	0.497079214602046	-0.079954640972335	-0.518254151400907	-1.29946765044564	-1.05634006035715	-0.45711283182496	1.36420963509729	-0.668536377936283	1.62992703923648	0.619620719927967	0.936344717217813	0.604792481322705	0.195119277032341	0.291950808687593	0.648032944934507	0.173870676158216	0.504479603330085	0.104522274223362	0.996136557408079	0.989663083780718	0.848027882741972	0.464487482492918	0.994214556961177	0.93462195854302	0.994297915675621	0.939614625435348	0.507671163873624	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
s__Holdemanella_biformis	-0.381005689138979	0.230881032400444	-0.00522845308097265	0.541588017559528	0.00193345053733201	0.136747907230242	-0.00680402681776782	0.24002737771022	-0.0653385758177228	0.652288292321803	0.55151872262055	0.463364400796606	0.507136706438638	0.0105616600631943	0.501562910596186	0.58241674917665	0.465174778023402	0.368232091031497	-0.584106281875456	0.418627732714874	-0.0112836745161778	1.06793298667498	0.18306312887969	0.272643579382088	-0.0116824023817765	0.515993964096963	-0.177438570426318	0.559744538770812	0.675894760586567	0.991007300680289	0.286715884761024	0.854916317513774	0.785381786461152	0.990689542600608	0.606374478734226	0.859326434005231	0.996136557408079	0.989663083780718	0.996946020825972	0.550904092862254	0.994214556961177	0.943159377491294	0.994297915675621	0.954254343794924	0.968756697612857	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Ruminococcus_bromii	-0.372476137191919	-0.0462643532157372	0.130303755694059	-0.41306209299504	0.00748614620584517	0.484471297563108	0.156810994308904	0.379866653603085	-0.534059826666346	0.5858568323672	0.47406380884806	0.432309270822187	0.521351677646551	0.0103241740536887	0.449045549851901	0.514070835787163	0.455922283166608	0.35142998296387	-0.635780137080421	-0.0975909832226092	0.301413280927889	-0.792290714129195	0.725108484893322	1.07889121208949	0.305037717358132	0.833182907763842	-1.5196763297264	0.525571657881618	0.92234474175276	0.763380242760643	0.429033209122185	0.469145663123414	0.281801804190579	0.760621937666656	0.405633061753367	0.130008875323738	0.996136557408079	0.989663083780718	0.919812566719323	0.681865884923865	0.994214556961177	0.786934205121295	0.994297915675621	0.935265004567039	0.557540943906026	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
