Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	passed_ss
s__Collinsella_aerofaciens	-2.13701960792866e-10	-2.04828283014386e-09	-0.119286435315934	0.350230691670564	0.344190963820337	0.406145412158681	0.119286435315934	0.933	0.974864341085271	FALSE	TRUE
s__Blautia_wexlerae	-0.0987845684081226	-0.26295758122466	-0.522570945733724	0.321261277353484	0.284212596866546	0.366599699308174	0.522570945733724	0.169	0.398862068965517	FALSE	TRUE
s__Faecalibacterium_prausnitzii	-1.03967926632534e-12	4.16547770297345e-09	0.194840042275836	0.271803261747798	0.259212378166959	0.31502960658782	0.194840042275836	0.698	0.849601809954751	FALSE	TRUE
s__Prevotella_copri	0.264665476202986	1.00952602797486	2.3242292166065	0.631218839814718	0.573283577614678	0.637279513056402	2.3242292166065	0	0	TRUE	FALSE
s__Catenibacterium_mitsuokai	1.222718960527	1.85939924355466	1.85939924371696	0.733455086115976	0.642433521076347	0.779224945042715	1.85939924371696	0.016	0.131051282051282	FALSE	FALSE
s__Dorea_longicatena	-1.47739010508649e-10	-0.163311526401065	-0.33549946740941	0.277185011358903	0.246847656336646	0.321808476147371	0.33549946740941	0.357	0.581753012048193	FALSE	TRUE
s__Mediterraneibacter_faecis	-8.45873691668241e-10	-0.143814404071903	-0.239975473989645	0.314343079192699	0.27773926246544	0.341470495036336	0.239975473989645	0.634	0.808274881516588	FALSE	TRUE
s__Fusicatenibacter_saccharivorans	-0.0247474798760605	-0.146728669679895	-0.467028504758294	0.309535352246483	0.283122393336012	0.359400506182026	0.467028504758294	0.226	0.460560606060606	FALSE	TRUE
s__Holdemanella_biformis	0.0770557156790916	0.0770557157850423	0.534690773150836	0.55151872262055	0.463364400796606	0.507136706438638	0.534690773150836	0.363	0.583888235294118	FALSE	TRUE
s__Ruminococcus_bromii	-8.77813292946885e-10	-1.11476991478643e-09	-0.452498719946323	0.47406380884806	0.432309270822187	0.521351677646551	0.452498719946323	0.497	0.691912371134021	FALSE	TRUE
s__sp.	-0.00932614052841556	-0.00932614156105283	-0.0220018950235831	0.219111319615363	0.203344017570526	0.252618487937467	0.0220018950235831	0.998	0.998	FALSE	TRUE
s__Blautia_obeum	-0.0103207605226944	-0.311093324622591	-0.61268922788548	0.291046634947978	0.269168130707878	0.343030792075188	0.61268922788548	0.077	0.246583333333333	FALSE	TRUE
s__Extibacter_muris	-0.555335761706352	-0.555335761720716	-1.07787869231424	0.499093421695793	0.434238721068936	0.591165037869411	1.07787869231424	0.077	0.246583333333333	FALSE	TRUE
s__Gemmiger_formicilis	-5.14005458768812e-11	-0.204033695409753	-0.380650315999755	0.273673703268268	0.26573080825791	0.344060346971911	0.380650315999755	0.303	0.536230263157895	FALSE	TRUE
s__Holdemanella_porci	5.48911464967104e-12	0.0181207687907296	0.370920598116011	0.508799368170199	0.412791782498473	0.518501812853871	0.370920598116011	0.61	0.792705314009662	FALSE	TRUE
s__Bifidobacterium_adolescentis	-2.29311948469129e-08	-2.31518176829842e-08	-2.02008333050895	0.677179884709656	0.652703571180877	0.891779830529846	2.02008333050895	0.037	0.174614035087719	FALSE	FALSE
s__Blautia_massiliensis	-0.0316070323169262	-0.400563834633209	-1.07078785503231	0.353166055583366	0.32484741178934	0.418910608147943	1.07078785503231	0.013	0.112806451612903	FALSE	TRUE
s__Coprococcus_comes	-0.217614533938914	-0.415362484601776	-0.674733753801551	0.262471697768543	0.234110035807881	0.298454098073533	0.674733753801551	0.032	0.16878431372549	FALSE	FALSE
s__Anaerobutyricum_hallii	-0.00438164210089749	-0.247009245854351	-0.636705926344293	0.283789782055437	0.24841550223012	0.33205034196698	0.636705926344293	0.06	0.2152	FALSE	TRUE
s__Anaerostipes_hadrus	-0.282353510548091	-0.462258175961367	-0.846361268123768	0.344489785603623	0.326594154240025	0.389158278614419	0.846361268123768	0.025	0.148808510638298	FALSE	TRUE
s__sp._1	-0.030897040185698	-0.267939532521201	-0.421044907606826	0.224832825312615	0.20395723957209	0.257508158486423	0.421044907606826	0.102	0.282724489795918	FALSE	FALSE
s__Dorea_formicigenerans	2.33066756801977e-11	-0.0526237663134462	-0.151079876351286	0.272629716812505	0.251733486529026	0.305358018159291	0.151079876351286	0.807	0.893345679012346	FALSE	TRUE
s__Roseburia_faecis	-0.337257920784215	-0.337257922231441	-0.729682109545175	0.330551824250763	0.303119772079993	0.395862351136043	0.729682109545175	0.07	0.235375	FALSE	TRUE
s__Subdoligranulum_sp._APC924_74	8.48640089945394e-12	-3.79713136084927e-11	-0.309926677124469	0.40702756633028	0.368655625110009	0.484616688435355	0.309926677124469	0.679	0.846668202764977	FALSE	TRUE
s__Methanobrevibacter_smithii	0.877150410832365	0.877150410882504	0.877150411078561	0.484272524468156	0.470972009213008	0.598933721459974	0.877150411078561	0.179	0.408059322033898	FALSE	TRUE
s__Oliverpabstia_intestinalis	-1.87898576035944e-10	-0.252717204542081	-0.252717208053487	0.390752478784389	0.374890446114251	0.462786509022308	0.252717208053487	0.757	0.882692640692641	FALSE	TRUE
s__Bifidobacterium_longum	-2.04426910193243e-12	-2.83344741469692e-11	-1.09440769789285	0.722704332689744	0.644461170055151	0.760360031666798	1.09440769789285	0.166	0.398696428571429	FALSE	TRUE
s__Phocaeicola_vulgatus	-0.505695197266552	-0.505695197797831	-1.20300041143351	0.510218787379559	0.436816883011701	0.575251206921413	1.20300041143351	0.031	0.16878431372549	FALSE	TRUE
s__sp._2	-0.0406558074762979	-0.336050526610637	-0.477099040195527	0.261927545917916	0.234844515730503	0.295583432771381	0.477099040195527	0.116	0.308950495049505	FALSE	TRUE
s__Mogibacterium_kristiansenii	0.675016782879046	1.87584849188324	3.5543697899581	0.724815033042612	0.615505982521197	0.653305958491174	3.5543697899581	0	0	TRUE	TRUE
s__Cyclospora_cayetanensis	0.0261852408481886	0.0981221968745827	0.09812219700996	0.353954811988369	0.317032952613834	0.404833897332945	0.09812219700996	0.965	0.994578544061303	FALSE	TRUE
s__sp._3	-0.0672926442317621	-0.353186945910307	-0.485672884845837	0.229013677266012	0.21058904689539	0.262589901615363	0.485672884845837	0.063	0.222986842105263	FALSE	FALSE
s__Eubacterium_coprostanoligenes	0.217936917165101	0.217936917505487	0.557539649007991	0.545299254218108	0.519272883179167	0.645272723982225	0.557539649007991	0.487	0.689489473684211	FALSE	FALSE
s__Roseburia_inulinivorans	-0.336266645784124	-0.357698952386375	-0.357698953308069	0.28728348128788	0.273887471061442	0.342516662227004	0.357698953308069	0.359	0.581753012048193	FALSE	TRUE
s__Ruminococcus_torques	-0.163431890085229	-0.410681629118086	-0.578134083006563	0.328399334241841	0.288961025983533	0.349247169595156	0.578134083006563	0.105	0.28530303030303	FALSE	TRUE
s__Ruminococcus_callidus	7.09698749122316e-11	1.99895483381773e-10	0.72984591138469	0.577967289289	0.54232090899225	0.602617927172196	0.72984591138469	0.28	0.524923611111111	FALSE	TRUE
s__Paratractidigestivibacter_faecalis	0.934983830728361	1.80714920870361	1.80714920873111	0.698706148815429	0.604543798367884	0.775510846868349	1.80714920873111	0.019	0.131051282051282	FALSE	FALSE
s__Bifidobacterium_catenulatum	-0.262640799149894	-0.262640799393984	-1.38101269864361	0.680975399875475	0.639998744853841	0.762808067015447	1.38101269864361	0.074	0.242756097560976	FALSE	TRUE
s__Blautia_faecis	-6.25894268246035e-10	-0.658000771077397	-0.893396985156221	0.337193939488881	0.312227681341258	0.38372511667223	0.893396985156221	0.018	0.131051282051282	FALSE	FALSE
s__Blautia_glucerasea	-8.14138806334935e-11	-0.41351533811077	-0.4897421018791	0.289801804299155	0.263326531223953	0.347727663497085	0.4897421018791	0.184	0.410114754098361	FALSE	TRUE
s__Blautia_luti	-1.23948066675176e-10	-0.155658677109007	-0.155658678672605	0.314999560935033	0.282512806696693	0.366915273953942	0.155658678672605	0.858	0.919083333333333	FALSE	TRUE
s__Slackia_isoflavoniconvertens	4.16493577690236e-12	-0.100085887531516	-0.299177125969574	0.437579660776876	0.419458734472593	0.544915277498699	0.299177125969574	0.742	0.875429824561404	FALSE	TRUE
s__Romboutsia_timonensis	-5.53676603289042e-10	-0.0626968678663085	-1.90656886315326	0.577930009093677	0.488237883064771	0.714730234596239	1.90656886315326	0.01	0.1076	FALSE	TRUE
s__Blautia_faecicola	1.56907505740873e-10	-0.494971651903984	-0.494971655011671	0.347225527200591	0.333780763236215	0.431051472399054	0.494971655011671	0.289	0.532472602739726	FALSE	FALSE
s__Bacteroides_uniformis	-0.254090350200363	-0.815833593360131	-1.37395246962963	0.534843388309811	0.47274408204211	0.555930132707711	1.37395246962963	0.019	0.131051282051282	FALSE	TRUE
s__Ruminococcus_gnavus	-0.1701360640047	-0.735583881364995	-1.00292139684707	0.342226104886554	0.322078504804168	0.361121458082109	1.00292139684707	0.003	0.0448333333333333	TRUE	TRUE
s__Anaerobutyricum_soehngenii	-1.96194994896333e-10	-0.291408979242201	-0.291408979320072	0.359955011451556	0.340873341593087	0.411321724106987	0.291408979320072	0.618	0.795416267942584	FALSE	TRUE
s__Oscillibacter_sp._ER4	0.0065333451954372	0.675296150500297	0.675296150522003	0.417127101348526	0.371921702263733	0.503031465760474	0.675296150522003	0.172	0.398862068965517	FALSE	TRUE
s__Prevotella_stercorea	0.49150099099028	1.52753092966404	2.1817922456975	0.569893492028821	0.53521832988051	0.642889197904131	2.1817922456975	0	0	TRUE	TRUE
s__sp._4	-6.35191484170692e-11	-0.00890076757543288	-0.0717240651850883	0.216300935714956	0.199667710395941	0.243792132625873	0.0717240651850883	0.939	0.975254826254826	FALSE	TRUE
s__Prevotella_hominis	0.727089602542482	1.09986110702305	1.12433350974	0.558327526385839	0.537977775573069	0.704258198613973	1.12433350974	0.123	0.321233009708738	FALSE	FALSE
