Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	passed_ss	Description	Ontology	Definition
GO_none	5.39346262156455e-11	0.129379817155351	0.176112457720595	0.0727424327942382	0.0788774799144724	0.110565903996859	0.176112457720595	0.122	0.922992	FALSE	FALSE	none	none	none
GO:0005524	5.40591266804959e-09	0.0287155914424823	0.0287155914776793	0.0760867905898104	0.0715542861026995	0.0930712842075717	0.0287155914776793	0.938	0.99941354224958	FALSE	TRUE	ATP binding	MF	Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.
GO:0016020	0.00533545432439632	0.0402702342977801	0.0402702342584077	0.0700230243245129	0.0683402204455601	0.0902811146059503	0.0402702342584077	0.84	0.99941354224958	FALSE	TRUE	membrane	CC	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.
GO:0003677	3.06895139986792e-10	0.0750303068560626	0.0750303070224166	0.0731834456364779	0.0707092255586016	0.0915933731098946	0.0750303070224166	0.525	0.99941354224958	FALSE	FALSE	DNA binding	MF	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
GO:0016887	-1.3411249475807e-10	0.0394310196361187	0.0394310195839803	0.0814855087999634	0.0759009284855509	0.0987170579064082	0.0394310195839803	0.895	0.99941354224958	FALSE	TRUE	ATPase activity	MF	Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.
GO:0055085	6.99135474195687e-10	0.0543865351040191	0.0543865351676595	0.0734439051865604	0.0709287226725135	0.0967454007002348	0.0543865351676595	0.725	0.99941354224958	FALSE	TRUE	transmembrane transport	BP	The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other.
GO:0006355	1.66135499501e-11	0.0865917446245622	0.0865917445993698	0.0791212354775024	0.0805178394086746	0.106603391829328	0.0865917445993698	0.513	0.99941354224958	FALSE	TRUE	regulation of transcription, DNA-templated	BP	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.
GO:0003824	1.71645798244677e-12	0.0422186262366686	0.0422186262401015	0.0683338748503767	0.0667589502560967	0.0901241415930972	0.0422186262401015	0.833	0.99941354224958	FALSE	TRUE	catalytic activity	MF	Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.
GO:0000166	-1.97579897244154e-10	-3.50245062391365e-10	-0.0160086823511405	0.0735975717547594	0.0706285725174853	0.0917435028329081	0.0160086823511405	0.979	1	FALSE	TRUE	nucleotide binding	MF	Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.
GO:0016491	2.39464844176513e-11	0.0496779923265319	0.0496779923626711	0.0733054101852383	0.0709417935766061	0.100613410246118	0.0496779923626711	0.797	0.99941354224958	FALSE	TRUE	oxidoreductase activity	MF	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.
GO:0005975	2.52767609513117e-10	0.05911451345267	0.0591145133965461	0.082687069358646	0.0798728504866851	0.104039947407414	0.0591145133965461	0.735	0.99941354224958	FALSE	TRUE	carbohydrate metabolic process	BP	The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.
