Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	passed_ss
s__Streptococcus_mitis	0.241207255075958	0.241207255162998	0.241207255210587	0.378447466760765	0.368979757212341	0.468322883991093	0.241207255210587	0.786	0.973945945945946	FALSE	TRUE
s__Streptococcus_salivarius	-1.3392350037066e-09	-0.221708025037745	-0.221708025356316	0.457648493977161	0.423421891148128	0.540570270544092	0.221708025356316	0.884	0.973945945945946	FALSE	TRUE
s__Streptococcus_parasanguinis	0.142742062955025	0.142742062984122	0.148748604082288	0.377470658414817	0.334217639743636	0.420339583371126	0.148748604082288	0.91	0.973945945945946	FALSE	TRUE
s__sp.	0.117348217908993	0.117348217939934	0.118246020421021	0.2909430091869	0.260120491697114	0.340315106271261	0.118246020421021	0.914	0.973945945945946	FALSE	TRUE
s__Streptococcus_oralis	0.216848194114412	0.216848194153199	0.245481166213073	0.362614247386429	0.356441343899498	0.44455106440655	0.245481166213073	0.746	0.973945945945946	FALSE	TRUE
s__Rothia_mucilaginosa	0.083924152836278	0.0839241529109176	0.126768834844448	0.353137759117294	0.325401705536504	0.400265596925714	0.126768834844448	0.919	0.973945945945946	FALSE	TRUE
s__Neisseria_mucosa	1.24084142947852e-11	-0.25937957687832	-0.259379578288799	0.532758516180772	0.519979675079246	0.572449561111895	0.259379578288799	0.836	0.973945945945946	FALSE	TRUE
s__Haemophilus_parainfluenzae	0.254906135412986	0.254906135470941	0.254906136680965	0.44951527458386	0.427606647316403	0.513338238742801	0.254906136680965	0.802	0.973945945945946	FALSE	TRUE
s__Neisseria_sicca	0.300551325159337	0.300551325179497	0.30055132522827	0.532732973787438	0.490086606147447	0.642072871435612	0.30055132522827	0.815	0.973945945945946	FALSE	TRUE
s__sp._1	0.193120079249883	0.225134648246468	0.228893977742482	0.290085757576319	0.260997800664234	0.345652555336954	0.228893977742482	0.661	0.973945945945946	FALSE	TRUE
s__Streptococcus_infantis	-8.04389082065049e-11	-0.123332849267738	-0.313428368352108	0.314850710341368	0.282542312170924	0.368224232445443	0.313428368352108	0.496	0.973945945945946	FALSE	TRUE
s__Schaalia_odontolytica	-0.0792159139638775	-0.183694007186087	-0.379879217810702	0.393092800519783	0.35528750862696	0.481295197213813	0.379879217810702	0.554	0.973945945945946	FALSE	TRUE
s__Prevotella_melaninogenica	0.290243494875016	0.7534669507903	0.770611183535629	0.448892684482072	0.425706801142235	0.536858004282982	0.770611183535629	0.184	0.973945945945946	FALSE	TRUE
s__sp._2	1.38861019004156e-10	1.83499351641543e-10	0.344751388653503	0.331561147772422	0.305461882645361	0.367261843067246	0.344751388653503	0.426	0.973945945945946	FALSE	TRUE
s__Actinomyces_sp._ICM47	0.23414809144331	0.265120733726339	0.293278855237758	0.50105758519901	0.477063363656783	0.616260466150652	0.293278855237758	0.815	0.973945945945946	FALSE	TRUE
