r1.g1	r2.g2	r3.g3	r4.g4	adj.p.trend
s__Holdemanella_biformis:s__Intestinimonas_sp._MSJ_38	0.0175920514319112	-0.306766917293233	-0.125621190811064	-0.482352941176471	0.13814
s__Holdemanella_biformis:s__Yeguia_hominis	-0.0411885939278354	-0.354256854256854	-0.227055103884372	-0.520244461420932	0.14696875
s__Holdemanella_sp._MSK_7_32:s__Ruminococcus_bicirculans	0.0532978551846476	-0.254897959183673	-0.377963808343555	-0.430099312452254	0.1679
s__Holdemanella_porci:s__Oscillibacter_sp._ER4	0.103030303030303	-0.275676598651071	-0.315899290582835	-0.364705882352941	0.170611111111111
s__Holdemanella_porci:s__Clostridium_sp._BIOML_A1	0.0940078158923144	-0.115286771507863	0.00822190611664296	-0.246718576195773	0.405285964912281
s__Holdemanella_biformis:s__Oscillibacter_sp._ER4	-0.125599064874342	-0.293081761006289	-0.128246601031411	-0.404125286478228	0.452059322033898
s__Holdemanella_sp._MSK_7_32:s__Oscillibacter_sp._ER4	-0.186260280599903	-0.124796380090498	-0.316025746405493	-0.411459129106188	0.520150769230769
s__Holdemanella_biformis:s__Oscillibacter_sp._MSJ_31	-0.211747516072472	-0.346969696969697	-0.178613369467028	-0.426432391138273	0.586862666666667
s__Holdemanella_biformis:s__Pseudoflavonifractor_sp._MSJ_30	-0.11917007597896	-0.352084757347915	-0.17962962962963	-0.320397249809015	0.643066265060241
s__Holdemanella_sp._MSK_7_32:s__Mitsuokella_jalaludinii	-0.129380764163373	-0.101572617946346	-0.11344563741824	-0.334371523915462	0.643066265060241
s__Holdemanella_biformis:s__Vescimonas_fastidiosa	-0.226066627703098	-0.325028221254636	-0.213736521331458	-0.363789152024446	0.80632688172043
s__Holdemanella_biformis:s__Vescimonas_coprocola	-0.169549970777323	-0.4161995898838	-0.159191508581752	-0.292589763177998	0.844363917525773
