Metabolites	t1	cor_diff	p	BH_p
Thymine	s__Bacteroides_caccae	-0.490871623541763	0.00016797520459685	0.0366839364521687
Thymine	s__Bacteroides_thetaiotaomicron	-0.373007725491764	0.00362044069674657	0.095707319304066
Thymine	s__Dysosmobacter_sp._BX15	-0.414162922367044	0.00130763846475932	0.0680540540137783
Thymine	s__Dorea_sp._AF24_7LB	0.392364304558879	0.00323888954788474	0.0947693010629735
Adenine	s__Prevotella_sp._885	-0.394883362962367	0.00371469918777968	0.096088773767439
Adenine	s__Faecalibacillus_intestinalis	0.523988332136801	0.000100971854167593	0.0366839364521687
Hypoxanthine	s__Blautia_hansenii	-0.380004075423526	0.00424406517498805	0.0999701313417493
Hypoxanthine	s__Intestinimonas_butyriciproducens	-0.402578359141145	0.00172755617581519	0.0779521124211238
3-Methyladenine	s__Coprococcus_eutactus	0.403619575591535	0.00233710782264312	0.0843000128933967
Guanine	s__Parolsenella_catena	-0.451967602454327	0.000763367722650933	0.057109447750823
Guanine	s__Clostridium_sp._AF23_8	-0.4427250749583	0.00367919793581178	0.0957391288949283
Guanine	s__Dorea_sp._AM13_35	-0.40076362391021	0.003869754863081	0.096088773767439
Xanthine	s__Bacteroides_stercoris	-0.464659961937639	0.000741536263620678	0.057109447750823
Xanthine	s__Phascolarctobacterium_faecium	-0.514087001473851	0.000512923866357818	0.0513000037670612
Xanthine	s__Dysosmobacter_welbionis	-0.440856695379045	0.00103344745889185	0.0614855810357436
Uric acid	s__Faecalibacterium_sp._I3389	-0.379130572353271	0.00356700028806039	0.095707319304066
3',5'-Dideoxythymidine	s__Gallintestinimicrobium_propionicum	-0.412497894925287	0.00230351493286773	0.0843000128933967
