r1.g1	r2.g2	r3.g3	r4.g4	adj.p.trend
Uric acid:s__Faecalibacterium_sp._I3389	0.125949736995909	0.0207108680792891	-0.300790424570912	-0.559663865546218	0.0158931428571429
Thymine:s__Bacteroides_caccae	-0.0300993571011105	-0.167933130699088	-0.138959212376934	-0.641377005347594	0.018923
Thymine:s__Dysosmobacter_sp._BX15	0.000889135871075299	-0.127635960044395	-0.204949880824109	-0.61283422459893	0.01905
Thymine:s__Dorea_sp._AF24_7LB	-0.0116306253652835	0.181408065618592	0.212458427648301	0.53442513368984	0.0608670731707317
Guanine:s__Parolsenella_catena	0.118347209374036	-0.0534591194968553	-0.298422806368012	-0.470588235294118	0.0655083720930233
Hypoxanthine:s__Blautia_hansenii	0.155932203389831	0.0526999316473001	-0.165768766121396	-0.384568372803667	0.086947375
Xanthine:s__Dysosmobacter_welbionis	-0.00950506013719278	-0.0448773448773449	-0.106523855890944	-0.502826585179526	0.0927530508474576
Xanthine:s__Phascolarctobacterium_faecium	0.108506787330317	0.0613402479539746	-0.230348598769651	-0.452991452991453	0.0978774426229508
Thymine:s__Bacteroides_thetaiotaomicron	-0.0262295081967213	-0.367843896145783	-0.179681078415256	-0.495798319327731	0.109825692307692
Hypoxanthine:s__Intestinimonas_butyriciproducens	0.0349541539316477	-0.199248120300752	-0.225715871616547	-0.438349885408709	0.121337294117647
Guanine:s__Dorea_sp._AM13_35	0.00821128451380552	-0.234368215371255	-0.339025457090368	-0.486095661846496	0.125779388888889
Adenine:s__Faecalibacillus_intestinalis	-0.18816337871631	-0.0685373326882761	0.0595980126467931	0.280672268907563	0.14859
Adenine:s__Prevotella_sp._885	0.6	0.163562753036437	0.498507462686567	0.247326203208556	0.213101801652893
Xanthine:s__Bacteroides_stercoris	-0.0471561721369467	0.0221719457013575	-0.111142022534428	-0.359970674486804	0.284019413333333
3-Methyladenine:s__Coprococcus_eutactus	-0.0744651292025563	0.0701982228298018	0.277500244881967	-0.0783804430863254	0.49999564021164
Guanine:s__Clostridium_sp._AF23_8	0.166666666666667	0.104198127453941	0.184569597069597	-0.0242491657397108	0.742875493333333
3',5'-Dideoxythymidine:s__Gallintestinimicrobium_propionicum	0.221390999415546	0.225768967874231	0.0377335901873075	0.232696715049656	0.859407392405063
