t1	t2	cor_diff	p	BH_p
s__Prevotella_salivae	gut_s__Prevotella_copri	-0.473475730382471	0.00189932845670616	0.011562699786327
s__Porphyromonas_somerae	gut_s__Bifidobacterium_adolescentis	-0.670184965626807	0.000178688728535662	0.00266826214527345
s__Streptococcus_sp._1001283B150225_161107_H12	gut_s__Bifidobacterium_adolescentis	-0.598881549832124	0.000246301121102165	0.00266826214527345
s__Porphyromonas_bobii	gut_s__Phocaeicola_vulgatus	-0.584816642469952	0.00038680023589355	0.0038680023589355
s__Abiotrophia_sp._HMSC24B09	gut_s__Eubacterium_coprostanoligenes	0.750959733290907	1.23060626846192e-05	0.000799894074500248
s__Streptococcus_sp._M334	gut_s__Blautia_sp._BIOML_A1	0.461493266821891	0.00078841464476407	0.00732099312995208
s__Porphyromonas_sp._oral_taxon_279	gut_s__Parolsenella_catena	0.460923554947249	0.00631895724225528	0.0200357180851997
s__Veillonella_atypica	gut_s__Roseburia_sp._BX1005	0.392378279403984	0.00376493978920743	0.0160718585127036
s__Prevotella_histicola	gut_s__Roseburia_sp._BX1005	0.432267377391945	0.00221129946801067	0.0124986491670168
s__Prevotella_sp._oral_taxon_306	gut_s__Roseburia_sp._BX1005	0.437583696912272	0.00434287926505977	0.0176429470143053
s__Streptococcus_sp._A12	gut_s__Roseburia_sp._BX1005	-0.527595185047977	0.00018947355509324	0.00266826214527345
s__Porphyromonas_endodontalis	gut_s__Gallintestinimicrobium_propionicum	-0.482033410519861	0.00305621443590155	0.0152810721795077
s__Prevotella_pallens	gut_s__Senegalimassilia_faecalis	-0.541578647071265	0.000240112964986437	0.00266826214527345
s__Prevotella_jejuni	gut_s__Senegalimassilia_faecalis	-0.423642678949585	0.00456286992494357	0.0179212179185377
s__Streptococcus_anginosus	gut_s__Faecalibacillus_intestinalis	0.525852853953881	0.000162305372693505	0.00266826214527345
s__Prevotella_melaninogenica	gut_s__Klebsiella_pneumoniae	0.411204918362565	0.00383252010687547	0.0160718585127036
s__Streptococcus_sp._263_SSPC	gut_s__Blautia_sp._MCC283	0.504224656593045	0.000224863838497039	0.00266826214527345
s__Lautropia_mirabilis	gut_s__Bifidobacterium_pseudocatenulatum	-0.435514533760713	0.00916135204639595	0.0216541048369359
s__Streptococcus_sp._1001283B150225_161107_H12	gut_s__Bifidobacterium_pseudocatenulatum	-0.418511963559527	0.00560973547309716	0.0191912003027008
s__Streptococcus_sp._343_SSPC	gut_s__Bifidobacterium_pseudocatenulatum	-0.498732053452085	0.000923575127289642	0.00797112614226334
s__Streptococcus_sp._XMC	gut_s__Eubacterium_sp._AF22_8LB	0.41825979185314	0.00735583800217396	0.0207557114340212
s__Porphyromonas_somerae	gut_s__Eubacterium_sp._AF22_8LB	0.565952795711572	0.0014254460872187	0.0101178524892218
s__Streptococcus_sp._343_SSPC	gut_s__Eubacterium_sp._AF22_8LB	0.446079561745708	0.00468708776330987	0.0179212179185377
s__Streptococcus_sp._A12	gut_s__Eubacterium_sp._AF22_8LB	0.441913887532428	0.00485446209934223	0.0180308592261283
s__Streptococcus_anginosus	gut_s__Waltera_sp._CLA_AA_H273	-0.43186256896221	0.00147876305611704	0.0101178524892218
s__Streptococcus_anginosus	gut_s__Faecalibacillus_sp._MSK20_93	0.448339760101203	0.00856530374304852	0.0214132593576213
s__Porphyromonas_bobii	gut_s__Jingyaoa_shaoxingensis	0.686985207179859	1.85221602660717e-05	0.000802626944863105
s__Streptococcus_mitis	gut_s__Alistipes_communis	-0.413988480325029	0.00766638200465343	0.0207557114340212
