r1.g1	r2.g2	r3.g3	r4.g4	adj.p.trend
s__Porphyromonas_somerae:gut_s__Bifidobacterium_adolescentis	0.303931623931624	-0.162096774193548	-0.239464411557435	-0.703508771929825	0.009434
s__Streptococcus_sp._XMC:gut_s__Eubacterium_sp._AF22_8LB	-0.293178893178893	-0.205574912891986	-0.187126992520964	0.38034188034188	0.124664833333333
s__Streptococcus_sp._343_SSPC:gut_s__Eubacterium_sp._AF22_8LB	-0.377591036414566	-0.314285714285714	-0.253998632946001	0.273891625615764	0.124664833333333
s__Abiotrophia_sp._HMSC24B09:gut_s__Eubacterium_coprostanoligenes	-0.388177339901478	-0.00403225806451613	0.119735128093791	0.322134387351779	0.133650857142857
s__Streptococcus_sp._A12:gut_s__Roseburia_sp._BX1005	0.104157773414155	-0.118371040723982	-0.113383931877083	-0.388654060066741	0.213541818181818
s__Prevotella_histicola:gut_s__Roseburia_sp._BX1005	-0.0578132559264635	0.220816326530612	0.156606304493628	0.38423645320197	0.342066076923077
s__Veillonella_atypica:gut_s__Roseburia_sp._BX1005	-0.00567327409432673	0.11072994091862	0.252454646427249	0.386029411764706	0.362007035714286
s__Lautropia_mirabilis:gut_s__Bifidobacterium_pseudocatenulatum	0.209803921568627	-0.0459677419354839	-0.304387755102041	-0.228684359119142	0.362007035714286
s__Prevotella_sp._oral_taxon_306:gut_s__Roseburia_sp._BX1005	-0.104355400696864	0.0534843205574913	0.170102806335093	0.32905138339921	0.362007035714286
s__Streptococcus_sp._1001283B150225_161107_H12:gut_s__Bifidobacterium_adolescentis	0.239304812834225	-0.101930501930502	-0.219053185271771	-0.00923076923076923	0.3833596
s__Streptococcus_sp._A12:gut_s__Eubacterium_sp._AF22_8LB	-0.225668449197861	-0.199486559951676	-0.220200951877314	0.128888888888889	0.417882684210526
s__Streptococcus_sp._343_SSPC:gut_s__Bifidobacterium_pseudocatenulatum	0.113199902763147	-0.184146341463415	-0.220518244315177	0.0527093596059113	0.571435658536585
s__Streptococcus_sp._1001283B150225_161107_H12:gut_s__Bifidobacterium_pseudocatenulatum	0.0147991543340381	-0.300522648083624	-0.205357142857143	0.0805860805860806	0.617464790697674
s__Porphyromonas_somerae:gut_s__Eubacterium_sp._AF22_8LB	-0.0506715506715507	-0.00694980694980695	-0.251040703052729	0.107017543859649	0.782419125
