"t1","t2","r1","r2","n1","n2","p","BH_p","Description","Ontology"
"s__Catenibacterium_mitsuokai","GO_none",-0.126761812309818,-0.384009907224718,137,83,0.0512457117955386,0.279574014930521,"none","none"
"s__Ruminococcus_bromii","GO_none",-0.268711801789462,-0.136789471201472,148,86,0.317053035809509,0.590633950452614,"none","none"
"s__Paratractidigestivibacter_faecalis","GO_none",-0.256339445438283,-0.412359792106628,129,78,0.23126457526544,0.511283094549694,"none","none"
"s__Coprococcus_eutactus","GO_none",-0.291819336114638,0.197433841218925,149,86,0.00028778273128805,0.0803975280395065,"none","none"
"s__Vescimonas_coprocola","GO_none",-0.289219914339761,-0.00621727439973584,148,86,0.0347770657390159,0.244493768256239,"none","none"
"s__Parolsenella_catena","GO_none",-0.267011623547057,-0.358528189412703,126,83,0.484395337978948,0.723711578072223,"none","none"
"s__Collinsella_bouchesdurhonensis","GO_none",-0.308895885513106,-0.308676723701529,138,84,0.994468315755203,0.998626789980148,"none","none"
"s__Prevotella_sp._885","GO_none",0.110111875232665,0.390873750462792,107,73,0.0522601978605857,0.281722861846102,"none","none"
"s__Phascolarctobacterium_succinatutens","GO_none",0.150352255791898,0.490040241448692,121,71,0.0121659740099514,0.176699123121644,"none","none"
"s__Oscillibacter_valericigenes","GO_none",-0.306914565572284,-0.0204820982121798,149,86,0.0314532002882162,0.23600954156863,"none","none"
"s__Olsenella_uli","GO_none",-0.282777516160795,-0.299341905436874,141,84,0.901607568324017,0.961042381409485,"none","none"
"s__Collinsella_sp._AM34_10","GO_none",-0.294610338600912,-0.332813911472448,133,81,0.772440106986302,0.901137279879642,"none","none"
"s__Senegalimassilia_faecalis","GO_none",-0.168517930815614,-0.365213992573774,137,85,0.131987843051327,0.403630109213235,"none","none"
"s__Phascolarctobacterium_sp._Marseille_Q4147","GO_none",0.166040340516911,0.401006036217304,118,71,0.0953973220811615,0.355880651464278,"none","none"
"s__Ruminococcus_sp._M6_2020","GO_none",-0.282523312245268,0.143921883107694,148,86,0.00163363868499642,0.103920952566205,"none","none"
"s__Collinsella_sp._TF05_9AC","GO_none",-0.220315034533416,-0.504805438349742,133,80,0.0219901231126868,0.211946544057222,"none","none"
"s__Pseudoflavonifractor_phocaeensis","GO_none",-0.345662978414656,-0.104901174583707,149,86,0.0639429069385648,0.304561836594171,"none","none"
"s__Bacteroides_thetaiotaomicron","GO_none",0.0648928212528995,0.402777777777778,147,81,0.0105153223292234,0.167594993870321,"none","none"
"s__Bacteroides_xylanisolvens","GO_none",0.100578731613214,0.490141187925998,144,79,0.0023693523673094,0.110780040572177,"none","none"
"s__Waltera_sp._CLA_AA_H273","GO_none",0.0786311389759666,0.355209071580439,144,84,0.037040981677917,0.250428399718563,"none","none"
"s__Prevotella_pectinovora","GO_none",0.154193559119037,0.561193246435133,113,70,0.00214067685433825,0.110330140099536,"none","none"
"s__Collinsella_tanakaei","GO_none",-0.325618043927903,-0.220498719617145,143,83,0.416250581493781,0.671890298076445,"none","none"
"s__Pseudoflavonifractor_capillosus","GO_none",-0.330988572465083,-0.0881456672484551,149,86,0.0636380006012712,0.303885498709632,"none","none"
"s__Dorea_ammoniilytica","GO_none",0.0743696716851079,-0.358651412372178,148,84,0.00125748214050115,0.0985630673079499,"none","none"
"s__Prevotella_sp._P5_64","GO_none",0.150469783381176,0.488106630211893,78,56,0.0349270136516738,0.244842005077616,"none","none"
"s__Collinsella_aerofaciens","GO:0005524",0.248333031017595,0.399764139817916,149,86,0.22106475899414,0.502151227559998,"ATP binding","MF"
"s__Faecalibacterium_prausnitzii","GO:0005524",-0.181345909668057,-0.373215717722534,149,86,0.131749690686852,0.403296472507418,"ATP binding","MF"
"s__Prevotella_copri","GO:0005524",-0.299901693551991,-0.466269258217539,139,83,0.168283062074602,0.445727101449185,"ATP binding","MF"
"s__Blautia_obeum","GO:0005524",0.171946308724832,0.354063870937308,149,86,0.156235003772791,0.431940825743972,"ATP binding","MF"
"s__Bifidobacterium_adolescentis","GO:0005524",0.31664357508124,0.20384013436653,106,68,0.44424548239393,0.693654551172048,"ATP binding","MF"
"s__Cyclospora_cayetanensis","GO:0005524",-0.188347542173046,-0.412179819802821,149,86,0.0737413613600784,0.321776402520043,"ATP binding","MF"
"s__Roseburia_inulinivorans","GO:0005524",-0.370756319941363,-0.40117930091042,148,86,0.801209972453606,0.915113058757525,"ATP binding","MF"
"s__Ruminococcus_callidus","GO:0005524",-0.257173705571033,-0.363460540591537,146,86,0.398372997330826,0.658628192657937,"ATP binding","MF"
"s__Oscillibacter_sp._ER4","GO:0005524",-0.182195717209888,-0.452389263644512,145,86,0.0291437610752848,0.230229144691874,"ATP binding","MF"
"s__Prevotella_stercorea","GO:0005524",-0.299239372379795,-0.571428571428571,130,77,0.020687381891911,0.20715362979304,"ATP binding","MF"
"s__Prevotella_hominis","GO:0005524",-0.224459288618581,-0.431410380088752,112,72,0.132786912760633,0.404484999860408,"ATP binding","MF"
"s__Vescimonas_coprocola","GO:0005524",-0.0395428986033013,-0.374781829331572,148,86,0.0104709284504813,0.167525356802639,"ATP binding","MF"
"s__Dialister_succinatiphilus","GO:0005524",-0.188741447232013,-0.421760127964564,105,58,0.125936475260423,0.396808925242217,"ATP binding","MF"
"s__Prevotella_sp._885","GO:0005524",-0.348439428672192,-0.532796495125262,107,73,0.139718361176815,0.413603360569777,"ATP binding","MF"
"s__Phascolarctobacterium_succinatutens","GO:0005524",-0.151625795962607,-0.453655264922871,121,71,0.0283105054411989,0.228028128419418,"ATP binding","MF"
"s__Prevotellamassilia_timonensis","GO:0005524",-0.331295490816926,-0.534703875426472,118,70,0.103858878317728,0.367961746507561,"ATP binding","MF"
