"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2","Description","Ontology"
"s__Coprococcus_eutactus","GO_none",-0.291819336114638,0.197433841218925,149,86,0.00028778273128805,0.0803975280395065,0.489253177333564,3,2,"none","none"
"s__Dorea_ammoniilytica","GO_none",0.0743696716851079,-0.358651412372178,148,84,0.00125748214050115,0.0985630673079499,0.433021084057286,15,2,"none","none"
"s__Vescimonas_fastidiosa","GO:0005524",0.003239289446186,-0.426822019906599,144,86,0.000962610906190247,0.0935868372687445,0.430061309352785,25,1,"ATP binding","MF"
"s__Blautia_faecis","GO:0005975",0.433462724469436,0.0120288692862871,149,86,0.00104252572011833,0.0945515389416827,0.421433855183149,17,2,"carbohydrate metabolic process","BP"
"s__Prevotella_sp._Marseille_P4119","GO:0005975",-0.0754299754299754,0.428713211436424,111,68,0.00072914487837141,0.0891344997407774,0.5041431868664,31,2,"carbohydrate metabolic process","BP"
"s__Roseburia_inulinivorans","GO:0003700",0.197107393655812,0.59118826359734,148,86,0.0005296567137687,0.0854158017121955,0.394080869941528,15,1,"DNA binding transcription factor activity","MF"
"s__Oscillibacter_sp._ER4","GO:0016491",-0.34071406077783,-0.676814944101137,145,86,0.00075389581983371,0.0891344997407774,0.336100883323307,31,2,"oxidoreductase activity","MF"
"s__Simiaoa_sunii","GO:0016491",-0.368887432157558,-0.689251514559312,146,85,0.000980790841457347,0.0935868372687445,0.320364082401754,20,2,"oxidoreductase activity","MF"
"s__Blautia_obeum","GO:0007165",0.468449120261201,0.0126326713524223,149,86,0.000326740233234171,0.0818831367564395,0.455816448908778,26,2,"signal transduction","BP"
"s__Roseburia_inulinivorans","GO:0007165",0.205625293832389,0.641058540497193,148,86,6.78880546000962e-05,0.0701594561540619,0.435433246664804,15,2,"signal transduction","BP"
"s__Collinsella_sp._TF05_9AC","GO:0006508",-0.219881453974148,-0.605532114392874,133,80,0.000948912774930695,0.0935868372687445,0.385650660418726,25,1,"proteolysis","BP"
"s__Roseburia_inulinivorans","GO:0000155",0.13656403972799,0.553431765649323,148,86,0.00044828902172907,0.0838182743046852,0.416867725921333,15,1,"phosphorelay sensor kinase activity","MF"
"s__Oscillibacter_sp._ER4","GO:0005515",0.0156077783026295,0.468559837728195,145,86,0.000391470238505539,0.0838182743046852,0.452952059425565,31,2,"protein binding","MF"
"s__Prevotella_sp._P5_64","GO:0005515",0.21698554609947,0.669241285030759,78,56,0.00113165975006492,0.0949568926561188,0.452255738931289,40,2,"protein binding","MF"
"s__Roseburia_inulinivorans","GO:0000160",0.164783054524186,0.626737110241049,148,86,3.8461995525675e-05,0.0692347104863928,0.461954055716863,15,1,"phosphorelay signal transduction system","BP"
"s__Dorea_sp._OM07_5","GO:0006310",0.0469598820169134,-0.426394749179559,137,80,0.000476408142442449,0.0839423584949587,0.473354631196473,8,1,"DNA recombination","BP"
"s__Bifidobacterium_pseudocatenulatum","GO:0006351",-0.0772900895895548,0.39801970181717,120,78,0.000802282761059038,0.0899977292387695,0.475309791406725,3,1,"transcription, DNA-templated","BP"
"s__Bifidobacterium_pseudocatenulatum","GO:0003899",-0.0814084311410515,0.407832673655458,120,78,0.000542839343875212,0.0862746630349643,0.48924110479651,3,1,"DNA-directed 5'-3' RNA polymerase activity","MF"
"s__Blautia_sp._OF03_15BH","GO:0016787",0.109996039046854,-0.381555733761026,148,86,0.00021292485095721,0.0772956595505867,0.49155177280788,4,1,"hydrolase activity","MF"
"s__Dorea_sp._NSJ_36","GO:0003918",-0.0348645061860525,0.403023909985935,141,80,0.00123763241791575,0.0978271996074365,0.437888416171988,4,1,"DNA topoisomerase type II (ATP-hydrolyzing) activity","MF"
"s__Phocea_massiliensis","GO:0009401",-0.188154047253852,-0.596018680126421,147,86,0.00034082162796771,0.0829800091921737,0.407864632872569,18,1,"phosphoenolpyruvate-dependent sugar phosphotransferase system","BP"
"s__Roseburia_inulinivorans","GO:0043565",0.19870288039032,0.599792443039766,148,86,0.000385580259889498,0.0838182743046852,0.401089562649446,15,5,"sequence-specific DNA binding","MF"
"s__Blautia_faecis","GO:0043565",0.427070560493379,-0.0356337563092599,149,86,0.000361536738559588,0.0838182743046852,0.462704316802639,17,5,"sequence-specific DNA binding","MF"
