"species","t","p","num_corr","BH_p"
"s__Bifidobacterium_longum",556.442686696987,0.000572043718274967,9,0.00624333981943655
"s__Paratractidigestivibacter_faecalis",631.516277061405,0.000504040246781125,8,0.00624333981943655
"s__Romboutsia_timonensis",5216.69861014011,6.10174951771622e-05,4,0.00624333981943655
"s__Parolsenella_catena",666.998362961089,0.000477227029877508,19,0.00624333981943655
"s__Ruminococcus_bicirculans",503.273354111986,0.000632478283767222,19,0.00624333981943655
"s__Ruthenibacterium_lactatiformans",967.566593561827,0.000328979705341301,76,0.00624333981943655
"s__Prevotellamassilia_timonensis",1490.35924209442,0.000213579269631255,27,0.00624333981943655
"s__Faecalicatena_fissicatena",569.316042260513,0.000559108711504465,4,0.00624333981943655
"s__Holdemanella_sp._MSK_7_32",842.953528026702,0.000377612438028241,30,0.00624333981943655
"s__Desulfovibrio_piger",648.545279424265,0.000490805567510716,10,0.00624333981943655
"s__Mitsuokella_jalaludinii",1184.74245535063,0.000268674266844539,11,0.00624333981943655
"s__Phocaeicola_massiliensis",548.328940477286,0.000580508358744641,7,0.00624333981943655
"s__Dorea_sp._AM58_8",494.597403855275,0.000643572833112278,16,0.00624333981943655
"s__Prevotella_sp._Marseille_P4119",730.414391075907,0.000435793285556087,15,0.00624333981943655
"s__Clostridium_sp._D43t1_170807_H7",2309.36244521452,0.000137834520929516,5,0.00624333981943655
"s__Prevotella_pectinovora",547.356433043842,0.000581539766077888,22,0.00624333981943655
"s__Mediterraneibacter_glycyrrhizinilyticus",1341.17420926166,0.000237336674831938,21,0.00624333981943655
"s__Clostridium_sp._AM42_36",477.973474974547,0.000665956247406566,10,0.00624333981943655
"s__Clostridium_sp._1001270J_160509_D11",1498.98472616261,0.000212350288436729,2,0.00624333981943655
"s__Ruminococcus_champanellensis",704.68890747402,0.000451702402496639,62,0.00624333981943655
"s__Jingyaoa_shaoxingensis",604.098534495739,0.00052691668206788,6,0.00624333981943655
"s__Clostridium_sp._OM08_29",782.475156762255,0.000406798490836926,4,0.00624333981943655
"s__Dorea_sp._OM07_5",4543.83669867586,7.00531075726146e-05,12,0.00624333981943655
"s__Dorea_sp._AM10_31",522.94257037927,0.000608689206471516,8,0.00624333981943655
"s__Mediterraneibacter_butyricigenes",458.15207588237,0.00069476795469212,15,0.00625291159222908
"s__Mediterraneibacter_faecis",433.412173866416,0.000734426351028432,15,0.00635561265313066
"s__Blautia_massiliensis",357.060923572336,0.000891469866742723,39,0.00718097317221642
"s__Anaerobutyricum_soehngenii",332.450336339709,0.000957463089628856,2,0.00718097317221642
"s__Coprococcus_catus",341.060270501914,0.000933292445846411,1,0.00718097317221642
"s__Allisonella_histaminiformans",355.64671641797,0.000895014722841536,14,0.00718097317221642
"s__Clostridium_sp._AF15_41",281.757702387396,0.00112972439429766,10,0.00819961253925723
"s__Faecalibacterium_sp._I3389",262.03519625799,0.00121475414545171,9,0.00854124008520734
"s__Catenibacterium_mitsuokai",225.311451275354,0.00141274575406386,6,0.00963235741407175
"s__Lentihominibacter_faecis",172.08349414461,0.00184972013038582,49,0.0122407949804944
"s__Dorea_phocaeensis",134.269164309412,0.00237064111192255,5,0.0152398357195021
"s__Blautia_stercoris",124.576084069871,0.00255508954162454,3,0.0158250043518263
"s__Dorea_sp._AM13_35",122.314348731477,0.00260233404896699,20,0.0158250043518263
"s__Bacteroides_fragilis",117.549714319983,0.00270780928472373,16,0.0160330812911273
"s__Gallintestinimicrobium_propionicum",110.640891426236,0.00287688588669017,9,0.0160978189652473
"s__Dorea_sp._AF24_7LB",108.509922982677,0.00293338034477839,15,0.0160978189652473
"s__Dorea_sp._NSJ_36",111.834337802249,0.00284618668360928,7,0.0160978189652473
"s__Prevotella_sp._885",105.199656896781,0.00302567811252051,16,0.0162089898885028
"s__Phascolarctobacterium_sp._Marseille_Q4147",96.5006809431182,0.00329840670573011,11,0.0163194248627902
"s__Blautia_sp._MSK20_18",95.4012488002815,0.00333641574972599,22,0.0163194248627902
"s__Megasphaera_elsdenii",98.6011027041414,0.00322814821128598,13,0.0163194248627902
"s__Solobacterium_moorei",101.399357554106,0.00313906887546708,5,0.0163194248627902
"s__Senegalimassilia_anaerobia",89.9699080754319,0.00353781376493397,7,0.016583502023128
"s__Veillonella_parvula",91.2813132771177,0.0034869913859206,3,0.016583502023128
"s__Ellagibacter_isourolithinifaciens",87.5556432962946,0.00363535729398032,94,0.0166929671662362
"s__Anaerotardibacter_sp._CLA_AA_M13",83.990924780572,0.00378963379352713,140,0.0170533520708721
"s__Cyclospora_cayetanensis",80.693402886612,0.00394448097808757,47,0.0173686692815796
"s__Blautia_sp._Marseille_P3087",79.2245564728789,0.00401760511135975,9,0.0173686692815796
"s__Bilophila_wadsworthia",77.7976204024374,0.00409128654188319,6,0.0173686692815796
"s__Parolsenella_massiliensis",75.8429304343325,0.00419671867153965,9,0.0174863277980819
"s__Slackia_isoflavoniconvertens",72.6173613736168,0.00438310841274143,66,0.0177586159624538
"s__Fusicatenibacter_sp._CLA_AA_H277",72.0124504733868,0.00441992219509962,6,0.0177586159624538
"s__Blautia_luti",69.1739100869642,0.00460126823183047,19,0.0181629009151203
"s__Collinsella_aerofaciens",64.1273762729662,0.00496331063464279,26,0.0192542222895626
"s__Collinsella_tanakaei",59.2298662117996,0.0053736344034687,12,0.0204926735725501
"s__Holdemanella_porci",57.5759983623214,0.00552796119839579,25,0.0207298544939842
"s__Collinsella_bouchesdurhonensis",55.104387303113,0.00577585499011866,9,0.0210960102384076
"s__Eggerthella_lenta",54.1779434438948,0.00587459998249329,61,0.0210960102384076
"s__Suilimivivens_aceti",53.8817773226567,0.00590688286675414,5,0.0210960102384076
"s__Clostridium_sp._AM49_4BH",50.8679153858904,0.00625677085213317,1,0.0219964600270307
"s__Dorea_sp._AF36_15AT",49.8200951740804,0.00638832878604879,6,0.0221134457978612
"s__Prevotella_hominis",46.0436819316075,0.00691212862992521,19,0.0228710138490172
"s__Bacteroides_stercoris",46.5039524091546,0.00684373737851931,12,0.0228710138490172
"s__Bacteroides_thetaiotaomicron",46.7588927128969,0.00680643514277264,11,0.0228710138490172
"s__Turicibacter_sanguinis",44.8420985230696,0.00709728460664917,2,0.0231433193695082
"s__Ruminococcus_sp._NSJ_71",43.7607728570564,0.00727259772827997,16,0.023376206983757
"s__Intestinimonas_sp._MSJ_38",40.9253341584622,0.00777627271066295,64,0.0246431177450586
"s__Mogibacterium_kristiansenii",36.3684819802239,0.00875015084463513,17,0.0267118778992524
"s__Simiaoa_sunii",36.5444517260815,0.00870803797234815,10,0.0267118778992524
"s__Clostridium_sp._BIOML_A1",35.7399274641006,0.0089039592997508,14,0.0267118778992524
"s__Streptococcus_salivarius",36.0732617233992,0.00882172476045857,50,0.0267118778992524
"s__Faecalibacillus_intestinalis",33.674699407529,0.00944971668747294,8,0.026862452181832
"s__Blautia_sp._MCC283",34.0295579466131,0.00935123249760605,6,0.026862452181832
"s__Blautia_sp._MSJ_19",34.8151118908339,0.00914035241825195,6,0.026862452181832
"s__Clostridium_sp._AF15_31",33.3170574904763,0.00955109410909583,1,0.026862452181832
"s__Dysosmobacter_sp._BX15",33.5357131481836,0.00948885718303335,133,0.026862452181832
"s__Roseburia_sp._CLA_AA_H204",31.9983763686021,0.0099444520617588,1,0.02762347794933
"s__Faecalibacillus_sp._H12",29.2008348151321,0.0108964535394674,2,0.0298988054436605
"s__Phascolarctobacterium_succinatutens",28.5566220412947,0.0111420696052284,15,0.0302044055563421
"s__Clostridium_sp._AF43_10",27.9174484243217,0.0113969532123195,1,0.0305275532472845
"s__Ruminococcus_sp._FMBCY1",25.3645057889461,0.0125429259859265,4,0.0320699812140165
"s__Blautia_schinkii",25.6127565643327,0.0124214780866658,17,0.0320699812140165
"s__Barnesiella_intestinihominis",25.669660541829,0.0123939702617548,13,0.0320699812140165
"s__Prevotella_sp._P5_64",26.1824163830732,0.0121514851337252,6,0.0320699812140165
"s__Oscillibacter_sp._ER4",23.9213469782341,0.0132987770382498,88,0.0334865443018166
"s__Intestinibacter_bartlettii",23.5165783386527,0.0135274031443048,2,0.0334865443018166
"s__Ruminococcus_sp._Marseille_P6503",23.4848378580516,0.013545663796127,67,0.0334865443018166
"s__Oribacterium_sp._oral_taxon_102",23.2330649427669,0.0136922758922983,23,0.0334865443018166
"s__Phocaeicola_vulgatus",22.6519169342384,0.0140431091819597,5,0.0339752641499025
"s__Ruminococcus_callidus",21.1934313299832,0.0150081395992309,31,0.0345657278233145
"s__Blautia_faecis",21.4728690966518,0.0148131144807634,34,0.0345657278233145
"s__Blautia_sp._MSK_20_85",21.7412361423046,0.0146305250317854,1,0.0345657278233145
"s__Blautia_hansenii",21.1269520474966,0.0150552947852658,3,0.0345657278233145
"s__Terrisporobacter_mayombei",21.5805102842958,0.0147393341456561,8,0.0345657278233145
"s__Lachnospira_eligens",20.1196766037392,0.0158078168094922,6,0.0358617196241598
"s__Brotolimicola_acetigignens",19.9543856365745,0.0159385420551821,6,0.0358617196241598
"s__Clostridium_sp._AF23_8",19.7374000922662,0.0161134668127548,11,0.0358963369591073
"s__Faecalibacterium_sp._AF27_11BH",19.417986124368,0.0163780596714462,28,0.0361280728046606
"s__Holdemanella_biformis",17.9604862426116,0.0177045081357356,19,0.0378943044841919
"s__Bifidobacterium_adolescentis",17.6814626938899,0.0179833058305298,8,0.0378943044841919
"s__Oliverpabstia_intestinalis",18.0438793155135,0.0176228510159771,23,0.0378943044841919
"s__Absicoccus_porci",17.6445499338358,0.0180208470213713,4,0.0378943044841919
"s__Clostridium_sp._AF37_5",18.2591840665144,0.0174154665511414,24,0.0378943044841919
"s__Klebsiella_pneumoniae",17.4696763003437,0.0182008469463316,6,0.0379184311381908
"s__Prevotella_stercorea",17.1022799925908,0.0185909637457702,23,0.0380269712981663
"s__Alistipes_ihumii",17.1850790878198,0.0185015930799788,2,0.0380269712981663
"s__Clostridium_saudiense",16.17658635649,0.0196521898811942,6,0.0395495609687948
"s__Terrisporobacter_glycolicus",16.1479987370079,0.0196868925711334,3,0.0395495609687948
"s__Eubacterium_ventriosum",15.015814079365,0.021167054635629,3,0.0421467902036861
"s__Coprococcus_eutactus",14.8401350571936,0.021416881209371,3,0.0422701602816532
"s__Collinsella_sp._TF05_9AC",14.6897365722481,0.0216354831519141,9,0.0423302931233101
"s__Alistipes_onderdonkii",14.0228087382361,0.0226610765959792,4,0.0435789934538061
"s__Clostridium_sp._L2_50",14.0771143162426,0.0225739498695004,9,0.0435789934538061
"s__Oscillibacter_sp._MSJ_31",13.6394969031041,0.023295681874107,155,0.0444197323870684
"s__Collinsella_sp._AM34_10",13.3539484836959,0.0237919811312283,4,0.0449848382733309
"s__Clostridium_sp._D43t1_170807_D5",13.0320626644202,0.0243773643198925,1,0.0457075580997984
"s__Anaerostipes_hadrus",12.7800329518094,0.0248561670505611,18,0.0457304038795495
"s__Anthropogastromicrobium_aceti",12.7065683902355,0.0249992874541538,31,0.0457304038795495
