"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2","Metabolites","smiles","kingdom","super_class","class","sub_class","direct_parent"
"s__Clostridium_sp._BIOML_A1","HMDB0244017",0.120457861070587,-0.528760712971239,134,77,1.22402956399938e-06,0.00732581694053629,0.649218574041826,6,2,"1-Vinylimidazole","C=CN1C=CN=C1","Organic compounds","Organoheterocyclic compounds","Azoles","Imidazoles","N-substituted imidazoles"
"s__Ruminococcus_champanellensis","HMDB0244017",0.054210368594546,-0.37711855826668,141,84,0.0013544751278164,0.0692866123075311,0.431328926861226,3,2,"1-Vinylimidazole","C=CN1C=CN=C1","Organic compounds","Organoheterocyclic compounds","Azoles","Imidazoles","N-substituted imidazoles"
"s__Bacteroides_caccae","HMDB0000262",-0.00143967509865023,-0.492311298640413,142,80,0.00016797520459685,0.0366839364521687,0.490871623541762,2,4,"Thymine","CC1=CNC(=O)NC1=O","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Hydroxypyrimidines"
"s__Bacteroides_thetaiotaomicron","HMDB0000262",-0.0946526177783348,-0.467660343270099,146,81,0.00362044069674657,0.095707319304066,0.373007725491765,2,4,"Thymine","CC1=CNC(=O)NC1=O","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Hydroxypyrimidines"
"s__Dysosmobacter_sp._BX15","HMDB0000262",-0.0339316643048339,-0.448094586671878,145,85,0.00130763846475932,0.0680540540137783,0.414162922367044,3,4,"Thymine","CC1=CNC(=O)NC1=O","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Hydroxypyrimidines"
"s__Dorea_sp._AF24_7LB","HMDB0000262",0.00300579372041684,0.395370098279296,146,82,0.00323888954788474,0.0947693010629735,0.392364304558879,2,4,"Thymine","CC1=CNC(=O)NC1=O","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Hydroxypyrimidines"
"s__Akkermansia_muciniphila","HMDB0014417",-0.0869501312335958,-0.488612879657656,126,66,0.00418857221537604,0.0998413092796714,0.40166274842406,2,5,"Betazole","NCCC1=CC=NN1","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","2-arylethylamines"
"s__Oscillibacter_sp._MCC667","HMDB0014417",0.0894075512470816,-0.406429548563611,147,85,0.000179651323313358,0.0366839364521687,0.495837099810693,3,5,"Betazole","NCCC1=CC=NN1","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","2-arylethylamines"
"s__Phascolarctobacterium_faecium","HMDB0014417",0.0100808003078107,-0.453342490842491,114,64,0.00188436385270071,0.0790555254703627,0.463423291150302,2,5,"Betazole","NCCC1=CC=NN1","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","2-arylethylamines"
"s__Intestinimonas_butyriciproducens","HMDB0014417",0.0576892465674824,-0.430482569932544,148,86,0.000180120887109036,0.0366839364521687,0.488171816500026,4,5,"Betazole","NCCC1=CC=NN1","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","2-arylethylamines"
