"species","t","p","num_corr","BH_p"
"s__Clostridium_sp._BIOML_A1",15961.2952478446,1.99426099714744e-05,17,0.00444720202363879
"s__Coprococcus_catus",2366.80701205043,0.000134489151680779,3,0.00817188103008235
"s__Solobacterium_moorei",2171.5654982059,0.000146580825651701,4,0.00817188103008235
"s__Turicibacter_sanguinis",2556.38844313917,0.000124515454919309,8,0.00817188103008235
"s__Bilophila_wadsworthia",1502.43804380498,0.000211862206559662,2,0.00944905441256093
"s__Romboutsia_timonensis",489.925363500523,0.000649710073924285,10,0.0151234365464649
"s__Anaerobutyricum_soehngenii",580.276262157439,0.000548548324022446,6,0.0151234365464649
"s__Lachnospira_eligens",387.934691562858,0.000820522598449977,6,0.0151234365464649
"s__Alistipes_putredinis",574.360090378073,0.000554198611435599,10,0.0151234365464649
"s__Bacteroides_ovatus",493.992786832868,0.000644360524831779,10,0.0151234365464649
"s__Faecalibacillus_intestinalis",253.992343795753,0.00125321982835646,13,0.0151234365464649
"s__Mitsuokella_jalaludinii",250.103301561111,0.00127270686937194,3,0.0151234365464649
"s__Adlercreutzia_equolifaciens",276.02728041424,0.00115317766099777,3,0.0151234365464649
"s__Clostridium_sp._D43t1_170807_H7",266.486547102335,0.0011944632686426,11,0.0151234365464649
"s__Clostridium_sp._1001270H_150608_G6",247.029334650364,0.00128854392099925,6,0.0151234365464649
"s__Jingyaoa_shaoxingensis",270.610481404064,0.00117626056330119,6,0.0151234365464649
"s__Alistipes_communis",300.168924447127,0.00106043191905676,3,0.0151234365464649
"s__Dorea_sp._AM10_31",429.456296635602,0.000741191393359223,11,0.0151234365464649
"s__Bacteriophage_sp.",407.37932616267,0.00078135837143693,9,0.0151234365464649
"s__Parolsenella_catena",205.908450863972,0.00154586847866848,19,0.0164156509877653
"s__Phascolarctobacterium_faecium",211.316598147091,0.00150630623871254,4,0.0164156509877653
"s__Bacteroides_thetaiotaomicron",190.631995215681,0.00166974576423128,12,0.0169251502465262
"s__Roseburia_sp._CLA_AA_H209",154.774066651823,0.00205658133760491,5,0.0183447055314358
"s__Bacteroides_stercoris",159.753063793689,0.00199248591069036,3,0.0183447055314358
"s__Terrisporobacter_mayombei",166.113989056315,0.00191619045992214,15,0.0183447055314358
"s__Ruminococcus_sp._NSJ_71",135.288077215603,0.00235278744319411,21,0.0187382714225816
"s__Bacteroides_caccae",141.193191911239,0.00225439031238453,15,0.0187382714225816
"s__Prevotella_sp._P5_64",135.995139710113,0.00234055533223288,3,0.0187382714225816
"s__Slackia_isoflavoniconvertens",121.631070554232,0.00261695233818102,35,0.0194526790471456
"s__Collinsella_sp._TF05_9AC",124.141482176409,0.00256403416499403,14,0.0194526790471456
"s__Faecalibacterium_sp._I3389",105.356312452858,0.00302117946607706,10,0.0217330006753285
"s__Bifidobacterium_catenulatum",99.6984183817182,0.00319262047860778,4,0.0222485739602979
"s__Brotomerdimonas_butyrica",95.2159090436601,0.00334290967565019,52,0.0225899653839392
"s__Collinsella_sp._AM34_10",89.3667143142095,0.0035616907720411,4,0.0233605012401519
"s__Oscillibacter_sp._MSJ_31",86.1294241336653,0.00369554989583021,169,0.0235459321934325
"s__Ellagibacter_isourolithinifaciens",83.3985982501822,0.00381654655123046,49,0.0236413855812331
