"t1","t2","r1","r2","n1","n2","p","BH_p","Metabolites","smiles","kingdom","super_class","class","sub_class","direct_parent"
"s__Dorea_ammoniilytica","HMDB0000228",0.350188978185143,-0.0786919831223629,148,80,0.00168717209251707,0.0296123978021645,"Phenol","OC1=CC=CC=C1","Organic compounds","Benzenoids","Phenols","1-hydroxy-4-unsubstituted benzenoids","1-hydroxy-4-unsubstituted benzenoids"
"s__Slackia_isoflavoniconvertens","HMDB0252816",0.0471405148508867,0.359236403609016,147,82,0.0195975692961964,0.087184946091559,"Glutarimide","O=C1CCCC(=O)N1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","Tetrahydropyridines"
"s__Ellagibacter_isourolithinifaciens","HMDB0252816",0.0507139577092126,0.414786517343085,140,82,0.00599206822780219,0.0481793769548777,"Glutarimide","O=C1CCCC(=O)N1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","Tetrahydropyridines"
"s__Anaerotardibacter_sp._CLA_AA_M13","HMDB0252816",0.307644712538443,0.422902015939991,138,80,0.356326668205958,0.515057721321816,"Glutarimide","O=C1CCCC(=O)N1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","Tetrahydropyridines"
"s__Slackia_isoflavoniconvertens","HMDB0013751",-0.0228297909315522,0.396501997148486,147,82,0.00168250544180821,0.0296123978021645,"2-Hydroxypyridine","OC1=CC=CC=N1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","Pyridinones"
"s__Ellagibacter_isourolithinifaciens","HMDB0013751",-0.00233102271981807,0.358561617744692,140,82,0.00788616987254307,0.055467529997384,"2-Hydroxypyridine","OC1=CC=CC=N1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","Pyridinones"
"s__Anaerotardibacter_sp._CLA_AA_M13","HMDB0013751",0.210286103075648,0.390318799812471,138,80,0.16774616633961,0.31427443961543,"2-Hydroxypyridine","OC1=CC=CC=N1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","Pyridinones"
"s__Oscillibacter_sp._ER4","HMDB0006372",-0.288261691072272,0.0511422383300138,145,82,0.0135505305194436,0.071083824683248,"Glyceric acid","OC[C@H](O)C(O)=O","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives"
"s__Oscillibacter_valericigenes","HMDB0006372",-0.272751677852349,0.034359660865685,149,82,0.024991424438682,0.097412394329104,"Glyceric acid","OC[C@H](O)C(O)=O","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives"
"s__Yeguia_hominis","HMDB0006372",-0.317424541852641,-0.00225291409540601,146,82,0.0202551182174539,0.0885458119297724,"Glyceric acid","OC[C@H](O)C(O)=O","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives"
"s__Dysosmobacter_sp._BX15","HMDB0006372",-0.276203329702216,0.0517163504968383,146,81,0.0176343076086312,0.0826925030942094,"Glyceric acid","OC[C@H](O)C(O)=O","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives"
"s__Intestinimonas_sp._MSJ_38","HMDB0006372",-0.274187942485398,0.0138984120764902,147,82,0.0355776375125469,0.120086449405621,"Glyceric acid","OC[C@H](O)C(O)=O","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives"
"s__Blautia_wexlerae","HMDB0001858",-0.364618175222202,-0.26430926959872,149,82,0.423170015657201,0.574106734603897,"p-Cresol","CC1=CC=C(O)C=C1","Organic compounds","Benzenoids","Phenols","Cresols","Para cresols"
"s__Faecalibacterium_prausnitzii","HMDB0001858",-0.326500997641937,-0.103253120884623,149,82,0.0927151747772886,0.219360288252652,"p-Cresol","CC1=CC=C(O)C=C1","Organic compounds","Benzenoids","Phenols","Cresols","Para cresols"
"s__Dorea_longicatena","HMDB0001858",-0.272918556140033,-0.286120090116564,149,82,0.92313225756462,0.951957985065096,"p-Cresol","CC1=CC=C(O)C=C1","Organic compounds","Benzenoids","Phenols","Cresols","Para cresols"
"s__Fusicatenibacter_saccharivorans","HMDB0001858",-0.276379466715037,-0.144763335183553,149,82,0.323374069258267,0.481508413009945,"p-Cresol","CC1=CC=C(O)C=C1","Organic compounds","Benzenoids","Phenols","Cresols","Para cresols"
"s__Coprococcus_comes","HMDB0001858",-0.327313622347179,-0.344042838018742,149,82,0.898382571647877,0.938291854758147,"p-Cresol","CC1=CC=C(O)C=C1","Organic compounds","Benzenoids","Phenols","Cresols","Para cresols"
