"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2","Metabolites","smiles","kingdom","super_class","class","sub_class","direct_parent"
"s__Dorea_ammoniilytica","HMDB0000228",0.350188978185143,-0.0786919831223629,148,80,0.00168717209251707,0.0296123978021645,0.428880961307506,2,1,"Phenol","OC1=CC=CC=C1","Organic compounds","Benzenoids","Phenols","1-hydroxy-4-unsubstituted benzenoids","1-hydroxy-4-unsubstituted benzenoids"
"s__Ellagibacter_isourolithinifaciens","HMDB0252816",0.0507139577092126,0.414786517343085,140,82,0.00599206822780219,0.0481793769548777,0.364072559633873,11,1,"Glutarimide","O=C1CCCC(=O)N1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","Tetrahydropyridines"
"s__Slackia_isoflavoniconvertens","HMDB0013751",-0.0228297909315522,0.396501997148486,147,82,0.00168250544180821,0.0296123978021645,0.419331788080038,11,2,"2-Hydroxypyridine","OC1=CC=CC=N1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","Pyridinones"
"s__Ellagibacter_isourolithinifaciens","HMDB0013751",-0.00233102271981807,0.358561617744692,140,82,0.00788616987254307,0.055467529997384,0.36089264046451,11,2,"2-Hydroxypyridine","OC1=CC=CC=N1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","Pyridinones"
"s__Holdemanella_porci","HMDB0006236",0.0641728445234926,0.414814814814815,138,80,0.00868510500219832,0.0584735144265652,0.350641970291322,1,1,"Phenylacetaldehyde","O=CCC1=CC=CC=C1","Organic compounds","Benzenoids","Benzene and substituted derivatives","Phenylacetaldehydes","Phenylacetaldehydes"
"s__Collinsella_aerofaciens","HMDB0001870",-0.0511082894975512,0.368487500136046,149,82,0.00182577934599039,0.0302454762710777,0.419595789633597,2,3,"Benzoic acid","OC(=O)C1=CC=CC=C1","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acids"
"s__Eggerthella_lenta","HMDB0001870",0.079103936150916,0.489796584712835,149,82,0.00115866762593908,0.026576252453009,0.410692648561919,1,3,"Benzoic acid","OC(=O)C1=CC=CC=C1","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acids"
"s__Clostridium_sp._AF36_4","HMDB0001870",0.120619035444266,-0.399748241392077,132,74,0.000248800225886786,0.0172019004932654,0.520367276836343,2,3,"Benzoic acid","OC(=O)C1=CC=CC=C1","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acids"
"s__Gallintestinimicrobium_propionicum","HMDB0000873",-0.324590855750971,0.0797662193489405,148,82,0.00299261068656911,0.036201410066653,0.404357075099911,6,2,"4-Methylcatechol","CC1=CC=C(O)C(O)=C1","Organic compounds","Benzenoids","Phenols","Benzenediols","Catechols"
"s__Clostridium_sp._1001270J_160509_D11","HMDB0000873",-0.0619025117225837,0.463675052252524,122,62,0.000437335204961818,0.0182354130397927,0.525577563975108,2,2,"4-Methylcatechol","CC1=CC=C(O)C(O)=C1","Organic compounds","Benzenoids","Phenols","Benzenediols","Catechols"
"s__Blautia_sp._OF03_15BH","HMDB0003441",-0.0297145522457124,-0.396088418715512,148,82,0.00565737375670194,0.0462508672706996,0.3663738664698,1,1,"Cinnamaldehyde","O=C\C=C\C1=CC=CC=C1","Organic compounds","Phenylpropanoids and polyketides","Cinnamaldehydes",NA,"Cinnamaldehydes"
"s__Lachnospira_eligens","HMDB0000943",0.284875748231453,-0.100379839139757,149,82,0.00499325290096722,0.0436562875160953,0.38525558737121,1,1,"Threonic acid","OC[C@H](O)[C@@H](O)C(O)=O","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives"
"s__Bifidobacterium_longum","HMDB0002340",0.0167612493855847,0.378700097370983,139,79,0.00806765125544193,0.0557412041018802,0.361938847985399,2,2,"2-Methylbenzoic acid","CC1=CC=CC=C1C(O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acids"
"s__Slackia_isoflavoniconvertens","HMDB0002340",0.0726714973290316,0.451290255874446,147,82,0.00333128553614771,0.0381280771819088,0.378618758545415,11,2,"2-Methylbenzoic acid","CC1=CC=CC=C1C(O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acids"
"s__Roseburia_intestinalis","HMDB0002466",0.0564810448031925,-0.425038909023628,149,82,0.00027910656788746,0.0172019004932654,0.481519953826821,2,1,"3-Hydroxybenzoic acid","OC(=O)C1=CC(O)=CC=C1","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives"
