"species","t","p","num_corr","BH_p"
"s__Bacteroides_fragilis",33185.4640989913,9.59184675368516e-06,4,0.00175530795592438
"s__Bifidobacterium_longum",3208.9285862896,9.91950638103092e-05,3,0.00302544944621443
"s__Phascolarctobacterium_succinatutens",3568.10442291734,8.92097988515511e-05,6,0.00302544944621443
"s__Clostridium_saudiense",3520.92024087671,9.04053076606077e-05,2,0.00302544944621443
"s__Faecalibacterium_sp._CLA_AA_H233",4968.16834661294,6.40698663325505e-05,3,0.00302544944621443
"s__Waltera_sp._CLA_AA_H273",4036.37787932477,7.88602775031997e-05,3,0.00302544944621443
"s__Roseburia_sp._CLA_AA_H209",2685.84086687636,0.00011851404727693,1,0.00309829580738259
"s__Phascolarctobacterium_sp._Marseille_Q4147",2208.84736039679,0.000144106772674282,2,0.00329644242492421
"s__Gallintestinimicrobium_propionicum",1962.16344837819,0.000162223926293299,3,0.00329855316796374
"s__Bacteroides_uniformis",1635.60563374075,0.000194612833286756,12,0.00356141484914763
"s__Alistipes_onderdonkii",1231.73406940502,0.000258424138907284,2,0.00429923794727572
"s__Fusicatenibacter_saccharivorans",753.788887135053,0.000422279639405686,6,0.00594439800086465
"s__Ruthenibacterium_lactatiformans",783.953790179924,0.000406031219605832,6,0.00594439800086465
"s__Prevotella_copri",649.022357899844,0.000490444790415163,11,0.00641081404614105
"s__Romboutsia_timonensis",546.017889843417,0.000582965386695165,3,0.00666766661032594
"s__Terrisporobacter_glycolicus",559.409046113016,0.000569010367889777,6,0.00666766661032594
"s__Ruminococcus_sp._Marseille_P6503",486.840161920562,0.000653827402532245,4,0.0070382596860824
"s__Gemmiger_formicilis",338.01126218186,0.000941711099958767,5,0.0095740628495808
"s__Lachnoclostridium_sp._210928_DFI_6_3",262.063941181422,0.00121462090439698,3,0.0101854016159519
"s__Mitsuokella_jalaludinii",293.373456350343,0.00108499472776964,4,0.0101854016159519
"s__Blautia_sp._MSJ_19",273.44874866518,0.0011640516505072,2,0.0101854016159519
"s__Clostridium_sp._AF43_10",259.955036357177,0.00122447451120733,2,0.0101854016159519
"s__Anthropogastromicrobium_aceti",225.105633299283,0.00141403743496894,8,0.0110751800275509
"s__Clostridium_sp._1001270J_160509_D11",219.147321338346,0.00145248262656405,2,0.0110751800275509
"s__Anaerotardibacter_sp._CLA_AA_M13",199.32912663693,0.00159689264246919,28,0.0116892541428744
