"t1","t2","r1","r2","n1","n2","p","BH_p"
"s__Collinsella_aerofaciens","s__Blautia_wexlerae",0.272929439506621,0.49941034954479,149,86,0.052565650645569,0.254397001673871
"s__Blautia_wexlerae","s__Prevotella_copri",-0.282345055632513,-0.447672221989001,139,83,0.177849593968953,0.431025196377188
"s__Faecalibacterium_prausnitzii","s__Prevotella_copri",0.279176906921668,0.251038999202384,139,83,0.827038118451556,0.927955657212039
"s__Prevotella_copri","s__Catenibacterium_mitsuokai",0.406808777943165,0.125339896858884,130,80,0.0347151688294466,0.215111810772751
"s__Collinsella_aerofaciens","s__Dorea_longicatena",0.448100852530383,0.270041039671683,149,86,0.134965688389794,0.371300714463921
"s__Blautia_wexlerae","s__Dorea_longicatena",0.376887357155814,0.269984433227982,149,86,0.383120050207182,0.620607561310645
"s__Collinsella_aerofaciens","s__Mediterraneibacter_faecis",0.277605659350626,0.336459266946554,149,86,0.64169993458671,0.81987704275039
"s__Blautia_wexlerae","s__Mediterraneibacter_faecis",0.32727371666969,0.324911552431718,149,86,0.979984620060757,0.993125234484607
"s__Dorea_longicatena","s__Mediterraneibacter_faecis",0.367455106112824,0.431331666588047,149,86,0.586565241389885,0.775248987371182
"s__Faecalibacterium_prausnitzii","s__Fusicatenibacter_saccharivorans",0.312127698167967,0.101372706259729,149,86,0.10835894591539,0.335697719623155
"s__Dorea_longicatena","s__Fusicatenibacter_saccharivorans",0.28815164157446,0.373781782159536,149,86,0.489351871446493,0.704134345566732
"s__Mediterraneibacter_faecis","s__Fusicatenibacter_saccharivorans",0.271518229639035,0.0960328317373461,149,86,0.185957235704564,0.439523665696216
"s__Blautia_wexlerae","s__Holdemanella_biformis",0.155128693958991,0.396881644223955,148,84,0.0592284876583596,0.268389073557926
"s__Catenibacterium_mitsuokai","s__Holdemanella_biformis",0.465006440532417,0.374517038343074,137,82,0.435498996662984,0.666524721639521
"s__Dorea_longicatena","s__Holdemanella_biformis",0.404146784779575,0.402470385744659,148,84,0.982447034792414,0.993588244632266
"s__Mediterraneibacter_faecis","s__Holdemanella_biformis",0.173904352236088,0.499686139516047,148,84,0.00751919668499236,0.134117881318168
"s__Prevotella_copri","s__Ruminococcus_bromii",-0.282108226462308,-0.0475840644809202,139,83,0.0863780165870666,0.305502311173032
"s__Collinsella_aerofaciens","s__Blautia_obeum",0.219829493923454,0.54826171045804,149,86,0.00456061566883772,0.109029309974668
"s__Blautia_wexlerae","s__Blautia_obeum",0.576597134046798,0.631039199962262,149,86,0.541035720618893,0.743116288443784
"s__Prevotella_copri","s__Blautia_obeum",-0.387702757049019,-0.428193610679652,139,83,0.736655178948759,0.876897597924812
"s__Holdemanella_biformis","s__Blautia_obeum",0.0557457882481852,0.366791535891465,148,84,0.0184473236186008,0.174935012587289
"s__Faecalibacterium_prausnitzii","s__Extibacter_muris",0.282648285869762,0.346837114958253,149,86,0.609583833122015,0.797701218457614
"s__Fusicatenibacter_saccharivorans","s__Extibacter_muris",0.404219118447306,0.199433935562998,149,86,0.0996533711200362,0.320887587342514
"s__Faecalibacterium_prausnitzii","s__Gemmiger_formicilis",0.25354979140214,0.376725317231945,149,86,0.323662568815287,0.571090155282389
"s__Collinsella_aerofaciens","s__Holdemanella_porci",0.287689873489973,0.44104485167561,138,84,0.210799996123511,0.468610980393506
"s__Blautia_wexlerae","s__Holdemanella_porci",0.225163189029861,0.468462083628632,138,84,0.0487288130862996,0.242867229280847
"s__Catenibacterium_mitsuokai","s__Holdemanella_porci",0.363517441860465,0.334769974205766,129,82,0.81602504238405,0.925430804293688
"s__Dorea_longicatena","s__Holdemanella_porci",0.355486096682793,0.455239445175661,138,84,0.400602051927532,0.638105815923475
"s__Mediterraneibacter_faecis","s__Holdemanella_porci",0.220752119345463,0.503573959704364,138,84,0.0198298971707113,0.181130497027004
"s__Holdemanella_biformis","s__Holdemanella_porci",0.536426713912907,0.484782828794168,138,84,0.614086147808633,0.801679239643986
"s__Blautia_obeum","s__Holdemanella_porci",0.204683222638011,0.428753670142756,138,84,0.0765480466539036,0.297641673044626
"s__Extibacter_muris","s__Holdemanella_porci",0.277269520467409,0.0239748911612838,138,84,0.0644518365083763,0.273935615341439
"s__Collinsella_aerofaciens","s__Bifidobacterium_adolescentis",0.326981887800086,0.316028552887735,106,68,0.934505671989532,0.97461511414844
"s__Collinsella_aerofaciens","s__Blautia_massiliensis",0.309909416333194,0.526675786593707,148,86,0.0559909126244747,0.261578298047884
"s__Blautia_wexlerae","s__Blautia_massiliensis",0.472190036907199,0.351686400301901,148,86,0.288871922167601,0.540625624568485
"s__Dorea_longicatena","s__Blautia_massiliensis",0.527795155791321,0.225359686777678,148,86,0.00943045331684225,0.145585547892241
"s__Mediterraneibacter_faecis","s__Blautia_massiliensis",0.286373210630162,0.304759658474456,148,86,0.888320987287602,0.95542659581021
"s__Fusicatenibacter_saccharivorans","s__Blautia_massiliensis",0.275393596582475,0.173262889758951,148,86,0.433744061235007,0.665319280368951
"s__Blautia_obeum","s__Blautia_massiliensis",0.306525947944932,0.329723100146233,148,86,0.856360619422001,0.943011261668992
"s__Gemmiger_formicilis","s__Blautia_massiliensis",0.28424466104236,0.0647294683711496,148,86,0.0992676034384003,0.320653865212621
"s__Holdemanella_porci","s__Blautia_massiliensis",0.370851779382587,0.208443859471499,138,84,0.20592665502576,0.46346974256125
"s__Blautia_wexlerae","s__Coprococcus_comes",0.424190096136405,0.292117552714751,149,86,0.26823528076603,0.521754033118992
"s__Dorea_longicatena","s__Coprococcus_comes",0.51248322147651,0.544148308882494,149,86,0.757369940975231,0.889462933481955
"s__Mediterraneibacter_faecis","s__Coprococcus_comes",0.358157083257754,0.346478607481485,149,86,0.917947355557872,0.966874042977536
"s__Fusicatenibacter_saccharivorans","s__Coprococcus_comes",0.455697442408852,0.432199632058116,149,86,0.825707025621715,0.92756033593777
"s__Ruminococcus_bromii","s__Coprococcus_comes",-0.141324587153926,-0.38498985801217,148,86,0.0571211065798537,0.26510052028086
"s__Blautia_obeum","s__Coprococcus_comes",0.309341556321422,0.400179253738384,149,86,0.454854809449106,0.679515938182222
"s__Extibacter_muris","s__Coprococcus_comes",0.353313985126066,0.229303269022124,149,86,0.322767769944198,0.571090155282389
"s__Blautia_massiliensis","s__Coprococcus_comes",0.433461539885317,0.302099155620548,148,86,0.2674824985642,0.520599078567715
"s__Collinsella_aerofaciens","s__Anaerobutyricum_hallii",0.20125521494649,0.371498655596962,149,86,0.179283757051639,0.431758022706543
"s__Blautia_wexlerae","s__Anaerobutyricum_hallii",0.369849446762198,0.315250719373555,149,86,0.649419852840287,0.825021442363827
"s__Dorea_longicatena","s__Anaerobutyricum_hallii",0.283417377108652,0.368328694749752,149,86,0.494633884227463,0.708769136607602
"s__Mediterraneibacter_faecis","s__Anaerobutyricum_hallii",0.210328314892073,0.364215293174206,149,86,0.22501388325192,0.482132551092431
