"t1","t2","r1","r2","n1","n2","p","BH_p","Description","Ontology"
"s__Streptococcus_parasanguinis","GO_none",0.307223271925681,0.272448679736367,145,83,0.782652842178456,0.913595047600879,"none","none"
"s__Rothia_mucilaginosa","GO_none",0.277897181546213,0.190997050532754,145,82,0.511049636953091,0.766322983049654,"none","none"
"s__Haemophilus_parainfluenzae","GO_none",-0.385029876227059,-0.224322765316007,143,82,0.206454913134611,0.53616522934508,"none","none"
"s__Prevotella_histicola","GO_none",0.307809747504404,0.248724959251275,130,77,0.65911286177008,0.855826529735855,"none","none"
"s__Haemophilus_haemolyticus","GO_none",-0.401245169600687,-0.191454163537619,137,82,0.103429710044895,0.423703683491409,"none","none"
"s__Lancefieldella_parvula","GO_none",0.358107658526848,0.178307286642228,113,72,0.206172777544233,0.535907259427078,"none","none"
"s__Streptococcus_sp._HSISS2","GO_none",0.26300271933591,0.397632442569151,136,80,0.29500092113686,0.611832903169769,"none","none"
"s__Rothia_sp._HMSC062F03","GO_none",0.359196047022483,0.196226874391431,132,79,0.220819449963039,0.548775233787831,"none","none"
"s__Haemophilus_influenzae","GO_none",-0.312127802565012,-0.290198735320687,137,81,0.861847878486987,0.949724603358511,"none","none"
"s__Candidatus_Nanosynbacter_sp._TM7_076","GO_none",0.397738493390667,0.235710111046172,91,59,0.290857680128376,0.608470811390315,"none","none"
"s__Candidatus_Nanosynbacter_sp._TM7_075","GO_none",0.343800868149756,0.0305595871633607,96,53,0.0627775606988374,0.36861513643924,"none","none"
"s__Streptococcus_mitis","GO:0005524",0.297842859392222,0.237563494395701,145,83,0.640032776761245,0.844884029228376,"ATP binding","MF"
"s__Streptococcus_salivarius","GO:0005524",0.417973547472839,0.303618655807901,145,83,0.344555782004359,0.650503836506531,"ATP binding","MF"
"s__Streptococcus_parasanguinis","GO:0005524",0.50197606676114,0.403257629822426,145,83,0.370741546088165,0.667482553363889,"ATP binding","MF"
"s__Streptococcus_oralis","GO:0005524",0.285730593607306,0.0962386129885395,145,83,0.15883685614342,0.488415180030094,"ATP binding","MF"
"s__Neisseria_mucosa","GO:0005524",-0.425957212462897,-0.309095967323815,137,78,0.346197320742363,0.651003324245877,"ATP binding","MF"
"s__Haemophilus_parainfluenzae","GO:0005524",-0.498424111100167,-0.17660887452248,143,82,0.00890625117544922,0.207636235836186,"ATP binding","MF"
"s__Neisseria_sicca","GO:0005524",-0.458360557806112,-0.421946474578054,137,77,0.749383110197198,0.897850979807801,"ATP binding","MF"
"s__Streptococcus_infantis","GO:0005524",0.320392251426734,0.331346291087696,144,83,0.935341025066301,0.977420668555279,"ATP binding","MF"
"s__Schaalia_odontolytica","GO:0005524",0.275324286142386,0.255555555555556,141,80,0.877628045284294,0.956148238232462,"ATP binding","MF"
"s__Streptococcus_pseudopneumoniae","GO:0005524",0.239132706374086,0.355085848620965,144,83,0.367764963615035,0.665121267345048,"ATP binding","MF"
"s__Streptococcus_cristatus","GO:0005524",0.3119644723093,0.322278661685068,144,83,0.93967274017511,0.978574541409459,"ATP binding","MF"
