"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2","Description","Ontology"
"s__Peptostreptococcus_stomatis","GO:0006355",-0.064391380314502,0.491702741702742,101,55,0.00049211243095641,0.0870847648714747,0.556094122017244,5,1,"regulation of transcription, DNA-templated","BP"
"s__Haemophilus_parainfluenzae","GO:0003723",-0.499729144095341,-0.0617646738716383,143,82,0.000556879315394224,0.0916050918535359,0.437964470223703,85,1,"RNA binding","MF"
"s__Peptostreptococcus_stomatis","GO:0003700",-0.0386721025043681,0.52034632034632,101,55,0.000373166031091657,0.0790494516942002,0.559018422850688,5,1,"DNA binding transcription factor activity","MF"
"s__Peptostreptococcus_stomatis","GO:0000160",-0.102259755387303,0.495093795093795,101,55,0.000189856210222553,0.0635263194318533,0.597353550481099,5,1,"phosphorelay signal transduction system","BP"
"s__Haemophilus_parainfluenzae","GO:0006164",-0.446982008601727,0.0172288068262209,143,82,0.000418426112920979,0.0835326175389404,0.464210815427948,85,1,"purine nucleotide biosynthetic process","BP"
"s__Haemophilus_parainfluenzae","GO:0006364",-0.550941429462556,-0.0233018796051414,143,82,2.38162661262115e-05,0.0330441560288897,0.527639549857415,85,1,"rRNA processing","BP"
"s__Haemophilus_parainfluenzae","GO:0003697",-0.479201549624085,0.0276553367943318,143,82,9.91777008714884e-05,0.0587102689707388,0.506856886418417,85,1,"single-stranded DNA binding","MF"
"s__Haemophilus_parainfluenzae","GO:0016765",-0.533344003414426,-0.0851209716916446,143,82,0.000305016179515065,0.0707311884060425,0.448223031722781,85,1,"transferase activity, transferring alkyl or aryl (other than methyl) groups","MF"
"s__Prevotella_nanceiensis","GO:0006814",0.313320369470102,-0.199289152165864,120,74,0.000501284815225658,0.0873392389604705,0.512609521635967,1,1,"sodium ion transport","BP"
"s__Haemophilus_parainfluenzae","GO:0046983",-0.533561508913622,-0.0339896170046038,143,82,7.01863313243753e-05,0.0529906801499033,0.499571891909018,85,1,"protein dimerization activity","MF"
"s__Haemophilus_parainfluenzae","GO:0008173",-0.387442956104928,0.116204656022464,143,82,0.000199371187715887,0.0659605013740932,0.503647612127392,85,2,"RNA methyltransferase activity","MF"
"s__Neisseria_meningitidis","GO:0008173",-0.555126329138621,-0.113315481986368,135,79,0.00039095600288076,0.0810683063719999,0.441810847152252,4,2,"RNA methyltransferase activity","MF"
"s__Veillonella_sp._oral_taxon_158","GO:0008299",-0.312768144147296,0.186684518013632,140,79,0.000361034276444343,0.0778811537005227,0.499452662160928,1,2,"isoprenoid biosynthetic process","BP"
