"species","t","p","num_corr","BH_p"
"s__Haemophilus_parainfluenzae",2173.21312910659,0.000146469694782642,853,0.0106688924067773
"s__Fusobacterium_nucleatum",2013.88435952992,0.00015805766528559,39,0.0106688924067773
"s__Peptostreptococcus_stomatis",893.362377968796,0.000356305303523242,32,0.0160337386585459
"s__Candidatus_Nanosynbacter_sp._HMT_352",355.817069469392,0.000894586222639754,56,0.0301922850140917
"s__Veillonella_dispar",104.613431447418,0.0030426321665749,219,0.0352224523497525
"s__Gemella_sanguinis",111.168847748956,0.0028632238941369,39,0.0352224523497525
"s__Rothia_sp._HMSC065C12",135.639417270721,0.00234669335568144,102,0.0352224523497525
"s__Streptococcus_sp._XMC",173.719848559792,0.00183229707512071,85,0.0352224523497525
"s__Streptococcus_sp._SK140",180.394771384675,0.00176450028637108,464,0.0352224523497525
"s__Lachnoanaerobaculum_saburreum",101.664435542562,0.00313088465331133,105,0.0352224523497525
"s__Candidatus_Nanosynbacter_sp._TM7_057",112.163726409809,0.00283782879688861,39,0.0352224523497525
"s__Candidatus_Nanosynbacter_sp._TM7_075",106.819458135754,0.00297979968632671,64,0.0352224523497525
"s__Prevotella_vespertina",84.990014370045,0.00374508935825879,173,0.0388913125665336
"s__Streptococcus_sp._343_SSPC",76.9173106577879,0.00413810559852926,90,0.039903161128675
"s__Streptococcus_salivarius",66.8926535372349,0.00475816342038394,683,0.0428234707834555
"s__Aggregatibacter_sp._2125159857",59.7682384078446,0.0053252395836846,8,0.0449317089873388
"s__Candidatus_Nanosynbacter_sp._TM7_087",49.8864794385832,0.00637983007312939,45,0.0506633564630863
"s__Prevotella_melaninogenica",46.4672690748201,0.00684913846318882,124,0.0507294284240868
"s__Veillonella_nakazawae",44.575629516125,0.00713969733376037,244,0.0507294284240868
"s__Parvimonas_micra",42.3165873560745,0.00752070696830696,10,0.050764772036072
"s__Streptococcus_australis",27.7034604723958,0.0114849098310889,53,0.051691218562865
"s__Streptococcus_vestibularis",27.3023465165926,0.0116534913880033,446,0.051691218562865
"s__Streptococcus_sp._F0442",29.6224335221555,0.0107414892684717,14,0.051691218562865
"s__Streptococcus_sp._HMSC034E03",35.3248597677238,0.009008525439578,338,0.051691218562865
"s__Veillonella_sp._S13053_19",31.3000881102284,0.0101661582876351,240,0.051691218562865
"s__Streptococcus_sp._HMSC056C01",30.6521772204444,0.0103808948632308,542,0.051691218562865
"s__Leptotrichia_sp._oral_taxon_417",34.8166515407267,0.00913994843889905,71,0.051691218562865
"s__Streptococcus_sp._A12",34.1662153400649,0.00931385099946985,83,0.051691218562865
"s__Fusobacterium_periodonticum",26.8042748438859,0.0118698353736949,315,0.051691218562865
"s__Veillonella_sp._CLA_AA_H247",28.973806481327,0.0109817667615815,199,0.051691218562865
"s__Candidatus_Nanosynbacter_sp._TM7_076",27.6101922155385,0.0115236724511354,66,0.051691218562865
"s__Veillonella_rogosae",20.2843540021101,0.0156796902756594,239,0.0587988385337228
"s__Neisseria_meningitidis",20.618347387658,0.0154260981896389,872,0.0587988385337228
"s__Abiotrophia_sp._HMSC24B09",20.425832890385,0.0155712591770188,7,0.0587988385337228
"s__Leptotrichia_sp._oral_taxon_221",21.1250965840144,0.0150566151532856,89,0.0587988385337228
"s__Candidatus_Nanosynbacter_sp._TM7_053",21.3580765714632,0.0148926141976354,37,0.0587988385337228
"s__Solobacterium_moorei",18.7568759019768,0.0169542527994094,103,0.060411335530004
"s__Porphyromonas_sp._KLE_1280",18.7011556537479,0.0170046722232604,150,0.060411335530004
"s__Neisseria_mucosa",16.7380420276393,0.0189945737690213,759,0.0633259212778629
"s__Veillonella_parvula",17.3177975093366,0.0183601178934346,95,0.0633259212778629
"s__Veillonella_sp._oral_taxon_158",15.9410823845089,0.019941765950363,293,0.0633259212778629
