"t1","t2","r1","r2","n1","n2","p","BH_p"
"s__Prevotella_salivae","gut_s__Prevotella_copri",0.307344930236326,-0.166130800146145,114,69,0.00189932845670616,0.011562699786327
"s__Streptococcus_pseudopneumoniae","gut_s__Catenibacterium_mitsuokai",0.310219141323792,-0.0383398247322298,129,79,0.0137872615190399,0.0289087741528255
"s__Streptococcus_pneumoniae","gut_s__Catenibacterium_mitsuokai",0.300157041609199,0.0402629016553067,130,79,0.0641069846944423,0.0809117282551214
"s__Leptotrichia_wadei","gut_s__Ruminococcus_bromii",-0.129969225913359,-0.399597585513078,115,70,0.0603068611554664,0.0783989195021064
"s__Granulicatella_sp._HMSC30F09","gut_s__Holdemanella_porci",0.0200242483651701,0.37992796964435,123,72,0.0125013756760869,0.027339605977843
"s__Porphyromonas_somerae","gut_s__Bifidobacterium_adolescentis",0.14628733997155,-0.523897625655257,75,46,0.000178688728535662,0.00266826214527345
"s__Streptococcus_sp._1001283B150225_161107_H12","gut_s__Bifidobacterium_adolescentis",0.167328529349884,-0.43155302048224,97,57,0.000246301121102165,0.00266826214527345
"s__Streptococcus_intermedius","gut_s__Blautia_massiliensis",0.10541618632742,0.360140018066847,133,81,0.059987594404031,0.0783989195021064
"s__Schaalia_odontolytica","gut_s__Anaerobutyricum_hallii",-0.0990960960206763,0.466723466407011,138,79,2.69919282906083e-05,0.000877237669444771
"s__Actinomyces_sp._S6_Spd3","gut_s__Anaerobutyricum_hallii",-0.134812430011198,0.541234639016897,95,63,9.07663958806531e-06,0.000799894074500248
"s__Neisseria_subflava","gut_s__Bifidobacterium_longum",-0.0891254807007549,-0.381825197761914,119,72,0.0411037034604162,0.0593720161094901
"s__Porphyromonas_bobii","gut_s__Phocaeicola_vulgatus",0.340853432282004,-0.243963210187948,99,58,0.00038680023589355,0.0038680023589355
"s__Actinomyces_oris","gut_s__Eubacterium_coprostanoligenes",-0.298277383261571,-0.0253430779746569,122,77,0.0574945468643313,0.0770545473439491
"s__Abiotrophia_sp._HMSC24B09","gut_s__Eubacterium_coprostanoligenes",-0.223306672066417,0.52765306122449,84,49,1.23060626846192e-05,0.000799894074500248
"s__Aggregatibacter_sp._oral_taxon_458","gut_s__Ruminococcus_callidus",0.360637152628921,-0.0891402714932127,108,51,0.00768727459461624,0.0207557114340212
"s__Streptococcus_pneumoniae","gut_s__Paratractidigestivibacter_faecalis",0.324521431096983,0.0024435394298408,122,74,0.0264122001838858,0.0440203336398097
"s__Rothia_sp._HMSC062F03","gut_s__Bifidobacterium_catenulatum",0.081572541382668,0.443491518963217,79,54,0.0307019990883977,0.0496312090941282
"s__Rothia_sp._HMSC072E10","gut_s__Bifidobacterium_catenulatum",0.146509382477646,0.448072891469118,83,53,0.0661033762722804,0.082397855456395
"s__Prevotella_salivae","gut_s__Blautia_glucerasea",-0.302427416130322,0.079644533869886,123,71,0.0101500371901601,0.0235625863343003
"s__Actinomyces_naeslundii","gut_s__Blautia_luti",0.0530063742032246,0.387455165777272,126,70,0.020029055553764,0.0371968174569902
"s__Prevotella_melaninogenica","gut_s__Slackia_isoflavoniconvertens",-0.108408935713589,-0.370629370629371,135,77,0.0553320616520184,0.0749288334871082
"s__Neisseria_sp._HMSC071A01","gut_s__Slackia_isoflavoniconvertens",-0.356998423864991,0.0552649228705567,116,71,0.00541980136178914,0.0190425453252051
"s__Streptococcus_anginosus","gut_s__Slackia_isoflavoniconvertens",0.294646767058403,0.0938278860700254,139,82,0.139455017454211,0.156285795422822
"s__Leptotrichia_wadei","gut_s__Slackia_isoflavoniconvertens",-0.073230594763168,-0.425946986265419,114,70,0.0143428540709472,0.0291339223316115
"s__Alloprevotella_rava","gut_s__Slackia_isoflavoniconvertens",0.0174054093460669,-0.514646464646465,87,55,0.000981061679047795,0.00797112614226334
"s__Leptotrichia_sp._oral_taxon_417","gut_s__Slackia_isoflavoniconvertens",-0.0262615301139447,-0.428015734265734,96,65,0.00904369336682828,0.0216541048369359
"s__Candidatus_Nanosynbacter_sp._HMT_352","gut_s__Romboutsia_timonensis",0.104485167561,0.545067873303167,84,51,0.00588675809927085,0.0196225269975695
"s__Candidatus_Nanosynbacter_sp._TM7_008","gut_s__Romboutsia_timonensis",0.168375927869599,0.533108988276161,78,48,0.0259548390104081,0.0438198580695201
"s__Candidatus_Nanosynbacter_sp._TM7_053","gut_s__Romboutsia_timonensis",0.1983288166215,0.47234693877551,81,49,0.0971135130578831,0.111723510597565
"s__Granulicatella_adiacens","gut_s__Oscillibacter_sp._ER4",-0.0615693462512001,-0.424951314508277,134,79,0.00689654394167864,0.0203761525549596
"s__Granulicatella_sp._HMSC30F09","gut_s__Oscillibacter_sp._ER4",-0.0727607914897104,-0.396223620881155,130,74,0.0203216243485817,0.0372086079621919
"s__Rothia_sp._HMSC062F03","gut_s__Roseburia_intestinalis",-0.0865664132379249,-0.374777121612565,129,78,0.0364451772556835,0.054458310841826
"s__Leptotrichia_sp._oral_taxon_221","gut_s__Roseburia_intestinalis",0.33968196819682,0.192063492063492,100,55,0.353952395803352,0.371079124632546
"s__Neisseria_mucosa","gut_s__Ellagibacter_isourolithinifaciens",-0.307250384024578,0.00709816499290184,125,77,0.028212777894554,0.046426090206228
"s__Fusobacterium_pseudoperiodonticum","gut_s__Ellagibacter_isourolithinifaciens",-0.390158465387823,0.0200196419128201,110,62,0.00799951550359887,0.0207557114340212
"s__Campylobacter_concisus","gut_s__Ellagibacter_isourolithinifaciens",-0.138453215517436,-0.444129619283263,110,67,0.0338568096920702,0.0530287380719171
"s__Fusobacterium_periodonticum","gut_s__Ellagibacter_isourolithinifaciens",-0.332345013477089,0.112976406533575,105,57,0.00669907266263303,0.0202530103754022
"s__Streptococcus_sp._HMSC074B11","gut_s__Akkermansia_muciniphila",0.184395090590298,0.444420941300899,117,61,0.0738671638671515,0.0897451523619598
"s__Streptococcus_sp._M334","gut_s__Blautia_sp._BIOML_A1",-0.083512237011593,0.377981029810298,136,81,0.00078841464476407,0.00732099312995208
"s__Streptococcus_sp._oral_taxon_431","gut_s__Faecalibacterium_sp._HTFF",-0.279566762275782,-0.0043360433604336,141,81,0.0465863507709013,0.0657063288751018
"s__Leptotrichia_wadei","gut_s__Faecalibacterium_sp._HTFF",0.354561180947988,-0.0354402630617464,116,69,0.00906180086827188,0.0216541048369359
"s__Streptococcus_sp._HMSC061D10","gut_s__Faecalibacterium_sp._HTFF",-0.277536025890534,0.0542428504453821,140,80,0.0176513826801915,0.0342489514690282
"s__Megasphaera_micronuciformis","gut_s__Evtepia_gabavorous",0.0721323620200025,0.443353538803039,90,52,0.025052442265916,0.0429184884389342
"s__Streptococcus_sanguinis","gut_s__Dialister_succinatiphilus",-0.392439243924392,-0.13030303030303,100,55,0.099817847345543,0.112837566564527
"s__Prevotella_pallens","gut_s__Dialister_succinatiphilus",0.385103070899571,-0.0213851498046027,86,48,0.0217094277155566,0.039197577819755
"s__Porphyromonas_sp._oral_taxon_279","gut_s__Parolsenella_catena",-0.348800758183276,0.112122796763973,87,58,0.00631895724225528,0.0200357180851997
"s__Fusobacterium_pseudoperiodonticum","gut_s__Parolsenella_catena",-0.325640074211503,-0.0314119513484929,99,61,0.0665521140224729,0.082397855456395
"s__Fusobacterium_periodonticum","gut_s__Parolsenella_catena",-0.386492161254199,0.0237867395762133,95,56,0.0128162262025915,0.027339605977843
"s__Fusobacterium_periodonticum","gut_s__Senegalimassilia_anaerobia",-0.318995493821868,0.161517429938483,108,56,0.00360172942106653,0.0160718585127036
"s__Actinomyces_sp._ph3","gut_s__Escherichia_coli",0.248506220001959,-0.457506853733269,82,53,4.02365349539159e-05,0.00104614990880181
"s__Haemophilus_haemolyticus","gut_s__Ruminococcus_sp._NSJ_71",-0.295984085704561,0.102930298719772,122,75,0.00647839925542872,0.0200521881715651
"s__Lachnoanaerobaculum_orale","gut_s__Ruminococcus_sp._NSJ_71",0.447666295433836,-0.0968367346938775,84,49,0.00183540167350095,0.011562699786327
"s__Veillonella_atypica","gut_s__Roseburia_sp._BX1005",0.0123198705473311,0.404698149951315,140,79,0.00376493978920743,0.0160718585127036
"s__Prevotella_histicola","gut_s__Roseburia_sp._BX1005",-0.0340596960263688,0.398207681365576,128,75,0.00221129946801067,0.0124986491670168
"s__Prevotella_sp._oral_taxon_306","gut_s__Roseburia_sp._BX1005",-0.024286546301689,0.413297150610583,101,66,0.00434287926505977,0.0176429470143053
"s__Streptococcus_sp._A12","gut_s__Roseburia_sp._BX1005",0.14058219803499,-0.387012987012987,132,76,0.00018947355509324,0.00266826214527345
"s__Porphyromonas_endodontalis","gut_s__Gallintestinimicrobium_propionicum",-0.0387810691181478,-0.520814479638009,89,51,0.00305621443590155,0.0152810721795077
