"species","t","p","num_corr","BH_p"
"s__Schaalia_odontolytica",5897.36925260497,5.39748944823827e-05,2,0.000847455004167451
"s__Veillonella_parvula",5183.37416527906,6.14097829106849e-05,1,0.000847455004167451
"s__Porphyromonas_bobii",6011.65792455143,5.29487684167672e-05,3,0.000847455004167451
"s__Abiotrophia_sp._HMSC24B09",12935.1360887357,2.46081589993353e-05,2,0.000847455004167451
"s__Actinomyces_sp._S6_Spd3",11731.5567205587,2.71327917509056e-05,3,0.000847455004167451
"s__Actinomyces_sp._ph3",4086.17716169912,7.78991872434477e-05,2,0.000895840653299649
"s__Streptococcus_sp._263_SSPC",1415.56701762777,0.000224863838497019,1,0.00221651497947062
"s__Porphyromonas_somerae",1002.33449716017,0.000317568418004233,2,0.00273902760528651
"s__Streptococcus_sp._A12",872.767642292122,0.000364713047855662,2,0.00279613336689341
"s__Streptococcus_sp._1001283B150225_161107_H12",674.54848030224,0.000471885509037752,2,0.00325601001236049
"s__Prevotella_pallens",446.959233149793,0.000712166415763987,3,0.00446722569888319
"s__Streptococcus_sp._M334",403.733285983335,0.000788414644764079,1,0.00453338420739345
"s__Streptococcus_anginosus",369.921631043034,0.000860477150035605,6,0.00456714795018898
"s__Alloprevotella_rava",324.453482459222,0.000981061679047769,1,0.00483523256102115
"s__Streptococcus_sp._343_SSPC",206.277950615895,0.00154309945240802,2,0.00709825748107689
"s__Haemophilus_influenzae",162.669479971985,0.00195676457922459,1,0.00843854724790604
"s__Prevotella_histicola",143.94466698787,0.00221129946801069,1,0.00897527431133751
"s__Neisseria_flavescens",121.495817466878,0.00261986548296902,1,0.0100428176847146
"s__Prevotella_salivae",99.4692995923983,0.00319997390438886,2,0.0107593411124346
"s__Porphyromonas_endodontalis",104.148485489662,0.00305621443590156,1,0.0107593411124346
"s__Lachnoanaerobaculum_orale",93.8117243206341,0.00339294297162086,2,0.0107593411124346
"s__Lachnoanaerobaculum_sp._ICM7",92.7842039069957,0.00343051455758785,2,0.0107593411124346
"s__Veillonella_atypica",84.5418678863444,0.00376493978920749,1,0.0112948193676225
"s__Prevotella_jejuni",69.756115930562,0.00456286992494359,1,0.0131182510342128
"s__Neisseria_sp._HMSC071A01",58.7252380122028,0.00541980136178918,1,0.0149586517585381
"s__Prevotella_melaninogenica",44.3728139028633,0.00717231985648573,2,0.0163726716822582
"s__Haemophilus_haemolyticus",44.7405781208582,0.007113383629652,2,0.0163726716822582
"s__Granulicatella_adiacens",46.1477633105979,0.00689654394167865,1,0.0163726716822582
"s__Streptococcus_sp._XMC",43.2653930032024,0.00735583800217398,1,0.0163726716822582
"s__Porphyromonas_sp._oral_taxon_279",50.3671822899601,0.00631895724225533,1,0.0163726716822582
"s__Schaalia_sp._ORNL0103",49.5339192645703,0.00642522654610689,2,0.0163726716822582
"s__Prevotella_sp._oral_taxon_306",38.9722965051012,0.00816580197188514,2,0.0176075105018773
"s__Lautropia_mirabilis",34.7352648428733,0.00916135204639601,1,0.0185921556235684
"s__Leptotrichia_sp._oral_taxon_417",35.1874195713109,0.00904369336682826,1,0.0185921556235684
"s__Fusobacterium_periodonticum",33.0848897359402,0.00961807669013425,7,0.0189613511891218
"s__Neisseria_subflava",29.7962558724629,0.0106788738124539,2,0.0200524500343378
"s__Candidatus_Nanosynbacter_sp._HMT_352",28.8120315754326,0.0110433782797803,2,0.0200524500343378
"s__Aggregatibacter_sp._oral_taxon_458",29.4145335783433,0.0108173511570114,2,0.0200524500343378
"s__Streptococcus_mitis",23.808364317075,0.013361812486955,2,0.0236401297846127
"s__Streptococcus_pseudopneumoniae",23.0728053244819,0.0137872615190399,1,0.0237830261203439
"s__Granulicatella_sp._HMSC30F09",21.9634426775294,0.0144827116568835,3,0.0243733440079259
"s__Streptococcus_parasanguinis",21.083310641826,0.0150864118974768,1,0.0247848195458547
"s__Streptococcus_sp._HMSC061D10",18.0146534876868,0.0176513826801915,1,0.0283243117426329
"s__Fusobacterium_pseudoperiodonticum",16.5092091823896,0.0192572184806701,3,0.0294809161125893
"s__Actinomyces_naeslundii",15.871426259782,0.020029055553764,1,0.0294809161125893
"s__Streptococcus_intermedius",15.830101173609,0.0200812037288652,2,0.0294809161125893
"s__Candidatus_Nanosynbacter_sp._TM7_057",16.7481057148358,0.0189831872639853,1,0.0294809161125893
"s__Megasphaera_micronuciformis",12.6794970332459,0.025052442265916,1,0.0360128857572542
"s__Neisseria_mucosa",11.252912501853,0.028212777894554,1,0.0397281974433515
"s__Leptotrichia_wadei",10.5556522115359,0.0300656660618828,9,0.0414906191653983
"s__Peptostreptococcus_stomatis",9.53722412108133,0.0332540177878741,2,0.0440777333726951
"s__Rothia_sp._HMSC062F03",9.51564624304202,0.0333288759716855,2,0.0440777333726951
"s__Campylobacter_concisus",9.36616879711371,0.0338568096920702,1,0.0440777333726951
"s__Oribacterium_sinus",8.87899314722641,0.035699337435588,1,0.0447864415101013
"s__Gemella_morbillorum",8.95541061080666,0.0353972270470206,1,0.0447864415101013
"s__Mogibacterium_diversum",8.6552125939094,0.0366143246761944,2,0.0451140786188824
"s__Candidatus_Nanosynbacter_sp._TM7_008",8.46489230530034,0.0374300566607757,3,0.04531006858936
"s__Streptococcus_sp._HSISS2",7.45544254149516,0.0424416570891362,1,0.0504909368819034
"s__Streptococcus_sp._oral_taxon_431",6.78383063990275,0.0465863507709014,1,0.0544823424269863
"s__Leptotrichia_sp._oral_taxon_221",6.57700550697569,0.0480295323208935,2,0.0552339621690275
"s__Streptococcus_pneumoniae",6.12091110396356,0.0515482687214537,3,0.0583086974062345
"s__Streptococcus_timonensis",5.30558641963627,0.0592995586301357,1,0.0659946700883769
"s__Rothia_sp._HMSC072E10",4.74591163014323,0.0661033762722803,1,0.0723989359172594
"s__Streptococcus_sp._HMSC074B11",4.23158770105277,0.0738671638671516,1,0.0796380360442728
"s__Gemella_sanguinis",4.13281498611602,0.0755676942073046,2,0.080218013850831
"s__Streptococcus_gordonii",3.47169026397138,0.0892707515909197,2,0.0933285130268705
"s__Actinomyces_oris",3.13319036262963,0.0983399169815924,2,0.101275436891491
"s__Candidatus_Nanosynbacter_sp._TM7_053",2.63754619590665,0.115354087443249,2,0.117050471082121
"s__Streptococcus_sanguinis",1.10243146571423,0.234504043320532,2,0.234504043320532
"s__Streptococcus_salivarius",NA,NA,0,NA
"s__Streptococcus_oralis",NA,NA,0,NA
"s__Rothia_mucilaginosa",NA,NA,0,NA
"s__Haemophilus_parainfluenzae",NA,NA,0,NA
"s__Neisseria_sicca",NA,NA,0,NA
"s__Streptococcus_infantis",NA,NA,0,NA
"s__Actinomyces_sp._ICM47",NA,NA,0,NA
"s__Gemella_haemolysans",NA,NA,0,NA
"s__Actinomyces_graevenitzii",NA,NA,0,NA
"s__Haemophilus_parahaemolyticus",NA,NA,0,NA
"s__Streptococcus_cristatus",NA,NA,0,NA
"s__Streptococcus_australis",NA,NA,0,NA
"s__Veillonella_dispar",NA,NA,0,NA
"s__Streptococcus_rubneri",NA,NA,0,NA
"s__Streptococcus_vestibularis",NA,NA,0,NA
"s__Lancefieldella_parvula",NA,NA,0,NA
"s__Actinomyces_bouchesdurhonensis",NA,NA,0,NA
"s__Veillonella_rogosae",NA,NA,0,NA
"s__Haemophilus_sputorum",NA,NA,0,NA
"s__Rothia_sp._HMSC065C12",NA,NA,0,NA
"s__Rothia_dentocariosa",NA,NA,0,NA
"s__Streptococcus_sp._HMSC067H01",NA,NA,0,NA
"s__Streptococcus_sp._Marseille_Q3533",NA,NA,0,NA
"s__Rothia_sp._HMSC072B04",NA,NA,0,NA
"s__Veillonella_tobetsuensis",NA,NA,0,NA
"s__Alloprevotella_tannerae",NA,NA,0,NA
"s__Neisseria_meningitidis",NA,NA,0,NA
"s__Alloprevotella_sp._oral_taxon_473",NA,NA,0,NA
"s__Streptococcus_sp._UMB0029",NA,NA,0,NA
"s__Solobacterium_moorei",NA,NA,0,NA
"s__Veillonella_nakazawae",NA,NA,0,NA
"s__Streptococcus_sp._F0442",NA,NA,0,NA
"s__Streptococcus_sp._HPH0090",NA,NA,0,NA
"s__Prevotella_intermedia",NA,NA,0,NA
