"t1","t2","r1","r2","n1","n2","p","BH_p","Metabolites","smiles","kingdom","super_class","class","sub_class","direct_parent"
"s__Streptococcus_cristatus","HMDB0000617",-0.080640623744072,-0.403089710759414,144,83,0.0138911769080418,0.0555647076321671,"2-Furoic acid","OC(=O)C1=CC=CO1","Organic compounds","Organoheterocyclic compounds","Furans","Furoic acid and derivatives","Furoic acids"
"s__Actinomyces_oris","HMDB0000617",-0.0442973104402798,-0.402719174871074,134,80,0.00810828132468562,0.041939386162167,"2-Furoic acid","OC(=O)C1=CC=CO1","Organic compounds","Organoheterocyclic compounds","Furans","Furoic acid and derivatives","Furoic acids"
"s__Veillonella_tobetsuensis","HMDB0000617",-0.0503334718243642,0.377280614122719,140,77,0.00205762924570624,0.0228625471745137,"2-Furoic acid","OC(=O)C1=CC=CO1","Organic compounds","Organoheterocyclic compounds","Furans","Furoic acid and derivatives","Furoic acids"
"s__Streptococcus_sp._263_SSPC","HMDB0000525",0.0917750090285302,0.363110980507395,143,82,0.0417403535026148,0.105818828894481,"5-Hydroxyhexanoic acid","CC(O)CCCC(O)=O","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids"
"s__Prevotella_intermedia","HMDB0000191",-0.316470280178057,-0.184916349473312,134,78,0.331335470254946,0.414169337818682,"Aspartic acid","N[C@@H](CC(O)=O)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives"
"s__Fusobacterium_periodonticum","HMDB0000191",0.0073510054474393,0.513180965271156,114,58,0.000759706332639951,0.0126617722106658,"Aspartic acid","N[C@@H](CC(O)=O)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives"
"s__Neisseria_mucosa","HMDB0000292",-0.294066309481584,-0.36880840678309,137,78,0.566238904842522,0.63861530621337,"Xanthine","O=C1NC2=C(NC=N2)C(=O)N1","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines"
"s__Neisseria_sicca","HMDB0000292",-0.216835925103142,-0.401256638098743,137,77,0.161089115405349,0.245313373713729,"Xanthine","O=C1NC2=C(NC=N2)C(=O)N1","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines"
"s__Haemophilus_parahaemolyticus","HMDB0000292",-0.305696556350626,-0.161312371838688,129,76,0.298445935929934,0.38759212458433,"Xanthine","O=C1NC2=C(NC=N2)C(=O)N1","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines"
"s__Lancefieldella_parvula","HMDB0000292",0.320563577084304,0.176538684159753,113,72,0.316964750466013,0.404132799389124,"Xanthine","O=C1NC2=C(NC=N2)C(=O)N1","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines"
"s__Neisseria_meningitidis","HMDB0000292",-0.270754072773388,-0.394839337877313,135,79,0.336740802737214,0.415122997027722,"Xanthine","O=C1NC2=C(NC=N2)C(=O)N1","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines"
"s__Solobacterium_moorei","HMDB0000292",0.362128754835627,0.35695399259651,92,62,0.967315262653995,0.970550430756517,"Xanthine","O=C1NC2=C(NC=N2)C(=O)N1","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines"
"s__Haemophilus_paraphrohaemolyticus","HMDB0000292",-0.305723854078789,-0.0969158099472076,118,60,0.178139280060765,0.263260019794234,"Xanthine","O=C1NC2=C(NC=N2)C(=O)N1","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines"
"s__Prevotella_intermedia","HMDB0000177",-0.286918789511091,-0.261320957523489,134,78,0.845057408864033,0.892666276969048,"Histidine","N[C@@H](CC1=CN=CN1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives"
"s__Neisseria_sp._oral_taxon_014","HMDB0000177",-0.121323371477855,-0.428369660648166,122,68,0.0307052579046405,0.0905702250389911,"Histidine","N[C@@H](CC1=CN=CN1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives"
"s__Veillonella_sp._CLA_AA_H247","HMDB0001886",0.285931246025512,0.205714285714286,134,76,0.55720648085583,0.63079978964811,"3-Methylxanthine","CN1C2=C(NC=N2)C(=O)NC1=O","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines"
"s__Streptococcus_salivarius","HMDB0304953",-0.379361517871201,-0.238403089710759,145,83,0.263321039087108,0.355548305726249,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Streptococcus_parasanguinis","HMDB0304953",-0.381156510785703,-0.364363376852357,145,83,0.883964509018861,0.927352493694919,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Neisseria_mucosa","HMDB0304953",0.339308716187205,0.204795204795205,137,78,0.312460256793206,0.400590072811803,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Haemophilus_parainfluenzae","HMDB0304953",0.281534193506024,-0.052404740914879,143,82,0.0155350626601499,0.0597502410005763,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Prevotella_histicola","HMDB0304953",-0.34545603517732,-0.123876123876124,130,77,0.107725099534665,0.186924847145938,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Neisseria_subflava","HMDB0304953",0.327211896926081,0.358805120910384,130,75,0.81427581299555,0.875565390317795,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Streptococcus_australis","HMDB0304953",0.317036411863998,-0.0410562109063431,144,83,0.0085487872235491,0.0427439361177455,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Veillonella_dispar","HMDB0304953",-0.331732821169441,-0.290831074977416,143,81,0.745020420748499,0.809804805161412,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Lancefieldella_parvula","HMDB0304953",-0.369310998735777,-0.0770467554183549,113,72,0.043989215777232,0.107290770188371,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Haemophilus_sputorum","HMDB0304953",0.310703828771386,0.165822784810127,133,80,0.284746627368589,0.376317128680954,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Streptococcus_sp._HSISS2","HMDB0304953",-0.353017508706646,-0.272573839662447,136,80,0.531223576653143,0.605958452456057,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Lautropia_mirabilis","HMDB0304953",0.311852940171524,0.345207001944985,112,60,0.826280485279405,0.882149984284062,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Neisseria_sp._HMSC071A01","HMDB0304953",0.398170979542067,0.305264922870557,121,71,0.483502598411733,0.557887613552,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Megasphaera_micronuciformis","HMDB0304953",-0.337206972550591,-0.0600343053173242,92,54,0.0992167408874095,0.179307363049535,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Veillonella_nakazawae","HMDB0304953",-0.349933445817132,-0.221765576195956,138,78,0.330931131942584,0.414169337818682,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Neisseria_flavescens","HMDB0304953",0.343796869141357,0.329107737874861,127,74,0.906636331579902,0.93558391418373,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Haemophilus_influenzae","HMDB0304953",0.319161050646853,0.16449864498645,137,81,0.247899484921664,0.341146080167428,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Veillonella_sp._CLA_AA_H247","HMDB0304953",-0.332395665781369,-0.27187969924812,134,76,0.645496444672152,0.717218271857947,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Actinomyces_sp._oral_taxon_181","HMDB0304953",-0.385442329227324,-0.223100855587244,95,57,0.295169581182457,0.385003801542335,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Actinomyces_sp._ph3","HMDB0304953",-0.365331248778581,-0.250577200577201,85,55,0.473247211126031,0.550427001473445,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Streptococcus_sp._F0442","HMDB0000517",0.0114145765454506,0.425674824734478,140,83,0.00173916535420955,0.0200672925485717,"Arginine","N[C@@H](CCCNC(N)=N)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids"
"s__Gemella_haemolysans","HMDB0000333",0.315598994951707,0.320959104186952,142,79,0.971895802656157,0.971895802656157,"Isohomovanillic acid","COC1=CC=C(CC(O)=O)C=C1O","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols"
"s__Fusobacterium_nucleatum","HMDB0000333",-0.0748219685884304,-0.449957325746799,135,75,0.00547820938799885,0.0319107406317599,"Isohomovanillic acid","COC1=CC=C(CC(O)=O)C=C1O","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols"
"s__Rothia_dentocariosa","HMDB0006029",-0.305896665235437,-0.0218389205730978,136,78,0.0423275315577923,0.105818828894481,"N-Acetylglutamine","CC(=O)N[C@@H](CCC(N)=O)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamine and derivatives"
"s__Neisseria_meningitidis","HMDB0000929",-0.354136181835918,-0.0568159688412853,135,79,0.0300761274400329,0.0905702250389911,"Tryptophan","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives"
"s__Neisseria_flavescens","HMDB0000929",-0.326572459692538,-0.0766679007774898,127,74,0.0790199312620086,0.150993499226768,"Tryptophan","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives"
"s__Veillonella_atypica","HMDB0255056",0.337244328441512,0.168879855465221,143,81,0.201839864248787,0.292521542389546,"N-Acetylphenylalanine","CC(=O)NC(CC1=CC=CC=C1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives"
"s__Rothia_sp._HMSC062F03","HMDB0255056",0.30339206795615,0.172005842259007,132,79,0.33481580168636,0.415122997027722,"N-Acetylphenylalanine","CC(=O)NC(CC1=CC=CC=C1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives"
"s__Rothia_sp._HMSC072E10","HMDB0255056",0.285118525021949,0.257072041882168,135,78,0.830897130405687,0.882312264198491,"N-Acetylphenylalanine","CC(=O)NC(CC1=CC=CC=C1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives"
"s__Actinomyces_sp._oral_taxon_181","HMDB0255056",0.343491041433371,0.103513093077521,95,57,0.139588504206137,0.227574778678052,"N-Acetylphenylalanine","CC(=O)NC(CC1=CC=CC=C1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives"
"s__Actinomyces_sp._ph3","HMDB0255056",0.410807113543092,0.101948051948052,85,55,0.0604912822292092,0.126023504644186,"N-Acetylphenylalanine","CC(=O)NC(CC1=CC=CC=C1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives"
"s__Haemophilus_haemolyticus","HMDB0028873",-0.0150512442361902,0.361783176064692,137,82,0.00575537991511268,0.0325776221610151,"Hydroxyprolyl-Threonine","CC(O)C(NC(=O)C1CC(O)CN1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"s__Rothia_aeria","HMDB0028873",-0.121243795237366,0.387860560492139,140,76,0.000267992729752465,0.00777976247702431,"Hydroxyprolyl-Threonine","CC(O)C(NC(=O)C1CC(O)CN1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"s__Streptococcus_intermedius","HMDB0028917",-0.303647768215506,-0.0815076022246166,137,82,0.103074135643306,0.184448668553336,"Isoleucyl-Threonine","CCC(C)C(N)C(=O)NC(C(C)O)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides"
"s__Rothia_aeria","HMDB0000210",-0.29523080623647,-0.0100615174299385,140,76,0.0430132358276867,0.106644386349636,"Pantothenic acid","CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols"
"s__Streptococcus_sp._Marseille_Q3533","HMDB0244966",-0.27583294739423,0.0250351617440225,142,80,0.0306536344241935,0.0905702250389911,"N-Acetyltyrosine","CC(=O)NC(CC1=CC=C(O)C=C1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Tyrosine and derivatives"
"s__Haemophilus_parainfluenzae","HMDB0304810",-0.331445549755409,-0.143087254165714,143,82,0.155040779603252,0.241653500133428,"Pro-Ile","[H][C@](C)(CC)[C@]([H])(N=C(O)[C@]1([H])CCCN1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides"
"s__Haemophilus_parahaemolyticus","HMDB0304810",-0.3508385509839,-0.216103896103896,129,76,0.317917802186111,0.404132799389124,"Pro-Ile","[H][C@](C)(CC)[C@]([H])(N=C(O)[C@]1([H])CCCN1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides"
"s__Neisseria_meningitidis","HMDB0304810",-0.327538776704712,-0.167356377799416,135,79,0.235075754138946,0.330832368531179,"Pro-Ile","[H][C@](C)(CC)[C@]([H])(N=C(O)[C@]1([H])CCCN1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides"
"s__Neisseria_flavescens","HMDB0304810",-0.304274465691789,-0.179415031469826,127,74,0.371981099368082,0.453635487034246,"Pro-Ile","[H][C@](C)(CC)[C@]([H])(N=C(O)[C@]1([H])CCCN1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides"
