"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2","Metabolites","smiles","kingdom","super_class","class","sub_class","direct_parent"
"s__Actinomyces_oris","HMDB0000617",-0.0442973104402798,-0.402719174871074,134,80,0.00810828132468562,0.041939386162167,0.358421864430794,2,2,"2-Furoic acid","OC(=O)C1=CC=CO1","Organic compounds","Organoheterocyclic compounds","Furans","Furoic acid and derivatives","Furoic acids"
"s__Veillonella_tobetsuensis","HMDB0000617",-0.0503334718243642,0.377280614122719,140,77,0.00205762924570624,0.0228625471745137,0.427614085947084,1,2,"2-Furoic acid","OC(=O)C1=CC=CO1","Organic compounds","Organoheterocyclic compounds","Furans","Furoic acid and derivatives","Furoic acids"
"s__Fusobacterium_periodonticum","HMDB0000191",0.0073510054474393,0.513180965271156,114,58,0.000759706332639951,0.0126617722106658,0.505829959823716,2,1,"Aspartic acid","N[C@@H](CC(O)=O)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives"
"s__Streptococcus_australis","HMDB0304953",0.317036411863998,-0.0410562109063431,144,83,0.0085487872235491,0.0427439361177455,0.358092622770341,1,1,"O-Phenolsulfonic acid","OC1=CC=CC=C1S(O)(=O)=O","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"s__Streptococcus_sp._F0442","HMDB0000517",0.0114145765454506,0.425674824734478,140,83,0.00173916535420955,0.0200672925485717,0.414260248189027,2,1,"Arginine","N[C@@H](CCCNC(N)=N)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids"
"s__Fusobacterium_nucleatum","HMDB0000333",-0.0748219685884304,-0.449957325746799,135,75,0.00547820938799885,0.0319107406317599,0.375135357158369,1,1,"Isohomovanillic acid","COC1=CC=C(CC(O)=O)C=C1O","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols"
"s__Haemophilus_haemolyticus","HMDB0028873",-0.0150512442361902,0.361783176064692,137,82,0.00575537991511268,0.0325776221610151,0.376834420300883,1,2,"Hydroxyprolyl-Threonine","CC(O)C(NC(=O)C1CC(O)CN1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"s__Rothia_aeria","HMDB0028873",-0.121243795237366,0.387860560492139,140,76,0.000267992729752465,0.00777976247702431,0.509104355729506,5,2,"Hydroxyprolyl-Threonine","CC(O)C(NC(=O)C1CC(O)CN1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"s__Neisseria_sp._oral_taxon_014","HMDB0003312",0.0151509644076254,0.498797572241096,122,68,0.000605439356590182,0.011345425773097,0.483646607833471,4,1,"Daidzein","OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O","Organic compounds","Phenylpropanoids and polyketides","Isoflavonoids","Isoflav-2-enes","Isoflavones"
"s__Streptococcus_infantis","HMDB0000050",-0.271726549312756,0.136056420805172,144,83,0.003109709821674,0.0271561758683381,0.407782970117928,2,1,"Adenosine","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides"
