"t1","t2","r1","r2","n1","n2","p","BH_p","Metabolites","smiles","kingdom","super_class","class","sub_class","direct_parent"
"s__Prevotella_pallens","HMDB0302405",-0.0513985533785021,-0.395620297125217,128,72,0.0151052366151391,0.0826067627390421,"4-Methylpyridine","CC1=CC=NC=C1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines","Methylpyridines"
"s__Prevotella_salivae","HMDB0302405",-0.0923932411674347,-0.381214225995241,125,72,0.0418659479266211,0.112819245526589,"4-Methylpyridine","CC1=CC=NC=C1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines","Methylpyridines"
"s__Prevotella_vespertina","HMDB0302405",0.0438804576676479,-0.433216783216783,108,65,0.00164499045918073,0.0630924618624924,"4-Methylpyridine","CC1=CC=NC=C1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines","Methylpyridines"
"s__Alloprevotella_rava","HMDB0302405",-0.02170582226762,-0.444497607655502,89,56,0.00961324407291297,0.0803264464811382,"4-Methylpyridine","CC1=CC=NC=C1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines","Methylpyridines"
"s__Haemophilus_paraphrohaemolyticus","HMDB0011749",-0.0436090994416019,-0.421172547929981,118,60,0.0130540311536661,0.0811559016438979,"2-Piperidinone","O=C1CCCCN1","Organic compounds","Organoheterocyclic compounds","Piperidines","Piperidinones","Piperidinones"
"s__Prevotella_melaninogenica","HMDB0031604",-0.005995932737093,0.410260625450499,140,78,0.00222911725028204,0.0630924618624924,"2-Penten-1-ol","CC\C=C/CO","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Primary alcohols"
"s__Streptococcus_cristatus","HMDB0031604",0.276312193553573,0.0817975735695395,144,83,0.150521295983078,0.241662631165492,"2-Penten-1-ol","CC\C=C/CO","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Primary alcohols"
"s__Actinomyces_bouchesdurhonensis","HMDB0031604",-0.00231952508074001,0.378305904621694,137,77,0.00600788506250418,0.0678378603286605,"2-Penten-1-ol","CC\C=C/CO","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Primary alcohols"
"s__Streptococcus_oralis","HMDB0246022",0.29881908360888,0.00690567146635322,145,83,0.0316884855512621,0.0972892100258048,"3,4-Diaminopyridine","NC1=CNC=CC1=N","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Aminopyridines and derivatives","Aminopyridines and derivatives"
"s__Prevotella_intermedia","HMDB0246022",-0.309153480716717,-0.314204782559213,134,78,0.97401397313945,0.979611754594274,"3,4-Diaminopyridine","NC1=CNC=CC1=N","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Aminopyridines and derivatives","Aminopyridines and derivatives"
