"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2","Metabolites","smiles","kingdom","super_class","class","sub_class","direct_parent"
"s__Prevotella_vespertina","HMDB0302405",0.0438804576676479,-0.433216783216783,108,65,0.00164499045918073,0.0630924618624924,0.477097240884431,1,2,"4-Methylpyridine","CC1=CC=NC=C1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines","Methylpyridines"
"s__Alloprevotella_rava","HMDB0302405",-0.02170582226762,-0.444497607655502,89,56,0.00961324407291297,0.0803264464811382,0.422791785387882,1,2,"4-Methylpyridine","CC1=CC=NC=C1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines","Methylpyridines"
"s__Prevotella_melaninogenica","HMDB0031604",-0.005995932737093,0.410260625450499,140,78,0.00222911725028204,0.0630924618624924,0.416256558187592,2,2,"2-Penten-1-ol","CC\C=C/CO","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Primary alcohols"
"s__Actinomyces_bouchesdurhonensis","HMDB0031604",-0.00231952508074001,0.378305904621694,137,77,0.00600788506250418,0.0678378603286605,0.380625429702434,3,2,"2-Penten-1-ol","CC\C=C/CO","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Primary alcohols"
"s__Streptococcus_oralis","HMDB0038998",0.316048653755314,-0.130578061374418,145,83,0.00108749396269837,0.0630924618624924,0.446626715129732,2,2,"3,5,7-Octatriyn-1-ol","OCCC#CC#CC#C","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Fatty alcohols"
"s__Actinomyces_bouchesdurhonensis","HMDB0038998",0.086564489331118,0.454519165045481,137,77,0.00563610152784798,0.0678378603286605,0.367954675714363,3,2,"3,5,7-Octatriyn-1-ol","OCCC#CC#CC#C","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Fatty alcohols"
"s__Streptococcus_oralis","HMDB0000205",0.296823334907889,-0.149196087485832,145,83,0.00115170328512273,0.0630924618624924,0.44601942239372,2,2,"Phenylpyruvic acid","OC(=O)C(=O)CC1=CC=CC=C1","Organic compounds","Benzenoids","Benzene and substituted derivatives","Phenylpyruvic acid derivatives","Phenylpyruvic acid derivatives"
"s__Actinomyces_bouchesdurhonensis","HMDB0000205",0.0767310097634738,0.448814343551186,137,77,0.0053180286703064,0.0678378603286605,0.372083333787712,3,2,"Phenylpyruvic acid","OC(=O)C(=O)CC1=CC=CC=C1","Organic compounds","Benzenoids","Benzene and substituted derivatives","Phenylpyruvic acid derivatives","Phenylpyruvic acid derivatives"
"s__Streptococcus_sp._oral_taxon_061","HMDB0255997",-0.0272135829895271,0.394814995131451,137,79,0.00207985835182085,0.0630924618624924,0.422028578120978,2,1,"Oxonal","O=C\C1=C\C=C/C=C\C=C/O1",NA,NA,NA,NA,NA
"s__Streptococcus_sp._HPH0090","HMDB0001046",0.0886765816343281,0.471364046973803,143,81,0.00293424192069979,0.0630924618624924,0.382687465339475,1,1,"Cotinine","CN1C(CCC1=O)C1=CN=CC=C1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Pyrrolidinylpyridines","Pyrrolidinylpyridines"
"s__Mogibacterium_diversum","HMDB0001847",-0.0296462771154974,-0.506938775510204,85,50,0.00418522834468132,0.0678378603286605,0.477292498394707,1,2,"Caffeine","CN1C=NC2=C1C(=O)N(C)C(=O)N2C","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines"
"s__Candidatus_Nanosynbacter_sp._HMT_352","HMDB0001847",0.0233664224827701,-0.414059460961378,98,60,0.00601372582020129,0.0678378603286605,0.437425883444148,1,2,"Caffeine","CN1C=NC2=C1C(=O)N(C)C(=O)N2C","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines"
"s__Streptococcus_sp._Marseille_Q6470","HMDB0029051",-0.315116850618884,0.0698781059540553,139,80,0.00565749088918447,0.0678378603286605,0.384994956572939,1,2,"Seryltyrosine","N[C@@H](CO)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides"
"s__Streptococcus_sp._oral_taxon_061","HMDB0029051",-0.337315884779808,0.0804284323271665,137,79,0.00275515216288751,0.0630924618624924,0.417744317106975,2,2,"Seryltyrosine","N[C@@H](CO)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides"
"s__Prevotella_melaninogenica","HMDB0246097",0.0188231177975553,0.373284942905196,140,78,0.00978872239072639,0.0803264464811382,0.354461825107641,2,1,"3'-Hydroxyamobarbital","CCC1(CCC(C)(C)O)C(=O)NC(=O)NC1=O","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Barbituric acid derivatives"
"s__Haemophilus_haemolyticus","HMDB0000826",-0.00943678010715552,0.388926981639294,137,82,0.00324475518149961,0.0630924618624924,0.39836376174645,1,1,"Pentadecanoic acid","CCCCCCCCCCCCCCC(O)=O","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids"
"s__Neisseria_sp._oral_taxon_014","HMDB0254257",-0.0191097114873059,-0.465549490399664,122,68,0.00178251778848521,0.0630924618624924,0.446439778912358,1,1,"Lykurim","CS(=O)(=O)OCCNCC(O)C(O)CNCCOS(C)(=O)=O","Organic compounds","Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives","Organosulfonic acid esters"
"s__Haemophilus_paraphrohaemolyticus","HMDB0011507",0.355756905108849,-0.0591275354265074,118,60,0.00805927083731417,0.0803264464811382,0.414884440535357,1,1,"LysoPE(18:2/0:0)","[H][C@@](O)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP(O)(=O)OCCN","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines"
