"species","t","p","num_corr","BH_p"
"s__Streptococcus_oralis",117.526421519095,0.00270834592506347,5,0.067712934273676
"s__Prevotella_melaninogenica",44.294672242282,0.0071849684837694,4,0.067712934273676
"s__Gemella_sanguinis",29.6064416322081,0.0107472868659426,1,0.067712934273676
"s__Haemophilus_haemolyticus",50.3810653311035,0.00631721644327963,2,0.067712934273676
"s__Actinomyces_bouchesdurhonensis",46.2919269242563,0.00687507322095311,4,0.067712934273676
"s__Alloprevotella_tannerae",27.5032692307428,0.0115684330522603,2,0.067712934273676
"s__Streptococcus_sp._HPH0090",28.319020810867,0.0112354760914239,5,0.067712934273676
"s__Mogibacterium_diversum",43.1466171149486,0.0073760802354497,2,0.067712934273676
"s__Porphyromonas_somerae",37.9980062475432,0.00837508231841859,1,0.067712934273676
"s__Candidatus_Nanosynbacter_sp._HMT_352",52.9242640927468,0.00601372582020129,1,0.067712934273676
"s__Prevotella_vespertina",193.500850228266,0.00164499045918076,1,0.067712934273676
"s__Neisseria_sp._oral_taxon_014",25.0390001216731,0.0127058113173452,11,0.067712934273676
"s__Haemophilus_paraphrohaemolyticus",31.9290165117148,0.00996604043703834,2,0.067712934273676
"s__Streptococcus_sp._Marseille_Q6470",56.2575130649467,0.00565749088918453,1,0.067712934273676
"s__Streptococcus_sp._HMSC062D07",24.6660739113232,0.0128977017664145,1,0.067712934273676
"s__Streptococcus_sp._oral_taxon_061",71.3933122282636,0.00445824772527577,4,0.067712934273676
"s__Gemella_morbillorum",22.8649440758223,0.0139124402818111,1,0.0687438225689489
"s__Solobacterium_moorei",18.3775117897664,0.0173035546634114,2,0.0726749295863279
"s__Streptococcus_sp._HMSC074B11",19.1941091273978,0.0165687478327364,2,0.0726749295863279
"s__Alloprevotella_rava",20.2276897241725,0.015723542824502,2,0.0726749295863279
"s__Alloprevotella_sp._oral_taxon_473",16.784884257967,0.0189416900974068,1,0.075766760389627
"s__Rothia_mucilaginosa",14.8975173868452,0.0213346348738947,2,0.0779197152538113
