"t1","t2","r1","r2","n1","n2","p","BH_p","Metabolites","smiles","kingdom","super_class","class","sub_class","direct_parent"
"s__Rothia_aeria","HMDB0000243",0.290463799173427,-0.0378872022707639,140,73,0.0223280641323147,0.0737797824204526,"Pyruvic acid","CC(=O)C(O)=O","Organic compounds","Organic acids and derivatives","Keto acids and derivatives","Alpha-keto acids and derivatives","Alpha-keto acids and derivatives"
"s__Neisseria_subflava","HMDB0000228",0.37554247634134,0.23065057008719,130,71,0.28644815399526,0.37562540948435,"Phenol","OC1=CC=CC=C1","Organic compounds","Benzenoids","Phenols","1-hydroxy-4-unsubstituted benzenoids","1-hydroxy-4-unsubstituted benzenoids"
"s__Neisseria_flavescens","HMDB0000228",0.298661886014248,0.262810194500335,127,71,0.792904120280903,0.832848912234601,"Phenol","OC1=CC=CC=C1","Organic compounds","Benzenoids","Phenols","1-hydroxy-4-unsubstituted benzenoids","1-hydroxy-4-unsubstituted benzenoids"
"s__Abiotrophia_sp._HMSC24B09","HMDB0000228",-0.11344868691977,0.458858011289622,94,48,0.000913061643392263,0.0108784772941307,"Phenol","OC1=CC=CC=C1","Organic compounds","Benzenoids","Phenols","1-hydroxy-4-unsubstituted benzenoids","1-hydroxy-4-unsubstituted benzenoids"
"s__Streptococcus_salivarius","HMDB0000710",-0.273098724610298,0.0113193768257059,145,79,0.040953387132097,0.0981469105407153,"4-Hydroxybutyric acid","OCCCC(O)=O","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Hydroxy fatty acids"
"s__Streptococcus_salivarius","HMDB0000011",-0.286643835616438,-0.0552336903602726,145,79,0.0926826583419424,0.165874113856609,"3-Hydroxybutyric acid","C[C@@H](O)CC(O)=O","Organic compounds","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives"
"s__Neisseria_sicca","HMDB0006372",0.0610543804954543,-0.451838825126496,137,73,0.000220695557372762,0.00722064750283691,"Glyceric acid","OC[C@H](O)C(O)=O","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives"
"s__Neisseria_meningitidis","HMDB0006372",0.0835820895522388,-0.392603129445235,135,75,0.000716103129595612,0.0102970691393576,"Glyceric acid","OC[C@H](O)C(O)=O","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives"
"s__Streptococcus_sp._SK140","HMDB0006372",0.122526649257246,0.369183448130817,141,77,0.0686430327219327,0.138952158471097,"Glyceric acid","OC[C@H](O)C(O)=O","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives"
"s__Gemella_morbillorum","HMDB0001858",0.0422592917764121,0.444903178662769,135,69,0.00408233335591499,0.0270211588796278,"p-Cresol","CC1=CC=C(O)C=C1","Organic compounds","Benzenoids","Phenols","Cresols","Para cresols"
"s__Aggregatibacter_sp._oral_taxon_458","HMDB0252815",0.312271275533968,0.0716326530612245,113,49,0.153420564265477,0.23349042079819,"Glutaric anhydride","O=C1CCCC(=O)O1","Organic compounds","Organoheterocyclic compounds","Lactones","Delta valerolactones","Delta valerolactones"
"s__Lachnoanaerobaculum_sp._ICM7","HMDB0001863",0.369109055501461,-0.165891472868217,79,44,0.00449542880469285,0.0282536044128896,"2-Hydroxyvaleric acid","CCCC(O)C(O)=O","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Hydroxy fatty acids"
"s__Rothia_aeria","HMDB0000360",0.0605890971113687,0.424071331605578,140,73,0.0080618643567543,0.0420224679595818,"2,4-Dihydroxybutanoic acid","OCCC(O)C(O)=O","Organic compounds","Organic acids and derivatives","Hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives"
"s__Streptococcus_salivarius","HMDB0029697",0.281640686506062,0.0863680623174294,145,79,0.154312105647272,0.233993265654227,"Cinnamyl alcohol","OCC=CC1=CC=CC=C1","Organic compounds","Phenylpropanoids and polyketides","Cinnamyl alcohols",NA,"Cinnamyl alcohols"
"s__Streptococcus_parasanguinis","HMDB0029697",0.40662100456621,0.209737098344693,145,79,0.124047310160234,0.202061438815694,"Cinnamyl alcohol","OCC=CC1=CC=CC=C1","Organic compounds","Phenylpropanoids and polyketides","Cinnamyl alcohols",NA,"Cinnamyl alcohols"
"s__Rothia_mucilaginosa","HMDB0029697",0.278629349708707,0.329050696139304,145,78,0.703132923715017,0.75763935190998,"Cinnamyl alcohol","OCC=CC1=CC=CC=C1","Organic compounds","Phenylpropanoids and polyketides","Cinnamyl alcohols",NA,"Cinnamyl alcohols"
"s__Neisseria_mucosa","HMDB0029697",-0.30723673156981,0.100777489818586,137,74,0.00452006453513226,0.0282536044128896,"Cinnamyl alcohol","OCC=CC1=CC=CC=C1","Organic compounds","Phenylpropanoids and polyketides","Cinnamyl alcohols",NA,"Cinnamyl alcohols"
"s__Haemophilus_parainfluenzae","HMDB0029697",-0.302443448570209,-0.0557543722100684,143,78,0.0739590702788904,0.145476095784421,"Cinnamyl alcohol","OCC=CC1=CC=CC=C1","Organic compounds","Phenylpropanoids and polyketides","Cinnamyl alcohols",NA,"Cinnamyl alcohols"
"s__Neisseria_sicca","HMDB0029697",-0.31182444415405,-0.16913488831297,137,73,0.303265710915702,0.39152260511408,"Cinnamyl alcohol","OCC=CC1=CC=CC=C1","Organic compounds","Phenylpropanoids and polyketides","Cinnamyl alcohols",NA,"Cinnamyl alcohols"
"s__Prevotella_histicola","HMDB0029697",0.303991588032064,-0.0582076813655761,130,75,0.0119963546995639,0.0535199280504782,"Cinnamyl alcohol","OCC=CC1=CC=CC=C1","Organic compounds","Phenylpropanoids and polyketides","Cinnamyl alcohols",NA,"Cinnamyl alcohols"
"s__Neisseria_subflava","HMDB0029697",-0.428587035190976,-0.22813547954393,130,71,0.132734040737132,0.211041382784466,"Cinnamyl alcohol","OCC=CC1=CC=CC=C1","Organic compounds","Phenylpropanoids and polyketides","Cinnamyl alcohols",NA,"Cinnamyl alcohols"
"s__Streptococcus_australis","HMDB0029697",-0.307447150550599,-0.08047711781889,144,79,0.0965047791554154,0.171177759583937,"Cinnamyl alcohol","OCC=CC1=CC=CC=C1","Organic compounds","Phenylpropanoids and polyketides","Cinnamyl alcohols",NA,"Cinnamyl alcohols"
"s__Veillonella_dispar","HMDB0029697",0.296423060507568,0.152189582569329,143,78,0.287633629568082,0.375997565924421,"Cinnamyl alcohol","OCC=CC1=CC=CC=C1","Organic compounds","Phenylpropanoids and polyketides","Cinnamyl alcohols",NA,"Cinnamyl alcohols"
