"species","t","p","num_corr","BH_p"
"s__Lachnoanaerobaculum_saburreum",19463.0480780048,1.63545753279732e-05,4,0.00178264871074908
"s__Streptococcus_pneumoniae",3446.05569947336,9.23693361362811e-05,4,0.00251706440971366
"s__Haemophilus_haemolyticus",6311.87565065705,5.04303159849806e-05,7,0.00251706440971366
"s__Candidatus_Nanosynbacter_sp._TM7_057",4332.34812048843,7.34728308247914e-05,1,0.00251706440971366
"s__Actinomyces_sp._ICM58",2281.84137256298,0.00013949692981876,2,0.00304103307004896
"s__Actinomyces_bouchesdurhonensis",1548.38263819749,0.00020557569819973,1,0.00318690599492588
"s__Prevotella_salivae",1360.87208896517,0.000233901357425753,5,0.00318690599492588
"s__Actinomyces_sp._oral_taxon_172",1505.72507537761,0.000211399706752493,2,0.00318690599492588
"s__Prevotella_pallens",913.888272804543,0.000348302706813837,5,0.00421833278252314
"s__Streptococcus_anginosus",793.807872902307,0.000400990880371619,4,0.00437080059605065
"s__Mogibacterium_diversum",375.532147546093,0.000847621530916861,2,0.00765567070228952
"s__Prevotella_vespertina",375.214354317846,0.0008483394328429,1,0.00765567070228952
"s__Abiotrophia_sp._HMSC24B09",348.617221474111,0.000913061643392328,1,0.00765567070228952
"s__Streptococcus_sp._oral_taxon_431",247.422157337421,0.00128649817144169,3,0.00794601655143184
"s__Veillonella_rogosae",242.578437688112,0.00131218621950251,3,0.00794601655143184
"s__Porphyromonas_pasteri",280.396373290124,0.00113520917879325,4,0.00794601655143184
"s__Campylobacter_concisus",284.98727714239,0.00111692207097764,4,0.00794601655143184
"s__Candidatus_Nanosynbacter_sp._TM7_075",268.043740348136,0.0011875241294455,2,0.00794601655143184
"s__Neisseria_sicca",183.974858211081,0.00173016440680789,8,0.00857217819736636
"s__Prevotella_sp._oral_taxon_306",197.324105668056,0.00161311847903772,3,0.00857217819736636
"s__Fusobacterium_periodonticum",186.606879878031,0.00170576154232102,3,0.00857217819736636
"s__Lachnoanaerobaculum_orale",191.443727681327,0.0016626660747759,1,0.00857217819736636
"s__Streptococcus_sp._HMSC056C01",169.018923392515,0.00188325760058889,5,0.00892500341148647
"s__Lancefieldella_parvula",131.727740977061,0.0024163761508784,4,0.0109743750185727
"s__Porphyromonas_somerae",116.502534679008,0.00273214715956288,3,0.0119121616156942
"s__Porphyromonas_sp._oral_taxon_279",106.874574681723,0.00297826305631605,1,0.0124857951207096
"s__Candidatus_Nanosynbacter_sp._TM7_076",100.771139813314,0.00315863687588144,2,0.0127515340544844
"s__Neisseria_meningitidis",85.3531650607134,0.00372915664998363,5,0.0140164853395936
"s__Leptotrichia_sp._oral_taxon_221",86.9889239321815,0.00365903900402822,2,0.0140164853395936
"s__Alloprevotella_sp._oral_taxon_473",80.1349502284732,0.00397196683807879,2,0.0144314795116863
"s__Streptococcus_sp._UMB0029",64.8929269405757,0.00490476710839166,1,0.0172457940262803
"s__Porphyromonas_bobii",61.6963642084376,0.00515884558175624,3,0.0175723177628572
"s__Schaalia_sp._ORNL0103",59.1493518530808,0.00538094762582077,3,0.017773433067105
"s__Streptococcus_oralis",49.8979763230317,0.0063783605038292,1,0.0198877290147644
"s__Streptococcus_sp._1001283B150225_161107_H12",49.8385175275367,0.0063859680322638,10,0.0198877290147644
"s__Granulicatella_adiacens",47.2461916414785,0.00673625439205183,4,0.0203958813537125
"s__Streptococcus_parasanguinis",43.3831910050011,0.00733587184029233,9,0.0216110819078882
"s__Lachnoanaerobaculum_sp._ICM7",39.8537283556979,0.00798527822383953,2,0.0229051401683818
"s__Prevotella_histicola",37.6733984525969,0.00844721136312467,11,0.0230186509645147
"s__Gemella_morbillorum",38.3107655719663,0.00830674144656368,5,0.0230186509645147
"s__Megasphaera_micronuciformis",36.4161790828781,0.00873869585285478,11,0.0232321426331993
"s__Schaalia_odontolytica",35.4726262579434,0.00897101899939622,1,0.0232819302603378
"s__Streptococcus_mitis",33.335358038798,0.00954585386386992,1,0.0241188553641042
"s__Veillonella_parvula",32.6837433683899,0.00973605170661087,4,0.0241188553641042
"s__Neisseria_mucosa",30.9656435032106,0.0102758820738994,4,0.0243493727403269
"s__Actinomyces_sp._S6_Spd3",31.5750568712424,0.0100776865497132,6,0.0243493727403269
"s__Lautropia_mirabilis",28.5681706128601,0.0111375691430984,7,0.0252915632624526
"s__Streptococcus_sp._HMSC067H01",28.9811591214624,0.0109789828513076,1,0.0252915632624526
