"t1","t2","r1","r2","n1","n2","p","BH_p","Metabolites","smiles","kingdom","super_class","class","sub_class","direct_parent"
"s__Rothia_sp._HMSC065C12","HMDB0302405",-0.309580440536389,-0.199405857300594,142,77,0.411495108204867,0.449201831267465,"4-Methylpyridine","CC1=CC=NC=C1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines","Methylpyridines"
"s__Streptococcus_parasanguinis","HMDB0013751",0.324728389230042,0.0901898734177215,145,79,0.0835564335976879,0.133107341893991,"2-Hydroxypyridine","OC1=CC=CC=N1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","Pyridinones"
"s__Rothia_sp._HMSC062F03","HMDB0013751",0.309794263590969,0.13226173541963,132,75,0.203696351536113,0.253694546913159,"2-Hydroxypyridine","OC1=CC=CC=N1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","Pyridinones"
"s__Neisseria_flavescens","HMDB0013751",-0.307672478440195,-0.0411468812877264,127,71,0.0675171043948746,0.12012783509218,"2-Hydroxypyridine","OC1=CC=CC=N1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","Pyridinones"
"s__Peptostreptococcus_stomatis","HMDB0001470",0.0758765288293535,0.478528131136344,101,52,0.011767793843177,0.0414693917460925,"Tiglic acid","C\C=C(/C)C(O)=O","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids"
"s__Neisseria_subflava","HMDB0041965",-0.297824632317798,-0.172669349429913,130,71,0.376847749783188,0.419740989595908,"O-Toluidine","CC1=CC=CC=C1N","Organic compounds","Benzenoids","Benzene and substituted derivatives","Toluenes","Aminotoluenes"
"s__Actinomyces_oris","HMDB0041965",-0.0075187969924812,0.379603554340396,134,76,0.00560768688939006,0.0288570182650535,"O-Toluidine","CC1=CC=CC=C1N","Organic compounds","Benzenoids","Benzene and substituted derivatives","Toluenes","Aminotoluenes"
"s__Neisseria_flavescens","HMDB0040582",-0.337387514060742,-0.0386988598256204,127,71,0.0390767418738514,0.087049002223051,"1-Methyl-2-pyrrolecarboxaldehyde","CN1C=CC=C1C=O","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Aryl-aldehydes"
"s__Campylobacter_concisus","HMDB0040582",0.0779555946216555,-0.415468113975577,122,66,0.000910305224811422,0.0123334885006498,"1-Methyl-2-pyrrolecarboxaldehyde","CN1C=CC=C1C=O","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Aryl-aldehydes"
"s__Neisseria_mucosa","HMDB0000300",0.287901133160341,-0.114698259903739,137,74,0.00526035262473872,0.0281508871140048,"Uracil","O=C1NC=CC(=O)N1","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones"
"s__Gemella_sanguinis","HMDB0000300",0.0475126281953161,0.368037974683544,140,79,0.0186685992194501,0.0527339813003022,"Uracil","O=C1NC=CC(=O)N1","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones"
"s__Fusobacterium_periodonticum","HMDB0000300",0.315631518195257,0.0483253588516746,114,56,0.0965445632112043,0.145349006458257,"Uracil","O=C1NC=CC(=O)N1","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones"
"s__Schaalia_odontolytica","HMDB0250651",0.2946658675457,0.170066775329933,141,77,0.359596876188011,0.403809606866865,"Cyclohexanecarboxamide","NC(=O)C1CCCCC1","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acid derivatives","Primary carboxylic acid amides"
"s__Actinomyces_sp._ICM47","HMDB0250651",0.293449215782653,0.175748462064252,139,76,0.389508877294437,0.43208677076387,"Cyclohexanecarboxamide","NC(=O)C1CCCCC1","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acid derivatives","Primary carboxylic acid amides"
"s__Haemophilus_parahaemolyticus","HMDB0250651",-0.0859235241502683,-0.421859926683388,129,72,0.0158796638732928,0.0488879539469912,"Cyclohexanecarboxamide","NC(=O)C1CCCCC1","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acid derivatives","Primary carboxylic acid amides"
"s__Haemophilus_paraphrohaemolyticus","HMDB0250651",0.0423966196648151,-0.42565465387607,118,57,0.00280274183273677,0.0178593316783692,"Cyclohexanecarboxamide","NC(=O)C1CCCCC1","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acid derivatives","Primary carboxylic acid amides"
"s__Schaalia_sp._ORNL0103","HMDB0250651",0.382982682123944,0.143642677985723,136,72,0.0814468158132983,0.131273103134375,"Cyclohexanecarboxamide","NC(=O)C1CCCCC1","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acid derivatives","Primary carboxylic acid amides"
"s__Mogibacterium_diversum","HMDB0247034",0.00617549345319523,-0.459075119409466,85,48,0.00733823222285649,0.0314168067041043,"6-Aminonicotinamide","OC(=N)C1=CNC(=N)C=C1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","Nicotinamides"
"s__Actinomyces_sp._ICM47","HMDB0000500",0.291563519370839,-0.0575256322624744,139,76,0.0140281631149056,0.0463098396805316,"4-Hydroxybenzoic acid","OC(=O)C1=CC=C(O)C=C1","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives"
"s__Actinomyces_sp._ICM58","HMDB0000500",0.281587052207634,-0.0470769824426008,134,72,0.0242614499405459,0.0634890540519882,"4-Hydroxybenzoic acid","OC(=O)C1=CC=C(O)C=C1","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives"
