"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2","Metabolites","smiles","kingdom","super_class","class","sub_class","direct_parent"
"s__Actinomyces_oris","HMDB0041965",-0.0075187969924812,0.379603554340396,134,76,0.00560768688939006,0.0288570182650535,0.387122351332878,1,1,"O-Toluidine","CC1=CC=CC=C1N","Organic compounds","Benzenoids","Benzene and substituted derivatives","Toluenes","Aminotoluenes"
"s__Campylobacter_concisus","HMDB0040582",0.0779555946216555,-0.415468113975577,122,66,0.000910305224811422,0.0123334885006498,0.493423708597232,1,1,"1-Methyl-2-pyrrolecarboxaldehyde","CN1C=CC=C1C=O","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Aryl-aldehydes"
"s__Neisseria_mucosa","HMDB0000300",0.287901133160341,-0.114698259903739,137,74,0.00526035262473872,0.0281508871140048,0.402599393064081,2,1,"Uracil","O=C1NC=CC(=O)N1","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones"
"s__Haemophilus_paraphrohaemolyticus","HMDB0250651",0.0423966196648151,-0.42565465387607,118,57,0.00280274183273677,0.0178593316783692,0.468051273540885,2,1,"Cyclohexanecarboxamide","NC(=O)C1CCCCC1","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acid derivatives","Primary carboxylic acid amides"
"s__Mogibacterium_diversum","HMDB0247034",0.00617549345319523,-0.459075119409466,85,48,0.00733823222285649,0.0314168067041043,0.465250612862661,4,1,"6-Aminonicotinamide","OC(=N)C1=CNC(=N)C=C1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","Nicotinamides"
"s__Candidatus_Nanosynbacter_sp._TM7_057","HMDB0000500",0.338291904150876,-0.174675324675325,93,55,0.00256924932357692,0.0167612932061923,0.5129672288262,1,1,"4-Hydroxybenzoic acid","OC(=O)C1=CC=C(O)C=C1","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives"
"s__Haemophilus_parahaemolyticus","HMDB0030352",-0.0691972271914132,0.401215512251592,129,72,0.00103603230405767,0.0123334885006498,0.470412739443005,1,1,"Arecaidine","CN1CCC=C(C1)C(O)=O","Organic compounds","Alkaloids and derivatives",NA,NA,"Alkaloids and derivatives"
"s__Streptococcus_sp._A12","HMDB0059611",0.297214905862843,-0.138378378378378,135,75,0.00245827955295276,0.0167612932061923,0.435593284241221,1,1,"Thiomorpholine 3-carboxylate","OC(=O)C1CSCCN1","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids"
"s__Candidatus_Nanosynbacter_sp._HMT_352","HMDB0032572",0.14267862721471,-0.420591220892676,98,58,0.000523836958236473,0.0110408712735995,0.563269848107386,1,1,"Methylparaben","COC(=O)C1=CC=C(O)C=C1","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","p-Hydroxybenzoic acid alkyl esters"
"s__Neisseria_mucosa","HMDB0000991",0.286902383930405,-0.086945575712699,137,74,0.00949970335065693,0.0373230354235842,0.373847959643104,2,1,"2-Aminooctanoic acid","CCCCCCC(N)C(O)=O","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids"
"s__Actinomyces_sp._oral_taxon_181","HMDB0029171",0.0667973124300112,-0.456565656565657,95,55,0.00137164789341423,0.0125277174265166,0.523362968995668,2,1,"3-Hydroxyadipic acid 3,6-lactone","[H]OC(=O)CC1([H])CCC(=O)O1","Organic compounds","Organoheterocyclic compounds","Lactones","Gamma butyrolactones","Gamma butyrolactones"
"s__Rothia_dentocariosa","HMDB0001046",0.105877582176423,0.473883746760459,136,74,0.00574760450218228,0.0288570182650535,0.368006164584036,1,3,"Cotinine","CN1C(CCC1=O)C1=CN=CC=C1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Pyrrolidinylpyridines","Pyrrolidinylpyridines"
"s__Streptococcus_sp._HPH0090","HMDB0001046",-0.00818723529991136,0.411772438088228,143,77,0.00204472925823161,0.015142049101499,0.419959673388139,1,3,"Cotinine","CN1C(CCC1=O)C1=CN=CC=C1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Pyrrolidinylpyridines","Pyrrolidinylpyridines"
"s__Streptococcus_sp._SK140","HMDB0001046",0.0433023673958646,0.412219359587781,141,77,0.00646141239818799,0.0305246033983363,0.368916992191916,1,3,"Cotinine","CN1C(CCC1=O)C1=CN=CC=C1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Pyrrolidinylpyridines","Pyrrolidinylpyridines"
"s__Leptotrichia_wadei","HMDB0303178",0.0885219798480018,-0.399712666613457,118,67,0.00110771183031859,0.0123334885006498,0.488234646461459,2,1,"Butyl benzoate","CCCCOC(=O)C1=CC=CC=C1","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters"
"s__Megasphaera_micronuciformis","HMDB0251324",0.337823466855725,-0.111500042687612,92,52,0.00961012765765568,0.0373230354235842,0.449323509543337,3,1,"Dihydroperillic acid","CC(=C)C1CCC(CC1)C(O)=O","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Menthane monoterpenoids"
"s__Veillonella_rogosae","HMDB0059906",0.281312837928415,-0.26404576436222,139,79,0.000101004623420442,0.00492801863692883,0.545358602290635,3,1,"Megastigmatrienone","[H]\C(C=C)=C(\[H])C1C(C)=CC(=O)CC1(C)C","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Cyclohexenones"
"s__Mogibacterium_diversum","HMDB0001847",-0.0174125464139144,-0.478723404255319,85,48,0.00715941953518609,0.0311377928990633,0.461310857841405,4,1,"Caffeine","CN1C=NC2=C1C(=O)N(C)C(=O)N2C","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines"
"s__Megasphaera_micronuciformis","HMDB0249592",0.0325046622381826,-0.469478357380688,92,52,0.00253177418680704,0.0167612932061923,0.501983019618871,3,1,"Cantharidin","CC12C3CCC(O3)C1(C)C(=O)OC2=O","Organic compounds","Organoheterocyclic compounds","Furofurans",NA,"Furofurans"
"s__Lachnoanaerobaculum_saburreum","HMDB0038108",0.032476069657479,-0.442898889538282,116,59,0.0020270294850217,0.015142049101499,0.475374959195761,1,1,"Quinceoxepane","CC1CCCOC(C1)\C=C/C(C)=C","Organic compounds","Organoheterocyclic compounds","Oxepanes",NA,"Oxepanes"
"s__Fusobacterium_nucleatum","HMDB0256646",-0.0146327187591454,-0.38134285163033,135,72,0.00967129750027181,0.0373230354235842,0.366710132871184,1,1,"Plumbagin","CC1=CC(=O)C2=C(C=CC=C2O)C1=O","Organic compounds","Benzenoids","Naphthalenes","Naphthoquinones","Naphthoquinones"
"s__Neisseria_sp._HMSC071A01","HMDB0060426",0.0238992006503184,0.424514257357713,121,68,0.00579246716999249,0.0288570182650535,0.400615056707394,1,1,"8-Methoxykynurenate","COC1=CC=CC2=C(O)C=C(N=C12)C(O)=O","Organic compounds","Organoheterocyclic compounds","Quinolines and derivatives","Quinoline carboxylic acids","Quinoline carboxylic acids"
"s__Streptococcus_intermedius","HMDB0029467",0.278319674426419,-0.0955373740183867,137,78,0.00840393131728993,0.0338628997196683,0.373857048444806,1,1,"Eugenitin","COC1=CC2=C(C(=O)C=C(C)O2)C(O)=C1C","Organic compounds","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","Chromones"
"s__Schaalia_odontolytica","HMDB0061174",-0.27637313241149,0.106787948893212,141,77,0.00690015186263538,0.0311377928990633,0.383161081304702,4,1,"p-Hydroxyl-ethotoin","CCN1C(=O)NC(C1=O)C1=CC=C(O)C=C1","Organic compounds","Organoheterocyclic compounds","Azolidines","Imidazolidines","Phenylhydantoins"
"s__Haemophilus_haemolyticus","HMDB0035712",-0.0285436929452835,0.389445997040934,137,78,0.00243917464432216,0.0167612932061923,0.417989689986217,1,1,"Aloesol","CC(O)CC1=CC(=O)C2=C(O1)C=C(O)C=C2C","Organic compounds","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","Chromones"
"s__Leptotrichia_wadei","HMDB0035639",0.0844389907201473,-0.397717295873573,118,67,0.00128077476779807,0.0125277174265166,0.482156286593721,2,1,"Petasalbin","CC1CCCC2CC3=C(C(O)C12C)C(C)=CO3","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids"
"s__Porphyromonas_sp._KLE_1280","HMDB0302978",-0.052512784341386,0.475487824544428,106,53,0.00104817886232968,0.0123334885006498,0.528000608885814,2,1,"Oxyglutinosone","CC1C(O)C(=O)C=C2CCC(CC12O)C(C)=C","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Cyclohexenones"
