"species","t","p","num_corr","BH_p"
"s__Streptococcus_infantis",2576.14277340999,0.000123560647911855,1,0.0053547777953068
"s__Streptococcus_sp._oral_taxon_431",776.944536941338,0.000409694251362431,1,0.0053547777953068
"s__Veillonella_rogosae",728.876409591083,0.000436712839482366,6,0.0053547777953068
"s__Rothia_sp._HMSC072B04",1019.99680981543,0.000312069391920583,5,0.0053547777953068
"s__Streptococcus_sp._XMC",1278.59096125243,0.000248953598865498,2,0.0053547777953068
"s__Actinomyces_sp._ICM58",626.662853385905,0.000507943967445204,7,0.0053547777953068
"s__Mogibacterium_diversum",1171.90525744501,0.000271617357208323,5,0.0053547777953068
"s__Actinomyces_sp._oral_taxon_172",1115.46550701814,0.00028536050546354,5,0.0053547777953068
"s__Candidatus_Nanosynbacter_sp._HMT_352",607.650135834055,0.000523836958236534,1,0.0053547777953068
"s__Streptococcus_oralis",362.359646374814,0.00087843412284324,1,0.00808159393015781
"s__Prevotella_melaninogenica",266.524353377593,0.00119429383653363,4,0.0089176082318213
"s__Rothia_sp._HMSC065C12",238.904213595402,0.0013323667356258,10,0.0089176082318213
"s__Leptotrichia_wadei",181.534717826415,0.00175342033963274,3,0.0089176082318213
"s__Porphyromonas_sp._KLE_1280",162.936342115964,0.00195355981065744,4,0.0089176082318213
"s__Veillonella_sp._S13053_19",225.044139710816,0.00141442381735492,2,0.0089176082318213
"s__Haemophilus_paraphrohaemolyticus",203.294041076549,0.00156574839684427,2,0.0089176082318213
"s__Actinomyces_naeslundii",200.549077091246,0.00158717882307132,2,0.0089176082318213
"s__Porphyromonas_pasteri",167.49424974879,0.00190040019091029,1,0.0089176082318213
"s__Campylobacter_concisus",177.017312455897,0.00179816592937251,2,0.0089176082318213
"s__Candidatus_Nanosynbacter_sp._TM7_087",156.373929932813,0.00203554100943747,1,0.0089176082318213
"s__Candidatus_Nanosynbacter_sp._TM7_075",250.242046655099,0.00127200123274461,1,0.0089176082318213
"s__Porphyromonas_bobii",148.459609049369,0.00214405166687924,1,0.00896603424331319
"s__Haemophilus_haemolyticus",130.496459743924,0.00243917464432213,1,0.00975669857728851
"s__Candidatus_Nanosynbacter_sp._TM7_057",123.889484230947,0.00256924932357696,1,0.00984878907371167
"s__Candidatus_Nanosynbacter_sp._TM7_008",96.1604620054511,0.00331007573941226,1,0.0121810787210371
"s__Streptococcus_sp._HPH0090",92.0230113571702,0.00345888873676546,2,0.0122391447608624
"s__Lachnoanaerobaculum_saburreum",88.5845743282759,0.00359313535692995,2,0.0122432760310206
"s__Haemophilus_parahaemolyticus",82.2665995908966,0.0038690575698641,4,0.0127126177295535
"s__Prevotella_intermedia",71.0510634320521,0.00447972001381729,1,0.0142115255610755
"s__Actinomyces_bouchesdurhonensis",59.5750585804277,0.00534250412382573,1,0.0163836793130656
"s__Neisseria_sp._HMSC071A01",54.9463190360091,0.00579246716999248,1,0.0171905477303003
"s__Schaalia_odontolytica",50.4293920898493,0.0063111642078488,11,0.0181445970975653
"s__Streptococcus_sanguinis",45.0966100749188,0.0070572428528528,1,0.0190960688959546
"s__Granulicatella_sp._HMSC30F09",45.7015951782056,0.00696385102632575,1,0.0190960688959546
"s__Neisseria_sicca",37.9098866911032,0.00839454074629212,3,0.0220656499616821
"s__Streptococcus_sp._A12",35.7652536207159,0.00889765749686539,4,0.022217478653457
"s__Actinomyces_sp._oral_taxon_181",35.6145421660647,0.00893529032802075,8,0.022217478653457
"s__Megasphaera_micronuciformis",32.8274596550941,0.00969345436897304,7,0.0228666103062954
"s__Fusobacterium_nucleatum",32.9027135785458,0.00967129750027181,1,0.0228666103062954
"s__Streptococcus_cristatus",30.3005318948304,0.0105012808754779,1,0.0235638497693651
"s__Rothia_dentocariosa",31.004563243473,0.0102629917979656,2,0.0235638497693651
"s__Streptococcus_sp._M334",28.1906032029628,0.0112866146443971,1,0.0238188687364354
"s__Actinomyces_oris",28.9981009411698,0.0109725735836363,2,0.0238188687364354
"s__Streptococcus_sp._SK140",27.9304981127032,0.0113916328739474,2,0.0238188687364354
"s__Peptostreptococcus_stomatis",27.0177608315188,0.0117761295047198,5,0.0240756425429826
"s__Streptococcus_pseudopneumoniae",24.4161143853189,0.0130295950538645,1,0.026059190107729
"s__Neisseria_mucosa",21.752831008746,0.0146227375233754,6,0.0280269135864695
"s__Neisseria_sp._oral_taxon_014",21.9579019736059,0.0144863610800694,1,0.0280269135864695
"s__Solobacterium_moorei",18.8297874186021,0.0168887269849931,1,0.0317094465840687
"s__Porphyromonas_somerae",17.5185873519792,0.0181501412865626,2,0.0333962599672752
"s__Gemella_sanguinis",17.0309958985222,0.0186685992194501,1,0.0336766887880277
"s__Prevotella_histicola",14.3866340184344,0.0220898598742745,1,0.0390820597775626
"s__Streptococcus_intermedius",13.9034656492589,0.0228549273161906,5,0.0396727040205572
"s__Rothia_mucilaginosa",13.5669539972743,0.023419796716281,4,0.0399003944055159
"s__Prevotella_pallens",11.990115245939,0.0264863932386444,1,0.0443045123264597
"s__Candidatus_Nanosynbacter_sp._TM7_053",11.3571930470016,0.0279550672211415,1,0.0459261818633039
"s__Lancefieldella_parvula",10.941009560752,0.0290126731724801,3,0.0460201022735891
"s__Actinomyces_sp._ph3",11.0636534149934,0.0286928081522498,5,0.0460201022735891
"s__Streptococcus_australis",9.16881590421503,0.0345798952275594,5,0.0539211925582282
"s__Streptococcus_timonensis",8.36463628557243,0.0378744843503041,1,0.058074209337133
"s__Actinomyces_sp._ICM47",8.02184876941305,0.0394767160449272,7,0.0592952249825888
"s__Parvimonas_micra",7.92385778387965,0.0399598255317446,4,0.0592952249825888
"s__Veillonella_parvula",6.55405105957636,0.0481951928188802,1,0.0703802815767774
