"t1","t2","r1","r2","n1","n2","p","BH_p"
"s__Streptococcus_salivarius","s__Streptococcus_parasanguinis",0.654310344827586,0.606292766886361,145,83,0.561406115672454,0.822938787931367
"s__Streptococcus_mitis","s__Streptococcus_oralis",0.504676428908833,0.469564669829142,145,83,0.735849203610922,0.898162143148419
"s__Streptococcus_salivarius","s__Rothia_mucilaginosa",0.302912927098095,0.292867948759809,145,82,0.933117379587577,0.978758990545665
"s__Streptococcus_parasanguinis","s__Rothia_mucilaginosa",0.404235553456149,0.530066063712846,145,82,0.255301213173413,0.65558121361683
"s__Streptococcus_salivarius","s__Neisseria_mucosa",-0.427576679672186,-0.26541812617762,137,78,0.199172654000267,0.606637422464718
"s__Streptococcus_parasanguinis","s__Neisseria_mucosa",-0.497274441353819,-0.300016439256946,137,78,0.101352568171775,0.477231036360573
"s__Streptococcus_salivarius","s__Haemophilus_parainfluenzae",-0.375324206310122,-0.107149465068948,143,82,0.041832469411555,0.394712589158805
"s__Streptococcus_parasanguinis","s__Haemophilus_parainfluenzae",-0.436685380347352,-0.178241420968427,143,82,0.0410234861913948,0.394085344725481
"s__Neisseria_mucosa","s__Haemophilus_parainfluenzae",0.432519088244628,0.523791997476208,137,77,0.420363193418564,0.753221464158668
"s__Streptococcus_salivarius","s__Neisseria_sicca",-0.394790636025911,-0.25159051474841,137,77,0.267614953337955,0.660229195669953
"s__Streptococcus_parasanguinis","s__Neisseria_sicca",-0.480496387701383,-0.379935853620064,137,77,0.390464438026576,0.736195383597176
"s__Neisseria_mucosa","s__Neisseria_sicca",0.731528631353039,0.78697012802276,135,75,0.379231370317487,0.726631948722044
"s__Haemophilus_parainfluenzae","s__Neisseria_sicca",0.438982955924356,0.476937799043062,137,76,0.749350079622037,0.905962539315253
"s__Streptococcus_parasanguinis","s__Streptococcus_infantis",0.157041234627442,0.366546324671508,144,83,0.10891166035962,0.491711830208289
"s__Rothia_mucilaginosa","s__Streptococcus_infantis",0.219849690539346,0.547436357897715,144,82,0.00568955761200623,0.222719381234554
"s__Streptococcus_mitis","s__Schaalia_odontolytica",-0.322894815702727,-0.257688701359587,141,80,0.614107772712671,0.847949893890043
"s__Streptococcus_parasanguinis","s__Schaalia_odontolytica",0.335275482683334,0.48356774496015,141,80,0.21335584221712,0.61482127781028
"s__Rothia_mucilaginosa","s__Schaalia_odontolytica",0.283428228948157,0.413314580403188,141,80,0.302742232852897,0.682968843283766
"s__Neisseria_mucosa","s__Schaalia_odontolytica",-0.373113924567185,-0.262133712660028,133,75,0.398641642654701,0.739786894541897
"s__Neisseria_sicca","s__Schaalia_odontolytica",-0.422256455249385,-0.38680488707886,133,74,0.768436594159372,0.91032348316623
"s__Streptococcus_mitis","s__Prevotella_melaninogenica",-0.35528197502788,-0.28388067628574,140,78,0.576882517286669,0.833143934829658
