"t1","t2","r1","r2","n1","n2","p","BH_p"
"s__Collinsella_aerofaciens","s__Blautia_wexlerae",0.338926631050966,0.459228925666623,149,86,0.301967069916979,0.731516923549453
"s__Collinsella_aerofaciens","s__Faecalibacterium_prausnitzii",-0.296605019455606,-0.0892415693230926,149,86,0.116396131424637,0.601574980754973
"s__Blautia_wexlerae","s__Prevotella_copri",-0.361913355586951,-0.246381461002812,144,86,0.355942865991555,0.758337105483821
"s__Faecalibacterium_prausnitzii","s__Prevotella_copri",0.160485292314865,0.475193900851088,144,86,0.010805932656361,0.500503274743627
"s__Prevotella_copri","s__Catenibacterium_mitsuokai",0.476347594571946,0.394071993817283,138,82,0.470042462659253,0.815647599675862
"s__Collinsella_aerofaciens","s__Dorea_longicatena",0.400662125513601,0.411126417693571,149,86,0.933539666691147,0.981493020385223
"s__Blautia_wexlerae","s__Dorea_longicatena",0.332309003999964,0.401351172840671,149,86,0.567485570306126,0.860890099438813
"s__Collinsella_aerofaciens","s__Mediterraneibacter_faecis",0.270145395506617,0.416957596573003,149,86,0.228782845996169,0.679353402776019
"s__Blautia_wexlerae","s__Mediterraneibacter_faecis",0.325132651858033,0.490120963937272,149,86,0.1517183921888,0.62839730145594
"s__Dorea_longicatena","s__Mediterraneibacter_faecis",0.457710134148443,0.432035628691665,149,86,0.810236432063411,0.945738113378158
"s__Faecalibacterium_prausnitzii","s__Fusicatenibacter_saccharivorans",0.29248714297376,0.179747504293182,149,86,0.384165079096251,0.773239094709857
"s__Dorea_longicatena","s__Fusicatenibacter_saccharivorans",0.312448866676946,0.24921213036176,149,86,0.615229237388703,0.883881684143782
"s__Collinsella_aerofaciens","s__Holdemanella_biformis",0.278378623310664,-0.0205695306750203,146,86,0.026875873225248,0.533444732967021
"s__Catenibacterium_mitsuokai","s__Holdemanella_biformis",0.443953330944133,0.41873755020736,142,82,0.820367507765601,0.947719546239845
"s__Dorea_longicatena","s__Holdemanella_biformis",0.344677519807335,0.304485667377479,146,86,0.741396276365404,0.926238773448914
"s__Mediterraneibacter_faecis","s__Holdemanella_biformis",0.348672730182542,0.167575626049707,146,86,0.158585637716903,0.638377019146124
"s__Faecalibacterium_prausnitzii","s__Ruminococcus_bromii",-0.0295235417365829,-0.39923760638599,149,86,0.00445497976991305,0.481514789759519
"s__Fusicatenibacter_saccharivorans","s__Ruminococcus_bromii",-0.309107400386391,-0.258458983600989,149,86,0.685994753151408,0.903387456614883
"s__Collinsella_aerofaciens","s__Blautia_obeum",0.314262909179962,0.50270800702006,149,86,0.100534710786176,0.598708985904098
"s__Blautia_wexlerae","s__Blautia_obeum",0.549957823511805,0.574040874865543,149,86,0.80640179891554,0.943274086972827
"s__Prevotella_copri","s__Blautia_obeum",-0.363054841568579,-0.421052631578947,144,86,0.626322271115093,0.887152445472262
"s__Mediterraneibacter_faecis","s__Blautia_obeum",0.258934612837979,0.470419505198996,149,86,0.0762054700963678,0.578430450141065
"s__Faecalibacterium_prausnitzii","s__Extibacter_muris",0.324791611867466,0.328659583702893,149,86,0.979721317995605,0.993902098322288
"s__Fusicatenibacter_saccharivorans","s__Extibacter_muris",0.479710841625019,0.394085788152705,149,86,0.437736363038532,0.798885493916682
"s__Ruminococcus_bromii","s__Extibacter_muris",-0.168054711521891,-0.402124889132117,149,86,0.0638920660123407,0.558724305810392
"s__Faecalibacterium_prausnitzii","s__Gemmiger_formicilis",0.447163291035909,0.36023098261969,149,86,0.446688967664729,0.805645950448355
"s__Fusicatenibacter_saccharivorans","s__Gemmiger_formicilis",0.273425184352069,0.352003170349682,149,86,0.531484885795596,0.848210151809539
"s__Collinsella_aerofaciens","s__Holdemanella_porci",0.298296181443227,0.370140230078092,140,83,0.570855127545357,0.862055975759986
"s__Prevotella_copri","s__Holdemanella_porci",0.098498462055478,0.35561340162902,137,83,0.0548985686640497,0.557069549996543
"s__Catenibacterium_mitsuokai","s__Holdemanella_porci",0.344515562638217,0.362294716852853,136,80,0.892784460697923,0.969848850586367
"s__Dorea_longicatena","s__Holdemanella_porci",0.274716959675638,0.411516500125955,140,83,0.27389535760699,0.711848324469058
"s__Mediterraneibacter_faecis","s__Holdemanella_porci",0.353222515510632,0.34406751196574,140,83,0.936279446082668,0.982092286404743
"s__Holdemanella_biformis","s__Holdemanella_porci",0.54816332689654,0.601121000923671,140,83,0.58200402691288,0.867837827734538
"s__Collinsella_aerofaciens","s__Blautia_massiliensis",0.415573554888391,0.492630824102206,149,86,0.486305854283153,0.82648517752025
"s__Blautia_wexlerae","s__Blautia_massiliensis",0.429175245576004,0.466041403257157,149,86,0.744369341018716,0.926856982128025
"s__Dorea_longicatena","s__Blautia_massiliensis",0.413251580484531,0.33964258081561,149,86,0.529482579706913,0.848210151809539
"s__Mediterraneibacter_faecis","s__Blautia_massiliensis",0.298491623658742,0.482572512313412,149,86,0.115043716427703,0.599101075169077
"s__Blautia_obeum","s__Blautia_massiliensis",0.266560847520657,0.41822196222,149,86,0.214016344891609,0.669507103385401
"s__Blautia_wexlerae","s__Coprococcus_comes",0.400531514453384,0.526655469796758,149,86,0.246002082767214,0.689153814987528
"s__Dorea_longicatena","s__Coprococcus_comes",0.519659685626434,0.684493593251684,149,86,0.0591858912002097,0.557069549996543
"s__Mediterraneibacter_faecis","s__Coprococcus_comes",0.354200868926359,0.535317318035138,149,86,0.101111850754322,0.598708985904098
