"species","t","p","num_corr","BH_p"
"s__Roseburia_faecis",252.137083575306,0.00126244110025167,44,0.0713279221642193
"s__Negativibacillus_massiliensis",1007.34849535466,0.000315987747131013,11,0.0713279221642193
"s__Clostridium_sp._1001270H_150608_G6",337.010218878316,0.000944508309101106,22,0.0713279221642193
"s__Clostridium_sp._AF43_10",326.22907568129,0.000975722009300765,18,0.0713279221642193
"s__Holdemanella_biformis",155.8244120326,0.00204271918871233,72,0.0816875583575367
"s__Eggerthella_lenta",138.721821213685,0.00229455157032523,42,0.0816875583575367
"s__Clostridium_sp._AF36_4",110.078047482242,0.00289159498610749,42,0.0816875583575367
"s__Clostridium_sp._AF23_8",121.919157141601,0.00261076893735195,20,0.0816875583575367
"s__Mediterraneibacter_faecis",76.7338227482662,0.00414799962523329,75,0.0937447915302724
"s__Ruminococcus_sp._AF37_3AC",77.112235321183,0.00412764645021889,8,0.0937447915302724
"s__Dorea_formicigenerans",45.8970955569985,0.00693419764860705,103,0.142466242598654
"s__Clostridium_saudiense",39.9310464052442,0.00796982288416629,18,0.150098330985132
"s__Clostridium_sp._D43t1_170807_D5",32.9767805814497,0.00964958874869061,11,0.167754389015698
"s__Blautia_stercoris",25.2243443192903,0.0126125492224387,17,0.176018891513802
"s__Clostridium_sp._AM42_36",25.5359764917804,0.012458788181039,15,0.176018891513802
"s__Clostridium_sp._OM08_29",24.027013279529,0.013240359096171,16,0.176018891513802
"s__Agathobaculum_sp._M2",24.9383470618097,0.0127570381507757,30,0.176018891513802
"s__Romboutsia_timonensis",16.1528318975161,0.019681016972265,20,0.202177719805995
"s__Parabacteroides_distasonis",17.8159047194961,0.017847885896408,55,0.202177719805995
"s__Faecalibacterium_sp._I3389",16.6455374856757,0.0190998801560726,20,0.202177719805995
"s__Blautia_ammoniilytica",18.6980780740249,0.0170074657562578,9,0.202177719805995
"s__Bacteriophage_sp.",16.6838316717591,0.019056145237728,31,0.202177719805995
"s__Bifidobacterium_longum",13.6578007745541,0.0232645726732154,15,0.228599714093334
"s__Faecalibacterium_sp._AF27_11BH",12.4329783066985,0.0255470675172876,29,0.240568219121125
"s__Anaerostipes_hadrus",6.58884175053139,0.0479445519188192,23,0.259746773792468
"s__Eubacterium_coprostanoligenes",7.93051733895519,0.0399266207615425,11,0.259746773792468
"s__Roseburia_inulinivorans",9.11024248662809,0.0348004614745691,30,0.259746773792468
"s__Bifidobacterium_catenulatum",9.69394609123231,0.0327202101402366,9,0.259746773792468
"s__Blautia_luti",6.25486880996947,0.050462883495703,53,0.259746773792468
"s__Coprococcus_eutactus",6.24137386094534,0.0505701683489761,8,0.259746773792468
"s__Collinsella_bouchesdurhonensis",10.1061982497414,0.0313943075151559,54,0.259746773792468
"s__Ruminococcus_sp._FMBCY1",6.26867897484178,0.050353559009981,6,0.259746773792468
"s__Bacteroides_stercoris",8.57480611780196,0.036954596753054,55,0.259746773792468
"s__Clostridium_sp._1001271B_151109_B4",6.40752780520117,0.0492799546064971,13,0.259746773792468
"s__Anaeromassilibacillus_sp._An200",6.57640356787482,0.0480338620382626,29,0.259746773792468
"s__Dorea_sp._AF36_15AT",7.6647922029548,0.0412955835466277,60,0.259746773792468
"s__Phascolarctobacterium_faecium",7.74664998080442,0.0408640225879063,25,0.259746773792468
"s__Clostridium_sp._L2_50",9.81966196340328,0.0323041996162454,10,0.259746773792468
"s__Barnesiella_intestinihominis",9.89862936218484,0.0320482343146468,23,0.259746773792468
"s__Collinsella_tanakaei",6.46250767912808,0.0488672886068516,37,0.259746773792468
"s__Turicibacter_sanguinis",8.37008218221442,0.0378500734645826,13,0.259746773792468
"s__Terrisporobacter_mayombei",6.94365869083033,0.04552876674248,21,0.259746773792468
"s__Oribacterium_sp._oral_taxon_102",6.489284233064,0.0486687830995574,36,0.259746773792468
"s__Alistipes_communis",7.84542933357624,0.0403550462527134,44,0.259746773792468
"s__Terrisporobacter_glycolicus",5.91841980153975,0.053279696685856,9,0.267582476688966
"s__Ruminococcus_bromii",5.60692918659513,0.0561800983935294,21,0.276015266020384
"s__Agathobaculum_butyriciproducens",5.05158076867777,0.0622076741759998,4,0.286917027832162
"s__Faecalibacterium_sp._Marseille_Q4896",5.13051707225641,0.0612742147586961,36,0.286917027832162
"s__Clostridium_sp._AF15_41",5.06252898529685,0.0620765326459898,8,0.286917027832162
"s__Faecalibacterium_prausnitzii",4.51799495437649,0.0693359589988307,42,0.288708688678892
"s__Roseburia_intestinalis",4.05756327532806,0.0769157164308343,37,0.288708688678892
"s__Lentihominibacter_faecis",4.30245559369665,0.0726926563059879,51,0.288708688678892
"s__Phascolarctobacterium_succinatutens",3.9457908500963,0.079007258860546,25,0.288708688678892
"s__Blautia_schinkii",4.13431497053523,0.0755412953134114,54,0.288708688678892
"s__Faecalibacillus_intestinalis",4.85978930968532,0.0645970629453071,21,0.288708688678892
