taxa,median_t
s__Mogibacterium_kristiansenii,31112.3456002402
s__Prevotella_sp._P5_64,22439.5909776663
s__Bacteroides_thetaiotaomicron,17101.5931046235
s__Blautia_faecis,14033.7224102517
s__Holdemanella_biformis,10610.3396907489
s__Phascolarctobacterium_succinatutens,10115.2920467572
s__Prevotella_sp._P4_67,8746.51151711797
s__Oscillibacter_sp._ER4,8401.78676968821
s__Phocaeicola_vulgatus,8277.89143205083
s__Adlercreutzia_equolifaciens,7074.7067547798
s__Brotomerdimonas_butyrica,6444.33422455833
s__Anaerobutyricum_soehngenii,6167.43235677701
s__Senegalimassilia_faecalis,6048.86756521398
s__Gemmiger_formicilis,5798.46718796004
s__Coprococcus_eutactus,5387.51628386729
s__Dorea_sp._NSJ_36,5177.66650301102
s__Bacteroides_xylanisolvens,4725.27169930179
s__Faecalibacillus_intestinalis,4004.07099276424
s__Senegalimassilia_anaerobia,3989.39584540722
s__Bacteroides_uniformis,3973.13371544793
s__Clostridium_sp._D43t1_170807_H7,3960.4634282127
s__Catenibacterium_mitsuokai,3925.22222404176
s__Solobacterium_moorei,3655.84623806465
s__Desulfovibrio_piger,3593.0829656602
s__Butyricicoccus_faecihominis,3538.28480270027
s__Dorea_sp._OM07_5,3324.91863646897
s__Paratractidigestivibacter_faecalis,3111.70098988153
s__Negativibacillus_massiliensis,3106.57397905793
s__Phascolarctobacterium_sp._Marseille_Q4147,3014.78730274217
s__Escherichia_coli,2998.62444096785
s__Holdemanella_porci,2938.21857160575
s__Oscillibacter_sp._MCC667,2873.83626540219
s__Prevotellamassilia_timonensis,2829.38881830971
s__Blautia_sp._Marseille_P3087,2800.31747984133
s__Turicibacter_sanguinis,2704.9855051943
s__Intestinimonas_sp._MSJ_38,2700.6019267221
s__Collinsella_sp._TF05_9AC,2619.877246087
s__Olsenella_uli,2592.99311108182
s__Faecalibacterium_sp._I3389,2539.4718603287
s__Parolsenella_catena,2518.43726231224
s__Roseburia_sp._BX1005,2487.93743679795
s__Anaerostipes_hadrus,2480.99380797874
s__Dorea_sp._AF24_7LB,2437.45747537939
s__Simiaoa_sunii,2390.68346173921
s__Eggerthella_lenta,2291.58388294115
s__Agathobaculum_butyriciproducens,2176.40668859567
s__Faecalibacillus_faecis,2165.72069131083
s__Prevotella_sp._Marseille_P4119,2092.35042855015
s__Clostridium_sp._1001271B_151109_B4,1997.24926819876
s__Phascolarctobacterium_faecium,1905.20948187298
s__Mitsuokella_jalaludinii,1821.52342508288
s__Faecalibacterium_sp._AF27_11BH,1762.10186547777
s__Clostridium_sp._AF15_31,1706.74558579822
s__Bacteriophage_sp.,1625.26636562277
s__Klebsiella_pneumoniae,1613.62257785348
s__Ruminococcus_sp._210702_SL_1_03,1600.44458625212
s__Blautia_obeum,1593.63135864757
s__Prevotella_stercorea,1586.44561914418
s__Holdemanella_sp._MSK_7_32,1559.27922668626
s__Mediterraneibacter_butyricigenes,1559.15565544016
s__Eubacterium_ventriosum,1527.74898786348
s__Clostridium_sp._AM49_4BH,1521.02549383025
s__Yeguia_hominis,1389.15036218919
s__Clostridium_sp._BIOML_A1,1353.47038785655
